X,Y,OBJECTID,Data_Avís,mes,Data_Inspe,Dies_fins,Espai,Plaga,Barri,Any_contro
2.285257447021733,42.007417612907787,118,2016-06-15T00:00:00.000Z,juny,2016-06-15T00:00:00.000Z,0,Via pública,Vespes,Erm,2016
2.291805414789052,42.009255988666311,119,2016-05-26T00:00:00.000Z,maig,2016-05-26T00:00:00.000Z,0,Edifici,Vespes,La Coromina,2016
2.272945362689204,42.001253277311783,120,2016-06-14T00:00:00.000Z,juny,2016-06-14T00:00:00.000Z,0,Via pública,Rates,Gràcia,2016
2.285257447021733,42.007417612907787,121,2016-06-28T00:00:00.000Z,juny,2016-06-28T00:00:00.000Z,0,Edifici,Rates,Erm,2016
2.29373360322073,42.001613054857437,122,2016-06-16T00:00:00.000Z,juny,2016-06-27T00:00:00.000Z,11,Edifici,Formigues,La Salut,2016
2.272945362689204,42.001253277311783,123,2016-06-29T00:00:00.000Z,juny,2016-07-03T00:00:00.000Z,4,Via pública,Mosquits,Gràcia,2016
2.283686186496929,41.998779363903637,124,2016-06-27T00:00:00.000Z,juny,2016-06-28T00:00:00.000Z,1,Solar,Rates,Baix Vila,2016
2.285257447021733,42.007417612907787,125,2016-06-30T00:00:00.000Z,juny,2016-06-29T00:00:00.000Z,-1,Via pública,Vespes,Erm,2016
2.291805414789052,42.009255988666311,126,2016-07-07T00:00:00.000Z,juliol,2016-07-17T00:00:00.000Z,10,Via pública,Talps,La Coromina,2016
2.285257447021733,42.007417612907787,127,2016-07-13T00:00:00.000Z,juliol,2016-07-17T00:00:00.000Z,4,Via pública,Rates,Erm,2016
2.288249379291947,41.999993287439544,128,2016-07-03T00:00:00.000Z,juliol,2016-06-29T00:00:00.000Z,-4,Via pública,Escarabats,Cavalleria,2016
2.283686186496929,41.998779363903637,129,2016-07-17T00:00:00.000Z,juliol,2016-07-25T00:00:00.000Z,8,Edifici,Rates,Baix Vila,2016
2.29373360322073,42.001613054857437,130,2016-07-03T00:00:00.000Z,juliol,2016-07-17T00:00:00.000Z,14,Via pública,altres,La Salut,2016
2.283973794150638,42.001041486165164,131,2016-07-22T00:00:00.000Z,juliol,2016-07-28T00:00:00.000Z,6,Edifici,Vespes,Dalt Vila,2016
2.283686186496929,41.998779363903637,132,2016-08-09T00:00:00.000Z,agost,2016-08-09T00:00:00.000Z,0,Solar,Rates,Baix Vila,2016
