X,Y,OBJECTID,NOM_EXPLOT,BUSTIA,COOR_X,COOR_Y,TIPUS_EXPL,ESPECIE,ESTAT_SUBE
2.285648777215782,42.018847803759911,175,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Conills,Inactiva
2.285648777215782,42.018847803759911,176,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,177,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,178,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,179,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,180,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,181,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,182,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,183,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,184,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.285648777215782,42.018847803759911,185,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Gallines i pollastres,Inactiva
2.301896225591834,42.024171487150184,186,MAS TORRENTS,202,442206.44,4652695.67,Producció i reproducció,Boví,Activa
2.246252008060254,42.000222631072234,187,TORRE DE L'OM,400,437576.41,4650075.7,Producció i reproducció,Boví,Activa
2.300505555857983,42.007771060477438,188,GRANJA FONT DE TARRES, ,442076.43,4650875.67,Producció i reproducció,Boví,Activa
2.300505555857983,42.007771060477438,189,GRANJA FONT DE TARRES, ,442076.43,4650875.67,Producció i reproducció,Èquids,Activa
2.285385267014029,42.010019724176011,190,GRANJA PADROS, ,440826.43,4651135.68,Producció i reproducció,Oví,Activa
2.285385267014029,42.010019724176011,191,GRANJA PADROS, ,440826.43,4651135.68,Producció i reproducció,Èquids,Activa
2.285385267014029,42.010019724176011,192,GRANJA PADROS, ,440826.43,4651135.68,Producció i reproducció,Boví,Inactiva
2.278101741054545,41.991960968194071,193,CAN CASTELLS,307,440206.41,4649135.68,Producció i reproducció,Boví,Activa
2.285262493797323,42.010199091314419,194,GRANJA FREIXAS, ,440816.43,4651155.68,Producció i reproducció,Èquids,Activa
2.285262493797323,42.010199091314419,195,GRANJA FREIXAS, ,440816.43,4651155.68,Producció i reproducció,Conills,Inactiva
2.251165099106785,41.998273338083344,196,LA ROCA DE CLAVELLAS,204,437981.41,4649855.7,Producció i reproducció,Cabrum,Activa
2.300854994638195,42.008944045212381,197,FONT DE TARRES, ,442106.43,4651005.67,Producció i reproducció,Conills,Activa
2.275644011796812,42.017073945527152,198,GRANJA SALA-PGE. LA MIRANDA, ,440026.43,4651925.69,Producció i reproducció,Conills,Activa
2.275644011796812,42.017073945527152,199,GRANJA SALA-PGE. LA MIRANDA, ,440026.43,4651925.69,Producció i reproducció,Porcí,Activa
2.275644011796812,42.017073945527152,200,GRANJA SALA-PGE. LA MIRANDA, ,440026.43,4651925.69,Producció i reproducció,Èquids,Activa
2.280724173969108,41.994949608711231,201,RAMON COSTA, ,440426.41,4649465.68,Explotació per a la pràctica eqüestre,Cabrum,Activa
2.280724173969108,41.994949608711231,202,RAMON COSTA, ,440426.41,4649465.68,Explotació per a la pràctica eqüestre,Èquids,Activa
2.263283155764683,41.994478825564663,203,VIVET, ,438981.41,4649425.69,Explotació per a la pràctica eqüestre,Èquids,Activa
