OBJECTID,REF_CADA_1,DISTRICTE,SECCIó,BARRI_VE_1,ZONA,Shape__Area,Shape__Length
273,0902118DG,1,2,BAIX VILA,A,2.0838637e-08,0.000609088895305
274,0603101DG,1,1,DALT VILA,A,2.0846006e-08,0.000651426026069
275,0603107DG,1,1,DALT VILA,A,2.0855752e-08,0.000654755768591
276,0804402DG,2,3,DALT VILA,B,2.1091793e-08,0.000630195847777
277,0902012DG,1,2,BAIX VILA,A,2.1125845e-08,0.000657912176771
278,0906023DG,3,2,ERM,C,2.1232739e-08,0.000624418184549
279,1007013DG,3,2,EL PUIG,C,2.1299961e-08,0.00065406213705
280,0806061DG,2,3,DALT VILA,C,2.139176e-08,0.000669406463519
281,0704006DG,2,3,NOU,B,2.1610552e-08,0.000871590764652
282,0701021DG,1,1,BAIX VILA,A,2.1666553e-08,0.000722079024494
283,0901103DG,1,2,BAIX VILA,A,2.1698697e-08,0.000588373155506
284,0705041DG,2,3,NOU,C,2.2356491e-08,0.000674231891391
285,1103134DG,4,1,CAVALLERIA,B,2.1834225e-08,0.000602000717313
286,1006010DG,3,2,EL PUIG,C,2.1917342e-08,0.001197121936381
287,0802701DG,1,2,BAIX VILA,A,2.1956415e-08,0.000619064824927
288,1006016DG,3,2,EL PUIG,C,2.1987557e-08,0.00118860207622
289,0901524DG,1,2,BAIX VILA,A,2.206881e-08,0.001121532192681
290,0904038DG,2,3,DALT VILA,B,2.2112611e-08,0.000864118146124
291,0800020DG,1,2,BAIX VILA,A,2.2165671e-08,0.000649068664127
292,0702313DG,1,2,BAIX VILA,A,2.2326723e-08,0.000605847186131
293,0603103DG,1,1,DALT VILA,A,2.2473167e-08,0.000975661957587
294,1103116DG,4,1,CAVALLERIA,B,2.2652391e-08,0.000819647818965
295,0906021DG,3,2,ERM,C,2.2655123e-08,0.000651107700771
296,0900002DG,1,2,BAIX VILA,A,2.2710641e-08,0.000762419895596
297,0603008DG,1,1,DALT VILA,A,2.2781852e-08,0.0006083749803
298,0902114DG,1,2,BAIX VILA,A,2.2812931e-08,0.000778523657551
299,0801002DG,1,2,BAIX VILA,A,2.2305104e-08,0.000605877814327
300,0701024DG,1,1,BAIX VILA,A,2.2900438e-08,0.000764990297125
301,0703305DG,2,3,DALT VILA,B,2.3231807e-08,0.000760233557597
302,0803807DG,1,2,BAIX VILA,A,2.341153e-08,0.000658237846503
303,0807703DG,2,4,ERM,C,2.3416859e-08,0.000665378204412
304,0902111DG,1,2,BAIX VILA,A,2.2023592e-08,0.000629298944488
305,0603007DG,1,1,DALT VILA,A,2.3578595e-08,0.000646722375606
306,0503007DG,1,1,BAIX VILA,A,2.3611611e-08,0.000672010748184
307,0801001DG,1,2,BAIX VILA,A,2.372797e-08,0.000729528040642
308,0804107DG,2,3,NOU,B,2.4077351e-08,0.000623962862965
309,0806039DG,2,3,DALT VILA,B,2.4083144e-08,0.000850845408053
310,0904037DG,2,3,DALT VILA,B,2.4083475e-08,0.000818294423873
311,0804407DG,2,3,DALT VILA,B,2.4154674e-08,0.000727196263127
312,0904031DG,2,3,DALT VILA,B,2.4215466e-08,0.000642438564099
313,1006014DG,3,2,EL PUIG,C,2.4252736e-08,0.001182001397385
314,1006015DG,3,2,EL PUIG,C,2.4325154e-08,0.001189804887313
315,1006017DG,3,2,EL PUIG,C,2.442303e-08,0.001215812252377
316,0602052DG,1,1,BAIX VILA,A,2.4466933e-08,0.000981310822843
317,0904030DG,2,3,DALT VILA,B,2.4468714e-08,0.000651819340072
318,1003014DG,4,1,CAVALLERIA,B,2.4759283e-08,0.000788848314209
319,0903607DG,1,2,BAIX VILA,B,2.5412258e-08,0.000908617585338
320,1006011DG,3,2,EL PUIG,C,2.4549992e-08,0.001202992821849
321,0602014DG,1,1,BAIX VILA,A,2.4583699e-08,0.000813058545585
322,0901112DG,1,2,BAIX VILA,A,2.4714433e-08,0.000761329905085
323,1006007DG,3,2,EL PUIG,C,2.4918296e-08,0.001267983564545
324,0801012DG,1,2,BAIX VILA,A,2.4948132e-08,0.000640599906461
325,0901521DG,1,2,BAIX VILA,A,2.5031541e-08,0.000813625087682
326,0603005DG,1,1,DALT VILA,A,2.508525e-08,0.000717509402876
327,0904042DG,2,3,DALT VILA,B,2.5248835e-08,0.00083044644939
328,0503025DG,1,1,BAIX VILA,A,2.5429623e-08,0.000643278045571
329,0502008DG,1,1,BAIX VILA,A,2.5470084e-08,0.00078354704055
330,1006006DG,3,2,EL PUIG,C,2.5513208e-08,0.001281271246647
331,0701025DG,1,1,BAIX VILA,A,2.5563305e-08,0.000779104371481
332,0502004DG,1,1,BAIX VILA,A,2.5586015e-08,0.001033979548196
333,1006008DG,3,2,EL PUIG,C,2.5593898e-08,0.00127043938905
334,1006012DG,3,2,EL PUIG,C,2.5694469e-08,0.001202892076817
335,0602018DG,1,1,BAIX VILA,A,2.5808636e-08,0.000955878689557
336,0804105DG,2,3,NOU,B,2.5846526e-08,0.000714558643923
337,0806057DG,2,3,DALT VILA,C,2.4313526e-08,0.000639718787405
338,0602051DG,1,1,BAIX VILA,A,2.6045431e-08,0.000955432319199
339,1006020DG,3,2,EL PUIG,C,2.6075574e-08,0.001305077289009
340,0701019DG,1,1,BAIX VILA,A,2.6084809e-08,0.000753343325644
341,0802707DG,1,2,BAIX VILA,A,2.6104409e-08,0.000669570961236
342,1006022DG,3,2,EL PUIG,C,2.6192881e-08,0.001382414066711
343,0603104DG,1,1,DALT VILA,A,2.6238291e-08,0.000861299415277
344,0902112DG,1,2,BAIX VILA,A,2.633696e-08,0.0007042615297
345,1103123DG,4,1,CAVALLERIA,B,2.6382061e-08,0.000697980086297
346,0902115DG,1,2,BAIX VILA,A,2.640889e-08,0.000734792574413
347,1006018DG,3,2,EL PUIG,C,2.6479908e-08,0.001239977883187
348,1006021DG,3,2,EL PUIG,C,2.6510636e-08,0.001360345230426
349,0902122DG,1,2,BAIX VILA,A,2.6512768e-08,0.000734004562992
350,0502001DG,1,1,BAIX VILA,A,2.6624891e-08,0.00074143540971
351,0602007DG,1,1,BAIX VILA,A,2.6803869e-08,0.000848266088949
352,0902702DG,1,2,BAIX VILA,A,2.6851641e-08,0.000776589050726
353,1008504DG,3,3,ERM,C,2.6853876e-08,0.000682093708096
354,0902706DG,1,2,BAIX VILA,A,2.7004649e-08,0.00092910349926
355,0701022DG,1,1,BAIX VILA,A,2.7103892e-08,0.000756006413122
356,0903613DG,1,2,BAIX VILA,B,2.7359189e-08,0.00082820697476
357,1103120DG,4,1,CAVALLERIA,B,2.7657386e-08,0.000738390274708
358,0602039DG,1,1,BAIX VILA,A,2.7689916e-08,0.000720680574535
359,0701018DG,1,1,BAIX VILA,A,2.7751151e-08,0.000766675687696
360,0704001DG,2,3,NOU,B,2.7907362e-08,0.000674428178736
361,0602005DG,1,1,BAIX VILA,A,2.8099205e-08,0.000848912484622
362,1103121DG,4,1,CAVALLERIA,B,2.8199324e-08,0.000732304450258
363,1003003DG,4,1,CAVALLERIA,B,2.8328056e-08,0.000731085319549
364,0604003DG,2,3,NOU,B,2.8489863e-08,0.000852626117614
365,0906013DG,3,2,ERM,C,2.8664629e-08,0.001008365293509
366,1007014DG,3,2,EL PUIG,C,2.8786237e-08,0.000838125912742
367,1003015DG,4,1,CAVALLERIA,B,2.8555144e-08,0.001240115004279
