OBJECTID,REF_CADA_1,DISTRICTE,SECCIó,BARRI_VE_1,ZONA,Shape__Area,Shape__Length
482,0903614DG,1,2,BAIX VILA,B,5.1513691e-08,0.001465322853384
483,0906014DG,3,2,ERM,C,5.1856904e-08,0.001553619751784
484,0702314DG,1,2,BAIX VILA,A,5.2451363e-08,0.000937002723458
485,0902020DG,1,2,BAIX VILA,A,5.3347098e-08,0.001077824080211
486,0701011DG,1,1,BAIX VILA,A,5.3474092e-08,0.001150791373383
487,0701002DG,1,1,BAIX VILA,A,5.3577224e-08,0.001079171700197
488,0601801DG,1,1,BAIX VILA,A,5.3723364e-08,0.001109408878789
489,1007016DG,3,2,EL PUIG,C,5.4964534e-08,0.000927446361882
490,0800025DG,1,2,BAIX VILA,A,5.6188447e-08,0.001173083158264
491,0604006DG,2,3,NOU,B,5.678308e-08,0.001223839259274
492,0803801DG,1,2,BAIX VILA,B,5.6809575e-08,0.001174061530567
493,0900015DG,1,2,BAIX VILA,A,5.7099827e-08,0.001286889677068
494,0604007DG,2,3,NOU,B,5.7942521e-08,0.001250498200281
495,0900014DG,1,2,BAIX VILA,A,5.8319827e-08,0.001307209937223
496,0502007DG,1,1,BAIX VILA,A,5.8787063e-08,0.001528670100813
497,0907003DG,3,3,ERM,C,6.0590354e-08,0.001279937332184
498,0900005DG,1,2,BAIX VILA,A,6.1527929e-08,0.001334402521674
499,0602016DG,1,1,BAIX VILA,A,6.1572335e-08,0.00123371493335
500,0900017DG,1,2,BAIX VILA,A,6.1769704e-08,0.001499173258496
501,0502006DG,1,1,BAIX VILA,A,6.2331469e-08,0.001584253835028
502,1003013DG,4,1,CAVALLERIA,B,6.2506011e-08,0.001445611352047
503,0901516DG,1,2,BAIX VILA,A,6.326311e-08,0.001435499140871
504,0701026DG,1,1,BAIX VILA,A,6.3546012e-08,0.001031100243193
505,0602058DG,1,1,BAIX VILA,A,6.4045327e-08,0.001018758445586
506,0807702DG,2,4,ERM,C,6.4218149e-08,0.001201225904046
507,0602017DG,1,1,BAIX VILA,A,6.5158457e-08,0.00114930938566
508,0804106DG,2,3,NOU,B,6.5463245e-08,0.001125984021833
509,1006023DG,3,2,EL PUIG,C,6.6325569e-08,0.00162398956412
510,0900018DG,1,2,BAIX VILA,A,6.6704141e-08,0.001467514344485
511,0902016DG,1,2,BAIX VILA,A,6.7135804e-08,0.001318746230799
512,0902013DG,1,2,BAIX VILA,A,6.7168017e-08,0.001381155184232
513,0601007DG,1,1,BAIX VILA,A,6.8207153e-08,0.001622659688673
514,0601803DG,1,1,BAIX VILA,A,7.004286e-08,0.001237468414999
515,0906043DG,3,2,ERM,C,7.194023e-08,0.001148350707566
516,0701029DG,1,1,BAIX VILA,A,7.1981008e-08,0.001174929713962
517,0702302DG,1,2,BAIX VILA,A,8.3983479e-08,0.001293230495407
518,1003002DG,4,1,CAVALLERIA,B,7.2251996e-08,0.001406103765841
519,0902116DG,1,2,BAIX VILA,A,7.2336159e-08,0.001494342099188
520,0602050DG,1,1,BAIX VILA,A,7.2961801e-08,0.001140623957242
521,0701027DG,1,1,BAIX VILA,A,7.3357004e-08,0.001172310763956
522,0800005DG,1,2,BAIX VILA,A,7.4290243e-08,0.00115205136826
523,0601001DG,1,1,BAIX VILA,A,7.4407408e-08,0.001353933129404
524,0702304DG,1,2,BAIX VILA,A,8.3586273e-08,0.00143810025214
525,0900007DG,1,2,BAIX VILA,A,7.5274969e-08,0.001600024047395
526,0800023DG,1,2,BAIX VILA,A,7.5345591e-08,0.001721779559298
527,0900016DG,1,2,BAIX VILA,A,7.7832265e-08,0.001545622447147
528,0900025DG,1,2,BAIX VILA,A,8.0491114e-08,0.001151331499118
529,0704009DG,2,3,NOU,B,8.1244124e-08,0.001194212899345
530,0900006DG,1,2,BAIX VILA,A,8.1365255e-08,0.001645293196247
531,0602042DG,1,1,BAIX VILA,A,8.3790798e-08,0.001223184016301
532,0800021DG,1,2,BAIX VILA,A,8.4078886e-08,0.001751752390823
533,0800022DG,1,2,BAIX VILA,A,8.4117013e-08,0.001723481594036
534,0803301DG,2,3,DALT VILA,B,8.4340297e-08,0.001244938144108
535,0601806DG,1,1,BAIX VILA,A,8.4537081e-08,0.001243197928045
536,0903102DG,2,3,DALT VILA,B,8.758406e-08,0.001520356821789
537,0602057DG,1,1,BAIX VILA,A,8.9330942e-08,0.001302583695864
538,0602061DG,1,1,BAIX VILA,A,9.2225788e-08,0.001376878613625
539,0602028DG,1,1,BAIX VILA,A,9.5655604e-08,0.001585103725005
540,0906044DG,3,2,ERM,C,1.00952501e-07,0.001459885860559
541,0601804DG,1,1,BAIX VILA,A,1.01837459e-07,0.001367506638742
542,1003018DG,4,1,CAVALLERIA,B,1.03643199e-07,0.001519334637066
543,0601805DG,1,1,BAIX VILA,A,1.04218076e-07,0.001336882963923
544,0900029DG,1,2,BAIX VILA,A,1.04309283e-07,0.001587356324542
545,1003008DG,4,1,CAVALLERIA,B,1.06831881e-07,0.001590635031379
546,0900023DG,1,2,BAIX VILA,A,1.08407727e-07,0.001395279189845
547,0602037DG,1,1,BAIX VILA,A,1.08900529e-07,0.001533780080915
548,0807701DG,2,4,ERM,C,1.12462426e-07,0.001363274310154
549,0800030DG,1,2,BAIX VILA,A,1.1821605e-07,0.001489828597215
550,0604008DG,2,3,NOU,B,1.23324052e-07,0.00143359385857
551,0800001DG,1,2,BAIX VILA,A,1.35457216e-07,0.001524266
552,0906001DG,3,2,ERM,C,1.41035435e-07,0.002487727401161
553,0900022DG,1,2,BAIX VILA,A,1.42518928e-07,0.001764069002651
554,0900021DG,1,2,BAIX VILA,A,1.54305807e-07,0.001676153990633
555,0907004DG,3,3,ERM,C,1.62212969e-07,0.001999178744297
556,0900026DG,1,2,BAIX VILA,A,1.65194226e-07,0.002063508017176
557,0601004DG,1,1,BAIX VILA,A,1.76401005e-07,0.001882445211505
558,0602041DG,1,1,BAIX VILA,A,1.87619707e-07,0.002550844612311
559,0903101DG,2,3,DALT VILA,B,1.95893066e-07,0.001807983531894
560,0703301DG,2,3,DALT VILA,B,1.98652587e-07,0.002078862883993
561,0801005DG,1,2,BAIX VILA,A,2.56674292e-07,0.002599420428879
562,0601807DG,1,1,BAIX VILA,A,2.75365034e-07,0.002667994731707
563,0603009DG,1,1,DALT VILA,B,2.80999913e-07,0.002236014843754
564,0800002DG,1,2,BAIX VILA,A,3.10901042e-07,0.002361800329015
565,0701015DG,1,1,BAIX VILA,A,5.49549557e-07,0.002957814056925
566,0601002DG,1,1,BAIX VILA,A,6.63237532e-07,0.00490533761234
567,0704012DG,2,3,NOU,B,3.1000562e-08,0.000815763759358
568,0902106DG,1,2,BAIX VILA,B,2.5657141e-08,0.000749879722441
569,0705042DG,2,3,NOU,B,1.9113955e-08,0.000593321638842
570,0704013DG,2,3,NOU,B,1.8876724e-08,0.000638813351519
571,0805044DG,2,3,NOU,B,3.838789e-09,0.000265090300559
572,0904035DG,2,3,DALT VILA,B,2.1083901e-08,0.000923844815483
573,0904036DG,2,3,DALT VILA,B,1.6641772e-08,0.000914132623151
574,0803601DG,1,2,BAIX VILA,A,4.8948474e-08,0.000893478968293
575,0901122DG,1,2,BAIX VILA,A,7.0835501e-08,0.0013790101869
576,0602023DG,1,1,BAIX VILA,A,1.45680446e-07,0.002568839967547
577,0704005DG,2,3,NOU,B,4.4101394e-08,0.000984540472877
578,0704043DG,2,3,NOU,B,1.0906895e-08,0.000532628947053
579,0704003DG,2,3,NOU,B,2.627152e-08,0.000690909708194
580,0704002DG,2,3,NOU,B,1.0880932e-08,0.000536867691533
581,0704044DG,2,3,NOU,B,1.0844105e-08,0.000522522240208
582,0704045DG,2,3,NOU,B,1.0668455e-08,0.000515879077274
583,0702315DG,1,2,BAIX VILA,A,5.7109835e-08,0.001009842563677
584,1003020DG,4,1,CAVALLERIA,B,4.9273885e-08,0.001392563554111
585,0604002DG,2,3,NOU,B,4.8487681e-08,0.00088449775862
586,0902716DG,1,2,BAIX VILA,A,2.5197637e-08,0.000735740699036
587,0602003DG,1,1,BAIX VILA,A,1.4447258e-08,0.000769183046286
588,0901527DG,1,2,BAIX VILA,A,1.812792e-08,0.000960334917794
589,0906037DG,3,2,ERM,C,1.4016997e-08,0.000501291230277
