Entitat,WEB,FID
Associació Cultural dels Serpents de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-cultural-dels-serpents-de-manlleu/,23
Associació cultural Pro Ateneu Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-cultural-pro-ateneu-manlleu/,24
Associació d’amics del Santuari de Puig-Agut de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-damics-del-santuari-de-puig-agut-de-manlleu/,25
Associació d’Empresaris de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-dempresaris-de-manlleu/,26
Associació de familiars i malalts d’Alzheimer d’Osona,http://entitatsmanlleu.cat/diba_entitat/associacio-de-familiars-i-malalts-dalzheimer-dosona/,27
Associacio d’Osona per la Pau Jameiat Essalam,http://www.entitatsmanlleu.cat/diba_entitat/associacio-dosona-per-la-pau-jameiat-essalam/,28
Associació de Donants de Sang d’Osona. Delegació a Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-donants-de-sang-dosona-delegacio-a-manlleu/,29
Associació de Gent Gran del Casal de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-gent-gran-del-casal-de-manlleu/,30
Associació de Ghanesos a Osona. Delegació a Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-ghanesos-a-osona-delegacio-a-manlleu/,31
Associació de pescadors esportius de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-pescadors-esportius-de-manlleu/,32
Associacio de Puntaires de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-puntaires-de-manlleu/,33
Associació de Sant Antoni Abat – Tonis de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-sant-antoni-abat-tonis-manlleu/,34
Associació de Veïns de la Coromina de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-veins-de-la-coromina-de-manlleu/,35
Associació de veïns del barri Baix Vila,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-veins-barri-de-baix-vila/,36
Associació de veïns del barri de Gràcia,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-veins-del-barri-de-gracia/,37
Associació de veïns del barri de l’Erm,http://www.entitatsmanlleu.cat/diba_entitat/associacio-veins-barri-de-lerm/,38
Associació de veïns del Barri del Puig,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-veins-del-barri-el-puig/,39
Associació de veïns del barri Vilamirosa,http://www.entitatsmanlleu.cat/diba_entitat/associacio-veins-del-barri-vilamirosa/,40
Associació de veïns del veïnat de Vista Alegre,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-veins-del-veinat-de-vista-alegre/,41
Associació Dones solidàries de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-dones-solidaries-de-manlleu/,42
Associació Educativocultural L’Ordit,http://www.entitatsmanlleu.cat/diba_entitat/associacio-educativocultural-lordit/,43
Associació Mares Món,http://www.entitatsmanlleu.cat/diba_entitat/associacio-mares-mon/,44
Associació Músic Cultural Rock House Osona,http://www.entitatsmanlleu.cat/diba_entitat/associacio-music-cultural-rock-house-osona/,45
Associació Osona en Dansa,http://www.entitatsmanlleu.cat/diba_entitat/associacio-osona-en-dansa/,46
Associació pel desenvolupament de Kita Oest a Catalunya,http://www.entitatsmanlleu.cat/diba_entitat/associacio-pel-desenvolupament-de-kita-oest-a-catalunya-2/,47
Associació per les Tradicions Populars Catalanes ‘El Serpent de Manlleu’,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-tradicions-populars-catalanes-el-serpent-de-manlleu/,48
Associació sardanista Colla Núria,http://www.entitatsmanlleu.cat/diba_entitat/associacio-sardanista-colla-nuria/,49
Associació síndrome d’Asperger d’Osona,http://manlleu.ppe.entitats.diba.cat/directori-entitats/Associaci%C3%B3 s%C3%ADndrome d%E2%80%99Asperger d%E2%80%99Osona,50
Associación Benéfica Buen Samaritano para las Naciones,http://www.entitatsmanlleu.cat/diba_entitat/associacion-benefica-buen-samaritano-para-las-naciones/,51
ASVAT – Associació de Veterans Antics Treballadors,http://www.entitatsmanlleu.cat/diba_entitat/asvat-associacio-de-veterans-antics-treballadors/,52
Bisbat de Vic Fraternitat cristiana de malalts,http://www.entitatsmanlleu.cat/diba_entitat/bisbat-de-vic-fraternitat-cristiana-de-malalts/,53
Casal Popular Boira Baixa,http://www.entitatsmanlleu.cat/diba_entitat/associacio-juvenil-casal-popular-del-jovent-de-manlleu-boira-baixa/,54
CITE – Centre d’informacio per a treballadors estrangers,http://www.entitatsmanlleu.cat/diba_entitat/centre-dinformacio-per-a-treballadros-estrangers/,55
Club Bàsquet de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/club-basquet-de-manlleu/,56
Club Ciclista Manlleuenc,http://www.entitatsmanlleu.cat/diba_entitat/club-ciclista-manlleuenc/,57
Club Esportiu Farres Off Road,http://www.entitatsmanlleu.cat/diba_entitat/club-esportiu-farres-off-road/,58
Club esportiu Futbol Sala Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/unio-esportiva-de-futbol-sala-manlleu/,59
Club Hípica Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/club-hipica-manlleu/,60
Club Olímpic Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/club-olimpic-manlleu-2/,61
Club Patí Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/club-pati-manlleu/,62
Club Tennis de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/club-tennis-de-manlleu/,63
Colla castellera Nyerros de la plana,http://www.entitatsmanlleu.cat/diba_entitat/colla-castellera-nyerros-de-la-plana/,64
Colla gegantera i grallera de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-colla-gegantera-i-grallera-de-manlleu/,65
Col·lectiu Artístic La Solitària,http://www.entitatsmanlleu.cat/diba_entitat/col%C2%B7lectiu-artistic-la-solitaria/,66
Cordhomes,http://www.entitatsmanlleu.cat/diba_entitat/cordhomes/,67
Coral Regina,http://www.entitatsmanlleu.cat/diba_entitat/coral-regina/,68
Coral Serpencanta,http://www.entitatsmanlleu.cat/diba_entitat/associacio-coral-serpencanta/,69
Creu Roja Osona,http://www.entitatsmanlleu.cat/diba_entitat/creu-roja-osona/,70
Església Evangèlica Baptista de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/esglesia-evangelica-baptista-de-manlleu/,71
Foment Mercantil i Industrial de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/foment-mercantil-i-industrial-de-manlleu/,72
Fundació privada Pau i Solidaritat,http://www.entitatsmanlleu.cat/diba_entitat/fundacio-privada-pau-i-solidaritat-2/,73
Fundació Privada Promoció i Desenvolupament – PROIDE,http://entitatsmanlleu.cat/diba_entitat/fundacio-privada-promocio-i-desenvolupament-proide/,74
Grup de Defensa del Ter,http://www.entitatsmanlleu.cat/diba_entitat/grup-de-defensa-del-ter/,75
Grup Excursionista Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/grup-excursionista-manlleu/,76
Grup fotogràfic Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/grup-fotografic-manlleu/,77
Grup sardanista ocellets del ter,http://www.entitatsmanlleu.cat/diba_entitat/grup-sardanista-ocellets-del-ter/,78
Hook School Club Boxa Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/hook-school-club-boxa-manlleu/,79
Hospitalitat de la Mare de Déu de Lourdes,http://www.entitatsmanlleu.cat/diba_entitat/hospitalitat-de-la-mare-de-deu-de-lourdes/,80
Iglesia Evangélica Su Mejor Vida,http://entitatsmanlleu.cat/diba_entitat/iglesia-evangelica-su-mejor-vida/,81
Joventut Obrera Cristiana,http://www.entitatsmanlleu.cat/diba_entitat/manlleu-associacio-de-botiguers-mab/,82
La Lliga de la llet de Catalunya,http://www.entitatsmanlleu.cat/diba_entitat/manlleu-associacio-de-botiguers-mab/,83
Manlleu Associació de Botiguers (MAB),http://www.entitatsmanlleu.cat/diba_entitat/manlleu-associacio-de-botiguers-mab/,84
Manlleu Esquí Club,http://www.entitatsmanlleu.cat/diba_entitat/manlleu-esqui-club/,85
Mans unides Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/mans-unides/,86
Minyons escoltes i guies St. Jordi de Catalunya Agrupament escola i guia Arrels,http://www.entitatsmanlleu.cat/diba_entitat/minyons-escoltes-i-guies-st-jordi-de-catalunya-agrupament-escola-i-guia-arrels/,87
Nàiades-Cor de Noies,http://www.entitatsmanlleu.cat/diba_entitat/naiades-corde-noies/,88
Osona Contra el Càncer,http://www.entitatsmanlleu.cat/diba_entitat/associacio-osona-contra-el-cancer/,89
Patronat del Casal de Gràcia,http://www.entitatsmanlleu.cat/diba_entitat/patronat-del-casal-de-gracia,90
Penya Barcelonista de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/penya-barcelonista-de-manlleu/,91
Penya taurina manlleuenca,http://www.entitatsmanlleu.cat/diba_entitat/penya-taurina-manlleuenca/,92
Societat de Caçadors de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/societat-de-cacadors-de-manlleu/,93
Teatre Centre Manlleu Associació Cultural,http://www.entitatsmanlleu.cat/diba_entitat/teatre-centre-manlleu-associacio-cultural/,94
