codi,Nom_centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2012,F2013,F2014,F2015,F2016,FID
EP16,ROMA S/N 4,Electricitat Quadres d'enllumenat,kWh,ES0031446460918001WX0F,ENDESA ENERGÍA S.A.U.,409264621,,23975,36598,74218,53022,42544,110
EQU11,CENTRE EL CANAL,Electricitat dependències,kWh,ES0031446462915001AN0F,ENDESA ENERGÍA S.A.U.,426019117,,0,0,54546,59166,40024,111
EP17,PLAÇA ST HIGINI SN COSTAT Nº3,Electricitat Quadres d'enllumenat,kWh,ES0031446461358001LC0F,ENDESA ENERGÍA S.A.U.,409345890,,49589,48844,49339,50862,50720,112
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,kWh,ES0031448408626001VE0F,ENDESA ENERGÍA S.A.U.,430304805,,0,0,0,13148,42372,113
EP18,PLAÇA FRA BERNADI S/N,Electricitat Quadres d'enllumenat,kWh,ES0031446461073001WJ0F,GAS NATURAL FENOSA,1139242283,08/01/2013,7269,0,0,0,0,114
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,kWh,ES0031448467664001HN0F,ENDESA ENERGÍA S.A.U.,430304737,,0,0,0,0,0,115
EP20,HORTA FONTS/N,Electricitat Quadres d'enllumenat,kWh,ES0031446447789001JP0F,ENDESA ENERGÍA S.A.U.,409329335,,40851,39550,36127,35306,35294,116
EP23,PASSEIG TER SN DAVANT Nº30,Electricitat Quadres d'enllumenat,kWh,ES0031446449168001PC0F,ENDESA ENERGÍA S.A.U.,409329870,,55764,56403,45110,31440,27235,117
ESC01,ESCOLA PUIG-AGUT,Electricitat dependències,kWh,ES0031446458586001HA0F,ENDESA ENERGÍA S.A.U.,409341657,,70896,55896,63879,46934,58797,118
EP24,PASSEIG TER S/N DAVANT SAFARE,Electricitat Quadres d'enllumenat,kWh,ES0031446450655001PR0F,ENDESA ENERGÍA S.A.U.,409264967,,16456,15406,16924,16677,17202,119
ESC03,ESCOLA POMPEU FABRA,Electricitat dependències,kWh,ES0031446454055001JA0F,ENDESA ENERGÍA S.A.U.,409341934,,77946,70115,70675,61806,77115,120
ESC06,ESCOLA TALLER CAN PATALLARGA,Electricitat dependències,kWh,ES0031408090662001CX0F,ENDESA ENERGÍA S.A.U.,409322385,,3321,740,870,44,180,121
EP25,PASSEIG SANT JOAN S/N,Electricitat Quadres d'enllumenat,kWh,ES0031446449246001LG0F,ENDESA ENERGÍA S.A.U.,409330403,,54101,52434,54308,57689,57968,122
ESC07,TRIPIJOC,Electricitat dependències,kWh,ES0031446461139001CA0F,ENDESA ENERGÍA S.A.U.,409342166,,8120,8124,5777,5874,6160,123
EP26,SANT JOAN 70-19,Electricitat Quadres d'enllumenat,kWh,ES0031446461032001JE0F,ENDESA ENERGÍA S.A.U.,409265225,,28985,29143,29640,33578,30350,124
ESC08,SIDRAL-PATALARGA,Electricitat dependències,kWh,ES0031446475434001NC0F,ENDESA ENERGÍA S.A.U.,409245206,,12252,2730,0,0,0,125
EP27,PINTOR GUARDIA S/N COSTAT Nº9,Electricitat Quadres d'enllumenat,kWh,ES0031446459433001KM0F,ENDESA ENERGÍA S.A.U.,409330996,,76659,72529,74883,72211,71492,126
ESC09,LLAR D'INFANTS COLORS,Electricitat dependències,kWh,ES0031448197295001YZ0F,ENDESA ENERGÍA S.A.U.,409342699,,34915,39078,39139,35898,38166,127
EP28,MIRIANA SN DAVANT Nº8,Electricitat Quadres d'enllumenat,kWh,ES0031408411383001VV0F,ENDESA ENERGÍA S.A.U.,409240291,,20450,13386,25699,19915,20074,128
ESC10,ESCOLA QUATRE VENTS,Electricitat dependències,kWh,ES0031408176567001GX0F,ENDESA ENERGÍA S.A.U.,409323314,,64582,52982,59413,63427,62927,129
EP29,BORINA S/N,Electricitat Quadres d'enllumenat,kWh,ES0031446451871001TZ0F,ENDESA ENERGÍA S.A.U.,409250615,,14986,16266,15368,16187,15124,130
ESC12,ESCOLA D'ADULTS,Electricitat dependències,kWh,ES0031408457953001HP0F,ENDESA ENERGÍA S.A.U.,409324098,,35311,30207,21552,22790,23636,131
EP30,CAVALLERIA.62 NUM 22,Electricitat Quadres d'enllumenat,kWh,ES0031408466042002KR0F,ENDESA ENERGÍA S.A.U.,430296001,,0,0,0,7847,14394,132
