codi,Centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
ENT02,MUSEU INDUSTRIAL DEL TER,Electricitat dependències,Kwh,ES0031448075719001EJ0F,ENDESA ENERGÍA S.A.U.,82033932968,,,,,,21495,111288,67
REG01,BOCA REG CTRA. OLOT,Aigua,m3,,SOREA,4755786,08/06/2011,97,31,,,,,68
ENT05,EMBARCADOR DEL TER,Electricitat dependències,Kwh,ES0031448081552001XY0F,ENDESA ENERGÍA S.A.U.,82013623144,,7148,4767,5519,5109,5528,5685,69
REG04,GIRATORI BENVINGUDES,Aigua,m3,,SOREA,4755793,08/06/2011,109,42,,,,,70
REG05,BOCA REG C/ BELLFORT,Aigua,m3,,SOREA,4755794,08/06/2011,0,0,,,,,71
ENT07,LLAR DE JUBILATS-ASVAT,Electricitat dependències,Kwh,ES0031446461088001XV0F,ENDESA ENERGÍA S.A.U.,82013716349,,79181,60939,69344,66835,61357,65091,72
ENT08,UEC I TRIS-TRAS,Electricitat dependències,Kwh,ES0031448378663001KL0F,ENDESA ENERGÍA S.A.U.,82013716767,,11883,4353,11455,9344,9697,9239,73
REG06,BOCA REG C/ PINTOR GUARDIA,Aigua,m3,,SOREA,4755797,08/06/2011,0,0,,,,,74
EQU01,MERCAT MUNICIPAL,Electricitat dependències,Kwh,ES0031448443599003FY0F,ENDESA ENERGÍA S.A.U.,82013614910,,,128,294,171,138,130,75
REG23,BOCA REG CTRA D'OLOT,Aigua,m3,,SOREA,4755851,08/06/2011,4,7,,,,,76
EQU01,MERCAT MUNICIPAL,Electricitat dependències,Kwh,ES0031448443599002FM0F,ENDESA ENERGÍA S.A.U.,82013717380,,,1214,4619,4775,4245,4430,77
REG24,BOCA REG VIA AUSETANIA,Aigua,m3,,SOREA,4755812,08/06/2011,0,0,,,,,78
EQU02,COMPORTA CANAL,Electricitat dependències,Kwh,ES0031446453780001QZ0F,ENDESA ENERGÍA S.A.U.,82013615266,,888,1002,1144,1168,1169,1168,79
REG35,BOCA REG CTRA OLOT,Aigua,m3,,SOREA,4755809,08/06/2011,952,3,,,,,80
EQU03,ESCOMESA RESCLOSA TEULA I ENLLUMENAT PÚBLIC DOLCET,Electricitat dependències,Kwh,ES0031408337087001ZC0F,ENDESA ENERGÍA S.A.U.,82013620770,,2556,7577,8364,13649,3670,3652,81
REG36,BOCA REG PL. FONT DE TARRES,Aigua,m3,,SOREA,4755846,08/06/2011,2,3,,,,,82
EQU04,TURBINES LES 3 FÀBRIQUES,Electricitat dependències,Kwh,ES0031408359020001CJ0F,ENDESA ENERGÍA S.A.U.,82013699909,,7893,481,12658,5574,4200,5067,83
