X,Y,OBJECTID,Data_incor,Mes,Expedient,Sexe,Edat,Municipi,Franja_eda,Barri
2.283973794150638,42.001041486165164,214,15/04/2015,abril,S,Dona,55,Manlleu,55 a 64 anys,Dalt Vila
2.291805414789052,42.009255988666311,215,15/04/2015,abril,S,Home,36,Manlleu,35 a 44 anys,La Coromina
2.285257447021733,42.007417612907787,216,20/04/2015,abril,S,Home,35,Manlleu,35 a 44 anys,Erm
2.285257447021733,42.007417612907787,217,22/04/2015,abril,S,Dona,34,Manlleu,25 a 34 anys,Erm
2.279067203396399,42.004731733241947,218,21/04/2015,abril,S,Home,25,Manlleu,25 a 34 anys,Vilamirosa
2.285257447021733,42.007417612907787,219,27/04/2015,abril,S,Home,42,Manlleu,35 a 44 anys,Erm
2.282097921590838,42.002046867599432,220,22/04/2015,abril,S,Home,22,Manlleu,16 a 24 anys,Nou
2.282097921590838,42.002046867599432,221,27/04/2015,abril,S,Home,53,Manlleu,45 a 54 anys,Nou
2.285257447021733,42.007417612907787,222,22/04/2015,abril,S,Home,44,Manlleu,35 a 44 anys,Erm
2.288249379291947,41.999993287439544,223,27/04/2015,abril,S,Home,18,Manlleu,16 a 24 anys,Cavalleria
2.282097921590838,42.002046867599432,224,29/04/2015,abril,S,Home,18,Manlleu,16 a 24 anys,Nou
2.272945362689204,42.001253277311783,225,27/04/2015,abril,S,Dona,24,Manlleu,16 a 24 anys,Gràcia
2.285257447021733,42.007417612907787,226,30/04/2015,abril,S,Dona,28,Manlleu,25 a 34 anys,Erm
2.288864333846581,42.003979788014355,227,30/04/2015,abril,S,Home,38,Manlleu,35 a 44 anys,El Puig
2.282097921590838,42.002046867599432,228,29/04/2015,abril,S,Home,18,Manlleu,16 a 24 anys,Nou
2.285257447021733,42.007417612907787,229,29/04/2015,abril,S,Home,41,Manlleu,35 a 44 anys,Erm
2.279067203396399,42.004731733241947,230,30/04/2015,abril,S,Home,31,Manlleu,25 a 34 anys,Vilamirosa
2.283686186496929,41.998779363903637,231,04/05/2015,maig,S,Home,47,Manlleu,45 a 54 anys,Baix Vila
2.279067203396399,42.004731733241947,232,30/04/2015,abril,S,Dona,38,Manlleu,35 a 44 anys,Vilamirosa
