NUM_BIEN,ORDEN,NOMBRE,UTILIZACION,SUPERFICIE_TITULO,AÑO_CONSTRUCCION,SITUACION,LON,LAT,ENTIDAD
"1160","1","Edificio de lavadero en Barrio Cerca de Arriba - Porceyo","Lavadero","0","1960","Camín de la Fuente de San Feliz, 185. Porceyo (barrio Cerca de Arriba)","","","Ayuntamiento de Gijón/Xixón"
"1161","1","Edificio almacén en Barrio Cerca de Arriba - Porceyo","Almacén","64","1946","Camín de La Iglesia, 228. Porceyo (barrio La Cerca de Arriba)","","","Ayuntamiento de Gijón/Xixón"
"1162","1","Edificio antigua escuela de niñas - Roces","Sin uso (en ruinas)","0","0","Camín de La Braña, 19. Roces (barrio La Braña)","","","Ayuntamiento de Gijón/Xixón"
"1163","1","Edificio en Santurio (antigua escuela municipal)","Asociación de Vecinos San Jorge (Santurio)","552","1900","Camín de la Iglesia,556 - Santurio","","","Ayuntamiento de Gijón/Xixón"
"1167","1","Edificio antigua escuela rural de San Lorenzo - Somió","Centro Ocupacional y cesión a Asociación de Vecinos","252","1940","CMNO REHOGADO (SOMIO),   40 ANTIGUAS ESCUELAS","-5.618553078","43.548156879","Ayuntamiento de Gijón/Xixón"
"1168","1","Edificio lavadero en San Andrés de los Tacones","Lavadero","0","0","Camín de Serín vieyu. San Andrés de los Tacones (barrio Villar)","","","Ayuntamiento de Gijón/Xixón"
"1169","1","Edificio en Castiello de Bernueces (antiguo Centro Ocupacional Municipal)","Futura sede ADANSI y AV Bernueces","1325.82","0","Camín de la Iglesia, 118 - Bernueces","","","Ayuntamiento de Gijón/Xixón"
"1170","1","Edificio del Cementerio de Tremañes","Depósito","0","0","Camín del Cementerio, 1615 - La Picota","","","Ayuntamiento de Gijón/Xixón"
"1172","1","Antigua escuela rural en San Andrés de los Tacones","","0","0","Camín de les Escueles - Villar","","","Ayuntamiento de Gijón/Xixón"
"1173","1","Edificio capilla del Cementero Municipal de Valdornón","Capilla","0","1926","Camín del Cementerio, 14 - Santolaya","","","Ayuntamiento de Gijón/Xixón"
"1174","1","Lavadero en el Barrio de Sanlientes (Valdornón)","Lavadero público","0","1920","Camín del Llavaderu, 7. Valdornón (barrio Salientes)","","","Ayuntamiento de Gijón/Xixón"
"1175","1","Edificio del lavadero del Güeyu en Garbelles. Caldones","Lavadero público","0","1973","Camín Rial de Garbelles. Caldones (barrio Garbelles)","","","Ayuntamiento de Gijón/Xixón"
"1176","1","Edificio lavadero en Jove. Les Cabañes","Lavadero","0","1960","Camín de la Piquera, 33. Jove (barrio Les Cabañes)","","","Ayuntamiento de Gijón/Xixón"
"1177","1","Edificio de lavadero en Jove. Les Cabañes","","0","1940","Camín del Regatón, 524. Jove (barrio Les Cabañes)","","","Ayuntamiento de Gijón/Xixón"
"1178","1","Edificio del Centro Social de Leorio (Asociación de Vecinos San Antonio)","Asociación de Vecinos San Antonio de Leorio","0","1987","Camín del Sabeletu, 50","","","Ayuntamiento de Gijón/Xixón"
"1179","1","Edificio de la antigua escuela rural de Ruedes (Asociación de Vecinos la Magdalena de Ruedes)","Asociación de Vecinos La Magdalena (Ruedes)","0","1905","Carretera de Ruedes","","","Ayuntamiento de Gijón/Xixón"
"1183","1","Edificación en Barrio Aguda (Cenero)","Garaje","0","0","Barrio Aguda, s/n. Cenero","","","Ayuntamiento de Gijón/Xixón"
"1184","1","Lavadero en Tueya. Lavandera","Lavadero público","0","1940","Camín de Llavandera, 2975. Lavandera (barrio Tueya)","","","Ayuntamiento de Gijón/Xixón"
"1185","1","Lavadero en Llantones. Leorio","Lavadero público","0","1960","Camín de la Caleyona, 280. Leorio (barrio Llantones)","","","Ayuntamiento de Gijón/Xixón"
"1186","1","Edificio en el barrio de Fontaciera, La Pedrera (antigua escuela). Vivienda y Asociación Vecinos San Roque","Vivienda y Sociedad Cultural de Festejos","255","0","Camín de La Cuestona - Fontaciera","","","Ayuntamiento de Gijón/Xixón"
"1187","1","Lavadero en Fontaciera. La Pedrera","Lavadero público","0","1945","Carretera de Pinzales. Fontaciera (barrio la Pedrera)","","","Ayuntamiento de Gijón/Xixón"
"1188","1","Lavadero en Fontaciera. Fuente de La Esfollada. La Pedrera","Lavadero público","0","1950","Camín de la Esfollada. La Pedrera (barrio Fontaciera)","","","Ayuntamiento de Gijón/Xixón"
"1189","1","Lavadero de les Sevies. La Pedrera","Lavadero público","0","1950","Carretera AS-246 (Gijón-Langreo). La Pedrrera (barrio Arroyo)","","","Ayuntamiento de Gijón/Xixón"
"1191","1","Lavadero en Poago. Zarracina","Lavadero","0","0","Carretera de Veriña a San Andrés, 640. Poago (barrio Zarracina)","","","Ayuntamiento de Gijón/Xixón"
"1192","1","Lavadero en Ruedes","Lavadero público","0","1965","Carretera de La Figar. Ruedes","","","Ayuntamiento de Gijón/Xixón"
"1193","1","Edificio en el barrio de Cabuezo, Huerces, (antigua escuela municipal)","Asociación de Vecinos - Centro social","185","1910","Camín de Leorio, 2370 - Cagüezo","","","Ayuntamiento de Gijón/Xixón"
"1194","1","Lavadero en Lavandera. Tueya","Lavadero público","0","1920","Camín del Monte, 864. Lavandera (barrio Tueya)","","","Ayuntamiento de Gijón/Xixón"
"1195","1","Lavadero de La Arrionda. Leorio","Lavadero público","0","1950","Camín de la Arrionda, 80. Leorio (barrio Llantones)","","","Ayuntamiento de Gijón/Xixón"
"1196","1","Lavadero del Alamo. La Pedrera","Lavadero público","0","1929","Camín de la Fuente del Álamo. La Pedrera","","","Ayuntamiento de Gijón/Xixón"
"1197","1","Edificio de la antigua escuela rural de Mareo (Asociación de de Vecinos San Andrés de la Pedrera)","","429","1948","Barrio La Pedrera, 28","","","Ayuntamiento de Gijón/Xixón"
"1198","1","Lavadero en Frenso","Lavadero","0","1946","Camín de la Vegona a Montiana. Fresno (barrio Montiana)","","","Ayuntamiento de Gijón/Xixón"
"1204","1","Edificio antigua escuela rural de Granda (Asociación de Vecinos Santo Tomás de Granda)","Asociación de Vecinos Santo Tomás de Granda","315","1952","Camín del Medio, 28 - Granda de Riba","","","Ayuntamiento de Gijón/Xixón"
"1205","1","Edificio almacén en Barrio Granda de Arriba","Almacén","0","1906","Camín de Mareo a Granda, 2686. Granda (barrio Granda de Arriba)","","","Ayuntamiento de Gijón/Xixón"
"1206","1","Lavadero en Lavandera. El Monte","Lavadero público","0","1923","Camín del Monte, 2964. Lavandera (barrio El Monte)","","","Ayuntamiento de Gijón/Xixón"
"1207","1","Lavadero en Leorio. Mareo de Abajo","Lavadero público","0","1950","Camín de la Carbayera de Leorio, 985. Leorio. Mareo de Abajo","","","Ayuntamiento de Gijón/Xixón"
"1208","1","Edificio social en los huertos de ocio Vega de las Flores, parroquia de Leorio","Edificio social para los huertos de ocio.","134.4","2002","Camín de Cabuezo, 144 (Leorio. Mareo de Abajo)","","","Ayuntamiento de Gijón/Xixón"
"1209","1","Edificio antigua escuela rural en Bº Rioseco (Caldones)","Antigua escuela rural","130","1960","Camín de Rioseco, 5035. Caldones (barrio Rioseco)","","","Ayuntamiento de Gijón/Xixón"
"1210","1","Edificio antigua escuela rural en el Barriu La Iglesia. Caldones (Asociación de Vecinos Caldones).","Asociación de Vecinos y 2 viviendas","302","1965","Camín de la Llosa la Muria, 168 - Caldones","","","Ayuntamiento de Gijón/Xixón"
"1211","1","Lavadero de El Regatu, en Fano","Lavadero público","0","1923","Camín de Foncabado, 16. Fano","","","Ayuntamiento de Gijón/Xixón"
"1212","1","Lavadero en Pavierna. Poago","Lavadero","0","0","Camín de los Blancos, 285. Poago (barrio Pavierna)","","","Ayuntamiento de Gijón/Xixón"
"1213","1","Lavadero en Rioseco. Valdornón","Lavadero público","0","1940","Camín del Rescañu. Valdornón (barrio Rioseco)","","","Ayuntamiento de Gijón/Xixón"
"1214","1","Edificio principal en Rioseco-Deva, Apiario (Centro de Apicultura)","Apiario","0","0","Camín de Vicentín, 576. Deva (barrio Rioseco)","","","Ayuntamiento de Gijón/Xixón"
"1215","1","Lavadero de Barredo en Zalce. Fano","","0","1910","camín de la Boroñada, 213. Fano (barrio Zalce)","","","Ayuntamiento de Gijón/Xixón"
"1216","1","Edificio del Centro Social de Trubia (Centro Cultura Turruxón)","Centro Social","137.82","1996","Camín del Turrexón - Trubia","","","Ayuntamiento de Gijón/Xixón"
"1217","1","Lavadero en Rubín - Jove. Fuente del Cañu","Lavadero","0","1940","Camín de la Fuente del Cañu, 1075. Jove (barrio Rubín)","","","Ayuntamiento de Gijón/Xixón"
"1218","1","Lavadero en La Aldea. Santurio","Lavadero público","0","1920","Camín de Caldones, 783. Santurio (barrio de La Aldea)","","","Ayuntamiento de Gijón/Xixón"
"1219","1","Edificio Perrera de Serín - Albergue de animales.","Edificio de servicio","75.64","1997","Camín Real (Serín. Barrio La Cruciada)","","","Ayuntamiento de Gijón/Xixón"
"1219","2","Edificio Perrera de Serín, para depósitos y grupo de presión.","Depósitos de agua y grupo de presión","0","2008","Camín Real (Serín. Barrio La Cruciada)","","","Ayuntamiento de Gijón/Xixón"
"1219","3","Edificio Gatera de Serín - Albergue de animales","gatera","0","2011","Camín Real (Serín. Barrio La Cruciada)","","","Ayuntamiento de Gijón/Xixón"
"1220","1","Lavadero en La Reboria. San Andrés de los Tacones","Lavadero","0","0","Camín de Perullera. San Andrés de los Tacones (barrio La Reboria)","","","Ayuntamiento de Gijón/Xixón"
"1221","1","Lavadero de Xigues en barrio Espín - Serín","Lavadero","0","1930","Camín del Lavaderu de Xigües. Serín (barrio L´Espín)","","","Ayuntamiento de Gijón/Xixón"
"1222","1","Edificio en Serín (antigua escuela municipal)","Centro Cultural","0","0","Camín de Pasquín - L`Espín","","","Ayuntamiento de Gijón/Xixón"
"1223","1","Edificio en Serín. Centro Social Asociación de Vecinos y Amigos San Miguel (antigua casa de maestro de la escuela municipal)","Centro Social","91","0","Camín de Pasquín - L`Espín","","","Ayuntamiento de Gijón/Xixón"
"1225","1","Cabañas y nave multiusos de la Escuela de Fútbol de Mareo. Parroquia de Leorio","-Campus deportivo de la Escuela de Fútbol","0","0","Camín de Mareo a Granda, 645 - Barrio de Mareo","","","Ayuntamiento de Gijón/Xixón"
"1225","2","Edificio cafetería de la Escuela de Fútbol de Mareo. Parroquia de Leorio","Cafetería","0","0","Camín de Mareo a Granda, 645 - Barrio de Mareo","","","Ayuntamiento de Gijón/Xixón"
"1225","3","Edificio oficinas generales de la Escuela de Fútbol de Mareo. Parroquia de Leorio","Oficinas generales de las instalaciones","0","0","Camín de Mareo a Granda, 645 - Barrio de Mareo","","","Ayuntamiento de Gijón/Xixón"
"1225","4","Edificio principal de la escuela de Fútbol de Mareo. Parroquia de Leorio","","1870","0","Camín de Mareo a Granda, 645 - Barrio de Mareo","","","Ayuntamiento de Gijón/Xixón"
"1225","5","Edificio vestuarios de la Escuela de Fútbol de Mareo. Parroquia de Leorio","Vestuarios","0","0","Camín de Mareo a Granda, 645 - Barrio de Mareo","","","Ayuntamiento de Gijón/Xixón"
"1225","6","Nave para maquinaria en la Escuela de Fútbol de Mareo. Parroquia de Leorio","Almacen","0","0","Camín de Mareo a Granda, 645 - Barrio de Mareo","","","Ayuntamiento de Gijón/Xixón"
"1228","1","Lavadero en Castiello de Bernueces","Lavadero público","0","1946","Camín del Lavadero, 130. Castiello de Bernueces (barrio Bernueces)","","","Ayuntamiento de Gijón/Xixón"
"1230","1",""Torrexón de Veranes" - Ruinas de Torreón medieval, sito en la parroquia de Ceares, barrio de Trubia.","","163","0","Parroquia de Cenero -  Barrio de Trubia - Veranes","","","Ayuntamiento de Gijón/Xixón"
"1231","1","Local  en edificio en el barrio de San Antonio, Deva. Planta baja, extremo Sur del edificio","","67.45","0","Carretera de Pedroco, 56. Deva (barrio El Pedroco)","","","Ayuntamiento de Gijón/Xixón"
"1231","2","Local en edificio en el barrio de San Antonio, Deva. Planta baja, a la derecha de la finca nº 1 (edificio 01)","","60.16","0","Carretera de Pedroco, 56. Deva (barrio El Pedroco)","","","Ayuntamiento de Gijón/Xixón"
"1233","1","Lavadero de Foncabado. Fano","Lavadero público","0","1910","Camín de LLavandera, 519. Fano (barrio La Cuadra)","","","Ayuntamiento de Gijón/Xixón"
"1234","1","Lavadero en Lavandera. El Monte","","0","0","Camín del Monte, 2450. Lavandera (barrio El Monte)","","","Ayuntamiento de Gijón/Xixón"
"1244","1","Edificio  Principal.  Invernadero del Vivero en Cabueñes","Invernadero","171.86","0","Camín del Carbeyu, 90 (Cabueñes. Barrio Cefontes)","","","Ayuntamiento de Gijón/Xixón"
"1244","2","Edificio almacén del Vivero en Cabueñes","Almacén","4.1","0","Camín del Carbeyu, 90 (Cabueñes. Barrio Cefontes)","","","Ayuntamiento de Gijón/Xixón"
"1249","1","Edificio del Colegio de Educación Especial de Castiello de Bernueces","","0","0","Camín del Cotarón, 583 - Bernueces","","","Ayuntamiento de Gijón/Xixón"
"1264","1","Edificio Observatorio Astronómico Monte Deva","Observatorio Astronómico","0","0","PQUIA DEVA,      PARQUE NATURAL MONTEDEVA","","","Ayuntamiento de Gijón/Xixón"
"1276","1","Local en Carbainos. Cenero (edificio antiguas escuelas municipales)","Asociación de Vecinos L`Abadía de Cenero","64.87","2011","Carretera de Piñera. L´Abadía Cenero (barrio Aguda)","","","Ayuntamiento de Gijón/Xixón"
"1282","1","Lavadero, fuente y abrevadero en Veranes. Cenero","","0","0","","","","Ayuntamiento de Gijón/Xixón"
"1285","1","Lavadero de la Fuente del Granxu en Porceyo","","0","0","","","","Ayuntamiento de Gijón/Xixón"
"1286","1","Lavadero de Xarande, en Valdornón","lavadero","0","0","","","","Ayuntamiento de Gijón/Xixón"
