NOMBRE,CALLE,TIPO,NÚMERO ACCESOS
"CALLE BALAGON","BALAGON","CALLE","8"
"CALLE DONATO ARGUELLES","DONATO ARGUELLES","CALLE","18"
"CALLE CRUCES","CRUCES","CALLE","9"
"CALLE VEINTISIETE DE DICIEMBRE","VEINTISIETE DE DICIEMBRE","CALLE","5"
"CALLE GERONA","GERONA","CALLE","11"
"CALLE REMEDIOS LOS","REMEDIOS LOS","CALLE","13"
"CALLE URUGUAY","URUGUAY","CALLE","20"
"CALLE NICARAGUA","NICARAGUA","CALLE","23"
"CALLE PINTOR MARIANO MORE","PINTOR MARIANO MORE","CALLE","10"
"CALLE CLAUDIO ALVARGONZALEZ","CLAUDIO ALVARGONZALEZ","CALLE","15"
"CALLE DESFILADERO DE LA HERMIDA","DESFILADERO DE LA HERMIDA","CALLE","13"
"CALLE RUTA DEL ALBA","RUTA DEL ALBA","CALLE","12"
"CALLE SUBIDA AL CERRO","SUBIDA AL CERRO","CALLE","4"
"CALLE CANDAS","CANDAS","CALLE","18"
"CALLE LIERES","LIERES","CALLE","7"
"CALLE DOLORES","DOLORES","CALLE","44"
"CALLE SAN GUILLERMO","SAN GUILLERMO","CALLE","6"
"CALLE SAGRADO CORAZON","SAGRADO CORAZON","CALLE","28"
"CALLE SAN FRANCISCO DE ASIS","SAN FRANCISCO DE ASIS","CALLE","29"
"CALLE CARLOS MARX","CARLOS MARX","CALLE","16"
"CALLE EULALIA DE LLANOS Y NORIEGA","EULALIA DE LLANOS Y NORIEGA","CALLE","2"
"CALLE JESUS GONZALEZ ALONSO","JESUS GONZALEZ ALONSO","CALLE","13"
"CALLE LEONCIO SUAREZ","LEONCIO SUAREZ","CALLE","30"
"CALLE MALTEROS","MALTEROS","CALLE","1"
"CALLE CUSTODIA","CUSTODIA","CALLE","18"
"CALLE ALTAMIRA","ALTAMIRA","CALLE","21"
"CALLE ELDUAYEN","ELDUAYEN","CALLE","2"
"CALLE FOGONEROS","FOGONEROS","CALLE","7"
"CALLE MARINOS","MARINOS","CALLE","7"
"CALLE SORIA","SORIA","CALLE","19"
"CALLE PIN DE PRIA","PIN DE PRIA","CALLE","4"
"AVDA CAMPONES","CAMPONES","AVDA","130"
"CALLE BAZAN","BAZAN","CALLE","57"
"CALLE CONSOLACION","CONSOLACION","CALLE","31"
"CALLE SAN MANUEL","SAN MANUEL","CALLE","11"
"CALLE PINOS","PINOS","CALLE","26"
"PLAZA SERENA LA","SERENA LA","PLAZA","4"
"CALLE SAN JOSE","SAN JOSE","CALLE","57"
"CALLE MARIA MOLINER","MARIA MOLINER","CALLE","4"
"CALLE BALBIN","BALBIN","CALLE","14"
"CALLE PROGRESO","PROGRESO","CALLE","41"
"CALLE PINTOR MANUEL MEDINA","PINTOR MANUEL MEDINA","CALLE","30"
"CALLE RIO NALON","RIO NALON","CALLE","29"
"CALLE SANTA AMELIA","SANTA AMELIA","CALLE","2"
"CALLE CATALUÑA","CATALUÑA","CALLE","24"
"CALLE BENITO CONDE","BENITO CONDE","CALLE","3"
"CALLE FUENTE DEL REAL","FUENTE DEL REAL","CALLE","35"
"CALLE LA MANCHA GRUPO UNINSA","LA MANCHA GRUPO UNINSA","CALLE","4"
"CALLE DIARIO EL COMERCIO","DIARIO EL COMERCIO","CALLE","10"
"CALLE ALAVA","ALAVA","CALLE","35"
"CALLE D PICADORES","D PICADORES","CALLE","21"
"CALLE ANTOLIN DE LA FUENTE CLA","ANTOLIN DE LA FUENTE CLA","CALLE","3"
"CALLE DOROTEA","DOROTEA","CALLE","12"
"CALLE F FOGONEROS","F FOGONEROS","CALLE","8"
"CALLE NARCISO MONTURIOL","NARCISO MONTURIOL","CALLE","24"
"CALLE SAN RAFAEL","SAN RAFAEL","CALLE","33"
"CALLE ORAN","ORAN","CALLE","18"
"CALLE MUNILLA","MUNILLA","CALLE","18"
"CALLE MECANICOS","MECANICOS","CALLE","1"
"CALLE VIZCONDE DE CAMPO GRANDE","VIZCONDE DE CAMPO GRANDE","CALLE","2"
"CALLE CHOPIN","CHOPIN","CALLE","16"
"CTRA CORIA, LA  (CEARES)","CORIA, LA  (CEARES)","CTRA","6"
"CALLE MAX PLANCK","MAX PLANCK","CALLE","49"
"CMNO AZALEAS (SOMIO)","AZALEAS (SOMIO)","CMNO","21"
"CALLE BOHEMIA","BOHEMIA","CALLE","2"
"PLAZA ARCIPRESTE RAMON PIQUERO","ARCIPRESTE RAMON PIQUERO","PLAZA","3"
"TRVA FOMENTO","FOMENTO","TRVA","2"
"CALLE AMISTAD LA","AMISTAD LA","CALLE","4"
"CALLE PERIODISTA FRANCISCO CARANTOÑA DUBERT","PERIODISTA FRANCISCO CARANTOÑA DUBERT","CALLE","21"
"CALLE NICOLAS COPERNICO","NICOLAS COPERNICO","CALLE","8"
"CALLE PUERTO VALLARTA","PUERTO VALLARTA","CALLE","9"
"CALLE ERIA DE VALLES","ERIA DE VALLES","CALLE","3"
"CMNO CAMPANILLAS (SOMIO)","CAMPANILLAS (SOMIO)","CMNO","13"
"CALLE LUIS MOYA BLANCO","LUIS MOYA BLANCO","CALLE","5"
"CTRA PROVIDENCIA, DE LA","PROVIDENCIA, DE LA","CTRA","132"
"CMNO TULIPANES (SOMIO)","TULIPANES (SOMIO)","CMNO","23"
"CAMIN BARRANCO (CABUEÑES)","BARRANCO (CABUEÑES)","CAMIN","14"
"CAMIN ATAJO DE SAN MIGUEL (CABUEÑES)","ATAJO DE SAN MIGUEL (CABUEÑES)","CAMIN","10"
"CALLE JOSE ANTON MAGARZO","JOSE ANTON MAGARZO","CALLE","16"
"CAMIN BOSQUE (CABUEÑES)","BOSQUE (CABUEÑES)","CAMIN","6"
"CALLE GUILLERMO RODRIGUEZ QUIROS","GUILLERMO RODRIGUEZ QUIROS","CALLE","11"
"AVDA JOSE GARCIA BERNARDO","JOSE GARCIA BERNARDO","AVDA","25"
"CMNO OLMOS (SOMIO)","OLMOS (SOMIO)","CMNO","12"
"TRVA OLMOS 1 (SOMIO)","OLMOS 1 (SOMIO)","TRVA","3"
"CMNO MORERAS (SOMIO)","MORERAS (SOMIO)","CMNO","3"
"TRVA MAGNOLIAS (SOMIO)","MAGNOLIAS (SOMIO)","TRVA","4"
"CAMIN ESCUELA (CABUEÑES)","ESCUELA (CABUEÑES)","CAMIN","19"
"CAMIN IGLESIA, DE LA (CABUEÑES)","IGLESIA, DE LA (CABUEÑES)","CAMIN","13"
"CMNO FUENTE DEL PISON (SOMIO)","FUENTE DEL PISON (SOMIO)","CMNO","5"
"CALLE JOSE MARIA MARTINEZ","JOSE MARIA MARTINEZ","CALLE","8"
"CALLE PRADOS (CABUEÑES)","PRADOS (CABUEÑES)","CALLE","7"
"CMNO CAMPA (SOMIO)","CAMPA (SOMIO)","CMNO","10"
"PZTA CAMPU LA GUIA, DEL (SOMIO)","CAMPU LA GUIA, DEL (SOMIO)","PZTA","2"
"CMNO CUESTA DEL PERRU (SOMIO)","CUESTA DEL PERRU (SOMIO)","CMNO","9"
"CMNO ACANTOS (SOMIO)","ACANTOS (SOMIO)","CMNO","8"
"CMNO HORTENSIAS (SOMIO)","HORTENSIAS (SOMIO)","CMNO","14"
"CMNO ORQUIDEAS (SOMIO)","ORQUIDEAS (SOMIO)","CMNO","5"
"CAMIN CUESTA DEL POLLU (CABUEÑES)","CUESTA DEL POLLU (CABUEÑES)","CAMIN","20"
"CAMIN CAMPORREDONDO","CAMPORREDONDO","CAMIN","11"
"CAMIN ÑORA, DE LA","ÑORA, DE LA","CAMIN","48"
"CAMIN LLOREU (CABUEÑES)","LLOREU (CABUEÑES)","CAMIN","12"
"CAMIN VUELTAS (CABUEÑES)","VUELTAS (CABUEÑES)","CAMIN","10"
"CAMIN TEJERA (CABUEÑES)","TEJERA (CABUEÑES)","CAMIN","8"
"CAMIN TRAGAMON (CABUEÑES)","TRAGAMON (CABUEÑES)","CAMIN","25"
"CAMIN POZON (CABUEÑES)","POZON (CABUEÑES)","CAMIN","6"
"CAMIN VALLE (CABUEÑES)","VALLE (CABUEÑES)","CAMIN","8"
"TRVA MANGADA (CABUEÑES)","MANGADA (CABUEÑES)","TRVA","3"
"CALLE PROFESOR AURELIO MENENDEZ","PROFESOR AURELIO MENENDEZ","CALLE","5"
"CALLE BERTOLT BRECHT","BERTOLT BRECHT","CALLE","12"
"CALLE LES CIGARRERES","LES CIGARRERES","CALLE","37"
"CAMIN COLINA (CABUEÑES)","COLINA (CABUEÑES)","CAMIN","4"
"CAMIN LLANOS (CABUEÑES)","LLANOS (CABUEÑES)","CAMIN","30"
"CAMIN BOMBA, DE LA (JOVE)","BOMBA, DE LA (JOVE)","CAMIN","15"
"CAMIN CALEYON (CABUEÑES)","CALEYON (CABUEÑES)","CAMIN","6"
"CTRA DEVA (CABUEÑES)","DEVA (CABUEÑES)","CTRA","6"
"CAMIN FLOR DE LIBORIO (CABUEÑES)","FLOR DE LIBORIO (CABUEÑES)","CAMIN","10"
"TRVA LA CAMPA 2 (ARNAO)","LA CAMPA 2 (ARNAO)","TRVA","1"
"TRVA REGATON, DEL (JOVE)","REGATON, DEL (JOVE)","TRVA","15"
"CAMIN REGATON, DEL (JOVE)","REGATON, DEL (JOVE)","CAMIN","17"
"CMNO ROMEROS (SOMIO)","ROMEROS (SOMIO)","CMNO","2"
"CMNO CANTERA (SOMIO)","CANTERA (SOMIO)","CMNO","2"
"CAMIN MONTE DE LA LLANA, DEL (JOVE-VERIÑA)","MONTE DE LA LLANA, DEL (JOVE-VERIÑA)","CAMIN","26"
"CMNO COLINA DEL CUERVO (SOMIO)","COLINA DEL CUERVO (SOMIO)","CMNO","4"
"CALLE CLAUDIO TOLOMEO","CLAUDIO TOLOMEO","CALLE","11"
"CAMIN CALEYON DEL  (BERNUECES)","CALEYON DEL  (BERNUECES)","CAMIN","8"
"CTRA GRANDA, DE (BERNUECES)","GRANDA, DE (BERNUECES)","CTRA","33"
"CLEYA AGUA, DEL (SANTURIO)","AGUA, DEL (SANTURIO)","CLEYA","18"
"CAMIN FUENTE ROZAES, DE LA (SANTURIO)","FUENTE ROZAES, DE LA (SANTURIO)","CAMIN","6"
"CAMIN PIXES, DE (DEVA)","PIXES, DE (DEVA)","CAMIN","8"
"CLEYA CHELU PEPON, DE (DEVA)","CHELU PEPON, DE (DEVA)","CLEYA","5"
"CAMIN CASA ROBUSTIANO, DE (DEVA)","CASA ROBUSTIANO, DE (DEVA)","CAMIN","3"
"CAMIN PASADERAS, DE LAS (DEVA)","PASADERAS, DE LAS (DEVA)","CAMIN","1"
"CAMIN VALLIQUIN DE ABAJO, DE (DEVA)","VALLIQUIN DE ABAJO, DE (DEVA)","CAMIN","3"
"CAMIN MOLIN, DEL (DEVA)","MOLIN, DEL (DEVA)","CAMIN","1"
"CTRA DEVA, DE (DEVA)","DEVA, DE (DEVA)","CTRA","7"
"CAMIN PEÑA GARCIA, DE (DEVA)","PEÑA GARCIA, DE (DEVA)","CAMIN","7"
"TRVA IGLESIA, DE LA (JOVE)","IGLESIA, DE LA (JOVE)","TRVA","12"
"CAMIN FONTAN, DEL (PORCEYO)","FONTAN, DEL (PORCEYO)","CAMIN","8"
"CAMIN FABARIEGUES, DE LES (JOVE)","FABARIEGUES, DE LES (JOVE)","CAMIN","5"
"CAMIN ESCURAMA, DE LA (DEVA)","ESCURAMA, DE LA (DEVA)","CAMIN","2"
"CAMIN POZOS DE LA ARENA, DE LOS (DEVA)","POZOS DE LA ARENA, DE LOS (DEVA)","CAMIN","21"
"CALLE THOMAS ALVA EDISON","THOMAS ALVA EDISON","CALLE","17"
"CAMIN CASA PELAYO, DE (DEVA)","CASA PELAYO, DE (DEVA)","CAMIN","12"
"TRVA HOSPITAL, DEL (JOVE)","HOSPITAL, DEL (JOVE)","TRVA","5"
"CALLE LEONARDO TORRES QUEVEDO","LEONARDO TORRES QUEVEDO","CALLE","5"
"CAMIN VOCERIA, DE LA (DEVA)","VOCERIA, DE LA (DEVA)","CAMIN","1"
"TRVA CASTAÑERA, DE (DEVA)","CASTAÑERA, DE (DEVA)","TRVA","5"
"CALLE CARLOS ROA RICO","CARLOS ROA RICO","CALLE","9"
"CALLE DIONISIO DE LA HUERTA (SOMIO)","DIONISIO DE LA HUERTA (SOMIO)","CALLE","1"
"CAMIN COLATE, DE (DEVA)","COLATE, DE (DEVA)","CAMIN","7"
"CALLE MATILDE DE LA TORRE","MATILDE DE LA TORRE","CALLE","17"
"CAMIN ROBLEO A RIOSECU, DE (CALDONES)","ROBLEO A RIOSECU, DE (CALDONES)","CAMIN","8"
"CAMIN CIERROS 2, DE (CALDONES)","CIERROS 2, DE (CALDONES)","CAMIN","7"
"CAMIN TEYERA, DE LA (CALDONES)","TEYERA, DE LA (CALDONES)","CAMIN","6"
"CAMIN SOPORTIELLA, DE LA (CALDONES)","SOPORTIELLA, DE LA (CALDONES)","CAMIN","9"
"CAMIN LLOSOS, DE LOS (CALDONES)","LLOSOS, DE LOS (CALDONES)","CAMIN","5"
"URB PORTAVILLA","PORTAVILLA","URB","1"
"CAMIN FONCULO, DE (LAVANDERA)","FONCULO, DE (LAVANDERA)","CAMIN","12"
"CAMIN RIAL DE GARBELLES","RIAL DE GARBELLES","CAMIN","29"
"CLEYA CIERROS, DE LOS (CALDONES)","CIERROS, DE LOS (CALDONES)","CLEYA","4"
"CLEYA MEDINES, DE LES (CALDONES)","MEDINES, DE LES (CALDONES)","CLEYA","9"
"CAMIN MACHELES, DE LOS (LAVANDERA)","MACHELES, DE LOS (LAVANDERA)","CAMIN","11"
"CAMIN XION, DEL (LAVANDERA)","XION, DEL (LAVANDERA)","CAMIN","15"
"CAMIN AROLES A LOS VILLARES, DE","AROLES A LOS VILLARES, DE","CAMIN","37"
"CAMIN CARBAYINAS, DE LAS (LAVANDERA)","CARBAYINAS, DE LAS (LAVANDERA)","CAMIN","10"
"CAMIN PAREONA, DE LA (LAVANDERA)","PAREONA, DE LA (LAVANDERA)","CAMIN","4"
"CAMIN PAXARONA, DE LA (LAVANDERA)","PAXARONA, DE LA (LAVANDERA)","CAMIN","20"
"CAMIN PABIA, DE (LAVANDERA)","PABIA, DE (LAVANDERA)","CAMIN","12"
"CALLE JOAQUIN FERNANDEZ ESPINA","JOAQUIN FERNANDEZ ESPINA","CALLE","2"
"CALLE CARMEN MARTIN GAITE","CARMEN MARTIN GAITE","CALLE","11"
"CAMIN BARREU, DEL (LAVANDERA)","BARREU, DEL (LAVANDERA)","CAMIN","7"
"CAMIN CORONIELLA, DE LA (CALDONES)","CORONIELLA, DE LA (CALDONES)","CAMIN","13"
"CLEYA BOVIA, DE LA (LAVANDERA)","BOVIA, DE LA (LAVANDERA)","CLEYA","4"
"CAMIN CARBAINOS, DE LOS (LAVANDERA)","CARBAINOS, DE LOS (LAVANDERA)","CAMIN","2"
"CAMIN RESCAÑU, DEL","RESCAÑU, DEL","CAMIN","2"
"CAMIN CARRASCAL, DEL (LAVANDERA)","CARRASCAL, DEL (LAVANDERA)","CAMIN","4"
"CAMIN LLAGARON, DEL (FANO)","LLAGARON, DEL (FANO)","CAMIN","7"
"CAMIN VIESCA, DE LA (VALDORNON)","VIESCA, DE LA (VALDORNON)","CAMIN","3"
"CALLE CONCEJO DE VILLAYON","CONCEJO DE VILLAYON","CALLE","4"
"CALLE CONCEJO DE SAN TIRSO DE ABRES","CONCEJO DE SAN TIRSO DE ABRES","CALLE","7"
"CAMIN TALEGUERO, DEL (GRANDA)","TALEGUERO, DEL (GRANDA)","CAMIN","10"
"CAMIN BARRERA, DE LA (GRANDA)","BARRERA, DE LA (GRANDA)","CAMIN","2"
"CAMIN ERIA, DE LA (FANO)","ERIA, DE LA (FANO)","CAMIN","10"
"CAMIN PEREOS, DE LOS (FANO)","PEREOS, DE LOS (FANO)","CAMIN","9"
"CAMIN VIZARRIN, DEL (FANO)","VIZARRIN, DEL (FANO)","CAMIN","7"
"CAMIN CAMPINOS, DE LOS (FANO)","CAMPINOS, DE LOS (FANO)","CAMIN","18"
"CALLE ESPACIOSA","ESPACIOSA","CALLE","4"
"CAMIN IGLESIA, DE LA (VALDORNON)","IGLESIA, DE LA (VALDORNON)","CAMIN","5"
"CAMIN CANTERA, DE LA (VALDORNON)","CANTERA, DE LA (VALDORNON)","CAMIN","5"
"CAMIN CASTAÑERA, DE (VALDORNON)","CASTAÑERA, DE (VALDORNON)","CAMIN","13"
"CAMIN CORTINA, DE LA (VALDORNON)","CORTINA, DE LA (VALDORNON)","CAMIN","3"
"CAMIN CUITO, DEL (VALDORNON)","CUITO, DEL (VALDORNON)","CAMIN","6"
"CAMIN GRANDE, DE LA (VALDORNON)","GRANDE, DE LA (VALDORNON)","CAMIN","8"
"CAMIN LLAMUERGO, DEL (VALDORNON)","LLAMUERGO, DEL (VALDORNON)","CAMIN","4"
"CLEYA LLONGARES, DE (VALDORNON)","LLONGARES, DE (VALDORNON)","CLEYA","3"
"CLEYA MATON, DEL (VALDORNON)","MATON, DEL (VALDORNON)","CLEYA","7"
"CAMIN BOROÑADA, DE LA (FANO)","BOROÑADA, DE LA (FANO)","CAMIN","7"
"AVDA GASPAR GARCIA LAVIANA (GRUPO 214 VIVIENDAS)","GASPAR GARCIA LAVIANA (GRUPO 214 VIVIENDAS)","AVDA","4"
"CAMIN CALEYU, DEL (FANO)","CALEYU, DEL (FANO)","CAMIN","8"
"TRVA IGLESIA, DE LA (VEGA)","IGLESIA, DE LA (VEGA)","TRVA","2"
"CAMIN CALEYONA, DE LA (LEORIO)","CALEYONA, DE LA (LEORIO)","CAMIN","30"
"CAMIN CAÑES COLGAES, DE LES (LEORIO)","CAÑES COLGAES, DE LES (LEORIO)","CAMIN","3"
"CAMIN FORCON, DEL (LEORIO)","FORCON, DEL (LEORIO)","CAMIN","12"
"CAMIN CUESTA DE GIL, DE LA","CUESTA DE GIL, DE LA","CAMIN","7"
"CAMIN FONTE EL CUERVU, DE LA (LEORIO)","FONTE EL CUERVU, DE LA (LEORIO)","CAMIN","13"
"CAMIN PIÑONA, DE LA (VERIÑA)","PIÑONA, DE LA (VERIÑA)","CAMIN","7"
"CAMIN POZU, DEL (VERIÑA)","POZU, DEL (VERIÑA)","CAMIN","9"
"CAMIN QUINTANA, DE LA (LEORIO-GRANDA)","QUINTANA, DE LA (LEORIO-GRANDA)","CAMIN","7"
"CLEYA VALLE, DEL (VERIÑA)","VALLE, DEL (VERIÑA)","CLEYA","3"
"CAMIN ANTIGUO CAMIN REAL (PUAO)","ANTIGUO CAMIN REAL (PUAO)","CAMIN","2"
"CAMIN CASTAÑALES, DE LOS (PUAO)","CASTAÑALES, DE LOS (PUAO)","CAMIN","6"
"CAMIN MERO TACHON, DE (CABUEÑES)","MERO TACHON, DE (CABUEÑES)","CAMIN","7"
"CAMIN SUAÑA, DE LA","SUAÑA, DE LA","CAMIN","3"
"CAMIN RAMPEROS, DE LOS (VEGA)","RAMPEROS, DE LOS (VEGA)","CAMIN","2"
"CAMIN FONTE L'UMERU, DE LA (CALDONES)","FONTE L'UMERU, DE LA (CALDONES)","CAMIN","4"
"CAMIN PAREDONA, DE LA (GÜERCES)","PAREDONA, DE LA (GÜERCES)","CAMIN","9"
"CMNO CEMENTERIO DEL","CEMENTERIO DEL","CMNO","1"
"AVDA CONCHA ESPINA","CONCHA ESPINA","AVDA","4"
"CAMIN PANGRAN, DEL (GÜERCES)","PANGRAN, DEL (GÜERCES)","CAMIN","5"
"CAMIN SANTI, DEL (GÜERCES)","SANTI, DEL (GÜERCES)","CAMIN","1"
"CALLE ACERIA, DE LA","ACERIA, DE LA","CALLE","1"
"CAMIN SUCU, DEL (VEGA)","SUCU, DEL (VEGA)","CAMIN","8"
"CAMIN MINUCA, DE LA (GÜERCES)","MINUCA, DE LA (GÜERCES)","CAMIN","6"
"CAMIN PASCON, DEL (LEORIO)","PASCON, DEL (LEORIO)","CAMIN","1"
"CAMIN MOLIN DE RIO, DEL (GRANDA)","MOLIN DE RIO, DEL (GRANDA)","CAMIN","10"
"CAMIN ERIA, DE LA (VERIÑA)","ERIA, DE LA (VERIÑA)","CAMIN","17"
"CAMIN CALDERU, DEL (VEGA)","CALDERU, DEL (VEGA)","CAMIN","4"
"PASEO FERROCARRIL DE LIERES (VEGA)","FERROCARRIL DE LIERES (VEGA)","PASEO","4"
"CAMIN LUIS FERNANDEZ DE LA VEGA, DE (LEORIO)","LUIS FERNANDEZ DE LA VEGA, DE (LEORIO)","CAMIN","6"
"CAMIN REGATOS, DE LOS (GÜERCES)","REGATOS, DE LOS (GÜERCES)","CAMIN","6"
"CAMIN RIO, DEL (GÜERCES)","RIO, DEL (GÜERCES)","CAMIN","4"
"CAMIN MOLINERA, DE LA (VEGA)","MOLINERA, DE LA (VEGA)","CAMIN","8"
"CAMIN MARRUCA, DE LA","MARRUCA, DE LA","CAMIN","17"
"CAMIN MATA, DE LA (LEORIO)","MATA, DE LA (LEORIO)","CAMIN","5"
"CAMIN MELENDRERES, DE LES (LEORIO)","MELENDRERES, DE LES (LEORIO)","CAMIN","4"
"CAMIN SAN MARTIN A VILLAVERDE, DE (GÜERCES)","SAN MARTIN A VILLAVERDE, DE (GÜERCES)","CAMIN","4"
"CAMIN REGUERA, DE LA (PORCEYO)","REGUERA, DE LA (PORCEYO)","CAMIN","11"
"CAMIN LLAGAR, DEL (PORCEYO)","LLAGAR, DEL (PORCEYO)","CAMIN","3"
"CAMIN LLOSA, DE LA (PORCEYO)","LLOSA, DE LA (PORCEYO)","CAMIN","8"
"CAMIN PINZALES A BURACOS (PORCEYO)","PINZALES A BURACOS (PORCEYO)","CAMIN","8"
"CAMIN SERIN, DE","SERIN, DE","CAMIN","8"
"CAMIN SOTIELLO A PORCEYO, DE","SOTIELLO A PORCEYO, DE","CAMIN","34"
"CAMIN ARRIBA, DE (TREMAÑES)","ARRIBA, DE (TREMAÑES)","CAMIN","1"
"CAMIN PEDREGAL, DE (PORCEYO)","PEDREGAL, DE (PORCEYO)","CAMIN","3"
"CAMIN VEGA, DE LA (PORCEYO)","VEGA, DE LA (PORCEYO)","CAMIN","13"
"CAMIN BALCON, DEL (PORCEYO)","BALCON, DEL (PORCEYO)","CAMIN","1"
"CAMIN FONDO DE PORCEYO, DEL (PORCEYO)","FONDO DE PORCEYO, DEL (PORCEYO)","CAMIN","22"
"CAMIN REINA, DE LA (ROCES)","REINA, DE LA (ROCES)","CAMIN","3"
"CAMIN NOZALEDA A VALLES, DE LA (ROCES)","NOZALEDA A VALLES, DE LA (ROCES)","CAMIN","10"
"TRVA NOZALEDA, DE LA (ROCES)","NOZALEDA, DE LA (ROCES)","TRVA","3"
"CAMIN IGLESIA, DE LA (ROCES)","IGLESIA, DE LA (ROCES)","CAMIN","13"
"CAMIN SAN JUAN, DE (ROCES)","SAN JUAN, DE (ROCES)","CAMIN","8"
"CALLE ADA BYRON (PROGRAMADORA Y ANALISTA)","ADA BYRON (PROGRAMADORA Y ANALISTA)","CALLE","6"
"CAMIN ERIA, DE LA (PORCEYO)","ERIA, DE LA (PORCEYO)","CAMIN","18"
"CAMIN LLANA AL MONTE DE TREMAÑES, DE LA","LLANA AL MONTE DE TREMAÑES, DE LA","CAMIN","7"
"CAMIN FABARIEGA, DE LA (PORCEYO)","FABARIEGA, DE LA (PORCEYO)","CAMIN","6"
"AVDA ECONOMIA SOCIAL","ECONOMIA SOCIAL","AVDA","7"
"CALLE LLOREU","LLOREU","CALLE","6"
"CALLE MANUEL R ALVAREZ","MANUEL R ALVAREZ","CALLE","29"
"CALLE PIZARRO","PIZARRO","CALLE","23"
"CALLE CONCEPCION ARENAL","CONCEPCION ARENAL","CALLE","11"
"CALLE MANSO","MANSO","CALLE","25"
"CALLE DON JUAN DE AUSTRIA","DON JUAN DE AUSTRIA","CALLE","8"
"CALLE PADILLA","PADILLA","CALLE","10"
"PASEO BEGOÑA DE","BEGOÑA DE","PASEO","26"
"PLAZA NICANOR PIÑOLE","NICANOR PIÑOLE","PLAZA","3"
"CALLE MARIA ZAMBRANO","MARIA ZAMBRANO","CALLE","8"
"CALLE GARCILASO DE LA VEGA","GARCILASO DE LA VEGA","CALLE","29"
"CALLE PEÑA, LA","PEÑA, LA","CALLE","33"
"CALLE VENEZUELA","VENEZUELA","CALLE","13"
"CALLE RAMON Y CAJAL","RAMON Y CAJAL","CALLE","63"
"GRUP VIRGEN DE LA SOLEDAD","VIRGEN DE LA SOLEDAD","GRUP","30"
"CALLE VENTURA ALVAREZ SALA","VENTURA ALVAREZ SALA","CALLE","3"
"CALLE MELQUIADES ALVAREZ","MELQUIADES ALVAREZ","CALLE","9"
"CALLE SAN MELCHOR DE QUIROS","SAN MELCHOR DE QUIROS","CALLE","8"
"CALLE ADOSINDA","ADOSINDA","CALLE","15"
"CALLE VERONICA","VERONICA","CALLE","6"
"AVDA EDUARDO CASTRO","EDUARDO CASTRO","AVDA","27"
"CALLE ENRIQUE III","ENRIQUE III","CALLE","3"
"CALLE SANTA LUCIA","SANTA LUCIA","CALLE","18"
"CALLE TRINIDAD","TRINIDAD","CALLE","18"
"CALLE CORRIDA","CORRIDA","CALLE","57"
"CALLE ALFONSO I","ALFONSO I","CALLE","21"
"CAMIN ERIA DE POLIA, DE (JOVE)","ERIA DE POLIA, DE (JOVE)","CAMIN","36"
"CALLE FELIPE MENENDEZ","FELIPE MENENDEZ","CALLE","9"
"CALLE ALMACENES","ALMACENES","CALLE","5"
"CALLE FELGUERA LA","FELGUERA LA","CALLE","10"
"CALLE SPORTING","SPORTING","CALLE","6"
"CTRA VILLAVICIOSA","VILLAVICIOSA","CTRA","27"
"CALLE SAN PAULINO","SAN PAULINO","CALLE","26"
