Estación,Título,latitud,longitud,Fecha Solar (UTC),SO2,NO,NO2,CO,PM10,O3,dd,vv,TMP,HR,PRB,RS,LL,BEN,TOL,MXIL,PM25
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T15:00:00","4","2","12","0.1","11","50","156","0.37","30.5","30","1008","505","0","0.5","2.4","2.9","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T14:00:00","3","13","31","0.23","29","12","180","0.14","25.7","64","1009","329","0","0.8","5.1","6","25"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T13:00:00","3","14","34","0.34","33","28","160","0.17","22.3","82","1010","172","0","0.6","3","4.1","18"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T12:00:00","3","18","36","0.79","40","17","324","0.14","22.9","78","1010","112","0","0.5","2.1","2","19"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T11:00:00","3","7","27","0.18","30","25","175","0.1","22.3","83","1010","216","0","0.7","1.7","1.3","19"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T10:00:00","2","5","22","0.16","24","22","219","0.11","21.3","87","1011","114","0","0.5","1","0.6","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T09:00:00","2","2","13","0.18","24","35","6","0.29","20.7","92","1011","94","0","0.7","0.7","0.6","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T08:00:00","3","3","17","0.47","26","25","175","0.15","19.6","94","1011","67","0","0.4","1.3","1","19"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T07:00:00","3","5","20","0.34","34","6","136","0.15","18.5","93","1010","55","0","0.5","1.8","1.3","30"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T06:00:00","3","7","23","0.34","40","5","124","0.1","18.6","94","1010","54","0","0.8","2","2","23"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T05:00:00","2","3","22","0.49","35","5","166","0.12","18.5","94","1010","54","0","0.7","3.5","2.5","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T04:00:00","3","7","24","0.34","35","6","172","0.1","18.7","94","1010","54","0","0.4","3.4","2.2","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T03:00:00","2","2","18","0.38","22","11","157","0.1","19","94","1010","54","0","0.5","1.8","1.5","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T02:00:00","2","1","16","0.26","17","17","140","0.13","19.5","92","1010","54","0","0.5","1.7","1.3","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T01:00:00","2","2","18","0.28","23","23","353","0.13","19.8","91","1011","55","0","0.6","1.1","0.9","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T00:00:00","2","2","17","0.12","21","30","155","0.34","20.2","88","1011","55","0","0.3","1.2","1.1","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T23:00:00","3","2","16","0.14","21","36","106","0.35","20.9","85","1011","55","0","0.3","0.6","0.6","12"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T22:00:00","2","1","9","0.11","19","50","19","0.84","21.3","84","1011","55","0","0.5","1.4","1.6","12"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T21:00:00","2","2","14","0.13","19","45","91","0.63","21.4","82","1011","55","0","0.3","0.9","0.8","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T20:00:00","2","2","14","0.12","18","48","33","0.91","21.5","80","1011","55","0","0.3","0.7","0.6","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T19:00:00","2","1","12","0.11","17","48","120","1.11","22.3","77","1010","62","0","0.3","0.7","0.7","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T18:00:00","2","4","16","0.12","19","44","18","1.06","22.4","81","1011","133","0","0.2","0.3","0.3","3"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T17:00:00","3","2","8","0.1","19","50","25","0.85","22.3","83","1011","251","0","0.3","0.4","0.5","3"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T16:00:00","2","3","10","0.11","17","63","9","1.48","22.1","81","1012","233","0","0.3","0.8","0.6","4"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T15:00:00","3","4","9","0.1","20","61","19","1.77","22.8","75","1010","586","0","0.3","0.7","0.7","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T14:00:00","3","5","16","0.11","20","52","19","1.1","22.4","76","1011","452","0","0.4","1.1","1","18"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T13:00:00","3","6","19","0.12","25","46","352","1.06","22.1","75","1012","345","0","0.6","2.4","3.4","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T12:00:00","3","9","27","0.22","23","33","236","0.34","21.4","77","1012","198","0","0.4","1.6","1.6","12"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T11:00:00","3","8","19","0.23","17","39","356","0.53","21.9","73","1012","402","0","0.4","2.5","2","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T10:00:00","3","9","20","0.25","17","27","7","0.32","21.4","74","1012","420","0","0.3","5.1","1.7","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T09:00:00","3","10","17","0.21","20","17","234","0.14","19.6","84","1012","253","0","0.4","1.4","1.4","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T08:00:00","3","18","17","0.3","19","10","275","0.16","17.1","94","1012","96","0","0.3","1.3","1","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T07:00:00","3","15","19","0.46","22","7","205","0.13","16.2","93","1011","62","0","0.4","1.8","1.6","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T06:00:00","3","21","23","0.6","24","4","285","0.11","16.4","92","1011","54","0","0.4","2.9","2.7","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T05:00:00","3","4","19","0.37","18","6","136","0.19","16.6","91","1011","54","0","0.6","2.1","2.4","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T04:00:00","3","2","14","0.3","17","9","137","0.1","16.9","91","1011","54","0","1.1","2.2","2.3","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T03:00:00","3","2","18","0.39","20","6","133","0.1","17.2","90","1012","54","0","0.3","2.9","5","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T02:00:00","2","7","30","1.1","63","4","121","0.1","17.8","90","1012","54","0","0.6","2.9","4.7","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T01:00:00","2","9","31","0.76","33","5","271","0.1","18.2","88","1012","54","0","0.7","3.9","5.9","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-26T00:00:00","3","8","32","0.44","20","5","134","0.1","18.8","85","1013","54","0","0.5","4.6","8.4","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T23:00:00","2","6","32","0.31","26","8","151","0.1","19.5","83","1013","54","0","0.4","2.8","3.2","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T22:00:00","2","3","27","0.23","21","24","158","0.11","20.4","78","1014","55","0","0.4","2.3","2.5","17"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T21:00:00","2","4","28","0.25","22","31","145","0.24","21.1","75","1013","55","0","0.3","1.8","2","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T20:00:00","2","3","25","0.23","23","37","310","0.15","21.7","72","1013","55","0","0.4","2.3","2.6","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T19:00:00","3","8","33","0.23","21","31","5","0.32","22.3","71","1013","65","0","0.5","2.9","3.5","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T18:00:00","2","10","30","0.22","27","40","122","0.41","23.2","67","1013","160","0","0.3","1.6","2","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T17:00:00","2","6","21","0.19","17","51","19","0.89","23.1","68","1012","302","0","0.4","1.5","1.4","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T16:00:00","2","8","19","0.15","22","53","15","1.25","23.4","67","1012","424","0","0.3","1.2","1.1","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T15:00:00","2","7","18","0.16","14","55","15","1.28","23.3","68","1012","550","0","0.3","0.7","0.6","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T14:00:00","2","8","20","0.17","15","48","6","1.09","22.4","72","1013","532","0","0.4","1.3","1.3","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T13:00:00","2","9","20","0.16","10","43","16","0.93","22.1","75","1013","602","0","0.3","0.9","0.8","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T12:00:00","2","9","19","0.22","13","37","184","0.76","21.5","75","1014","418","0","0.3","1.3","1.4","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T10:00:00","2","11","22","0.24","16","32","179","0.42","20.5","82","1014","219","0","0.3","1.9","2","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T09:00:00","2","7","21","0.22","12","24","155","0.11","20.4","82","1014","176","0","0.3","1.2","1.1","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T08:00:00","2","14","30","0.25","15","20","111","0.1","19.7","85","1014","92","0","0.3","1.9","2.4","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T07:00:00","2","19","36","0.32","14","13","313","0.11","19.5","85","1014","56","0","0.4","2.6","2.4","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T06:00:00","2","17","33","0.31","12","11","21","0.19","19.3","86","1013","55","0","0.4","2.2","2.5","12"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T05:00:00","2","2","20","0.22","6","14","135","0.1","18.9","87","1013","54","0","0.2","0.9","0.9","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T04:00:00","2","2","10","0.21","13","21","139","0.12","18.9","86","1013","54","0","0.2","1","1.1","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T03:00:00","2","1","7","0.2","12","27","155","0.11","18.9","87","1014","54","0","0.2","0.9","1","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T02:00:00","2","1","9","0.16","13","22","140","0.1","18.7","87","1014","54","0","0.2","0.6","0.7","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T01:00:00","2","1","6","0.2","12","37","135","0.13","19.2","85","1015","55","0","0.2","0.7","0.8","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-25T00:00:00","3","1","8","0.2","8","40","20","0.23","19.4","85","1015","55","0","0.3","1.5","1.9","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T23:00:00","2","2","18","0.29","7","29","10","0.11","19.5","85","1015","55","0","0.3","1.8","1.9","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T22:00:00","2","1","11","0.22","9","34","127","0.28","19.5","85","1015","54","0","0.2","1.2","1.5","4"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T21:00:00","2","3","14","0.22","13","35","125","0.47","19.8","85","1015","55","0","0.3","0.9","1.1","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T20:00:00","2","4","17","0.17","16","32","148","0.12","19.7","88","1015","55","0","0.3","0.7","0.9","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T19:00:00","2","7","23","0.2","12","32","135","0.16","19.7","90","1015","56","0","0.3","1.4","1.6","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T18:00:00","2","8","29","0.24","13","32","20","0.37","19.8","89","1015","60","0","0.6","3.6","4.5","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T17:00:00","2","7","25","0.26","12","35","17","0.31","19.8","89","1015","86","0","0.3","1.6","1.9","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T16:00:00","2","8","23","0.25","12","33","5","0.25","19.8","89","1015","100","0","0.4","1.8","1.8","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T15:00:00","2","6","20","0.17","15","39","19","0.4","19.8","89","1015","101","0","0.3","0.8","0.8","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T14:00:00","2","7","21","0.21","13","36","17","0.89","19.8","89","1015","140","0","0.3","0.9","0.9","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T13:00:00","2","3","11","0.15","13","41","358","0.63","19.5","91","1015","151","0","0.2","0.4","0.5","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T12:00:00","1","7","18","0.11","8","36","15","1.13","19.8","90","1015","155","0","0.3","1.2","1.2","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T11:00:00","1","10","20","0.12","11","33","15","1.14","20","90","1015","210","0","0.3","0.8","0.7","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T10:00:00","2","9","18","0.1","11","32","19","0.96","19.6","91","1015","252","0","0.3","1","1.1","2"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T09:00:00","1","7","15","0.1","12","32","18","0.84","19.4","90","1015","192","0","0.3","1.1","1","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T08:00:00","1","6","17","0.1","13","27","17","0.57","19.3","90","1014","122","0","0.3","1","0.9","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T07:00:00","1","5","19","0.11","12","26","19","0.35","19.3","89","1014","63","0","0.2","0.6","0.4","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T06:00:00","1","1","10","0.11","11","32","19","0.23","19.3","88","1014","55","0","0.1","0.2","0.2","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T05:00:00","2","1","7","0.1","15","34","36","0.28","19.3","89","1014","55","0","0.2","0.3","0.3","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T04:00:00","2","1","4","0.1","5","40","13","0.31","19.5","88","1014","55","0","0.2","0.2","0.1","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T03:00:00","2","1","3","0.1","13","42","320","0.26","19.5","87","1014","55","0","0.1","0.1","0.2","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T02:00:00","2","2","6","0.1","11","40","121","0.34","19.7","85","1015","55","0","0.1","0.1","0.1","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T01:00:00","2","1","4","0.1","10","43","180","0.17","19.8","85","1015","55","0","0.2","0.3","0.3","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-24T00:00:00","1","2","6","0.1","14","44","344","0.36","20","84","1015","55","0","0.2","0.8","0.8","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T23:00:00","1","1","7","0.1","18","46","125","0.48","20","83","1015","55","0","0.2","0.6","0.7","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T22:00:00","2","1","8","0.11","18","47","114","0.39","20.2","82","1016","55","0","0.2","0.6","0.6","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T21:00:00","1","2","10","0.11","20","45","154","0.54","20.3","81","1016","55","0","0.2","0.8","0.8","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T20:00:00","2","2","13","0.11","19","44","357","0.57","20.5","80","1015","55","0","0.3","1","1","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T19:00:00","1","4","17","0.12","23","41","21","0.65","20.9","78","1015","55","0","0.2","1.4","1.1","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T18:00:00","2","2","12","0.1","21","44","15","1.48","21.1","76","1015","78","0","0.2","1.4","1","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T17:00:00","2","3","9","0.1","26","47","243","1.51","21.3","75","1015","135","0","0.2","0.8","0.7","12"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T16:00:00","2","2","10","0.1","20","45","22","1.86","21.5","74","1015","192","0","0.2","1","0.8","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T15:00:00","2","5","14","0.11","24","41","109","1","21.7","75","1015","245","0","0.3","1.7","1.7","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T14:00:00","3","10","23","0.11","26","35","125","0.9","21.8","73","1016","271","0","0.3","1.6","1.9","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T13:00:00","3","7","17","0.11","19","39","19","0.88","21.4","76","1016","310","0","0.3","1.7","2","5"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T12:00:00","4","12","23","0.3","29","38","343","0.41","20.9","80","1016","239","0","0.4","2.7","3.4","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T11:00:00","4","14","32","0.45","32","23","181","0.22","20.8","79","1016","175","0","0.4","3.3","3.5","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T10:00:00","5","16","32","0.49","28","16","245","0.14","20.3","82","1016","166","0","0.5","3.9","3.8","18"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T09:00:00","5","19","40","0.61","41","12","159","0.11","19.7","84","1016","146","0","0.6","6.7","7.8","18"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T08:00:00","7","63","48","1.03","62","4","307","0.1","18.6","86","1016","100","0","0.9","9.3","9.9","21"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T07:00:00","7","82","54","0.79","33","2","300","0.1","17.6","87","1016","68","0","0.6","3.5","3.9","18"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T06:00:00","6","15","32","0.63","30","2","151","0.1","17","88","1015","54","0","0.6","2.9","3","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T05:00:00","6","16","34","0.66","29","2","296","0.1","16.9","88","1015","54","0","0.5","1.5","2.2","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T04:00:00","5","5","21","0.55","34","12","284","0.1","17.1","87","1015","54","0","0.4","1.6","1.9","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T03:00:00","4","1","19","0.57","30","14","144","0.1","17.4","87","1016","54","0","0.8","2.3","1.8","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T02:00:00","4","2","20","0.37","27","17","158","0.1","17.6","86","1016","54","0","0.5","2.3","2","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T01:00:00","4","1","20","0.41","25","19","152","0.1","18.1","85","1017","54","0","0.4","1.6","1.9","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-23T00:00:00","6","2","26","0.51","33","18","139","0.11","18.6","84","1017","54","0","0.7","2.1","3.3","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T23:00:00","7","4","30","0.44","36","24","223","0.11","19.1","83","1017","54","0","0.5","1.6","2.4","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T22:00:00","8","2","28","0.58","45","32","289","0.1","19.6","82","1017","54","0","0.3","1.1","1.2","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T21:00:00","7","3","28","0.71","37","39","240","0.1","20","80","1017","54","0","0.3","1.3","1.2","10"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T20:00:00","9","9","41","0.31","29","27","267","0.11","20.8","75","1017","55","0","0.3","1.9","2.1","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T19:00:00","3","6","21","0.25","23","48","121","0.77","21.4","72","1016","61","0","0.2","1","0.7","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T18:00:00","4","5","20","0.25","33","57","15","1.29","22.3","69","1015","171","0","0.3","0.8","0.8","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T17:00:00","5","6","21","0.25","38","60","123","1.21","23.3","65","1015","383","0","0.2","0.5","0.5","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T16:00:00","6","6","18","0.24","28","67","6","1.18","23.6","63","1015","520","0","0.3","0.9","0.8","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T15:00:00","15","7","21","0.24","31","66","343","0.97","23.9","61","1015","628","0","0.2","0.2","0.4","15"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T14:00:00","13","5","15","0.22","31","71","340","0.86","24.2","60","1015","705","0","0.2","0.8","0.5","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T13:00:00","27","8","22","0.19","27","60","333","0.81","24.2","60","1015","728","0","0.2","0.6","0.4","12"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T12:00:00","14","5","19","0.13","28","69","334","0.93","23.6","63","1015","699","0","0.3","0.5","0.4","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T11:00:00","11","5","19","0.13","29","71","335","0.85","23.1","66","1015","617","0","0.3","0.8","0.8","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T10:00:00","10","5","21","0.2","42","62","339","0.58","22.3","73","1015","500","0","0.3","0.6","0.6","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T09:00:00","8","5","20","0.16","38","59","323","0.7","20.9","80","1015","339","0","0.3","0.8","0.8","13"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T08:00:00","10","7","33","0.25","50","50","284","0.2","20.1","85","1014","113","0","0.4","1.8","1.6","19"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T07:00:00","13","8","49","0.58","61","38","313","0.17","20","83","1013","66","0","0.7","3","2.3","19"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T06:00:00","14","8","63","1.17","46","33","219","0.3","20.8","75","1013","55","0","0.6","1.3","1.3","21"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T05:00:00","12","1","29","0.44","32","62","180","0.11","21.5","70","1012","55","0","1.3","1.9","1.9","17"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T04:00:00","14","2","47","1.14","40","22","244","0.19","22.2","70","1012","55","0","0.8","3.1","3.8","24"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T03:00:00","7","1","31","0.49","27","22","97","0.11","22.4","71","1011","55","0","0.8","3.6","4","21"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T02:00:00","7","2","37","0.56","39","25","269","0.14","22","75","1011","55","0","1","2.2","2.2","21"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T01:00:00","8","2","40","0.48","40","36","345","0.11","21.5","76","1011","55","0","1.6","2.9","3.3","19"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-22T00:00:00","7","15","98","0.55","41","10","270","0.1","21.2","77","1011","55","0","1.5","5","8.1","21"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T23:00:00","3","7","55","0.62","40","31","162","0.1","21.4","77","1011","55","0","0.4","2.8","2.7","18"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T22:00:00","3","1","34","0.28","36","64","268","0.1","21.1","78","1011","55","0","0.4","2.9","2.5","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T21:00:00","3","3","41","0.25","43","55","287","0.11","20.8","81","1011","55","0","0.4","2","2","9"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T20:00:00","3","3","32","0.21","37","70","244","0.13","21","79","1010","55","0","0.4","2.7","3.9","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T19:00:00","3","6","43","0.22","40","59","253","0.17","23.5","68","1010","60","0","0.6","4.3","5.5","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T18:00:00","3","7","42","0.22","40","66","323","0.26","26.3","59","1009","184","0","0.7","3.8","4.9","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T17:00:00","4","11","42","0.25","45","69","240","0.6","27.1","55","1010","392","0","0.4","1.6","2","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T16:00:00","4","6","28","0.19","37","77","356","0.57","26.4","55","1010","536","0","0.4","1.7","2.5","14"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T15:00:00","5","6","28","0.17","35","83","18","0.95","26","53","1011","648","0","0.4","1.7","2","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T14:00:00","5","6","24","0.16","31","84","14","1.39","25.1","55","1011","722","0","0.7","3.4","4","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T13:00:00","5","6","21","0.14","27","80","17","1.23","25","54","1012","752","0","0.4","1.9","2","20"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T12:00:00","8","10","28","0.4","26","60","9","1.12","24.1","55","1013","733","0","0.6","2.8","3.7","22"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-21T11:00:00","7","12","31","0.46","31","50","15","1.07","23","59","1014","666","0","0.5","2.1","2.6","12"
