ID_CALLE,TIPO,CALLE,NUMERO,LONGITUD,LATITUD,TITULO
"1596","CALLE","CANGA ARGUELLES","15","-5.650043119","43.539649584","CALLE CANGA ARGUELLES 15"
"1596","CALLE","CANGA ARGUELLES","13","-5.650092102","43.539594696","CALLE CANGA ARGUELLES 13"
"1596","CALLE","CANGA ARGUELLES","11","-5.650180454","43.539477633","CALLE CANGA ARGUELLES 11"
"2544","CALLE","EMILIO TUYA","19","-5.650496513","43.539532517","CALLE EMILIO TUYA 19"
"2544","CALLE","EMILIO TUYA","17","-5.650606913","43.539581601","CALLE EMILIO TUYA 17"
"2544","CALLE","EMILIO TUYA","15","-5.650806869","43.539669034","CALLE EMILIO TUYA 15"
"2544","CALLE","EMILIO TUYA","13","-5.650923237","43.539719286","CALLE EMILIO TUYA 13"
"4758","CALLE","MENENDEZ PELAYO","28","-5.651069864","43.53987931","CALLE MENENDEZ PELAYO 28"
"4758","CALLE","MENENDEZ PELAYO","32","-5.650853955","43.540138045","CALLE MENENDEZ PELAYO 32"
"6750","AVDA","RUFO G RENDUELES","7","-5.651951153","43.540371801","AVDA RUFO G RENDUELES 7"
"6750","AVDA","RUFO G RENDUELES","8","-5.651355736","43.540324754","AVDA RUFO G RENDUELES 8"
"6750","AVDA","RUFO G RENDUELES","9","-5.651196132","43.540311981","AVDA RUFO G RENDUELES 9"
"4758","CALLE","MENENDEZ PELAYO","21","-5.651229781","43.540089762","CALLE MENENDEZ PELAYO 21"
"2544","CALLE","EMILIO TUYA","7","-5.651440185","43.53994317","CALLE EMILIO TUYA 7"
"2544","CALLE","EMILIO TUYA","5","-5.651618334","43.540026606","CALLE EMILIO TUYA 5"
"2544","CALLE","EMILIO TUYA","3","-5.651785415","43.540099242","CALLE EMILIO TUYA 3"
"2700","CALLE","EZCURDIA","90","-5.651611794","43.538850465","CALLE EZCURDIA 90"
"2700","CALLE","EZCURDIA","92","-5.651522979","43.538812099","CALLE EZCURDIA 92"
"2700","CALLE","EZCURDIA","94","-5.651413908","43.53876619","CALLE EZCURDIA 94"
"2700","CALLE","EZCURDIA","96","-5.651278181","43.538707934","CALLE EZCURDIA 96"
"2700","CALLE","EZCURDIA","98","-5.651070915","43.538615774","CALLE EZCURDIA 98"
"1596","CALLE","CANGA ARGUELLES","7","-5.651108978","43.538380748","CALLE CANGA ARGUELLES 7"
"1596","CALLE","CANGA ARGUELLES","5","-5.651172683","43.538309383","CALLE CANGA ARGUELLES 5"
"1596","CALLE","CANGA ARGUELLES","3","-5.651328551","43.538124719","CALLE CANGA ARGUELLES 3"
"4674","CALLE","MARQUES DE CASA VALDES","99","-5.651564169","43.537961722","CALLE MARQUES DE CASA VALDES 99"
"8628","PLAZA","CIUDAD DE LA HABANA","8","-5.683186826","43.536152459","PLAZA CIUDAD DE LA HABANA 8"
"8618","CALLE","DESFILADERO DE LOS BEYOS","7","-5.684706649","43.536454837","CALLE DESFILADERO DE LOS BEYOS 7"
"8618","CALLE","DESFILADERO DE LOS BEYOS","1","-5.682325273","43.536313139","CALLE DESFILADERO DE LOS BEYOS 1"
"8618","CALLE","DESFILADERO DE LOS BEYOS","5","-5.684194097","43.536428254","CALLE DESFILADERO DE LOS BEYOS 5"
"8628","PLAZA","CIUDAD DE LA HABANA","10","-5.683951919","43.536222446","PLAZA CIUDAD DE LA HABANA 10"
"8620","CALLE","DESFILADERO LES XANES","10","-5.683774967","43.535994406","CALLE DESFILADERO LES XANES 10"
"8620","CALLE","DESFILADERO LES XANES","12","-5.684055849","43.536012658","CALLE DESFILADERO LES XANES 12"
"8620","CALLE","DESFILADERO LES XANES","14","-5.684329806","43.536028281","CALLE DESFILADERO LES XANES 14"
"8620","CALLE","DESFILADERO LES XANES","16","-5.684576337","43.536042477","CALLE DESFILADERO LES XANES 16"
"8620","CALLE","DESFILADERO LES XANES","18","-5.684830556","43.536157063","CALLE DESFILADERO LES XANES 18"
"8620","CALLE","DESFILADERO LES XANES","20","-5.684931547","43.536357805","CALLE DESFILADERO LES XANES 20"
"8628","PLAZA","CIUDAD DE LA HABANA","1","-5.682874031","43.537758038","PLAZA CIUDAD DE LA HABANA 1"
"2460","CALLE","DOS DE MAYO","30","-5.685780296","43.538285793","CALLE DOS DE MAYO 30"
"2460","CALLE","DOS DE MAYO","32","-5.68581325","43.538007884","CALLE DOS DE MAYO 32"
"2460","CALLE","DOS DE MAYO","34","-5.685828257","43.537888781","CALLE DOS DE MAYO 34"
"2460","CALLE","DOS DE MAYO","36","-5.685844496","43.537610725","CALLE DOS DE MAYO 36"
"3810","CALLE","LLOREU","5","-5.687439118","43.537790478","CALLE LLOREU 5"
"3810","CALLE","LLOREU","3","-5.687447021","43.53800449","CALLE LLOREU 3"
"2166","CMNO","CORTIJO, DEL","11","-5.688491324","43.538143924","CMNO CORTIJO, DEL 11"
"2166","CMNO","CORTIJO, DEL","9","-5.688256352","43.538233755","CMNO CORTIJO, DEL 9"
"2166","CMNO","CORTIJO, DEL","7","-5.687854953","43.538302182","CMNO CORTIJO, DEL 7"
"2166","CMNO","CORTIJO, DEL","5","-5.687751776","43.538309012","CMNO CORTIJO, DEL 5"
"2166","CMNO","CORTIJO, DEL","17","-5.689252944","43.537012834","CMNO CORTIJO, DEL 17"
"2166","CMNO","CORTIJO, DEL","52","-5.689389722","43.537330507","CMNO CORTIJO, DEL 52"
"2166","CMNO","CORTIJO, DEL","54","-5.689428886","43.53714807","CMNO CORTIJO, DEL 54"
"2166","CMNO","CORTIJO, DEL","56","-5.689464528","43.537003351","CMNO CORTIJO, DEL 56"
"2166","CMNO","CORTIJO, DEL","58","-5.689499922","43.536844683","CMNO CORTIJO, DEL 58"
"5544","AVDA","PRINCIPE DE ASTURIAS","2","-5.689707837","43.536641715","AVDA PRINCIPE DE ASTURIAS 2"
"5544","AVDA","PRINCIPE DE ASTURIAS","4","-5.689917722","43.536752643","AVDA PRINCIPE DE ASTURIAS 4"
"5544","AVDA","PRINCIPE DE ASTURIAS","6","-5.690138092","43.536916742","AVDA PRINCIPE DE ASTURIAS 6"
"5544","AVDA","PRINCIPE DE ASTURIAS","8","-5.690166309","43.536944539","AVDA PRINCIPE DE ASTURIAS 8"
"5544","AVDA","PRINCIPE DE ASTURIAS","10","-5.690453707","43.537165863","AVDA PRINCIPE DE ASTURIAS 10"
"5544","AVDA","PRINCIPE DE ASTURIAS","14","-5.690662104","43.5373704","AVDA PRINCIPE DE ASTURIAS 14"
"5544","AVDA","PRINCIPE DE ASTURIAS","16","-5.690693511","43.537408682","AVDA PRINCIPE DE ASTURIAS 16"
"5544","AVDA","PRINCIPE DE ASTURIAS","18","-5.690965065","43.537602592","AVDA PRINCIPE DE ASTURIAS 18"
"5544","AVDA","PRINCIPE DE ASTURIAS","20","-5.69107527","43.537737303","AVDA PRINCIPE DE ASTURIAS 20"
"5544","AVDA","PRINCIPE DE ASTURIAS","22","-5.691184785","43.53787041","AVDA PRINCIPE DE ASTURIAS 22"
"5544","AVDA","PRINCIPE DE ASTURIAS","26","-5.691418842","43.538146083","AVDA PRINCIPE DE ASTURIAS 26"
"5544","AVDA","PRINCIPE DE ASTURIAS","30","-5.691632801","43.538409524","AVDA PRINCIPE DE ASTURIAS 30"
"5544","AVDA","PRINCIPE DE ASTURIAS","32","-5.691752741","43.538548777","AVDA PRINCIPE DE ASTURIAS 32"
"5544","AVDA","PRINCIPE DE ASTURIAS","34","-5.691841599","43.538654278","AVDA PRINCIPE DE ASTURIAS 34"
"1986","CALLE","CHILE","35","-5.691469119","43.538552118","CALLE CHILE 35"
"1986","CALLE","CHILE","33","-5.691287714","43.538475628","CALLE CHILE 33"
"1986","CALLE","CHILE","31","-5.691096127","43.538389492","CALLE CHILE 31"
"1986","CALLE","CHILE","29","-5.691043038","43.538211658","CALLE CHILE 29"
"1986","CALLE","CHILE","27","-5.691007324","43.538121112","CALLE CHILE 27"
"1986","CALLE","CHILE","25","-5.690877168","43.537999476","CALLE CHILE 25"
"1986","CALLE","CHILE","23","-5.69075521","43.537883769","CALLE CHILE 23"
"1986","CALLE","CHILE","13","-5.690461193","43.537790842","CALLE CHILE 13"
"1986","CALLE","CHILE","11","-5.690257113","43.537696426","CALLE CHILE 11"
"1986","CALLE","CHILE","21","-5.690589645","43.537997135","CALLE CHILE 21"
"1986","CALLE","CHILE","19","-5.69072435","43.538222676","CALLE CHILE 19"
"1986","CALLE","CHILE","17","-5.690542061","43.538142424","CALLE CHILE 17"
"1986","CALLE","CHILE","15","-5.690268176","43.53801741","CALLE CHILE 15"
"1986","CALLE","CHILE","9","-5.69031258","43.537880489","CALLE CHILE 9"
"1986","CALLE","CHILE","7","-5.690123438","43.537891794","CALLE CHILE 7"
"2460","CALLE","DOS DE MAYO","26","-5.685737181","43.538686032","CALLE DOS DE MAYO 26"
"8598","CALLE","ZARAGOZA","17","-5.685932182","43.539754673","CALLE ZARAGOZA 17"
"4464","CALLE","LEPANTO","2","-5.686060476","43.539605806","CALLE LEPANTO 2"
"4464","CALLE","LEPANTO","4","-5.686163305","43.539563502","CALLE LEPANTO 4"
"4464","CALLE","LEPANTO","6","-5.686326243","43.539496852","CALLE LEPANTO 6"
"4464","CALLE","LEPANTO","10","-5.686525694","43.539416054","CALLE LEPANTO 10"
"4464","CALLE","LEPANTO","14","-5.686836175","43.539286752","CALLE LEPANTO 14"
"4464","CALLE","LEPANTO","16","-5.686990199","43.539223976","CALLE LEPANTO 16"
"4464","CALLE","LEPANTO","20","-5.687162616","43.539154554","CALLE LEPANTO 20"
"4464","CALLE","LEPANTO","22","-5.687239603","43.539129018","CALLE LEPANTO 22"
"4464","CALLE","LEPANTO","26","-5.687443849","43.539038633","CALLE LEPANTO 26"
"4608","CALLE","MANUEL R ALVAREZ","7","-5.700907033","43.539377878","CALLE MANUEL R ALVAREZ 7"
"4608","CALLE","MANUEL R ALVAREZ","5","-5.700887915","43.539285141","CALLE MANUEL R ALVAREZ 5"
"4608","CALLE","MANUEL R ALVAREZ","3","-5.700868744","43.53920231","CALLE MANUEL R ALVAREZ 3"
"4608","CALLE","MANUEL R ALVAREZ","1","-5.700841498","43.539088337","CALLE MANUEL R ALVAREZ 1"
"5298","CALLE","PIZARRO","2","-5.701213182","43.539027355","CALLE PIZARRO 2"
"5298","CALLE","PIZARRO","4","-5.701256064","43.539139761","CALLE PIZARRO 4"
"5298","CALLE","PIZARRO","6","-5.701276294","43.539226889","CALLE PIZARRO 6"
"5298","CALLE","PIZARRO","8","-5.701296157","43.539314116","CALLE PIZARRO 8"
"5298","CALLE","PIZARRO","10","-5.701313054","43.539382054","CALLE PIZARRO 10"
"5298","CALLE","PIZARRO","12","-5.701331022","43.539468416","CALLE PIZARRO 12"
"5298","CALLE","PIZARRO","16","-5.701357951","43.539586358","CALLE PIZARRO 16"
"5298","CALLE","PIZARRO","18","-5.701375314","43.539673014","CALLE PIZARRO 18"
"5298","CALLE","PIZARRO","20","-5.701400865","43.539785046","CALLE PIZARRO 20"
"3234","CALLE","GRAN CAPITAN","27","-5.701220801","43.539887984","CALLE GRAN CAPITAN 27"
"5298","CALLE","PIZARRO","21","-5.701558988","43.539797703","CALLE PIZARRO 21"
"5298","CALLE","PIZARRO","19","-5.701553957","43.539769316","CALLE PIZARRO 19"
"5298","CALLE","PIZARRO","17","-5.701524736","43.539657146","CALLE PIZARRO 17"
"5298","CALLE","PIZARRO","15","-5.701505859","43.539542137","CALLE PIZARRO 15"
"5298","CALLE","PIZARRO","11","-5.701464138","43.539386765","CALLE PIZARRO 11"
"5298","CALLE","PIZARRO","9","-5.701445242","43.539307349","CALLE PIZARRO 9"
"5298","CALLE","PIZARRO","5","-5.701413342","43.539161253","CALLE PIZARRO 5"
"5298","CALLE","PIZARRO","3","-5.701386496","43.539050692","CALLE PIZARRO 3"
"5298","CALLE","PIZARRO","1","-5.701365102","43.538954138","CALLE PIZARRO 1"
"774","AVDA","ARGENTINA","88","-5.701441859","43.538805022","AVDA ARGENTINA 88"
"5292","CALLE","PINZON","6","-5.701759206","43.538907723","CALLE PINZON 6"
"5292","CALLE","PINZON","8","-5.701786777","43.539045548","CALLE PINZON 8"
"5292","CALLE","PINZON","10","-5.70181647","43.53917549","CALLE PINZON 10"
"5292","CALLE","PINZON","14","-5.701858234","43.539356738","CALLE PINZON 14"
"5292","CALLE","PINZON","18","-5.701882957","43.539472382","CALLE PINZON 18"
"5292","CALLE","PINZON","22","-5.701917745","43.539627684","CALLE PINZON 22"
"3234","CALLE","GRAN CAPITAN","29","-5.701767822","43.539823458","CALLE GRAN CAPITAN 29"
"5292","CALLE","PINZON","21","-5.702069992","43.539627955","CALLE PINZON 21"
"5292","CALLE","PINZON","17","-5.702044676","43.539507363","CALLE PINZON 17"
"5292","CALLE","PINZON","15","-5.702018415","43.539407152","CALLE PINZON 15"
"5292","CALLE","PINZON","13","-5.702004304","43.539337887","CALLE PINZON 13"
"5292","CALLE","PINZON","11","-5.701981636","43.539237762","CALLE PINZON 11"
"5292","CALLE","PINZON","9","-5.701970846","43.539161944","CALLE PINZON 9"
"5292","CALLE","PINZON","7","-5.701944923","43.539064318","CALLE PINZON 7"
"5292","CALLE","PINZON","3","-5.701914569","43.538938984","CALLE PINZON 3"
"5292","CALLE","PINZON","1","-5.701889855","43.538826301","CALLE PINZON 1"
"774","AVDA","ARGENTINA","94","-5.702056067","43.538735034","AVDA ARGENTINA 94"
"4572","CALLE","MAGALLANES","2","-5.70227724","43.538776623","CALLE MAGALLANES 2"
"4572","CALLE","MAGALLANES","4","-5.702295075","43.538843369","CALLE MAGALLANES 4"
"4572","CALLE","MAGALLANES","6","-5.702310876","43.538933842","CALLE MAGALLANES 6"
"4572","CALLE","MAGALLANES","8","-5.70234313","43.539071197","CALLE MAGALLANES 8"
"4572","CALLE","MAGALLANES","14","-5.702391953","43.539305129","CALLE MAGALLANES 14"
"4572","CALLE","MAGALLANES","16","-5.702418719","43.539419374","CALLE MAGALLANES 16"
"4572","CALLE","MAGALLANES","18","-5.702440201","43.539523399","CALLE MAGALLANES 18"
"3234","CALLE","GRAN CAPITAN","31","-5.702340612","43.539751478","CALLE GRAN CAPITAN 31"
"4572","CALLE","MAGALLANES","19","-5.702615196","43.539633877","CALLE MAGALLANES 19"
"4572","CALLE","MAGALLANES","17","-5.702590193","43.539509227","CALLE MAGALLANES 17"
"4572","CALLE","MAGALLANES","15","-5.702575563","43.539439434","CALLE MAGALLANES 15"
"4572","CALLE","MAGALLANES","13","-5.702563039","43.53936969","CALLE MAGALLANES 13"
"4572","CALLE","MAGALLANES","9","-5.702519579","43.53918101","CALLE MAGALLANES 9"
"4572","CALLE","MAGALLANES","7","-5.702498645","43.539080934","CALLE MAGALLANES 7"
"4572","CALLE","MAGALLANES","5","-5.702467934","43.538942102","CALLE MAGALLANES 5"
"4572","CALLE","MAGALLANES","1","-5.702430895","43.538764138","CALLE MAGALLANES 1"
"774","AVDA","ARGENTINA","112","-5.702609135","43.538670362","AVDA ARGENTINA 112"
"5028","CALLE","NUÑEZ DE BALBOA","6","-5.702833692","43.538795964","CALLE NUÑEZ DE BALBOA 6"
"5028","CALLE","NUÑEZ DE BALBOA","10","-5.702869385","43.53896592","CALLE NUÑEZ DE BALBOA 10"
"5028","CALLE","NUÑEZ DE BALBOA","12","-5.70288971","43.539057907","CALLE NUÑEZ DE BALBOA 12"
"5028","CALLE","NUÑEZ DE BALBOA","14","-5.702907333","43.539142035","CALLE NUÑEZ DE BALBOA 14"
"5028","CALLE","NUÑEZ DE BALBOA","16","-5.702925577","43.539223447","CALLE NUÑEZ DE BALBOA 16"
"5028","CALLE","NUÑEZ DE BALBOA","18","-5.70293145","43.53925239","CALLE NUÑEZ DE BALBOA 18"
"5028","CALLE","NUÑEZ DE BALBOA","22","-5.702985118","43.539508798","CALLE NUÑEZ DE BALBOA 22"
"3234","CALLE","GRAN CAPITAN","35","-5.702852977","43.539698031","CALLE GRAN CAPITAN 35"
"2670","PLAZA","EUROPA DE","17","-5.662311415","43.537145463","PLAZA EUROPA DE 17"
"2670","PLAZA","EUROPA DE","16","-5.662402383","43.537322868","PLAZA EUROPA DE 16"
"2670","PLAZA","EUROPA DE","15","-5.662477721","43.53748092","PLAZA EUROPA DE 15"
"2670","PLAZA","EUROPA DE","14","-5.662548053","43.53762082","PLAZA EUROPA DE 14"
"2076","CALLE","CONCEPCION ARENAL","4","-5.658971014","43.539051144","CALLE CONCEPCION ARENAL 4"
"2076","CALLE","CONCEPCION ARENAL","6","-5.658931485","43.538923401","CALLE CONCEPCION ARENAL 6"
"2076","CALLE","CONCEPCION ARENAL","8","-5.658899318","43.538816735","CALLE CONCEPCION ARENAL 8"
"2076","CALLE","CONCEPCION ARENAL","10","-5.658866521","43.538709813","CALLE CONCEPCION ARENAL 10"
"2076","CALLE","CONCEPCION ARENAL","12","-5.658831997","43.538594289","CALLE CONCEPCION ARENAL 12"
"2388","CALLE","DINDURRA","9","-5.658960012","43.538444359","CALLE DINDURRA 9"
"2388","CALLE","DINDURRA","7","-5.65912679","43.538405309","CALLE DINDURRA 7"
"1242","CALLE","CABRALES","43","-5.659350415","43.53861704","CALLE CABRALES 43"
"1242","CALLE","CABRALES","41","-5.659385366","43.538700304","CALLE CABRALES 41"
"1242","CALLE","CABRALES","39","-5.659442565","43.538829608","CALLE CABRALES 39"
"1242","CALLE","CABRALES","37","-5.659474421","43.5389202","CALLE CABRALES 37"
"1242","CALLE","CABRALES","88","-5.659595508","43.538689866","CALLE CABRALES 88"
"1242","CALLE","CABRALES","90","-5.659551967","43.538577883","CALLE CABRALES 90"
"1242","CALLE","CABRALES","92","-5.659506963","43.538466384","CALLE CABRALES 92"
"2388","CALLE","DINDURRA","3","-5.659622662","43.538297608","CALLE DINDURRA 3"
"2388","CALLE","DINDURRA","1","-5.659886145","43.538242719","CALLE DINDURRA 1"
"6846","CALLE","SAN BERNARDO","81","-5.660060029","43.538453562","CALLE SAN BERNARDO 81"
"6846","CALLE","SAN BERNARDO","79","-5.660113457","43.538577578","CALLE SAN BERNARDO 79"
"2388","CALLE","DINDURRA","6","-5.659070975","43.538275928","CALLE DINDURRA 6"
"2388","CALLE","DINDURRA","8","-5.658806971","43.538331953","CALLE DINDURRA 8"
"1860","CALLE","CELESTINO JUNQUERA","16","-5.65862154","43.538127471","CALLE CELESTINO JUNQUERA 16"
"1860","CALLE","CELESTINO JUNQUERA","18","-5.658621818","43.537990248","CALLE CELESTINO JUNQUERA 18"
"1860","CALLE","CELESTINO JUNQUERA","20","-5.65861228","43.537875222","CALLE CELESTINO JUNQUERA 20"
"1860","CALLE","CELESTINO JUNQUERA","22","-5.658611501","43.537726319","CALLE CELESTINO JUNQUERA 22"
"1710","AVDA","COSTA","41","-5.658886887","43.537641821","AVDA COSTA 41"
"1242","CALLE","CABRALES","53","-5.659057153","43.537826514","CALLE CABRALES 53"
"1242","CALLE","CABRALES","51","-5.659077955","43.537921577","CALLE CABRALES 51"
"1242","CALLE","CABRALES","49","-5.659163714","43.538151841","CALLE CABRALES 49"
"2388","CALLE","DINDURRA","2","-5.659774292","43.538120171","CALLE DINDURRA 2"
"2388","CALLE","DINDURRA","4","-5.659501135","43.53817912","CALLE DINDURRA 4"
"1242","CALLE","CABRALES","98","-5.659362206","43.538079171","CALLE CABRALES 98"
"1242","CALLE","CABRALES","100","-5.659317666","43.53796415","CALLE CABRALES 100"
"1242","CALLE","CABRALES","102","-5.659279481","43.537869779","CALLE CABRALES 102"
"1242","CALLE","CABRALES","104","-5.659240578","43.537770374","CALLE CABRALES 104"
"1242","CALLE","CABRALES","106","-5.65920722","43.537684174","CALLE CABRALES 106"
"1710","AVDA","COSTA","37","-5.6593777","43.537629173","AVDA COSTA 37"
"1710","AVDA","COSTA","35","-5.659553015","43.537618826","AVDA COSTA 35"
"6846","CALLE","SAN BERNARDO","89","-5.659792854","43.537779668","CALLE SAN BERNARDO 89"
"6846","CALLE","SAN BERNARDO","87","-5.659831044","43.537909297","CALLE SAN BERNARDO 87"
"1758","CALLE","CASIMIRO VELASCO","15","-5.65938988","43.539961171","CALLE CASIMIRO VELASCO 15"
"1758","CALLE","CASIMIRO VELASCO","13","-5.659279549","43.53998362","CALLE CASIMIRO VELASCO 13"
"1758","CALLE","CASIMIRO VELASCO","11","-5.65915969","43.540005551","CALLE CASIMIRO VELASCO 11"
"1758","CALLE","CASIMIRO VELASCO","9","-5.659030191","43.54002949","CALLE CASIMIRO VELASCO 9"
"4764","CALLE","MENENDEZ VALDES","32","-5.658890384","43.540001708","CALLE MENENDEZ VALDES 32"
"4764","CALLE","MENENDEZ VALDES","34","-5.658776081","43.53995437","CALLE MENENDEZ VALDES 34"
"4764","CALLE","MENENDEZ VALDES","36","-5.65863961","43.539894051","CALLE MENENDEZ VALDES 36"
"4764","CALLE","MENENDEZ VALDES","40","-5.658436389","43.53980416","CALLE MENENDEZ VALDES 40"
"2196","CALLE","COVADONGA","6","-5.658653944","43.539620491","CALLE COVADONGA 6"
"2196","CALLE","COVADONGA","8","-5.658779967","43.539601117","CALLE COVADONGA 8"
"2196","CALLE","COVADONGA","10","-5.658951249","43.539570426","CALLE COVADONGA 10"
"2196","CALLE","COVADONGA","12","-5.659007212","43.539561299","CALLE COVADONGA 12"
"2676","CALLE","EUSEBIO MIRANDA","9","-5.659274616","43.539563332","CALLE EUSEBIO MIRANDA 9"
"2676","CALLE","EUSEBIO MIRANDA","3","-5.659364671","43.539838551","CALLE EUSEBIO MIRANDA 3"
"2676","CALLE","EUSEBIO MIRANDA","2","-5.659491299","43.539841366","CALLE EUSEBIO MIRANDA 2"
"2676","CALLE","EUSEBIO MIRANDA","4","-5.65943257","43.539671122","CALLE EUSEBIO MIRANDA 4"
"1242","CALLE","CABRALES","35","-5.659746929","43.539468504","CALLE CABRALES 35"
"2196","CALLE","COVADONGA","7","-5.658813656","43.539390564","CALLE COVADONGA 7"
"2196","CALLE","COVADONGA","5","-5.658690295","43.539411082","CALLE COVADONGA 5"
"2196","CALLE","COVADONGA","3","-5.658502094","43.539443193","CALLE COVADONGA 3"
"1860","CALLE","CELESTINO JUNQUERA","2","-5.658119323","43.53918856","CALLE CELESTINO JUNQUERA 2"
"1860","CALLE","CELESTINO JUNQUERA","4","-5.658214363","43.539068328","CALLE CELESTINO JUNQUERA 4"
"1860","CALLE","CELESTINO JUNQUERA","6","-5.658321391","43.538943765","CALLE CELESTINO JUNQUERA 6"
"4674","CALLE","MARQUES DE CASA VALDES","93","-5.651837564","43.538084427","CALLE MARQUES DE CASA VALDES 93"
"4674","CALLE","MARQUES DE CASA VALDES","91","-5.65206443","43.538179328","CALLE MARQUES DE CASA VALDES 91"
"4674","CALLE","MARQUES DE CASA VALDES","87","-5.652268434","43.538271905","CALLE MARQUES DE CASA VALDES 87"
"4758","CALLE","MENENDEZ PELAYO","10","-5.652220347","43.538486266","CALLE MENENDEZ PELAYO 10"
"4758","CALLE","MENENDEZ PELAYO","12","-5.652152263","43.538567799","CALLE MENENDEZ PELAYO 12"
"4758","CALLE","MENENDEZ PELAYO","14","-5.652071783","43.538663036","CALLE MENENDEZ PELAYO 14"
