"AÑO","TITULO","FECHA_ELECCIONES","DISTRITO","SECCION","MESA","PARTIDO","NUM_VOTOS","PORCENTAJE"
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","Electores",783,100
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","PSOE",191,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","AP",302,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","PCE",20,
1983,"Elecciones Autonómicas","08-MAY-83",1,13,"U","CDS",20,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","Electores",1106,100
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","PSOE",317,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","AP",303,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","PCE",42,
1983,"Elecciones Autonómicas","08-MAY-83",1,14,"U","CDS",27,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","Electores",1008,100
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","PSOE",425,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","AP",172,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","PCE",36,
1983,"Elecciones Autonómicas","08-MAY-83",1,15,"U","CDS",27,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","Electores",864,100
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","PSOE",262,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","AP",208,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","PCE",52,
1983,"Elecciones Autonómicas","08-MAY-83",1,16,"U","CDS",28,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","Electores",1327,100
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","PSOE",437,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","AP",307,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","PCE",55,
1983,"Elecciones Autonómicas","08-MAY-83",1,17,"U","CDS",20,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","Electores",781,100
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","PSOE",176,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","AP",312,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","PCE",16,
1983,"Elecciones Autonómicas","08-MAY-83",1,18,"U","CDS",30,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","Electores",1332,100
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","PSOE",352,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","AP",471,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","PCE",35,
1983,"Elecciones Autonómicas","08-MAY-83",1,19,"U","CDS",19,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","Electores",663,100
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","PSOE",204,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","AP",171,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","PCE",21,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"A","CDS",16,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","Electores",714,100
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","PSOE",193,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","AP",201,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","PCE",25,
1983,"Elecciones Autonómicas","08-MAY-83",1,20,"B","CDS",12,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","Electores",1122,100
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","PSOE",367,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","AP",259,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","PCE",51,
1983,"Elecciones Autonómicas","08-MAY-83",1,21,"U","CDS",35,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","Electores",1052,100
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","PSOE",283,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","AP",352,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","PCE",22,
1983,"Elecciones Autonómicas","08-MAY-83",1,22,"U","CDS",35,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","Electores",1057,100
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","PSOE",436,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","AP",160,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","PCE",71,
1983,"Elecciones Autonómicas","08-MAY-83",1,23,"U","CDS",25,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","Electores",1060,100
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","PSOE",354,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","AP",258,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","PCE",43,
1983,"Elecciones Autonómicas","08-MAY-83",1,24,"U","CDS",33,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","Electores",810,100
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","PSOE",354,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","AP",119,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","PCE",57,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"A","CDS",19,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","Electores",876,100
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","PSOE",356,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","AP",107,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","PCE",91,
1983,"Elecciones Autonómicas","08-MAY-83",1,25,"B","CDS",20,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","Electores",710,100
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","PSOE",112,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","AP",328,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","PCE",18,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"A","CDS",26,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","Electores",708,100
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","PSOE",165,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","AP",335,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","PCE",12,
1983,"Elecciones Autonómicas","08-MAY-83",1,26,"B","CDS",14,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","Electores",861,100
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","PSOE",234,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","AP",269,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","PCE",27,
1983,"Elecciones Autonómicas","08-MAY-83",1,27,"U","CDS",25,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","Electores",1228,100
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,28,"U","PSOE",477,
