NOMBRE,UBICACION,OBJETO,TITULO,AUTOR,TEMA,MATERIALES,MEDIDAS
"Solidaridad","Senda del Cervigón, El Rinconín","Escultura","Solidaridad","Pepe Noja","Escultura","Acero inoxidable",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Chibaletes","Almacén Calle Honesto Batalón","294 cajas de chibaletes conteniendo tipos de plomo","Chibaletes","Litografía Viña","","",""
"Materiales y equipo para composición tipográfica","Almacén Calle Honesto Batalón","Materiales y equipos para composición tipográfica y fotograb","Materiales y equipo para composición tipográfica","Litografía Viña","","",""
"Tablillas soporte conteniendo composiciones litográficas","Almacén Calle Honesto Batalón","28 tablillas soporte conteniendo composiciones litograficas","Tablillas soporte conteniendo composiciones litográficas","Litografía Viña","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de Piedra Litográfica.","Almacen en la cl. Honesto Batalón.","Piedra litográfica.","Matriz de Piedra Litográfica.","Litografía Viña.","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Érase una vez un árbol","Jardín Botánico de Gijón","Escultura de Arte Público","Érase una vez un árbol","Carmen Cantón","","Madera de roble",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Matriz de piedra litográfica","Almacén calle Honesto Batalón","piedra litográfica","Matriz de piedra litográfica","Litografía Viña","","",""
"Piedra litográfica dibujada","Almacén calle Honesto Batalón 14 -16","piedra litográfica","Piedra litográfica dibujada","Litografía Viña","","",""
"Piedra litográfica dibujada","Almacén calle Honesto Batalón 14 -16","piedra litográfica","Piedra litográfica dibujada","Litografía Viña","","",""
"Piedra litográfica dibujada","Almacén calle Honesto Batalón 14 -16","piedra litográfica","Piedra litográfica dibujada","Litografía Viña","","",""
"Piedra litográfica dibujada","Almacén calle Honesto Batalón 14 -16","piedra litográfica","Piedra litográfica dibujada","Litografía Viña","","",""
"Piedra litográfica dibujada","Almacén calle Honesto Batalón 14 -16","piedra litográfica","Piedra litográfica dibujada","Litografía Viña","","",""
"Piedra litográfica dibujada","Almacén calle Honesto Batalón 14 -16","piedra litográfica","Piedra litográfica dibujada","Litografía Viña","","",""
