CALLE,NUMERO,POTENCIA (W),LONGITUD,LATITUD
"Av. del Jardín Botánico","852","17320","-5.629350787","43.527554114"
"Cienfuegos","12","23100","-5.65772963","43.535541623"
"Francisco de Paula","1","19800","-5.659014219","43.535560345"
"Av. del Llano","19","45000","-5.660293546","43.534302792"
"Fernando Morán Lavandera","16","31180","-5.660973706","43.535289975"
"Av. Juan Carlos I","2A","27710","-5.672915629","43.541378094"
"Vicente Innenariti","9","55000","-5.650357736","43.536265128"
"Aguado","30","20790","-5.648999341","43.53894719"
"Manso","22","23000","-5.647137973","43.538940825"
"Piles","20","19800","-5.647953914","43.538179095"
"Doctor Aquilino Hurlé","29","20790","-5.648019942","43.53851971"
"General Suarez Valdes","2","9200","-5.648312182","43.536044262"
"Plaza del Humedal","","32900","-5.666319747","43.540349073"
"Av. Portugal ","80","6900","-5.676102921","43.535627271"
"Naranjo de Bulnes","6","10390","-5.681315274","43.525868772"
"Av. de Rufo Garcia Rendueles","12","50000","-5.649117461","43.540219754"
"Fernando Vela","","3460","-5.667745265","43.526725314"
""G" Camineros","14","5200","-5.653431047","43.486087593"
"Camino Real","","3460","-5.810934274","43.506522392"
"Carretera de Serín","","3460","-5.802966637","43.505983693"
"Carretera de Serín","","3460","-5.795168952","43.503011486"
"Av. de la Economia Social","864","31180","-5.711245706","43.521318079"
"Av.Principe de Asturias","","34640","-5.681904098","43.532953474"
"Boal","15","6900","-5.698893317","43.539822868"
"Central","Frente 2","9200","-5.698882404","43.540238472"
"Aire","9","3460","-5.692212927","43.537974171"
"Camino de Paquet","305","20790","-5.704955107","43.542949866"
"Manuel R Álvarez","6","6600","-5.70072476","43.539404398"
"Los Andes","13","6900","-5.695102933","43.537719561"
"Camino de Rubín","6","6900","-5.706554329","43.539019913"
"Av.Principe de Asturias","18","29600","-5.690995988","43.537569399"
"Parque de la Estrella","","3460","-5.689700154","43.539609656"
"Camino Fabrica de Loza","19","6900","-5.683458001","43.53922343"
"Roncal","34","5200","-5.669076245","43.526534671"
"Ramón Areces","7","43650","-5.677994791","43.524632293"
"Rio EO","13","3460","-5.677122312","43.525798664"
"Ana Maria","2","3300","-5.668511364","43.52694719"
"Plaza de Toros","","20790","-5.644923679","43.535675468"
"Zorrilla","5","6930","-5.65210926","43.529350309"
"Tejerona","5","36400","-5.653657293","43.528962573"
"Camino de la Tejerona","36","5200","-5.653195474","43.528248762"
"Juan Botas","","10390","-5.653523858","43.528027833"
"Conde de Toreno","20","3450","-5.653411114","43.531035395"
"Av. de Pablo Iglesias","94","6600","-5.647426938","43.535402912"
"Campoamor","","6600","-5.653535146","43.533815151"
"Ramón y Cajal","30","3460","-5.653731748","43.534005876"
"General Suarez Valdes","35","6900","-5.648530802","43.530697753"
"Feijoo","88","19800","-5.645812143","43.531979972"
"Arrieta","14","6930","-5.646330001","43.532722857"
"San Rafael","26","6900","-5.659092113","43.533075454"
"Ramiro I","30","13860","-5.658706032","43.53035889"
"Felicidad","Frente 14","6930","-5.659524857","43.5296432"
"Tejerona","55","5750","-5.654268496","43.530048912"
"Av. del Mar Cantábrico","10","20790","-5.654148765","43.523474563"
"Rio Narcea","18","41500","-5.66528816","43.519329024"
"Rio Cares","20","3460","-5.665719571","43.519623376"
"Rio Nalón","8","9200","-5.664701529","43.521756192"
"Juan Muñiz Zapico","2","43650","-5.663576144","43.521842497"
"San Juan","56","6900","-5.663961883","43.522074444"
"San Félix","1","26400","-5.66655215","43.524490329"
"Av. Salvador Allende","25","5760","-5.682272379","43.51809805"
"Av. Argentina","77","3460","-5.703106836","43.538135877"
"Grupo Nuestra Señora del Carmen","3","20790","-5.701986836","43.552250446"
"Grupo Virgen de la Soledad","6","3450","-5.703577684","43.553431204"
"Grupo Virgen de la Soledad","Frente 20","9200","-5.702989027","43.554023897"
"Camino Eria de Polía","18","10390","-5.702232512","43.546218932"
"Camino Viejo del Musel","755","9200","-5.704222854","43.550476464"
"Camino del Monte de la Llana","119","6900","-5.714077139","43.550642188"
"Las Escuelas","23","4600","-5.705250403","43.560320207"
"Av. de los Campones","88","3460","-5.696398087","43.530548611"
"Camino del Peñeu","520","3450","-5.653648463","43.474865731"
"Av. de la Pecuaria","209","34640","-5.615797229","43.526903672"
"Severo Ochoa","28","10390","-5.673398754","43.529071074"
"Plaza de los Donantes","3","34640","-5.67137997","43.517668484"
"Miguel de Unamuno","4","27710","-5.671426282","43.518667369"
"Eleuterio Quintanilla","21","13200","-5.668679846","43.531406905"
"Echegaray","20","6900","-5.667012392","43.531821943"
"Los Angeles","5","5200","-5.657021546","43.532567923"
"Camino de Villaverde","1135","6900","-5.661682627","43.479365812"
"Camino de Cabuezo","624","6900","-5.671291168","43.485487391"
"Camino de Güerces","1028","4400","-5.661556862","43.489022551"
"Camino de Paniceres","213","6900","-5.65863795","43.488793934"
"Carretera de Pola de Siero","3486","9200","-5.647506219","43.494739068"
"Carretera de Pola de Siero","4604","5200","-5.637110329","43.491356002"
"Carretera de Lavandera","1098","6900","-5.650220636","43.484415539"
"Camino de la Piquiella","542","3450","-5.641908256","43.491018241"
""A" Artilleros","6","6930","-5.651029919","43.486228518"
"Luis Adaro Ruiz-Falcó","","50000","-5.638294602","43.536956066"
"Camín de La Escuela","","3450","-5.717884695","43.536092632"
"Manuel Vigil Montoto","","20790","-5.71615751","43.536115882"
"Camín de la Cuesta","","2080","-5.718418254","43.544360113"
"Solar","","6900","-5.707890362","43.536115675"
"Camino de la Estación de Veriña","825","6600","-5.72391657","43.541669723"
"Senda de la Falconera","245","2300","-5.727367857","43.547281478"
"Carretera Gijón- Avilés","","2300","-5.728225386","43.545395234"
"Espinosa","2","3450","-5.707944224","43.538178703"
"Bazán","20","6900","-5.695212913","43.532421011"
"Aida Lafuente","","27710","-5.700721794","43.532421378"
"Camino del Melón","Frente 22","17320","-5.6970684","43.5338344"
"Solidaridad","32","43650","-5.696544818","43.52953699"
"Camino de la Iglesia Tremañes","","5750","-5.695139519","43.529514868"
"Camino del Cementerio deTremañes","1790","3450","-5.698346389","43.518661312"
"El Birle","1","13200","-5.708531267","43.526762257"
"Peñona","","3450","-5.718324688","43.525606754"
"Camino de Lloreda a Porceyo","63","6900","-5.714917382","43.520162846"
"Carretera de Sotiello","","6900","-5.713176222","43.518376432"
"Camino de la Torre","","6900","-5.690927247","43.525375251"
