Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Ozono quimioluminiscente,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
30/10/2017 04:00,19.3,1.0,8.0,8.0,,51.0,50.0,1.6,40,10.6,67,949,4,0.0
30/10/2017 03:00,19.4,1.0,6.0,10.0,,53.0,52.0,2.1,52,11.0,66,950,4,0.0
30/10/2017 02:00,19.3,1.0,7.0,15.0,,52.0,52.0,2.0,53,11.3,64,950,4,0.0
30/10/2017 01:00,19.3,1.0,10.0,22.0,,49.0,47.0,1.4,51,11.5,60,950,4,0.0
30/10/2017 00:00,19.4,2.0,15.0,19.0,,45.0,44.0,1.8,60,12.3,54,950,4,0.0
29/10/2017 23:00,19.7,3.0,27.0,14.0,,37.0,36.0,2.4,59,13.5,44,950,4,0.0
29/10/2017 22:00,19.6,6.0,36.0,15.0,,32.0,31.0,2.0,53,14.5,35,950,4,0.0
29/10/2017 21:00,19.7,21.0,66.0,14.0,,14.0,13.0,1.1,47,15.4,30,950,4,0.0
29/10/2017 20:00,19.9,57.0,99.0,14.0,,2.0,2.0,1.3,51,16.5,26,950,4,0.0
29/10/2017 19:00,20.1,44.0,92.0,5.0,,4.0,5.0,1.0,59,17.7,24,950,4,0.0
29/10/2017 18:00,20.8,31.0,76.0,5.0,,21.0,22.0,1.0,49,19.6,20,950,6,0.0
29/10/2017 17:00,21.4,7.0,27.0,5.0,,66.0,66.0,1.7,55,22.1,17,950,97,0.0
29/10/2017 16:00,21.8,5.0,16.0,5.0,,80.0,80.0,2.1,55,23.0,16,950,291,0.0
29/10/2017 15:00,21.9,4.0,13.0,8.0,,82.0,82.0,2.3,41,23.0,17,950,434,0.0
29/10/2017 14:00,21.4,6.0,16.0,12.0,,76.0,75.0,1.3,350,22.1,22,951,536,0.0
29/10/2017 13:00,21.0,9.0,19.0,15.0,,70.0,69.0,1.9,11,19.9,26,952,592,0.0
29/10/2017 12:00,20.7,9.0,20.0,15.0,,69.0,67.0,2.3,46,17.9,28,953,579,0.0
29/10/2017 11:00,20.1,8.0,19.0,15.0,,61.0,60.0,1.4,61,15.9,34,954,505,0.0
29/10/2017 10:00,19.9,9.0,18.0,16.0,,57.0,55.0,1.3,35,13.7,39,955,388,0.0
29/10/2017 09:00,19.4,7.0,19.0,17.0,,44.0,43.0,1.5,27,11.3,50,954,247,0.0
29/10/2017 08:00,18.9,8.0,26.0,15.0,,33.0,33.0,0.9,22,9.5,57,954,76,0.0
29/10/2017 07:00,18.9,3.0,21.0,8.0,,40.0,40.0,1.1,13,8.4,59,954,7,0.0
29/10/2017 06:00,,,,,,,,,,,,,,,
29/10/2017 05:00,19.2,1.0,12.0,7.0,,49.0,48.0,1.7,29,9.5,58,953,4,0.0
29/10/2017 04:00,19.4,1.0,11.0,8.0,,54.0,54.0,2.1,35,10.3,55,953,4,0.0
29/10/2017 03:00,19.4,1.0,11.0,11.0,,59.0,58.0,2.1,38,11.0,50,954,4,0.0
29/10/2017 02:00,19.4,2.0,9.0,14.0,,64.0,63.0,2.1,46,11.7,48,954,4,0.0
29/10/2017 01:00,19.4,2.0,13.0,19.0,,64.0,63.0,1.8,50,12.6,45,954,4,0.0
29/10/2017 00:00,19.5,3.0,22.0,17.0,,54.0,53.0,1.5,43,13.4,45,955,4,0.0
28/10/2017 23:00,19.6,3.0,23.0,15.0,,55.0,54.0,1.9,52,14.4,44,955,4,0.0
28/10/2017 22:00,19.7,10.0,48.0,18.0,,31.0,30.0,1.5,46,14.7,43,955,4,0.0
28/10/2017 21:00,19.9,13.0,58.0,19.0,,30.0,30.0,1.2,45,16.0,39,954,4,0.0
28/10/2017 20:00,19.9,48.0,74.0,21.0,,25.0,24.0,0.9,72,16.9,37,954,4,0.0
28/10/2017 19:00,20.1,58.0,91.0,13.0,,10.0,9.0,0.6,81,18.2,34,954,4,0.0
28/10/2017 18:00,20.9,25.0,64.0,9.0,,32.0,31.0,0.9,73,20.1,32,954,7,0.0
28/10/2017 17:00,21.5,8.0,32.0,10.0,,70.0,70.0,1.7,46,22.3,28,954,97,0.0
28/10/2017 16:00,21.8,5.0,17.0,6.0,,84.0,83.0,2.4,56,22.8,26,953,289,0.0
28/10/2017 15:00,21.9,4.0,13.0,11.0,,87.0,86.0,2.8,55,22.5,27,954,430,0.0
28/10/2017 14:00,21.7,4.0,12.0,11.0,,85.0,83.0,2.7,61,22.0,28,954,533,0.0
28/10/2017 13:00,21.2,9.0,18.0,15.0,,77.0,75.0,3.0,59,21.4,30,955,588,0.0
28/10/2017 12:00,21.0,11.0,20.0,17.0,,72.0,70.0,3.1,60,20.0,35,956,574,0.0
28/10/2017 11:00,20.9,11.0,21.0,18.0,,63.0,61.0,2.2,58,18.3,44,956,503,0.0
28/10/2017 10:00,20.3,13.0,21.0,22.0,,51.0,49.0,2.0,55,16.2,52,957,386,0.0
28/10/2017 09:00,19.6,17.0,30.0,28.0,,33.0,32.0,1.5,48,14.4,58,957,244,0.0
28/10/2017 08:00,19.0,52.0,53.0,27.0,,7.0,7.0,0.7,30,12.0,65,957,75,0.0
28/10/2017 07:00,18.9,52.0,48.0,22.0,,1.0,1.0,0.3,71,9.8,73,957,7,0.0
28/10/2017 05:00,,,,,,,,,,,,,,,
28/10/2017 04:00,19.1,8.0,33.0,17.0,,13.0,14.0,0.4,37,11.5,65,956,4,0.0
28/10/2017 03:00,19.2,3.0,27.0,14.0,,24.0,24.0,0.7,41,12.5,61,956,4,0.0
28/10/2017 02:00,19.3,2.0,27.0,20.0,,26.0,26.0,1.1,19,13.1,58,956,4,0.0
28/10/2017 01:00,19.5,6.0,40.0,23.0,,17.0,16.0,0.9,10,13.6,54,957,4,0.0
28/10/2017 00:00,19.9,4.0,31.0,16.0,,29.0,30.0,0.7,36,15.0,48,957,4,0.0
27/10/2017 23:00,20.0,3.0,17.0,13.0,,47.0,46.0,1.8,71,16.6,43,957,4,0.0
27/10/2017 22:00,20.1,2.0,15.0,13.0,,55.0,54.0,2.5,79,18.4,35,957,4,0.0
27/10/2017 21:00,20.5,4.0,21.0,26.0,,53.0,53.0,3.2,69,19.8,31,957,4,0.0
27/10/2017 20:00,20.8,8.0,29.0,32.0,,49.0,48.0,3.3,57,21.2,29,957,4,0.0
27/10/2017 19:00,21.0,10.0,28.0,33.0,,53.0,52.0,4.4,43,22.7,27,957,4,0.0
27/10/2017 18:00,21.1,14.0,34.0,36.0,,51.0,50.0,4.3,42,23.8,24,957,7,0.0
27/10/2017 17:00,21.8,19.0,42.0,54.0,,46.0,46.0,3.3,39,25.7,22,957,97,0.0
27/10/2017 16:00,22.0,17.0,31.0,65.0,,49.0,48.0,4.0,39,26.9,22,957,278,0.0
27/10/2017 15:00,22.0,18.0,30.0,68.0,,49.0,48.0,3.8,42,27.4,23,957,420,0.0
27/10/2017 14:00,22.0,17.0,27.0,70.0,,52.0,51.0,3.5,29,27.3,24,957,519,0.0
27/10/2017 13:00,22.0,28.0,44.0,64.0,,40.0,39.0,2.2,39,26.2,29,958,570,0.0
27/10/2017 12:00,21.4,29.0,49.0,61.0,,37.0,35.0,1.6,44,23.8,34,959,557,0.0
27/10/2017 11:00,20.9,36.0,50.0,56.0,,29.0,28.0,1.6,47,20.3,39,960,487,0.0
27/10/2017 10:00,20.2,35.0,48.0,52.0,,25.0,24.0,1.4,43,17.8,43,960,374,0.0
27/10/2017 09:00,19.9,33.0,50.0,47.0,,20.0,19.0,1.8,41,15.4,48,960,231,0.0
27/10/2017 08:00,19.2,58.0,66.0,44.0,,6.0,6.0,1.6,23,13.3,54,960,75,0.0
27/10/2017 07:00,19.2,71.0,74.0,30.0,,3.0,4.0,1.3,25,12.6,55,959,9,0.0
27/10/2017 06:00,19.3,16.0,43.0,18.0,,17.0,18.0,2.0,34,12.5,56,959,4,0.0
27/10/2017 05:00,,,,,,,,,,,,,,,
27/10/2017 04:00,19.7,1.0,15.0,17.0,,44.0,43.0,2.5,39,13.3,55,959,4,0.0
27/10/2017 03:00,19.7,1.0,19.0,15.0,,43.0,43.0,2.6,37,14.0,53,959,4,0.0
27/10/2017 02:00,19.8,1.0,22.0,18.0,,40.0,39.0,1.9,36,14.3,53,959,4,0.0
27/10/2017 01:00,19.9,1.0,20.0,21.0,,45.0,45.0,2.1,44,15.3,50,959,4,0.0
27/10/2017 00:00,19.8,3.0,45.0,29.0,,23.0,23.0,1.9,36,15.6,50,959,4,0.0
26/10/2017 23:00,20.0,18.0,71.0,38.0,,4.0,4.0,1.1,26,16.0,50,959,4,0.0
26/10/2017 22:00,20.0,50.0,99.0,43.0,,1.0,1.0,1.6,34,17.3,47,959,4,0.0
26/10/2017 21:00,20.0,112.0,111.0,54.0,,1.0,1.0,0.6,31,16.8,51,959,4,0.0
26/10/2017 20:00,20.3,168.0,129.0,62.0,,1.0,1.0,0.4,55,17.5,51,958,4,0.0
26/10/2017 19:00,20.8,256.0,155.0,58.0,,1.0,1.0,0.4,54,18.9,48,958,4,0.0
26/10/2017 18:00,21.4,219.0,144.0,46.0,,1.0,1.0,0.3,65,22.5,40,957,7,0.0
26/10/2017 17:00,22.0,61.0,89.0,30.0,,50.0,50.0,0.2,229,26.6,27,957,97,0.0
26/10/2017 16:00,22.2,12.0,54.0,23.0,,64.0,62.0,0.6,296,27.0,26,957,275,0.0
26/10/2017 15:00,22.3,11.0,41.0,22.0,,68.0,66.0,0.7,283,26.8,27,957,436,0.0
26/10/2017 14:00,22.1,13.0,43.0,25.0,,61.0,58.0,0.6,232,26.0,29,957,538,0.0
26/10/2017 13:00,21.9,13.0,36.0,24.0,,58.0,57.0,0.6,248,24.7,32,958,596,0.0
26/10/2017 12:00,21.4,13.0,32.0,28.0,,54.0,51.0,0.6,50,22.6,36,958,579,0.0
26/10/2017 11:00,20.9,33.0,46.0,35.0,,31.0,29.0,0.7,15,19.6,42,959,506,0.0
26/10/2017 10:00,20.3,57.0,57.0,37.0,,15.0,15.0,1.5,41,16.2,50,959,389,0.0
26/10/2017 09:00,19.8,59.0,54.0,39.0,,10.0,10.0,1.4,36,14.0,55,958,249,0.0
26/10/2017 08:00,19.2,93.0,68.0,29.0,,2.0,3.0,0.9,42,12.2,59,958,79,0.0
26/10/2017 07:00,19.2,92.0,72.0,23.0,,1.0,1.0,1.4,36,10.9,64,958,8,0.0
26/10/2017 06:00,19.2,43.0,56.0,18.0,,1.0,1.0,1.5,40,11.1,64,957,4,0.0
26/10/2017 05:00,,,,,,,,,,,,,,,
26/10/2017 04:00,19.2,4.0,38.0,23.0,,10.0,10.0,1.3,42,12.0,61,957,4,0.0
26/10/2017 03:00,19.3,3.0,41.0,25.0,,7.0,7.0,1.0,39,12.5,60,957,4,0.0
26/10/2017 02:00,19.5,5.0,54.0,26.0,,1.0,1.0,0.9,34,13.4,57,957,4,0.0
26/10/2017 01:00,19.6,15.0,60.0,29.0,,1.0,2.0,1.5,41,14.1,56,956,4,0.0
26/10/2017 00:00,19.5,41.0,70.0,36.0,,1.0,1.0,0.9,39,14.6,56,957,4,0.0
25/10/2017 23:00,19.8,89.0,85.0,46.0,,1.0,1.0,0.6,22,15.6,53,956,4,0.0
25/10/2017 22:00,20.0,154.0,106.0,49.0,,1.0,1.0,0.8,9,15.9,52,956,4,0.0
25/10/2017 21:00,20.0,156.0,116.0,54.0,,1.0,1.0,0.2,346,16.7,49,956,4,0.0
25/10/2017 20:00,20.4,201.0,136.0,48.0,,1.0,1.0,0.3,52,17.9,48,955,4,0.0
25/10/2017 19:00,20.9,164.0,125.0,47.0,,1.0,1.0,0.5,49,20.1,41,955,4,0.0
25/10/2017 18:00,21.5,160.0,137.0,36.0,,1.0,2.0,0.4,326,22.7,36,954,10,0.0
25/10/2017 17:00,22.0,21.0,74.0,21.0,,37.0,37.0,0.8,273,25.7,28,954,109,0.0
25/10/2017 16:00,22.1,6.0,31.0,18.0,,68.0,67.0,0.5,269,27.0,26,954,296,0.0
25/10/2017 15:00,22.1,7.0,22.0,19.0,,72.0,70.0,0.8,162,25.6,28,954,424,0.0
25/10/2017 14:00,22.0,8.0,28.0,23.0,,64.0,62.0,1.1,180,24.5,31,954,542,0.0
25/10/2017 13:00,21.9,10.0,26.0,28.0,,61.0,59.0,1.1,166,23.1,34,955,602,0.0
25/10/2017 12:00,21.3,15.0,35.0,31.0,,49.0,47.0,0.8,238,21.9,36,956,586,0.0
25/10/2017 11:00,20.8,22.0,40.0,33.0,,36.0,34.0,0.6,5,19.6,41,956,515,0.0
25/10/2017 10:00,20.1,55.0,49.0,35.0,,15.0,15.0,1.0,41,16.3,50,956,396,0.0
25/10/2017 09:00,19.5,68.0,51.0,36.0,,8.0,8.0,1.2,57,13.6,57,956,253,0.0
25/10/2017 08:00,19.1,146.0,83.0,27.0,,2.0,2.0,1.1,35,11.3,65,955,84,0.0
25/10/2017 07:00,19.0,129.0,72.0,22.0,,1.0,1.0,0.7,30,10.0,70,955,9,0.0
25/10/2017 06:00,19.0,55.0,52.0,15.0,,1.0,1.0,1.0,43,10.5,68,955,4,0.0
25/10/2017 05:00,,,,,,,,,,,,,,,
25/10/2017 04:00,19.2,3.0,33.0,15.0,,11.0,11.0,1.4,34,11.5,64,955,4,0.0
25/10/2017 03:00,19.2,3.0,37.0,18.0,,8.0,8.0,1.3,33,11.9,62,955,4,0.0
25/10/2017 02:00,19.2,7.0,49.0,23.0,,1.0,1.0,0.8,53,12.3,62,955,4,0.0
25/10/2017 01:00,19.4,8.0,55.0,23.0,,1.0,1.0,0.7,34,13.6,56,955,4,0.0
25/10/2017 00:00,19.5,27.0,65.0,28.0,,1.0,1.0,1.2,34,14.4,54,955,4,0.0
24/10/2017 23:00,19.6,67.0,79.0,33.0,,1.0,1.0,1.2,29,14.7,53,955,4,0.0
24/10/2017 22:00,19.8,79.0,86.0,42.0,,1.0,1.0,0.8,23,15.1,52,955,4,0.0
24/10/2017 21:00,20.0,150.0,109.0,47.0,,1.0,1.0,0.3,55,15.5,52,954,4,0.0
24/10/2017 20:00,20.1,158.0,117.0,48.0,,1.0,1.0,0.7,66,16.8,47,954,4,0.0
24/10/2017 19:00,20.5,180.0,119.0,43.0,,1.0,1.0,0.5,68,18.1,47,954,4,0.0
24/10/2017 18:00,21.1,161.0,129.0,26.0,,1.0,1.0,0.2,0,21.2,36,954,9,0.0
24/10/2017 17:00,21.9,19.0,55.0,18.0,,40.0,41.0,1.0,255,23.8,28,954,109,0.0
24/10/2017 16:00,21.9,11.0,39.0,16.0,,53.0,53.0,0.8,225,24.6,26,954,303,0.0
24/10/2017 15:00,21.9,5.0,18.0,13.0,,71.0,70.0,1.2,174,23.7,26,954,445,0.0
24/10/2017 14:00,21.9,6.0,19.0,15.0,,68.0,66.0,1.3,167,23.2,27,954,547,0.0
24/10/2017 13:00,21.7,8.0,24.0,22.0,,62.0,60.0,1.3,201,22.3,27,955,603,0.0
24/10/2017 12:00,21.0,17.0,34.0,22.0,,44.0,43.0,0.6,242,21.6,31,956,591,0.0
24/10/2017 11:00,20.6,26.0,42.0,22.0,,34.0,32.0,0.8,46,18.3,37,957,516,0.0
24/10/2017 10:00,20.1,33.0,43.0,27.0,,26.0,25.0,1.9,49,15.4,45,957,396,0.0
24/10/2017 09:00,19.7,56.0,52.0,25.0,,12.0,11.0,2.3,40,12.6,53,957,261,0.0
24/10/2017 08:00,19.2,91.0,68.0,19.0,,3.0,3.0,1.7,34,10.8,58,956,85,0.0
24/10/2017 07:00,19.1,61.0,63.0,15.0,,1.0,1.0,2.1,32,10.3,59,956,9,0.0
24/10/2017 06:00,19.1,37.0,58.0,11.0,,2.0,3.0,2.1,23,10.5,57,956,4,0.0
