nombre,fecha de inicio,fecha de fin,hora de inicio,hora de fin,lugar,dirección,precio,más información,imagen
"Juan Perro en concierto: 'El viaje'","10/11/2017","10/11/2017","20:00:00","00:00:00","Auditorio Pilar Bardem","","11 euros (consultar descuentos). Espectáculo incluido en el abono de temporada.","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32354&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_21663_1.jpg"
"Encuentro slackline","11/11/2017","11/11/2017","12:00:00","14:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32910&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22206_1.jpg"
"Iniciación al breakdance","11/11/2017","11/11/2017","19:30:00","21:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=31738&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_21194_1.jpg"
"Torneo de futbolin","16/11/2017","16/11/2017","19:00:00","21:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32902&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_6223_1.jpg"
"Iniciación al skateboard","17/11/2017","17/11/2017","17:00:00","19:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32904&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22205_1.jpg"
"Jornada lúdica: reivindicando el derecho a jugar","17/11/2017","17/11/2017","17:30:00","19:30:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32944&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"5ª JORNADA SOBRE CRIANZA RESPETUOSA, MATERNIDAD Y PATERNIDAD. 2017","18/11/2017","18/11/2017","09:30:00","20:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32946&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Alimentación infantil, saludable y sin conflictos","18/11/2017","18/11/2017","10:00:00","11:30:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32954&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Presentación de la guía de primeros auxilios para padres","18/11/2017","18/11/2017","17:00:00","18:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32960&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Papás al micro","18/11/2017","18/11/2017","17:00:00","18:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32956&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Taller: ¿Qué podemos hacer cuando nuestros hijos e hijas lloran? Acompañamiento respetuoso del llando infantil","18/11/2017","18/11/2017","18:00:00","20:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32962&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Taller: Patios de colegios inclusivos y sostenibles: cómo lograr el cambio","18/11/2017","18/11/2017","18:00:00","20:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32964&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Música, Magia y risas en familia","19/11/2017","19/11/2017","12:00:00","13:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32948&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Tenemos un plan!!!","20/11/2017","20/11/2017","18:00:00","00:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32950&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Taller módulos skate","22/11/2017","22/11/2017","17:00:00","19:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=21352&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_16467_1.jpg"
"Taller módulos skate","24/11/2017","24/11/2017","17:00:00","19:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32906&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_16467_1.jpg"
"Juegos de estimulación para bebés","24/11/2017","24/11/2017","17:00:00","19:45:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=31262&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_20962_1.jpg"
"Cuentos para niños y niñas","24/11/2017","24/11/2017","18:00:00","19:00:00","Biblioteca Federico García Lorca","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32966&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_6321_1.jpg"
"Noche de juegos","24/11/2017","24/11/2017","19:00:00","21:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=28960&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_17833_1.jpg"
"Teatro: 'Miguel de Molina al desnudo'","24/11/2017","24/11/2017","20:00:00","00:00:00","Auditorio Pilar Bardem","","11 euros (consultar descuentos). Espectáculo incluido en el abono de temporada.","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=30616&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_21661_1.jpg"
"Cuentacuentos 'Ni un besito a la fuerza'","25/11/2017","25/11/2017","11:00:00","00:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32952&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Let's go con la biblio: grupo de conversación en inglés","25/11/2017","25/11/2017","12:00:00","13:30:00","Biblioteca Federico García Lorca","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32968&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_6321_1.jpg"
"El Trueque del Juguete","27/11/2017","01/12/2017","17:30:00","19:30:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=27986&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/3_15474_1.jpg"
