DISTRITO,SECCION,MESA,OPCION,VOTOS
01,006,C,LCE,0
01,006,C,LV,3
01,006,C,LVGVE,3
01,006,C,MSR,0
01,006,C,PACMA,1
01,006,C,PCPE,0
01,006,C,PFV,0
01,006,C,PH,0
01,006,C,PMMJ,1
01,006,C,POSI,0
01,006,C,PP,139
01,006,C,PRC,0
01,006,C,PSA,0
01,006,C,PSOE,120
01,006,C,SAI,0
01,006,C,SZL,0
01,006,C,UCE,0
01,006,C,UCL,0
01,006,C,UNA,0
01,006,C,UPYD,40
01,006,C,UV,0
01,007,A,AA,0
01,007,A,AE,2
01,007,A,BL,4
01,007,A,CDL,0
01,007,A,CDS,0
01,007,A,CPE,0
01,007,A,DN,0
01,007,A,EU,0
01,007,A,FA,0
01,007,A,FEJ,1
01,007,A,FN,1
01,007,A,IARV,1
01,007,A,IF,0
01,007,A,IILSEP,2
01,007,A,IUCMLI,75
01,007,A,LCE,0
01,007,A,LV,2
01,007,A,LVGVE,3
01,007,A,MSR,0
01,007,A,PACMA,2
01,007,A,PCPE,1
01,007,A,PFV,1
01,007,A,PH,0
01,007,A,PMMJ,0
01,007,A,POSI,0
01,007,A,PP,63
01,007,A,PRC,0
01,007,A,PSA,0
01,007,A,PSOE,223
01,007,A,SAI,0
01,007,A,SZL,0
01,007,A,UCE,0
01,007,A,UCL,0
01,007,A,UNA,0
01,007,A,UPYD,18
01,007,A,UV,0
01,007,B,AA,0
01,007,B,AE,0
01,007,B,BL,5
01,007,B,CDL,0
01,007,B,CDS,0
01,007,B,CPE,0
01,007,B,DN,0
01,007,B,EU,0
01,007,B,FA,0
01,007,B,FEJ,0
01,007,B,FN,1
01,007,B,IARV,1
01,007,B,IF,4
01,007,B,IILSEP,1
01,007,B,IUCMLI,64
01,007,B,LCE,1
01,007,B,LV,3
01,007,B,LVGVE,5
01,007,B,MSR,1
01,007,B,PACMA,1
01,007,B,PCPE,1
01,007,B,PFV,0
01,007,B,PH,0
01,007,B,PMMJ,0
01,007,B,POSI,1
01,007,B,PP,68
01,007,B,PRC,0
01,007,B,PSA,0
01,007,B,PSOE,179
01,007,B,SAI,0
01,007,B,SZL,0
01,007,B,UCE,0
01,007,B,UCL,0
01,007,B,UNA,0
01,007,B,UPYD,15
01,007,B,UV,0
01,008,A,AA,0
01,008,A,AE,0
01,008,A,BL,2
01,008,A,CDL,0
01,008,A,CDS,1
01,008,A,CPE,0
01,008,A,DN,0
