uri,geo_long,om_idParcela,geo_lat,om_medidaParcela,rdfs_label,om_tipoParcela
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a29-escalextric,-6.37426,A29,39.440778,12 m.,Escalextric,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a30-escalextric,-6.374205,A30,39.44068,12 m,Escalextric,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a31-pista,-6.374149,A31,39.440577,13 m,Pista,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a32-dragon-mayor,-6.374307,A32,39.441008,16 m,Dragón Mayor,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a33-infantil,-6.374252,A33,39.440911,8 m,Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a34-caballitos-ponys,-6.374206,A34,39.440819,10 m,Caballitos Ponys,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a35-jumping,-6.374146,A35,39.44071,15 m,Jumping,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a36-agualandia,-6.374077,A36,39.440595,12 m,Agualandia,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a37-barco-de-agua,-6.374416,A37,39.441716,16 m,Barco De Agua,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a38-pista-coches,-6.37427,A38,39.441482,44 m,Pista Coches,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a39-master,-6.374044,A39,39.441071,15 m.,Máster,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a40-latigo,-6.373954,A40,39.440901,25 m.,Látigo,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a41-scalextric,-6.373862,A41,39.440702,20 m,Scalextric,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a42-castillo-flotante,-6.374131,A42,39.441848,8 m,Castillo Flotante,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a43-castillo-flotante,-6.374095,A43,39.441782,8 m,Castillo Flotante,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a44-barco-vikingo,-6.374038,A44,39.441691,15 m,Barco Vikingo,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a45-flic-flac,-6.37397,A45,39.441559,16 m,Flic-flac,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a46-canguro-loco,-6.373893,A46,39.441429,15 m,Canguro Loco,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a47-flic-flac,-6.373751,A47,39.441179,16 m.,Flic-flac,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a48-tren-de-la-bruja,-6.373686,A48,39.44105,15 m.,Tren De La Bruja,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a49-gusano-loco,-6.373619,A49,39.44093,15 m.,Gusano Loco,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a50-barco-vikingo,-6.373551,A50,39.440799,16 m,Barco Vikingo,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a51-pista-americana,-6.373859,A51,39.441909,9 m.,Pista Americana,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a52-pala,-6.37379,A52,39.441799,18 m,Pala,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a53-toro-loco,-6.373721,A53,39.441676,12 m,Toro Loco,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a54-castillo-flotante,-6.373679,A54,39.44159,9 m,Castillo Flotante,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a55-cazuela-loca,-6.373627,A55,39.4415,12 m.,Cazuela Loca,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a56-super-dragon,-6.373483,A56,39.441249,20 m.,Super Dragón,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a57-terror-en-vivo,-6.373379,A57,39.441061,22 m.,Terror En Vivo,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a58-tobogan,-6.373306,A58,39.440931,10 m.,Tobogán,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a59-hollywood,-6.37348,A59,39.440666,24 m,Hollywood,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a60-baby-infantil,-6.373722,A60,39.440579,9 m,Baby Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a61-castillo-hinchable,-6.373926,A61,39.440508,10 m.,Castillo Hinchable,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a62-pista-americana,-6.374017,A62,39.440474,11 m,Pista Americana,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a63-noria-infantil,-6.374096,A63,39.44043,8 m.,Noria Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a64-simulador,-6.374343,A64,39.44036,14 m.,Simulador,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a65-infantil,-6.374508,A65,39.440301,17 m.,Infantil,atraccion
