uri,rdfs_comment,geo_long,geo_lat,om_situadoEnVia,rdfs_label,enlacesSIG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/499,La plaza de movilidad reducida 499 está situada en el barrio Campus Universitario,-6.33299048411,39.477124154,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3425,Plaza de movilidad reducida 499,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=503; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3425_29_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/245,La plaza de movilidad reducida 245 está situada en el barrio Maltravieso,-6.37166506011,39.4565437027,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4058,Plaza de movilidad reducida 245,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=247; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4058_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/539,La plaza de movilidad reducida 539 está situada en el barrio San Juan,-6.37425276821,39.4749852338,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-372,Plaza de movilidad reducida 539,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=541
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/522,La plaza de movilidad reducida 522 está situada en el barrio Caceres El Viejo,-6.35841635008,39.5005033692,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3878,Plaza de movilidad reducida 522,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=407; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3878_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/101,La plaza de movilidad reducida 101 está situada en el barrio Moctezuma,-6.37786684291,39.4661990634,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-453,Plaza de movilidad reducida 101,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=102; http://sig.caceres.es/fotosOriginales/MOVILIDAD/453_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/433,La plaza de movilidad reducida 433 está situada en el barrio Montesol,-6.37528139084,39.4881848279,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4088,Plaza de movilidad reducida 433,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=437; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4088_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/230,La plaza de movilidad reducida 230 está situada en el barrio Nuevo Caceres,-6.37867962882,39.457967856,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3625,Plaza de movilidad reducida 230,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=232; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3625_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/98,La plaza de movilidad reducida 98 está situada en el barrio Los Fratres,-6.38221979194,39.4634112395,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3428,Plaza de movilidad reducida 98,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=99; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3428_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/403,La plaza de movilidad reducida 403 está situada en el barrio Caceres El Viejo,-6.35850267223,39.5005020318,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3878,Plaza de movilidad reducida 403,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=407; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3878_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/401,La plaza de movilidad reducida 401 está situada en el barrio Industrial La Mejostilla,-6.36504553764,39.502618611,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4121,Plaza de movilidad reducida 401,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=405; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4121_1_1.JPG
