uri,geo_long,geo_lat,owl_sameAs,om_tipoMonumento,rdfs_label,om_tieneEnlaceSIG,schema_address_addressLocality,schema_address_addressCountry
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/119-torre-de-merida-oeste,-6.37152040237,39.4720900734,,Torre,Torre de Merida-Oeste,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1217,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/12-casa-de-los-sanchez-paredes,-6.37146899144,39.4722214831,,Casa,Casa de los Sanchez Paredes,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1206,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/120-torre-del-cristo,-6.36901922407,39.473507363,,Torre,Torre del Cristo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1228,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/121-torre-del-horno,-6.371834694,39.4740824679,,Torre,Torre del Horno,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1193,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/122-torre-del-postigo,-6.37228732877,39.4736915962,,Torre,Torre del Postigo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1222,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/123-torre-del-rey,-6.36981945687,39.4755340084,,Torre,Torre del Rey,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1179,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/124-torre-mochada,-6.37048249658,39.4718312506,,Torre,Torre Mochada,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1218,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/125-torre-ochavada,-6.36864974919,39.4745709881,,Torre,Torre Ochavada,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1213,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/126-torre-redonda,-6.37286341899,39.472337619,,Torre,Torre Redonda,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1219,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/127-monumento-plaza-de-toros,-6.37580664625,39.4802883308,,Monumento,Monumento Plaza de Toros,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1232,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/128-palacio-de-los-duran-de-la-rocha,-6.36984939545,39.4737452983,,Palacio,Palacio de los Durán de la Rocha,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10740,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/129-escultura-cuidados-de-enfermeria,-6.37032109068,39.4688568579,,Escultura,Escultura Cuidados de Enfermería,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10764,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/13-casa-de-moraga,-6.37065113372,39.4743856259,,Casa,Casa de Moraga,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1186,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/130-escultura-alfonso-ix,-6.38605214151,39.4675637927,,Escultura,Escultura Alfonso IX,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2084,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/131-escultura-cuidados-de-enfermeria,-6.3780514134,39.4633072979,,Escultura,Escultura Cuidados de Enfermería,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10764,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/132-edificio-singular-el-refugio,-6.36829835715,39.4793814553,,Edificio Singular,Edificio Singular El Refugio,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1234,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/133-edificio-singular-el-embarcadero,-6.39084293827,39.4469499279,,Edificio Singular,Edificio Singular El Embarcadero,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1238,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/134-edificio-singular-recinto-hipico,-6.3720720227,39.4418532502,,Edificio Singular,Edificio Singular Recinto Hipico,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1239,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/135-edificio-singular-pistas-de-hipica,-6.37210395756,39.441835261,,Edificio Singular,Edificio Singular Pistas de Hipica,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1240,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/136-edificio-singular-casa-huerta-del-conde,-6.36696060982,39.4624370303,,Edificio Singular,Edificio Singular Casa Huerta del Conde,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1233,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/137-edificio-singular-kiosko-plaza-italia,-6.37700514964,39.4763844221,,Edificio Singular,Edificio Singular Kiosko Plaza Italia,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2110,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/138-edificio-singular-kiosco-de-la-musica-el-bombo,-6.37811227177,39.470483365,,Edificio Singular,"Edificio Singular Kiosco de la Musica ""El Bombo""",http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1236,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/139-edificio-singular-chalet-de-los-malaga,-6.37677755225,39.4712464042,,Edificio Singular,Edificio Singular Chalet de los Malaga,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1237,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/14-casa-de-ovando-aldana,-6.37120754244,39.4736575903,,Casa,Casa de Ovando Aldana,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1189,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/140-edificio-singular-delegacion-de-economia-y-hacienda-antiguo-banco-de-espana,-6.3794339593,39.4728361431,,Edificio Singular,Edificio Singular Delegacion de Economia y Hacienda (antiguo Banco de España),http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1241,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/141-edificio-singular-antigua-nave-minera,-6.38920790072,39.4457883656,,Edificio Singular,Edificio Singular Antigua Nave Minera,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2075,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/142-edificio-singular-kiosco-de-la-musica-san-jorge,-6.3641497571,39.4851907382,,Edificio Singular,Edificio Singular Kiosco de la Musica San Jorge,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2404,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/143-edificio-singular-kiosco-de-la-musica-fernando-turegano,-6.36687649636,39.4866314591,,Edificio Singular,Edificio Singular Kiosco de la Musica Fernando Turegano,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2405,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/144-edificio-singular-ruina-parque-rio-tinto,-6.39272735474,39.4455031678,,Edificio Singular,Edificio Singular Ruina Parque Rio Tinto,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2469,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/145-edificio-singular-garaje-2-0,-6.39015456656,39.4460831708,,Edificio Singular,Edificio Singular Garaje 2.0,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2465,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/146-edificio-singular-el-madruelo,-6.36723563718,39.4763580638,,Edificio Singular,Edificio Singular El Madruelo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=132,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/147-edificio-singular-puente-avenida-de-la-constitucion,-6.39174387403,39.4479746387,,Edificio Singular,Edificio Singular Puente Avenida de la Constitucion,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2474,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/15-casa-de-pereros,-6.37100400838,39.4721632488,,Casa,Casa de Pereros,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1215,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/16-casa-del-aguila,-6.37107855527,39.473451403,,Casa,Casa del Aguila,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1190,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/17-casa-del-marques-de-camarena,-6.37250785266,39.475737935,,Casa,Casa del Marques de Camarena,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1175,Cáceres,ES
