uri,rdfs_label,om_tieneEnlaceSIG,om_situadoEnVia,om_numeroPlazas,schema_description,rdfs_comment,locn_geometry
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/28,Aparcamiento Ciudad Monumental 28,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=29,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-410,1,Aparcamiento 28 de la Ciudad Monumental en la calle Rincon De La Monja,,"[[[-6.36981727418,39.4730214371],[-6.36979863121,39.4730180549],[-6.36978653184,39.4730567068],[-6.3698055229,39.4730603446],[-6.36981727418,39.4730214371]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/29,Aparcamiento Ciudad Monumental 29,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=30,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-410,5,Aparcamiento 29 de la Ciudad Monumental en la calle Rincon De La Monja,,"[[[-6.36986351331,39.4728665657],[-6.36991109635,39.4728511792],[-6.36994945196,39.4727339083],[-6.36990193268,39.4727489265],[-6.36986351331,39.4728665657]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/3,Aparcamiento Ciudad Monumental 3,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=4,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-27,1,Aparcamiento 3 de la Ciudad Monumental en la calle Amargura,,"[[[-6.36963160063,39.4745349486],[-6.36962038846,39.4745469777],[-6.36957859311,39.4745235786],[-6.36959024373,39.4745113992],[-6.36963160063,39.4745349486]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/30,Aparcamiento Ciudad Monumental 30,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=31,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-410,1,Aparcamiento 30 de la Ciudad Monumental en la calle Rincon De La Monja,,"[[[-6.36995850943,39.4726052166],[-6.36994293817,39.4725960409],[-6.36991173281,39.4726278501],[-6.36992730407,39.4726370257],[-6.36995850943,39.4726052166]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/31,Aparcamiento Ciudad Monumental 31,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=32,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-410,2,Aparcamiento 31 de la Ciudad Monumental en la calle Rincon De La Monja,,"[[[-6.36972596611,39.4735728446],[-6.36970697491,39.4735692068],[-6.36973476783,39.473482085],[-6.36975341092,39.4734854672],[-6.36972596611,39.4735728446]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/32,Aparcamiento Ciudad Monumental 32,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=33,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-410,1,Aparcamiento 32 de la Ciudad Monumental en la calle Rincon De La Monja,,"[[[-6.3697520781,39.4736815441],[-6.36970721546,39.473662231],[-6.36971637761,39.4736492009],[-6.36976165066,39.4736683219],[-6.3697520781,39.4736815441]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/33,Aparcamiento Ciudad Monumental 33,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=34,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-54,1,Aparcamiento 33 de la Ciudad Monumental en la calle Arco De España,,"[[[-6.37011961459,39.4756639698],[-6.37010588178,39.4756743107],[-6.37006995119,39.4756456518],[-6.37008414946,39.4756352216],[-6.37011961459,39.4756639698]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/4,Aparcamiento Ciudad Monumental 4,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=5,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-2903,10,Aparcamiento 4 de la Ciudad Monumental en la plaza De Las Veletas,,"[[[-6.37038966412,39.4731012125],[-6.37016765101,39.4730073486],[-6.37018920904,39.472971255],[-6.37041094469,39.4730648158],[-6.37038966412,39.4731012125]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/5,Aparcamiento Ciudad Monumental 5,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=6,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-2970,9,Aparcamiento 5 de la Ciudad Monumental en la calle Adarve Del Padre Rosalio,,"[[[-6.37220199158,39.4734435348],[-6.37239928489,39.4730355443],[-6.37238112155,39.4730299135],[-6.37218469516,39.4734371701],[-6.37220199158,39.4734435348]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/6,Aparcamiento Ciudad Monumental 6,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=7,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-2970,4,Aparcamiento 6 de la Ciudad Monumental en la calle Adarve Del Padre Rosalio,,"[[[-6.3725288704,39.4727716479],[-6.37246466613,39.4729433214],[-6.37244613812,39.4729395789],[-6.37251000271,39.4727676432],[-6.3725288704,39.4727716479]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/7,Aparcamiento Ciudad Monumental 7,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=8,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3,8,Aparcamiento 7 de la Ciudad Monumental en la calle Adarve Del Cristo,,"[[[-6.36901598182,39.4737632374],[-6.3688743913,39.4741137104],[-6.36885685377,39.474106902],[-6.36899736706,39.4737585751],[-6.36901598182,39.4737632374]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/8,Aparcamiento Ciudad Monumental 8,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=9,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3,1,Aparcamiento 8 de la Ciudad Monumental en la calle Adarve Del Cristo,,"[[[-6.36868581986,39.4745331641],[-6.36866710821,39.4745300166],[-6.36867804441,39.4744909666],[-6.36869710945,39.4744943653],[-6.36868581986,39.4745331641]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/9,Aparcamiento Ciudad Monumental 9,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=10,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3,2,Aparcamiento 9 de la Ciudad Monumental en la calle Adarve Del Cristo,,"[[[-6.36918315937,39.4748623696],[-6.369150384,39.4748882091],[-6.3691144542,39.4748595498],[-6.36914769503,39.4748336211],[-6.36918315937,39.4748623696]]]"
