dc:identifier,dc:modified,ayto:residuo,ayto:latitud,ayto:longitud,ayto:capacidad,ayto:fechaAlta,ayto:estadoConservacion,ayto:direccion,ayto:codigoSensor,ayto:temperatura,uri
COST6059,2017-10-31T16:54:21.448Z,Papel,43.465168,-3.7999376666667,3200.0,2014-07-17T08:24:00.000Z,Buen Estado,"Calle Lope de Vega\,  26",08EFAB0000000A9A,18.3013,http://datos.santander.es/api/datos/residuos_contenedores/cost6059.csv
COST6058,2017-10-31T16:54:21.448Z,Envases,43.465168,-3.7999376666667,3200.0,2014-07-17T08:21:45.000Z,Buen Estado,"Calle Lope de Vega\,  26",08EFAB0000000C67,25.6371,http://datos.santander.es/api/datos/residuos_contenedores/cost6058.csv
COST6057,2017-10-31T16:54:21.448Z,Organico,43.465320999999996,-3.799327,3200.0,2014-07-17T08:19:22.000Z,Buen Estado,"Calle Sol\, 35",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6057.csv
COST6052,2017-10-31T16:54:21.448Z,Organico,43.46489334,-3.79888797,3200.0,2014-07-17T07:45:48.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  6",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6052.csv
COST6051,2017-10-31T16:54:21.448Z,Organico,43.464481333333,-3.7987351666667,2400.0,2014-07-17T07:38:29.000Z,Buen Estado,"Calle Santa Lucía\,  51",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6051.csv
COST6050,2017-10-31T16:54:21.448Z,Organico,43.46428299,-3.79891324,2400.0,2014-07-17T07:38:22.000Z,Buen Estado,"Calle Sta. Lucía\,  38",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6050.csv
COST6045,2017-10-31T16:54:21.448Z,Organico,43.46488953,-3.79732442,2400.0,2014-07-17T07:27:55.000Z,Buen Estado,"Barrio Carmen Sta. Lucía\,  12-8",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6045.csv
COST6044,2017-10-31T16:54:21.448Z,Organico,43.464628,-3.797274,2400.0,2014-07-17T07:26:53.000Z,Buen Estado,"Calle Santa Lucia\, 65",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6044.csv
COST6043,2017-10-31T16:54:21.448Z,Envases,43.464628,-3.797274,2400.0,2014-07-17T07:24:04.000Z,Buen Estado,"Calle Santa Lucia\, 65",000000000000140B,12.65,http://datos.santander.es/api/datos/residuos_contenedores/cost6043.csv
COST6042,2017-10-31T16:54:21.448Z,Papel,43.464628,-3.797274,2400.0,2014-07-17T07:22:14.000Z,Buen Estado,"Calle Santa Lucia\, 65",00000000000013C2,15.53,http://datos.santander.es/api/datos/residuos_contenedores/cost6042.csv
COST6041,2017-10-31T16:54:21.448Z,Papel,43.465386,-3.797268,2400.0,2014-07-17T07:18:45.000Z,Buen Estado,"Calle Sol\, 55",08EFAB000000099B,6.30135,http://datos.santander.es/api/datos/residuos_contenedores/cost6041.csv
COST6040,2017-10-31T16:54:21.448Z,Organico,43.465386,-3.797268,2400.0,2014-07-17T07:17:56.000Z,Buen Estado,"Calle Sol\, 55",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6040.csv
COST6039,2017-10-31T16:54:21.448Z,Envases,43.465306,-3.797261,2400.0,2014-07-17T07:16:16.000Z,Buen Estado,"Calle Sol\, 52",08EFAB00000008B3,22.4103,http://datos.santander.es/api/datos/residuos_contenedores/cost6039.csv
COST6038,2017-10-31T16:54:21.448Z,Organico,43.465319,-3.798936,3200.0,2014-07-17T07:11:24.000Z,Buen Estado,"Calle Sol\, 39",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6038.csv
COST6037,2017-10-31T16:54:21.448Z,Envases,43.46528625,-3.7982909444444,3200.0,2014-07-17T07:08:53.000Z,Buen Estado,"Calle Sol\,  42",08EFAB000000091B,23.3475,http://datos.santander.es/api/datos/residuos_contenedores/cost6037.csv
COST6036,2017-10-31T16:54:21.448Z,Organico,43.465751999999995,-3.797929,2400.0,2014-07-17T07:05:54.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 16",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6036.csv
COST6035,2017-10-31T16:54:21.448Z,Envases,43.466181,-3.797058,2400.0,2014-07-17T07:04:11.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 28",08EFAB0000000EB0,21.2455,http://datos.santander.es/api/datos/residuos_contenedores/cost6035.csv
COST6034,2017-10-31T16:54:21.448Z,Papel,43.466181,-3.797058,2400.0,2014-07-17T07:03:25.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 28",08EFAB00000010A1,21.1556,http://datos.santander.es/api/datos/residuos_contenedores/cost6034.csv
COST6033,2017-10-31T16:54:21.448Z,Organico,43.46593475,-3.79742742,2400.0,2014-07-17T07:03:18.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  22",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6033.csv
COST6032,2017-10-31T16:54:21.448Z,Organico,43.466181,-3.797058,2400.0,2014-07-17T07:02:11.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 28",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6032.csv
COST6031,2017-10-31T16:54:21.448Z,Organico,43.466391,-3.796569,2400.0,2014-07-17T06:56:46.000Z,Buen Estado,"Calle Túnel Tetuán\, 5",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6031.csv
COST6030,2017-10-31T16:54:21.448Z,Organico,43.466391,-3.796569,2400.0,2014-07-17T06:55:04.000Z,Buen Estado,"Calle Túnel Tetuán\, 5",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6030.csv
COST6029,2017-10-31T16:54:21.448Z,Papel,43.466434472222,-3.7964196388889,2400.0,2014-07-17T06:53:39.000Z,Buen Estado,Calle Túnel Tetuán,08EFAB00000010BE,21.2904,http://datos.santander.es/api/datos/residuos_contenedores/cost6029.csv
COST6028,2017-10-31T16:54:21.448Z,Envases,43.466434472222,-3.7964196388889,2400.0,2014-07-17T06:52:28.000Z,Buen Estado,Calle Túnel Tetuán,08EFAB0000000E29,21.223,http://datos.santander.es/api/datos/residuos_contenedores/cost6028.csv
COST6027,2017-10-31T16:54:21.448Z,Organico,43.466719,-3.795343,2400.0,2014-07-17T06:48:42.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 48",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6027.csv
COST6026,2017-10-31T16:54:21.448Z,Papel,43.467014305556,-3.79411175,2400.0,2014-07-17T06:46:14.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  67-69",08EFAB00000010BC,21.2455,http://datos.santander.es/api/datos/residuos_contenedores/cost6026.csv
COST6025,2017-10-31T16:54:21.448Z,Envases,43.467014305556,-3.79411175,2400.0,2014-07-17T06:45:25.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  67-69",08EFAB0000000DFF,20.9083,http://datos.santander.es/api/datos/residuos_contenedores/cost6025.csv
COST6085,2017-10-31T16:54:21.447Z,Organico,43.463086,-3.8054989999999997,3200.0,2014-07-17T09:37:29.000Z,Buen Estado,"Calle San José\, 15A",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6085.csv
COST6079,2017-10-31T16:54:21.447Z,Papel,43.463890055556,-3.8034255277778,3200.0,2014-07-17T09:13:49.000Z,Buen Estado,"Calle Santa Lucía\,  4",00000000000013FF,15.6,http://datos.santander.es/api/datos/residuos_contenedores/cost6079.csv
COST6078,2017-10-31T16:54:21.447Z,Envases,43.463890055556,-3.8034255277778,3200.0,2014-07-17T09:13:40.000Z,Buen Estado,"Calle Santa Lucía\,  4",00000000000013F3,17.09,http://datos.santander.es/api/datos/residuos_contenedores/cost6078.csv
COST6077,2017-10-31T16:54:21.447Z,Organico,43.463890055556,-3.8034255277778,3200.0,2014-07-17T09:13:28.000Z,Buen Estado,"Calle Santa Lucía\,  4",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6077.csv
COST6076,2017-10-31T16:54:21.447Z,Organico,43.463890055556,-3.8034255277778,3200.0,2014-07-17T09:13:19.000Z,Buen Estado,"Calle Santa Lucía\,  4",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6076.csv
COST6075,2017-10-31T16:54:21.447Z,Organico,43.463890055556,-3.8034255277778,3200.0,2014-07-17T09:13:04.000Z,Buen Estado,"Calle Santa Lucía\,  4",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6075.csv
COST6074,2017-10-31T16:54:21.447Z,Organico,43.44529343,-3.8371489,3200.0,2014-07-17T09:00:49.000Z,Buen Estado,"Calle la Peseta\,  112",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6074.csv
COST6073,2017-10-31T16:54:21.447Z,Organico,43.464572888889,-3.8020918333333,2400.0,2014-07-17T09:00:19.000Z,Buen Estado,"Calle Laredo\,  8",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6073.csv
COST6072,2017-10-31T16:54:21.447Z,Organico,43.464572888889,-3.8020918333333,3200.0,2014-07-17T09:00:02.000Z,Buen Estado,"Calle Laredo\,  8",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6072.csv
COST6071,2017-10-31T16:54:21.447Z,Envases,43.46432875,-3.8016600277778,3200.0,2014-07-17T08:49:16.000Z,Buen Estado,"Calle Santa Lucía\,  31",08EFAB0000000EA5,20.5481,http://datos.santander.es/api/datos/residuos_contenedores/cost6071.csv
COST6069,2017-10-31T16:54:21.447Z,Organico,43.46456146,-3.80186105,3200.0,2014-07-17T08:48:18.000Z,Buen Estado,"Calle Moctezuma\,  10",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6069.csv
COST6068,2017-10-31T16:54:21.447Z,Organico,43.46456146,-3.80186105,3200.0,2014-07-17T08:48:08.000Z,Buen Estado,"Calle Moctezuma\,  10",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6068.csv
COST6067,2017-10-31T16:54:21.447Z,Organico,43.465168,-3.7999376666667,2400.0,2014-07-17T08:43:46.000Z,Buen Estado,"Calle Lope de Vega\,  26",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6067.csv
COST6066,2017-10-31T16:54:21.447Z,Papel,43.464686,-3.800615,3200.0,2014-07-17T08:33:56.000Z,Buen Estado,"Calle Valliciergo\,  7",08EFAB00000010CD,20.7058,http://datos.santander.es/api/datos/residuos_contenedores/cost6066.csv
COST6065,2017-10-31T16:54:21.447Z,Envases,43.464686,-3.800615,3200.0,2014-07-17T08:32:43.000Z,Buen Estado,"Calle Valliciergo\,  7",08EFAB0000000F46,26.6802,http://datos.santander.es/api/datos/residuos_contenedores/cost6065.csv
COST6064,2017-10-31T16:54:21.447Z,Organico,43.46494293,-3.80012083,3200.0,2014-07-17T08:31:43.000Z,Buen Estado,"Calle Lope de Vega\,  33",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6064.csv
COST6063,2017-10-31T16:54:21.447Z,Organico,43.464686,-3.800615,3200.0,2014-07-17T08:30:20.000Z,Buen Estado,"Calle Valliciergo\,  7",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6063.csv
COST6120,2017-10-31T16:54:21.446Z,Envases,43.468544,-3.7937905555556,2400.0,2014-07-17T08:01:36.000Z,Buen Estado,"Paseo del General Dávila\,  2-10",08EFAB00000010E3,21.4251,http://datos.santander.es/api/datos/residuos_contenedores/cost6120.csv
COST6119,2017-10-31T16:54:21.446Z,Organico,43.468544,-3.7937905555556,2400.0,2014-07-17T07:59:14.000Z,Buen Estado,"Paseo del General Dávila\,  2-10",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6119.csv
COST6118,2017-10-31T16:54:21.446Z,Organico,43.468544,-3.7937905555556,2400.0,2014-07-17T07:55:32.000Z,Buen Estado,"Paseo del General Dávila\,  2-10",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6118.csv
COST6117,2017-10-31T16:54:21.446Z,Organico,43.46866225,-3.7934024166667,2400.0,2014-07-17T07:51:40.000Z,Buen Estado,"Calle la Barraca\,  3",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6117.csv
COST6116,2017-10-31T16:54:21.446Z,Organico,43.468433361111,-3.7918917777778,2400.0,2014-07-17T07:30:34.000Z,Buen Estado,"Avenida del General Dávila\,  15",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6116.csv
COST6115,2017-10-31T16:54:21.446Z,Organico,43.468433361111,-3.7918917777778,2400.0,2014-07-17T07:29:00.000Z,Buen Estado,"Avenida del General Dávila\,  15",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6115.csv
COST6114,2017-10-31T16:54:21.446Z,Organico,43.468589777778,-3.7921466666667,2400.0,2014-07-17T07:27:36.000Z,Buen Estado,"Paseo del General Dávila\,  24",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6114.csv
COST6113,2017-10-31T16:54:21.446Z,Organico,43.468589777778,-3.7921466666667,2400.0,2014-07-17T07:25:34.000Z,Buen Estado,"Paseo del General Dávila\,  24",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6113.csv
COST6112,2017-10-31T16:54:21.446Z,Envases,43.468589777778,-3.7921466666667,2400.0,2014-07-17T07:24:14.000Z,Buen Estado,"Paseo del General Dávila\,  24",08EFAB00000010AB,20.6833,http://datos.santander.es/api/datos/residuos_contenedores/cost6112.csv
COST6111,2017-10-31T16:54:21.446Z,Papel,43.468589777778,-3.7921466666667,2400.0,2014-07-17T07:22:38.000Z,Buen Estado,"Paseo del General Dávila\,  24",08EFAB00000010A7,28.4797,http://datos.santander.es/api/datos/residuos_contenedores/cost6111.csv
COST6110,2017-10-31T16:54:21.446Z,Papel,43.468647,-3.7877607222222,2400.0,2014-07-17T07:10:34.000Z,Buen Estado,"Avenida los Infantes\,  12",08EFAB0000000AF4,22.4103,http://datos.santander.es/api/datos/residuos_contenedores/cost6110.csv
COST6109,2017-10-31T16:54:21.446Z,Envases,43.468647,-3.7877607222222,2400.0,2014-07-17T07:09:18.000Z,Buen Estado,"Avenida los Infantes\,  12",08EFAB0000000B15,21.7614,http://datos.santander.es/api/datos/residuos_contenedores/cost6109.csv
COST6108,2017-10-31T16:54:21.446Z,Organico,43.46896362,-3.78781271,2400.0,2014-07-17T07:08:44.000Z,Buen Estado,"Av. los Infantes\,  14-16",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6108.csv
COST6107,2017-10-31T16:54:21.446Z,Organico,43.469474777778,-3.7882106111111,2400.0,2014-07-17T07:04:20.000Z,Buen Estado,"Calle Sojo y Lomba\,  4",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6107.csv
COST6106,2017-10-31T16:54:21.446Z,Organico,43.469474777778,-3.7882106111111,2400.0,2014-07-17T07:02:28.000Z,Buen Estado,"Calle Sojo y Lomba\,  4",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6106.csv
COST6105,2017-10-31T16:54:21.446Z,Organico,43.469131444444,-3.7899455833333,2400.0,2014-07-17T06:56:26.000Z,Buen Estado,"Calle Junco\,  21-23",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6105.csv
COST6104,2017-10-31T16:54:21.446Z,Organico,43.469131444444,-3.7899455833333,2400.0,2014-07-17T06:54:46.000Z,Buen Estado,"Calle Junco\,  21-23",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6104.csv
COST6103,2017-10-31T16:54:21.446Z,Envases,43.469131444444,-3.7899455833333,2400.0,2014-07-17T06:54:26.000Z,Buen Estado,"Calle Junco\,  21-23",08EFAB0000000C6A,22.5444,http://datos.santander.es/api/datos/residuos_contenedores/cost6103.csv
COST6102,2017-10-31T16:54:21.446Z,Papel,43.469131444444,-3.7899455833333,2400.0,2014-07-17T06:54:14.000Z,Buen Estado,"Calle Junco\,  21-23",08EFAB0000000994,22.723,http://datos.santander.es/api/datos/residuos_contenedores/cost6102.csv
COST6101,2017-10-31T16:54:21.446Z,Organico,43.469123833333,-3.7907304722222,2400.0,2014-07-17T06:52:30.000Z,Buen Estado,"Calle Junco\,  10",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6101.csv
COST6100,2017-10-31T16:54:21.446Z,Organico,43.469085666667,-3.7917556666667,2400.0,2014-07-17T06:43:26.000Z,Buen Estado,"Bajada A la Encina\,  1",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6100.csv
COST6099,2017-10-31T16:54:21.446Z,Envases,43.469085666667,-3.7917556666667,2400.0,2014-07-17T06:41:28.000Z,Buen Estado,"Bajada A la Encina\,  1",08EFAB0000000A75,22.388,http://datos.santander.es/api/datos/residuos_contenedores/cost6099.csv
COST6098,2017-10-31T16:54:21.446Z,Papel,43.469085666667,-3.7917556666667,2400.0,2014-07-17T06:39:24.000Z,Buen Estado,"Bajada A la Encina\,  1",08EFAB0000000B73,23.5034,http://datos.santander.es/api/datos/residuos_contenedores/cost6098.csv
COST6097,2017-10-31T16:54:21.446Z,Organico,43.468074777778,-3.7916564722222,2400.0,2014-07-17T06:35:56.000Z,Buen Estado,"Paseo General Dávila\,  4",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6097.csv
COST6096,2017-10-31T16:54:21.446Z,Papel,43.468364694444,-3.7909493611111,2400.0,2014-07-17T06:32:38.000Z,Buen Estado,"Paseo del General Dávila\,  11 bis",08EFAB0000001094,20.9533,http://datos.santander.es/api/datos/residuos_contenedores/cost6096.csv
COST6095,2017-10-31T16:54:21.446Z,Envases,43.468364694444,-3.7909493611111,2400.0,2014-07-17T06:29:46.000Z,Buen Estado,"Paseo del General Dávila\,  11 bis",08EFAB00000010CF,20.6607,http://datos.santander.es/api/datos/residuos_contenedores/cost6095.csv
COST6094,2017-10-31T16:54:21.446Z,Organico,43.468364694444,-3.7909493611111,2400.0,2014-07-17T06:27:48.000Z,Buen Estado,"Paseo del General Dávila\,  11 bis",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6094.csv
COST6093,2017-10-31T16:54:21.446Z,Envases,43.468106,-3.7884189999999998,2400.0,2014-07-17T06:23:20.000Z,Buen Estado,"Paseo del General Dávila\, 4-6",08EFAB00000010AD,19.9159,http://datos.santander.es/api/datos/residuos_contenedores/cost6093.csv
COST6092,2017-10-31T16:54:21.446Z,Organico,43.46824,-3.78932,2400.0,2014-07-17T06:19:56.000Z,Buen Estado,"Paseo del General Dávila\, 8",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6092.csv
COST6091,2017-10-31T16:54:21.446Z,Organico,43.468106,-3.7884189999999998,2400.0,2014-07-17T06:17:52.000Z,Buen Estado,"Paseo del General Dávila\, 4-6",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6091.csv
COST6090,2017-10-31T16:54:21.446Z,Papel,43.468106,-3.7884189999999998,2400.0,2014-07-17T06:15:56.000Z,Buen Estado,"Paseo del General Dávila\, 4-6",08EFAB00000010B9,19.9837,http://datos.santander.es/api/datos/residuos_contenedores/cost6090.csv
COST6088,2017-10-31T16:54:21.446Z,Organico,43.463086,-3.8054989999999997,3200.0,2014-07-17T09:44:30.000Z,Buen Estado,"Calle San José\, 15A",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6088.csv
COST6087,2017-10-31T16:54:21.446Z,Papel,43.463086,-3.8054989999999997,3200.0,2014-07-17T09:37:50.000Z,Buen Estado,"Calle San José\, 15A",00000000000013A5,20.75,http://datos.santander.es/api/datos/residuos_contenedores/cost6087.csv
COST6086,2017-10-31T16:54:21.446Z,Organico,43.463086,-3.8054989999999997,3200.0,2014-07-17T09:37:39.000Z,Buen Estado,"Calle San José\, 15A",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6086.csv
COST6159,2017-10-31T16:54:21.445Z,Organico,43.46251297,-3.79966593,2400.0,2014-07-17T09:52:00.000Z,Buen Estado,"Calle Lope de Vega\,  3",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6159.csv
COST6158,2017-10-31T16:54:21.445Z,Organico,43.462689,-3.798446,2400.0,2014-07-17T09:48:36.000Z,Buen Estado,"Calle General Mola\, 58",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6158.csv
COST6157,2017-10-31T16:54:21.445Z,Organico,43.462689,-3.798446,2400.0,2014-07-17T09:47:50.000Z,Buen Estado,"Calle General Mola\, 58",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6157.csv
COST6156,2017-10-31T16:54:21.445Z,Papel,43.462689,-3.798446,2400.0,2014-07-17T09:43:52.000Z,Buen Estado,"Calle General Mola\, 58",00000000000013F5,19.13,http://datos.santander.es/api/datos/residuos_contenedores/cost6156.csv
COST6155,2017-10-31T16:54:21.445Z,Envases,43.462689,-3.798446,2400.0,2014-07-17T09:42:07.000Z,Buen Estado,"Calle General Mola\, 58",00000000000013DB,26.32,http://datos.santander.es/api/datos/residuos_contenedores/cost6155.csv
COST6154,2017-10-31T16:54:21.445Z,Organico,43.462753277778,-3.7980446944444,2400.0,2014-07-17T09:39:52.000Z,Buen Estado,"Calle General Mola\,  37",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6154.csv
COST6152,2017-10-31T16:54:21.445Z,Organico,43.463218666667,-3.7981855833333,3200.0,2014-07-17T09:34:42.000Z,Buen Estado,"Calle Hernán Cortés\,  53",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6152.csv
COST6151,2017-10-31T16:54:21.445Z,Organico,43.463218666667,-3.7981855833333,3200.0,2014-07-17T09:33:28.000Z,Buen Estado,"Calle Hernán Cortés\,  53",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6151.csv
COST6141,2017-10-31T16:54:21.445Z,Organico,43.462871527778,-3.7972228333333,2400.0,2014-07-17T09:04:26.000Z,Buen Estado,"Calle General Mola\,  49",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6141.csv
COST6140,2017-10-31T16:54:21.445Z,Organico,43.462871527778,-3.7972228333333,2400.0,2014-07-17T09:02:34.000Z,Buen Estado,"Calle General Mola\,  49",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6140.csv
COST6139,2017-10-31T16:54:21.445Z,Envases,43.462871527778,-3.7972228333333,2400.0,2014-07-17T09:01:00.000Z,Buen Estado,"Calle General Mola\,  49",00000000000013F0,25.81,http://datos.santander.es/api/datos/residuos_contenedores/cost6139.csv
COST6138,2017-10-31T16:54:21.445Z,Papel,43.462871527778,-3.7972228333333,2400.0,2014-07-17T09:00:54.000Z,Buen Estado,"Calle General Mola\,  49",00000000000013B0,16.83,http://datos.santander.es/api/datos/residuos_contenedores/cost6138.csv
COST6137,2017-10-31T16:54:21.445Z,Papel,43.463764166667,-3.7998158611111,3200.0,2014-07-17T08:52:42.000Z,Buen Estado,"Calle Lope de Vega\,  15",0000000000001401,21.43,http://datos.santander.es/api/datos/residuos_contenedores/cost6137.csv
COST6136,2017-10-31T16:54:21.445Z,Envases,43.463764166667,-3.7998158611111,3200.0,2014-07-17T08:50:52.000Z,Buen Estado,"Calle Lope de Vega\,  15",0000000000001409,32.37,http://datos.santander.es/api/datos/residuos_contenedores/cost6136.csv
COST6135,2017-10-31T16:54:21.445Z,Organico,43.463764166667,-3.7998158611111,3200.0,2014-07-17T08:47:58.000Z,Buen Estado,"Calle Lope de Vega\,  15",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6135.csv
COST6134,2017-10-31T16:54:21.445Z,Organico,43.463764166667,-3.7998158611111,3200.0,2014-07-17T08:45:44.000Z,Buen Estado,"Calle Lope de Vega\,  15",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6134.csv
COST6131,2017-10-31T16:54:21.445Z,Organico,43.467445361111,-3.7971763611111,2400.0,2014-07-17T08:30:24.000Z,Buen Estado,"Calle Francisco Palazuelos\,  34",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6131.csv
COST6130,2017-10-31T16:54:21.445Z,Organico,43.466705305556,-3.7981180833333,2400.0,2014-07-17T08:28:30.000Z,Buen Estado,"Calle Francisco Palazuelos\,  30",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6130.csv
COST6129,2017-10-31T16:54:21.445Z,Papel,43.467201222222,-3.7970891111111,2400.0,2014-07-17T08:23:24.000Z,Buen Estado,"Calle Francisco Palazuelos\,  423",08EFAB0000000C34,21.3129,http://datos.santander.es/api/datos/residuos_contenedores/cost6129.csv
COST6128,2017-10-31T16:54:21.445Z,Papel,43.467445361111,-3.7971763611111,2400.0,2014-07-17T08:21:36.000Z,Buen Estado,"Calle Francisco Palazuelos\,  34",08EFAB0000000B66,,http://datos.santander.es/api/datos/residuos_contenedores/cost6128.csv
COST6127,2017-10-31T16:54:21.445Z,Organico,43.467815388889,-3.7967733888889,2400.0,2014-07-17T08:16:14.000Z,Buen Estado,"Calle Francisco Palazuelos\,  44",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6127.csv
COST6126,2017-10-31T16:54:21.445Z,Organico,43.468419999999995,-3.794826,2400.0,2014-07-17T08:12:22.000Z,Buen Estado,"Paseo del General Dávila\, 14-28",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6126.csv
COST6125,2017-10-31T16:54:21.445Z,Organico,43.468419999999995,-3.794826,2400.0,2014-07-17T08:11:02.000Z,Buen Estado,"Paseo del General Dávila\, 14-28",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6125.csv
