dc:identifier,dc:modified,ayto:medida,ayto:idSensor,ayto:intensidad,ayto:ocupacion,ayto:carga,uri
1504-1a2a38b8-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1504,1504,1191,5,28,http://datos.santander.es/api/datos/mediciones/1504-1a2a38b8-be5c-11e7-97fa-005056a43242.csv
1505-1a2d009d-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1505,1505,342,3,24,http://datos.santander.es/api/datos/mediciones/1505-1a2d009d-be5c-11e7-97fa-005056a43242.csv
1506-1a2e9611-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1506,1506,408,4,19,http://datos.santander.es/api/datos/mediciones/1506-1a2e9611-be5c-11e7-97fa-005056a43242.csv
1507-1a307b67-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1507,1507,360,10,23,http://datos.santander.es/api/datos/mediciones/1507-1a307b67-be5c-11e7-97fa-005056a43242.csv
1508-1a3454df-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1508,1508,2100,12,48,http://datos.santander.es/api/datos/mediciones/1508-1a3454df-be5c-11e7-97fa-005056a43242.csv
1901-1a39f48c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1901,1901,1560,14,53,http://datos.santander.es/api/datos/mediciones/1901-1a39f48c-be5c-11e7-97fa-005056a43242.csv
1902-1a456835-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1902,1902,2400,26,83,http://datos.santander.es/api/datos/mediciones/1902-1a456835-be5c-11e7-97fa-005056a43242.csv
1903-1a46feda-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1903,1903,2100,14,74,http://datos.santander.es/api/datos/mediciones/1903-1a46feda-be5c-11e7-97fa-005056a43242.csv
1904-1a4a0a47-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1904,1904,1080,3,47,http://datos.santander.es/api/datos/mediciones/1904-1a4a0a47-be5c-11e7-97fa-005056a43242.csv
1905-1a4bf352-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1905,1905,180,2,8,http://datos.santander.es/api/datos/mediciones/1905-1a4bf352-be5c-11e7-97fa-005056a43242.csv
1906-1a507573-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1906,1906,840,9,27,http://datos.santander.es/api/datos/mediciones/1906-1a507573-be5c-11e7-97fa-005056a43242.csv
1907-1a520b72-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1907,1907,2880,17,59,http://datos.santander.es/api/datos/mediciones/1907-1a520b72-be5c-11e7-97fa-005056a43242.csv
1908-1a53b36d-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1908,1908,1440,9,53,http://datos.santander.es/api/datos/mediciones/1908-1a53b36d-be5c-11e7-97fa-005056a43242.csv
1909-1a556559-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1909,1909,1380,21,66,http://datos.santander.es/api/datos/mediciones/1909-1a556559-be5c-11e7-97fa-005056a43242.csv
2001-1a56f901-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2001,2001,360,33,52,http://datos.santander.es/api/datos/mediciones/2001-1a56f901-be5c-11e7-97fa-005056a43242.csv
2002-1a58ce5b-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2002,2002,300,43,56,http://datos.santander.es/api/datos/mediciones/2002-1a58ce5b-be5c-11e7-97fa-005056a43242.csv
2003-1a5a8032-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2003,2003,240,2,16,http://datos.santander.es/api/datos/mediciones/2003-1a5a8032-be5c-11e7-97fa-005056a43242.csv
2004-1a5c1f35-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2004,2004,660,38,54,http://datos.santander.es/api/datos/mediciones/2004-1a5c1f35-be5c-11e7-97fa-005056a43242.csv
2005-1a5dbfc5-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2005,2005,600,4,22,http://datos.santander.es/api/datos/mediciones/2005-1a5dbfc5-be5c-11e7-97fa-005056a43242.csv
2006-1a5f4369-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2006,2006,120,2,7,http://datos.santander.es/api/datos/mediciones/2006-1a5f4369-be5c-11e7-97fa-005056a43242.csv
