dc:identifier,ayto:tipo_conducto,ayto:materiales,ayto:geometria,ayto:alto,ayto:ancho,ayto:profundidad,ayto:longitud,ayto:pendiente,ayto:tipo_saneamiento,dct:spatial,dc:modified,uri
10003,Colector,Hormigón masa,Circular,300,300,1.9,16.319,0,Unitaria,"LINESTRING ZM ( 4503203.96543070 4503247.74207909 3.95300000 0.00000000\, 4503203.96549282 4503247.74192819 3.95300000 0.00000000)",2017-10-30T23:08:01.463Z,http://datos.santander.es/api/datos/conductos/10003.csv
10001,Colector,P.V.C. liso,Circular,200,200,1.25,5.789,0.1106,Unitaria,"LINESTRING ZM ( 4503203.96542934 4503247.74201250 3.93200000 0.00000000\, 4503203.96542172 4503247.74206989 3.93200000 0.00000000)",2017-10-30T23:08:01.462Z,http://datos.santander.es/api/datos/conductos/10001.csv
9999,Colector,Hormigón masa,Circular,300,300,0,5.92,0,Unitaria,"LINESTRING ZM ( 4503203.96533005 4503247.74234581 0.00000000 0.00000000\, 4503203.96534996 4503247.74229006 0.00000000 0.00000000)",2017-10-30T23:08:01.461Z,http://datos.santander.es/api/datos/conductos/9999.csv
10000,Colector,Fibrocemento,Circular,300,300,1.55,21.138,0.02318,Unitaria,"LINESTRING ZM ( 4503203.96522629 4503247.74198934 3.98400000 0.00000000\, 4503203.96542172 4503247.74206989 3.98400000 0.00000000)",2017-10-30T23:08:01.461Z,http://datos.santander.es/api/datos/conductos/10000.csv
9998,Colector,Hormigón masa,Circular,300,300,1.9,1.38,0,Unitaria,"LINESTRING ZM ( 4503203.96534996 4503247.74229006 3.97900000 0.00000000\, 4503203.96533736 4503247.74228443 3.97900000 0.00000000)",2017-10-30T23:08:01.46Z,http://datos.santander.es/api/datos/conductos/9998.csv
9996,Colector,Hormigón masa,Circular,300,300,1.9,22.589,0.001328,Unitaria,"LINESTRING ZM ( 4503203.96534996 4503247.74229006 3.97900000 0.00000000\, 4503203.96543070 4503247.74207909 3.97900000 0.00000000)",2017-10-30T23:08:01.459Z,http://datos.santander.es/api/datos/conductos/9996.csv
9997,Colector," ",Circular,250,250,1.2,7.091,0.04511,Unitaria,"LINESTRING ZM ( 4503203.96539190 4503247.74213422 3.95500000 0.00000000\, 4503203.96542172 4503247.74206989 3.94100000 0.00000000)",2017-10-30T23:08:01.459Z,http://datos.santander.es/api/datos/conductos/9997.csv
9995,Colector,P.V.C. liso,Circular,300,300,1.9,1.286,0.007776,Unitaria,"LINESTRING ZM ( 4503203.96543070 4503247.74207909 3.97900000 0.00000000\, 4503203.96542172 4503247.74206989 3.97900000 0.00000000)",2017-10-30T23:08:01.448Z,http://datos.santander.es/api/datos/conductos/9995.csv
9994,Colector,Fibrocemento,Circular,250,250,2.05,26.163,-0.03592,Unitaria,"LINESTRING ZM ( 4503203.96532528 4503247.74231310 3.99500000 0.00000000\, 4503203.96542172 4503247.74206989 3.99500000 0.00000000)",2017-10-30T23:08:01.447Z,http://datos.santander.es/api/datos/conductos/9994.csv
9993,Colector,Fibrocemento,Circular,400,400,2.3,41.368,0.005318,Unitaria,"LINESTRING ZM ( 4503203.96542172 4503247.74206989 3.94000000 0.00000000\, 4503203.96557459 4503247.74168549 3.94000000 0.00000000)",2017-10-30T23:08:01.446Z,http://datos.santander.es/api/datos/conductos/9993.csv
9991,Colector,Fibrocemento,Circular,500,500,2.5,11.115,0.02699,Unitaria,"LINESTRING ZM ( 4503203.96557459 4503247.74168549 3.92200000 0.00000000\, 4503203.96566663 4503247.74162318 3.92200000 0.00000000)",2017-10-30T23:08:01.445Z,http://datos.santander.es/api/datos/conductos/9991.csv
9992,Colector,P.V.C. liso,Circular,200,200,1.1,10.402,0.01154,Unitaria,"LINESTRING ZM ( 4503203.96551872 4503247.74177323 3.89000000 0.00000000\, 4503203.96557459 4503247.74168549 3.89000000 0.00000000)",2017-10-30T23:08:01.445Z,http://datos.santander.es/api/datos/conductos/9992.csv
9990,Colector,Hormigón masa,Circular,400,400,2.15,21.156,0.005672,Unitaria,"LINESTRING ZM ( 4503203.96577158 4503247.74176265 0.00000000 0.00000000\, 4503203.96557459 4503247.74168549 0.00000000 0.00000000)",2017-10-30T23:08:01.444Z,http://datos.santander.es/api/datos/conductos/9990.csv
9986,Colector,Fibrocemento,Circular,800,800,2.9,73.597,0.002446,Unitaria,"LINESTRING ZM ( 4503203.96566663 4503247.74162318 3.72100000 0.00000000\, 4503203.96635433 4503247.74188534 3.72100000 0.00000000)",2017-10-30T23:08:01.443Z,http://datos.santander.es/api/datos/conductos/9986.csv
9988,Colector,Hormigón masa,Circular,400,400,1.85,3.201,0,Unitaria,"LINESTRING ZM ( 4503203.96671201 4503247.74212477 3.80400000 0.00000000\, 4503203.96672612 4503247.74209604 3.80400000 0.00000000)",2017-10-30T23:08:01.442Z,http://datos.santander.es/api/datos/conductos/9988.csv
9989,Colector,Hormigón masa,Circular,400,400,0,88.764,0,Unitaria,"LINESTRING ZM ( 4503203.96660492 4503247.74206835 0.00000000 0.00000000\, 4503203.96577158 4503247.74176265 0.00000000 0.00000000)",2017-10-30T23:08:01.442Z,http://datos.santander.es/api/datos/conductos/9989.csv
9590,Colector,P.V.C. liso,Circular,300,300,0,11.867,0,Unitaria,"LINESTRING ZM ( 4503203.94751358 4503247.72862681 2.34800000 0.00000000\, 4503203.94755130 4503247.72873933 2.34800000 0.00000000)",2017-10-30T23:08:01.441Z,http://datos.santander.es/api/datos/conductos/9590.csv
9589,Colector,P.V.C. liso,Circular,300,300,1.1,15.512,0.05286,Unitaria,"LINESTRING ZM ( 4503203.94769785 4503247.72868848 2.32600000 0.00000000\, 4503203.94755130 4503247.72873933 2.32600000 0.00000000)",2017-10-30T23:08:01.43Z,http://datos.santander.es/api/datos/conductos/9589.csv
9588,Colector,P.V.C. liso,Circular,300,300,1,15.918,0.05905,Unitaria,"LINESTRING ZM ( 4503203.94753760 4503247.72835109 2.89000000 0.00000000\, 4503203.94761517 4503247.72849009 2.89000000 0.00000000)",2017-10-30T23:08:01.429Z,http://datos.santander.es/api/datos/conductos/9588.csv
9586,Colector,P.V.C. liso,Circular,300,300,1.5999,8.648,0.06707,Unitaria,"LINESTRING ZM ( 4503203.94753076 4503247.72847126 2.63300000 0.00000000\, 4503203.94761517 4503247.72849009 2.63300000 0.00000000)",2017-10-30T23:08:01.428Z,http://datos.santander.es/api/datos/conductos/9586.csv
9587,Colector,P.V.C. liso,Circular,300,300,1.6999,12.665,0.02369,Unitaria,"LINESTRING ZM ( 4503203.94771983 4503247.72841877 2.79800000 0.00000000\, 4503203.94761517 4503247.72849009 2.79800000 0.00000000)",2017-10-30T23:08:01.428Z,http://datos.santander.es/api/datos/conductos/9587.csv
9585,Colector,P.V.C. liso,Circular,300,300,0.8,18.881,0.01801,Unitaria,"LINESTRING ZM ( 4503203.94866172 4503247.72820936 3.55700000 0.00000000\, 4503203.94847295 4503247.72821305 3.55700000 0.00000000)",2017-10-30T23:08:01.427Z,http://datos.santander.es/api/datos/conductos/9585.csv
9584,Colector,P.V.C. liso,Circular,400,400,1.3,42.621,0.01032,Unitaria,"LINESTRING ZM ( 4503203.94867115 4503247.72808530 3.42600000 0.00000000\, 4503203.94824494 4503247.72808343 3.42600000 0.00000000)",2017-10-30T23:08:01.426Z,http://datos.santander.es/api/datos/conductos/9584.csv
9582,Colector,P.V.C. liso,Circular,300,300,1.4,11.919,0.04363,Unitaria,"LINESTRING ZM ( 4503203.94833082 4503247.72800078 3.76400000 0.00000000\, 4503203.94824494 4503247.72808343 3.76400000 0.00000000)",2017-10-30T23:08:01.425Z,http://datos.santander.es/api/datos/conductos/9582.csv
9583,Colector,P.V.C. liso,Circular,300,300,1.7,11.246,0,Unitaria,"LINESTRING ZM ( 4503203.94825968 4503247.72819492 3.49100000 0.00000000\, 4503203.94824494 4503247.72808343 3.49100000 0.00000000)",2017-10-30T23:08:01.425Z,http://datos.santander.es/api/datos/conductos/9583.csv
9581,Colector,P.V.C. liso,Circular,300,300,1.5,9.042,0.04645,Unitaria,"LINESTRING ZM ( 4503203.94756449 4503247.72803253 3.25000000 0.00000000\, 4503203.94765180 4503247.72805605 3.25000000 0.00000000)",2017-10-30T23:08:01.424Z,http://datos.santander.es/api/datos/conductos/9581.csv
9580,Colector,P.V.C. liso,Circular,300,300,1.5,10.667,0.01219,Unitaria,"LINESTRING ZM ( 4503203.94761181 4503247.72742869 3.52900000 0.00000000\, 4503203.94771772 4503247.72744144 3.52900000 0.00000000)",2017-10-30T23:08:01.423Z,http://datos.santander.es/api/datos/conductos/9580.csv
9579,Colector,Fibrocemento,Circular,700,700,3,61.814,0.006147,Unitaria,"LINESTRING ZM ( 4503203.94771772 4503247.72744144 3.40300000 0.00000000\, 4503203.94765180 4503247.72805605 3.40300000 0.00000000)",2017-10-30T23:08:01.411Z,http://datos.santander.es/api/datos/conductos/9579.csv
9577,Colector,P.V.C. liso,Circular,500,500,2.6,51.54,0.002134,Unitaria,"LINESTRING ZM ( 4503203.94619066 4503247.72698247 3.28400000 0.00000000\, 4503203.94614715 4503247.72749603 2.76900000 0.00000000)",2017-10-30T23:08:01.41Z,http://datos.santander.es/api/datos/conductos/9577.csv
9578,Colector,P.V.C. liso,Circular,300,300,2.2,10.661,0.03846,Unitaria,"LINESTRING ZM ( 4503203.94777978 4503247.72735475 3.81200000 0.00000000\, 4503203.94771772 4503247.72744144 3.81200000 0.00000000)",2017-10-30T23:08:01.41Z,http://datos.santander.es/api/datos/conductos/9578.csv
9576,Colector,P.V.C. liso,Circular,400,400,2.2,54.935,0.004733,Unitaria,"LINESTRING ZM ( 4503203.94701357 4503247.72629237 3.28400000 0.00000000\, 4503203.94697306 4503247.72684022 3.40500000 0.00000000)",2017-10-30T23:08:01.409Z,http://datos.santander.es/api/datos/conductos/9576.csv
9574,Impulsión,Acero,Circular,0,0,0,10.674,0,Unitaria,"LINESTRING ZM ( 4503203.94426115 4503247.72751769 0.00000000 0.00000000\, 4503203.94415684 4503247.72749506 0.00000000 0.00000000)",2017-10-30T23:08:01.408Z,http://datos.santander.es/api/datos/conductos/9574.csv
9575,Colector,P.V.C. liso,Circular,300,300,0.6,14.996,0.04668,Unitaria,"LINESTRING ZM ( 4503203.94620878 4503247.72941880 2.29400000 0.00000000\, 4503203.94625565 4503247.72956125 2.85200000 0.00000000)",2017-10-30T23:08:01.408Z,http://datos.santander.es/api/datos/conductos/9575.csv
9573,Galería,Hormigón armado,Cuadrada,2000,2000,0,40.258,0,Unitaria,"LINESTRING ZM ( 4503203.94415684 4503247.72749506 0.00000000 0.00000000\, 4503203.94424072 4503247.72710132 0.00000000 0.00000000)",2017-10-30T23:08:01.407Z,http://datos.santander.es/api/datos/conductos/9573.csv
9571,Colector,P.V.C. liso,Circular,600,600,2.25,55.293,0.001266,Unitaria,"LINESTRING ZM ( 4503203.94286631 4503247.72940422 1.43000000 0.00000000\, 4503203.94337601 4503247.72961855 1.43000000 0.00000000)",2017-10-30T23:08:01.406Z,http://datos.santander.es/api/datos/conductos/9571.csv
9572,Galería,Hormigón armado,Cuadrada,2000,2000,0,2.122,0,Unitaria,"LINESTRING ZM ( 4503203.94403779 4503247.72861807 0.00000000 0.00000000\, 4503203.94404029 4503247.72859700 0.67600000 0.00000000)",2017-10-30T23:08:01.406Z,http://datos.santander.es/api/datos/conductos/9572.csv
9570,Colector,P.V.C. liso,Circular,600,600,2.05,55.762,0.003587,Unitaria,"LINESTRING ZM ( 4503203.94235312 4503247.72918610 1.43000000 0.00000000\, 4503203.94286631 4503247.72940422 1.43000000 0.00000000)",2017-10-30T23:08:01.405Z,http://datos.santander.es/api/datos/conductos/9570.csv
9568,Colector,Fibrocemento,Circular,1200,1200,3.1999,5.154,0.01164,Unitaria,"LINESTRING ZM ( 4503203.94339479 4503247.72831813 0.69000000 0.00000000\, 4503203.94341483 4503247.72836561 0.69000000 0.00000000)",2017-10-30T23:08:01.394Z,http://datos.santander.es/api/datos/conductos/9568.csv
9569,Colector,P.V.C. liso,Circular,600,600,2.1,21.71,0.01382,Unitaria,"LINESTRING ZM ( 4503203.94337601 4503247.72961855 1.43000000 0.00000000\, 4503203.94359209 4503247.72959751 1.43000000 0.00000000)",2017-10-30T23:08:01.394Z,http://datos.santander.es/api/datos/conductos/9569.csv
9567,Colector,Fibrocemento,Circular,1200,1200,3,37.858,0.004755,Unitaria,"LINESTRING ZM ( 4503203.94353423 4503247.72796617 0.69000000 0.00000000\, 4503203.94339479 4503247.72831813 0.69000000 0.00000000)",2017-10-30T23:08:01.393Z,http://datos.santander.es/api/datos/conductos/9567.csv
9565,Colector,Fibrocemento,Circular,1200,1200,4.8,56.279,-0.003021,Unitaria,"LINESTRING ZM ( 4503203.94635490 4503247.72881086 1.64700000 0.00000000\, 4503203.94691615 4503247.72885248 1.64700000 0.00000000)",2017-10-30T23:08:01.392Z,http://datos.santander.es/api/datos/conductos/9565.csv
9566,Colector,Fibrocemento,Circular,1200,1200,2.9,33.57,-0.0008937,Unitaria,"LINESTRING ZM ( 4503203.94366068 4503247.72765520 0.69000000 0.00000000\, 4503203.94353423 4503247.72796617 0.69000000 0.00000000)",2017-10-30T23:08:01.392Z,http://datos.santander.es/api/datos/conductos/9566.csv
10422,Colector,Hormigón masa,Circular,600,600,1.46,50.552,0.00455,Unitaria,"LINESTRING ZM ( 4503203.93868764 4503247.74554152 0.00000000 0.00000000\, 4503203.93819692 4503247.74542009 0.00000000 0.00000000)",2017-10-30T23:08:01.391Z,http://datos.santander.es/api/datos/conductos/10422.csv
10420,Colector,Hormigón masa,Circular,600,600,1.47,50.436,0.005155,Unitaria,"LINESTRING ZM ( 4503203.93966556 4503247.74578469 0.00000000 0.00000000\, 4503203.93917664 4503247.74566085 0.00000000 0.00000000)",2017-10-30T23:08:01.39Z,http://datos.santander.es/api/datos/conductos/10420.csv
10421,Colector,Hormigón masa,Circular,600,600,1.55,50.335,0.003576,Unitaria,"LINESTRING ZM ( 4503203.93917664 4503247.74566085 0.00000000 0.00000000\, 4503203.93868764 4503247.74554152 0.00000000 0.00000000)",2017-10-30T23:08:01.39Z,http://datos.santander.es/api/datos/conductos/10421.csv
10419,Colector,Hormigón masa,Circular,600,600,1.47,29.118,0.005838,Unitaria,"LINESTRING ZM ( 4503203.93994969 4503247.74584837 0.00000000 0.00000000\, 4503203.93966556 4503247.74578469 0.00000000 0.00000000)",2017-10-30T23:08:01.389Z,http://datos.santander.es/api/datos/conductos/10419.csv
10418,Colector,P.V.C. liso,Circular,300,300,1.44,35.573,0.05088,Unitaria,"LINESTRING ZM ( 4503203.93986303 4503247.74619338 0.00000000 0.00000000\, 4503203.93994969 4503247.74584837 0.00000000 0.00000000)",2017-10-30T23:08:01.388Z,http://datos.santander.es/api/datos/conductos/10418.csv
10417,Colector,Hormigón masa,Circular,400,400,1.44,41.346,0.06772,Unitaria,"LINESTRING ZM ( 4503203.93992802 4503247.74663521 0.00000000 0.00000000\, 4503203.94001983 4503247.74623207 0.00000000 0.00000000)",2017-10-30T23:08:01.377Z,http://datos.santander.es/api/datos/conductos/10417.csv
10416,Colector,Hormigón masa,Circular,400,400,1.79,35.877,0.04515,Unitaria,"LINESTRING ZM ( 4503203.94001983 4503247.74623207 0.00000000 0.00000000\, 4503203.94010246 4503247.74588294 0.00000000 0.00000000)",2017-10-30T23:08:01.376Z,http://datos.santander.es/api/datos/conductos/10416.csv
10415,Colector,Hormigón masa,Circular,500,500,1.54,50.081,0.01018,Unitaria,"LINESTRING ZM ( 4503203.94058759 4503247.74600727 0.00000000 0.00000000\, 4503203.94010246 4503247.74588294 0.00000000 0.00000000)",2017-10-30T23:08:01.375Z,http://datos.santander.es/api/datos/conductos/10415.csv
10414,Colector,Hormigón masa,Circular,500,500,1.54,49.722,0.01146,Unitaria,"LINESTRING ZM ( 4503203.94107058 4503247.74612539 0.00000000 0.00000000\, 4503203.94058759 4503247.74600727 0.00000000 0.00000000)",2017-10-30T23:08:01.374Z,http://datos.santander.es/api/datos/conductos/10414.csv
10412,Colector,Hormigón masa,Circular,400,400,1.98,30.346,0.00982,Unitaria,"LINESTRING ZM ( 4503203.94184802 4503247.74632563 0.00000000 0.00000000\, 4503203.94155415 4503247.74624994 0.00000000 0.00000000)",2017-10-30T23:08:01.373Z,http://datos.santander.es/api/datos/conductos/10412.csv
10413,Colector,Hormigón masa,Circular,400,400,1.75,49.935,0.01342,Unitaria,"LINESTRING ZM ( 4503203.94155415 4503247.74624994 0.00000000 0.00000000\, 4503203.94107058 4503247.74612539 0.00000000 0.00000000)",2017-10-30T23:08:01.373Z,http://datos.santander.es/api/datos/conductos/10413.csv
10411,Colector,Hormigón masa,Circular,400,400,0,46.599,0,Unitaria,"LINESTRING ZM ( 4503203.94178897 4503247.74678786 0.00000000 0.00000000\, 4503203.94184802 4503247.74632563 0.00000000 0.00000000)",2017-10-30T23:08:01.372Z,http://datos.santander.es/api/datos/conductos/10411.csv
10409,Colector,P.V.C. liso,Circular,300,300,1.36,42.715,0.01171,Unitaria,"LINESTRING ZM ( 4503203.94131751 4503247.74697894 0.00000000 0.00000000\, 4503203.94090273 4503247.74687690 0.00000000 0.00000000)",2017-10-30T23:08:01.371Z,http://datos.santander.es/api/datos/conductos/10409.csv
10410,Colector,Hormigón masa,Circular,400,400,1.42,49.992,0.009822,Unitaria,"LINESTRING ZM ( 4503203.94041303 4503247.74675641 0.00000000 0.00000000\, 4503203.93992802 4503247.74663521 0.00000000 0.00000000)",2017-10-30T23:08:01.371Z,http://datos.santander.es/api/datos/conductos/10410.csv
10408,Colector,Hormigón armado,Circular,1800,1800,4,52.17,0.007284,Unitaria,"LINESTRING ZM ( 4503203.93729517 4503247.74505209 24.93900000 0.00000000\, 4503203.93677659 4503247.74499515 26.95700000 0.00000000)",2017-10-30T23:08:01.37Z,http://datos.santander.es/api/datos/conductos/10408.csv
10406,Colector,P.V.C. liso,Circular,300,300,1.45,50.431,0.009893,Unitaria,"LINESTRING ZM ( 4503203.94090273 4503247.74687690 0.00000000 0.00000000\, 4503203.94041303 4503247.74675641 0.00000000 0.00000000)",2017-10-30T23:08:01.358Z,http://datos.santander.es/api/datos/conductos/10406.csv
10407,Colector,P.V.C. liso,Circular,300,300,1,28.125,0.03652,Pluvial,"LINESTRING ZM ( 4503203.94206752 4503247.74650148 0.00000000 0.00000000\, 4503203.94184802 4503247.74632563 0.00000000 0.00000000)",2017-10-30T23:08:01.358Z,http://datos.santander.es/api/datos/conductos/10407.csv
10405,Colector,Hormigón masa,Circular,600,600,1.53,50,0.0062,Unitaria,"LINESTRING ZM ( 4503203.93819692 4503247.74542009 0.00000000 0.00000000\, 4503203.93771156 4503247.74529997 0.00000000 0.00000000)",2017-10-30T23:08:01.357Z,http://datos.santander.es/api/datos/conductos/10405.csv
10403,Colector,Hormigón masa,Circular,500,500,1.5,39.942,0.04281,Unitaria,"LINESTRING ZM ( 4503203.93684961 4503247.74587237 0.00000000 0.00000000\, 4503203.93694662 4503247.74548491 0.00000000 0.00000000)",2017-10-30T23:08:01.356Z,http://datos.santander.es/api/datos/conductos/10403.csv
10404,Colector,Hormigón masa,Circular,600,600,1.5,15.663,-0.01213,Unitaria,"LINESTRING ZM ( 4503203.94010246 4503247.74588294 0.00000000 0.00000000\, 4503203.93994969 4503247.74584837 0.00000000 0.00000000)",2017-10-30T23:08:01.356Z,http://datos.santander.es/api/datos/conductos/10404.csv
10402,Colector,P.V.C. liso,Circular,300,300,0,8.925,0,Unitaria,"LINESTRING ZM ( 4503203.93990115 4503247.74672032 0.00000000 0.00000000\, 4503203.93992802 4503247.74663521 0.00000000 0.00000000)",2017-10-30T23:08:01.355Z,http://datos.santander.es/api/datos/conductos/10402.csv
10401,Colector,P.V.C. liso,Circular,300,300,1.1,15.569,0,Unitaria,"LINESTRING ZM ( 4503203.97457316 4503247.75468004 9.25000000 0.00000000\, 4503203.97443203 4503247.75461431 8.78800000 0.00000000)",2017-10-30T23:08:01.354Z,http://datos.santander.es/api/datos/conductos/10401.csv
10399,Colector,P.V.C. liso,Circular,200,200,1.3,4.172,0,Pluvial,"LINESTRING ZM ( 4503203.97390144 4503247.75494114 11.35100000 0.00000000\, 4503203.97387032 4503247.75491336 11.35100000 0.00000000)",2017-10-30T23:08:01.353Z,http://datos.santander.es/api/datos/conductos/10399.csv
10400,Colector,Hormigón masa,Circular,200,200,1.3,3.82,0,Pluvial,"LINESTRING ZM ( 4503203.97414490 4503247.75489126 11.12900000 0.00000000\, 4503203.97410710 4503247.75488574 11.12900000 0.00000000)",2017-10-30T23:08:01.353Z,http://datos.santander.es/api/datos/conductos/10400.csv
9987,Colector,Fibrocemento,Circular,800,800,2.75,76.074,0.002892,Unitaria,"LINESTRING ZM ( 4503203.96495215 4503247.74136195 3.79200000 0.00000000\, 4503203.96566663 4503247.74162318 3.79200000 0.00000000)",2017-10-30T23:08:01.352Z,http://datos.santander.es/api/datos/conductos/9987.csv
9985,Colector,Hormigón masa,Ovoide,750,520,2.3,11.237,0,Unitaria,"LINESTRING ZM ( 4503203.96631384 4503247.74183408 3.96200000 0.00000000\, 4503203.96627590 4503247.74193985 3.96200000 0.00000000)",2017-10-30T23:08:01.341Z,http://datos.santander.es/api/datos/conductos/9985.csv
9983,Colector,Hormigón masa,Circular,300,300,0,21.37,0,Unitaria,"LINESTRING ZM ( 4503203.96651446 4503247.74190770 0.00000000 0.00000000\, 4503203.96631384 4503247.74183408 0.00000000 0.00000000)",2017-10-30T23:08:01.34Z,http://datos.santander.es/api/datos/conductos/9983.csv
9984,Colector,Hormigón masa,Ovoide,750,250,2.3,14.879,0,Unitaria,"LINESTRING ZM ( 4503203.96636112 4503247.74169300 0.00000000 0.00000000\, 4503203.96631384 4503247.74183408 0.00000000 0.00000000)",2017-10-30T23:08:01.34Z,http://datos.santander.es/api/datos/conductos/9984.csv
9982,Colector,Hormigón masa,Circular,300,300,0,16.716,0,Unitaria,"LINESTRING ZM ( 4503203.96615604 4503247.74177892 0.00000000 0.00000000\, 4503203.96631384 4503247.74183408 0.00000000 0.00000000)",2017-10-30T23:08:01.339Z,http://datos.santander.es/api/datos/conductos/9982.csv
9981,Colector,Fibrocemento,Circular,800,800,3.5,62.847,0,Unitaria,"LINESTRING ZM ( 4503203.96676645 4503247.74203477 3.78900000 0.00000000\, 4503203.96735908 4503247.74224397 3.78900000 0.00000000)",2017-10-30T23:08:01.338Z,http://datos.santander.es/api/datos/conductos/9981.csv
9979,Colector,Hormigón masa,Circular,200,200,0.6,2.166,0.397,Unitaria,"LINESTRING ZM ( 4503203.96569546 4503247.74192598 4.05300000 0.00000000\, 4503203.96571533 4503247.74191737 4.05300000 0.00000000)",2017-10-30T23:08:01.337Z,http://datos.santander.es/api/datos/conductos/9979.csv
9980,Colector,Fibrocemento,Circular,800,800,3.15,43.837,0.007072,Unitaria,"LINESTRING ZM ( 4503203.96635433 4503247.74188534 3.78900000 0.00000000\, 4503203.96676645 4503247.74203477 3.78900000 0.00000000)",2017-10-30T23:08:01.337Z,http://datos.santander.es/api/datos/conductos/9980.csv
9978,Colector,Hormigón masa,Circular,400,400,0,8.239,0,Unitaria,"LINESTRING ZM ( 4503203.96579276 4503247.74194552 0.00000000 0.00000000\, 4503203.96571533 4503247.74191737 0.00000000 0.00000000)",2017-10-30T23:08:01.336Z,http://datos.santander.es/api/datos/conductos/9978.csv
9976,Colector,Hormigón masa,Circular,200,200,0.6,6.769,0.1359,Unitaria,"LINESTRING ZM ( 4503203.96566581 4503247.74187122 4.09400000 0.00000000\, 4503203.96571533 4503247.74191737 4.09400000 0.00000000)",2017-10-30T23:08:01.335Z,http://datos.santander.es/api/datos/conductos/9976.csv
9977,Colector,Hormigón masa,Circular,150,150,0,4.653,0,Unitaria,"LINESTRING ZM ( 4503203.96568019 4503247.74182697 4.09400000 0.00000000\, 4503203.96566581 4503247.74187122 4.09400000 0.00000000)",2017-10-30T23:08:01.335Z,http://datos.santander.es/api/datos/conductos/9977.csv
9974,Colector,Hormigón masa,Circular,400,400,1.5,46.455,0.006245,Unitaria,"LINESTRING ZM ( 4503203.96555708 4503247.74235413 4.03100000 0.00000000\, 4503203.96571533 4503247.74191737 4.03100000 0.00000000)",2017-10-30T23:08:01.323Z,http://datos.santander.es/api/datos/conductos/9974.csv
