dc:identifier,dc:modified,ayto:capacidad,ayto:direccion,ayto:latitud,ayto:longitud,ayto:estadoConservacion,uri
PAST010118,2017-10-31T01:22:06.041Z,90,"Calle Ciriaco Párraga\, 4",43.455138999999996,-3.8512649999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010118.csv
PAST010117,2017-10-31T01:22:06.041Z,90,"Santander\, Calle Ciriaco Párraga",43.455991,-3.851736,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010117.csv
PAST010114,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 25",43.46019,-3.8080089999999998,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010114.csv
PAST010113,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 25",43.460280999999995,-3.8074149999999998,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010113.csv
PAST010112,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 25",43.460353999999995,-3.806977,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010112.csv
PAST010111,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 6",43.46067,-3.806069,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010111.csv
PAST010110,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 6",43.46035,-3.806752,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010110.csv
PAST010109,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 18",43.460255,-3.8070359999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010109.csv
PAST010108,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 25",43.460268,-3.807644,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010108.csv
PAST010107,2017-10-31T01:22:06.041Z,90,"Calle Cádiz\, 12",43.460128999999995,-3.8080469999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010107.csv
PAST010106,2017-10-31T01:22:06.041Z,,"Calle Rosalía de Castro\, Santander",43.439189,-3.857802,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010106.csv
PAST010105,2017-10-31T01:22:06.041Z,,"Calle Rosalía de Castro\, Santander",43.439304,-3.8585439999999998,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010105.csv
PAST010198,2017-10-31T01:22:06.04Z,,"Calle Marqués de la Hermida\, 48",43.453575,-3.820462,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010198.csv
PAST010195,2017-10-31T01:22:06.04Z,,"Calle Marqués de la Hermida\, 48",43.453631,-3.820299,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010195.csv
PAST010191,2017-10-31T01:22:06.04Z,90,"Calle Marqués de la Hermida\, 54",43.453342,-3.8213649999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010191.csv
PAST010190,2017-10-31T01:22:06.04Z,,"Calle General Moscardó\, 5-7",43.45337476181483,-3.8214917108416557,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010190.csv
PAST010189,2017-10-31T01:22:06.04Z,,"Calle Marqués de la Hermida\, 56",43.453274,-3.821532,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010189.csv
PAST010187,2017-10-31T01:22:06.04Z,,"Calle Columna Sagardía\, 5",43.453098271918655,-3.822546154260635,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010187.csv
PAST010186,2017-10-31T01:22:06.04Z,90,"Calle de la Columna Sagardia\, 2",43.453596,-3.8229689999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010186.csv
PAST010185,2017-10-31T01:22:06.04Z,,"Calle Marqués de la Hermida\, 64",43.452973,-3.822602,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010185.csv
PAST010184,2017-10-31T01:22:06.04Z,,"Calle Capitán Palacios\, 9",43.452819346851726,-3.823610655963421,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010184.csv
PAST010183,2017-10-31T01:22:06.04Z,,"Calle Marqués de la Hermida\, 7212",43.452759,-3.8249869999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010183.csv
PAST010181,2017-10-31T01:22:06.04Z,,"Santander\, Calle Castilla",43.452397999999995,-3.825068,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010181.csv
PAST010180,2017-10-31T01:22:06.04Z,,"Calle Castilla\, 18A",43.45744894699924,-3.8131158426404,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010180.csv
PAST010179,2017-10-31T01:22:06.04Z,,"Calle Castilla\, 18",43.45760300130386,-3.8125726953148837,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010179.csv
PAST010178,2017-10-31T01:22:06.04Z,,"Calle Nicolás Salmerón\, 2",43.45745332769578,-3.8125073164701466,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010178.csv
PAST010177,2017-10-31T01:22:06.04Z,,"Calle del Marqués de la Hermida\, 2",43.455963385823225,-3.811744228005409,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010177.csv
PAST010176,2017-10-31T01:22:06.04Z,,"Calle Nicolás Salmerón\, 14",43.45598577659677,-3.8115745782852177,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010176.csv
PAST010175,2017-10-31T01:22:06.04Z,,"Calle Nicolás Salmerón\, 12",43.45650246573104,-3.8119665160775185,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010175.csv
PAST010174,2017-10-31T01:22:06.04Z,,"Calle Nicolás Salmerón\, 3",43.45695295274895,-3.8120966032147403,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010174.csv
PAST010171,2017-10-31T01:22:06.04Z,,"Santander\, Avenida Honduras",43.470286,-3.7986259999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010171.csv
PAST010170,2017-10-31T01:22:06.04Z,80,"Calle Estudiantes\, 14",43.470155,-3.7978099999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010170.csv
PAST010169,2017-10-31T01:22:06.04Z,80,"Avenida Honduras\, 9",43.470462,-3.797986,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010169.csv
PAST010168,2017-10-31T01:22:06.04Z,80,"Calle Universidad\, 17",43.470395,-3.7974815,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010168.csv
PAST010229,2017-10-31T01:22:06.039Z,,"Calle Columna Sagardía\, 2",43.453806,-3.8230769999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010229.csv
PAST010228,2017-10-31T01:22:06.039Z,90,"Calle Castilla\, 85",43.453835999999995,-3.8228959999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010228.csv
PAST010227,2017-10-31T01:22:06.039Z,,"Calle Castilla\, 81",43.453984999999996,-3.822446,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010227.csv
PAST010226,2017-10-31T01:22:06.039Z,,"Calle Castilla\, 77",43.454045780012166,-3.8220056891441345,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010226.csv
PAST010225,2017-10-31T01:22:06.039Z,,"Calle General Moscardó\, 3",43.454121,-3.821831,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010225.csv
PAST010224,2017-10-31T01:22:06.039Z,90,"Calle Castilla\, 73",43.454249999999995,-3.821367,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010224.csv
PAST010223,2017-10-31T01:22:06.039Z,90,"Calle Castilla\, 71",43.454398999999995,-3.820953,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010223.csv
PAST010222,2017-10-31T01:22:06.039Z,,"Castilla\, 0069",43.45445637035522,-3.8206347450613976,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010222.csv
PAST010221,2017-10-31T01:22:06.039Z,,"Calle General Díaz de Villegas\, 6",43.45465983910685,-3.819812312722206,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010221.csv
PAST010220,2017-10-31T01:22:06.039Z,,"Calle Castilla\, 65",43.454859,-3.819295,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010220.csv
PAST010217,2017-10-31T01:22:06.039Z,,"Calle Héroes de la Armada\, 2",43.454958,-3.818771,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010217.csv
PAST010216,2017-10-31T01:22:06.039Z,,"Calle Castilla\, 61",43.455032214355484,-3.8185104355216026,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010216.csv
PAST010215,2017-10-31T01:22:06.039Z,,"Calle Héroes de la Armada\, 5",43.454198,-3.8182139999999998,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010215.csv
PAST010214,2017-10-31T01:22:06.039Z,,"Calle Héroes de la Armada\, 6-8",43.454539,-3.8184899999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010214.csv
PAST010213,2017-10-31T01:22:06.039Z,,"Calle Sargentos Provisionales\, 2",43.454616030103345,-3.818543627858162,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010213.csv
PAST010211,2017-10-31T01:22:06.039Z,,"Calle Marqués de la Hermida\, 36",43.454142,-3.818535,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010211.csv
PAST010210,2017-10-31T01:22:06.039Z,,"Calle Marqués de la Hermida\, 40",43.4540019,-3.8190436,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010210.csv
PAST010204,2017-10-31T01:22:06.039Z,,"Calle General Díaz de Villegas\, 6",43.454372,-3.819666,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010204.csv
PAST010202,2017-10-31T01:22:06.039Z,,"Calle General Díaz de Villegas\, 6",43.45414848870562,-3.819520957767964,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010202.csv
PAST010201,2017-10-31T01:22:06.039Z,,"Santander\, Plaza Dionisio Ridruejo",43.45382,-3.819728,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010201.csv
PAST010200,2017-10-31T01:22:06.039Z,,"Plaza Dionisio Ridruejo\, Santander",43.45378048897787,-3.820014484226704,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010200.csv
PAST010199,2017-10-31T01:22:06.039Z,,"Calle Zancajo Osorio\, 12",43.454212999999996,-3.820648,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010199.csv
PAST010284,2017-10-31T01:22:06.038Z,,"Barrio Nuestra Señora de Belén\, 2",43.4607332,-3.8483546,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010284.csv
PAST010283,2017-10-31T01:22:06.038Z,,"Barrio Nuestra Señora de Belén\, 7-15",43.4607656,-3.8484307,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010283.csv
PAST010282,2017-10-31T01:22:06.038Z,,"Calle Fuente del Fresno\, 39",43.460229999999996,-3.84774,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010282.csv
PAST010280,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 7",43.461334,-3.8473059999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010280.csv
PAST010279,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 2",43.4617939,-3.8458455,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010279.csv
PAST010278,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 1067",43.4618465,-3.8451937,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010278.csv
PAST010275,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 10",43.4610562,-3.8441384,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010275.csv
PAST010273,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 12",43.4610471,-3.8434271,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010273.csv
PAST010272,2017-10-31T01:22:06.038Z,,"Calle Rafael Alsúa\, 2",43.4615345,-3.8433746,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010272.csv
PAST010271,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 9",43.4614853,-3.8440034,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010271.csv
PAST010270,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 7",43.4613638,-3.8446202,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010270.csv
PAST010269,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 6",43.4612482,-3.8448427,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010269.csv
PAST010268,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 6",43.4611644,-3.8450263,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010268.csv
PAST010267,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 1",43.461794,-3.844905,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010267.csv
PAST010265,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 1067",43.4619426,-3.8448394,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010265.csv
PAST010264,2017-10-31T01:22:06.038Z,,"Avenida Deporte\, 1067",43.4621469,-3.84391,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010264.csv
PAST010263,2017-10-31T01:22:06.038Z,,"Calle Rafael Alsúa\, 2",43.462162,-3.843267,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010263.csv
PAST010262,2017-10-31T01:22:06.038Z,,"Barrio Lavapies\, 56",43.4627409,-3.842003,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010262.csv
PAST010261,2017-10-31T01:22:06.038Z,,"Santander\, Calle Federico García Lorca",43.4631294,-3.8431559,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010261.csv
PAST010260,2017-10-31T01:22:06.038Z,,"Calle Lavapiés\, 6A",43.4626239,-3.8427393,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010260.csv
PAST010258,2017-10-31T01:22:06.038Z,,"Calle Lavapiés\, 8A",43.462595,-3.8430351,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010258.csv
PAST010257,2017-10-31T01:22:06.038Z,,"Calle Rafael Alsúa\, 2",43.4617964,-3.8427937,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010257.csv
PAST010256,2017-10-31T01:22:06.038Z,,"Calle Lavapiés\, 66",43.462578,-3.8428598,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010256.csv
PAST010247,2017-10-31T01:22:06.038Z,,"Avenida Constitución\, 32-40",43.4745015,-3.8049557,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010247.csv
PAST010244,2017-10-31T01:22:06.038Z,,"Avenida Constitución\, 46-50",43.47587,-3.799657,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010244.csv
PAST010239,2017-10-31T01:22:06.038Z,,"Avenida Constitución\, 46-50",43.4763207,-3.7978926,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010239.csv
PAST010233,2017-10-31T01:22:06.038Z,90,"Calle Marqués de la Hermida\, 728",43.4532073,-3.824619,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010233.csv
PAST010232,2017-10-31T01:22:06.038Z,,"Calle Capitán Palacios\, 3",43.453506,-3.8241769999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010232.csv
PAST010231,2017-10-31T01:22:06.038Z,,"Calle Castilla\, 91",43.453573999999996,-3.823943,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010231.csv
PAST010311,2017-10-31T01:22:06.037Z,90,"Calle de García Morato\, 8",43.455481999999996,-3.8165259999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010311.csv
PAST010310,2017-10-31T01:22:06.037Z,90,"Calle García Morato\, 14",43.455081,-3.816328,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010310.csv
PAST010309,2017-10-31T01:22:06.037Z,90,"Calle García Morato\, 16",43.454769999999996,-3.816178,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010309.csv
PAST010308,2017-10-31T01:22:06.037Z,,"Calle Carlos Haya\, 15",43.454535,-3.8171269999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010308.csv
PAST010306,2017-10-31T01:22:06.037Z,,"Calle del Marqués de la Hermida\, 30",43.45450139639391,-3.817308135330677,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010306.csv
PAST010305,2017-10-31T01:22:06.037Z,,"Polígono de Nueva Montaña\, 14-18",43.4441982,-3.845522,Deterioro,http://datos.santander.es/api/datos/residuos_papeleras/past010305.csv
PAST010304,2017-10-31T01:22:06.037Z,,"Barrio Nueva Montaña Santiago Mayor\, 10",43.439703,-3.847178,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010304.csv
PAST010303,2017-10-31T01:22:06.037Z,,"Barrio Nueva Montaña Santiago Mayor\, 65",43.4382833,-3.8475963,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010303.csv
PAST010302,2017-10-31T01:22:06.037Z,,"Barrio Nueva Montaña Santiago Mayor\, 65",43.4383049,-3.8477399,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010302.csv
PAST010301,2017-10-31T01:22:06.037Z,,"Barrio Nueva Montaña Santiago Mayor\, 82-84",43.438623,-3.8470362,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010301.csv
PAST010300,2017-10-31T01:22:06.037Z,,"Calle Francisco Tomás y Valiente\, 23",43.4391486,-3.8454393,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010300.csv
PAST010299,2017-10-31T01:22:06.037Z,,"Calle Francisco Tomás y Valiente\, 23",43.439139,-3.845141,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010299.csv
PAST010298,2017-10-31T01:22:06.037Z,,"Calle Francisco Tomás y Valiente\, 8",43.439217,-3.8447299999999998,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010298.csv
PAST010297,2017-10-31T01:22:06.037Z,,"Calle Francisco Tomás y Valiente\, 28",43.439167,-3.844557,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010297.csv
PAST010296,2017-10-31T01:22:06.037Z,,"Calle Francisco Tomás y Valiente\, 25",43.4390416,-3.8442936,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010296.csv
PAST010295,2017-10-31T01:22:06.037Z,,"Polígono de Nueva Montaña\, 2E",43.440069,-3.84244,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010295.csv
PAST010294,2017-10-31T01:22:06.037Z,,"Calle Francisco Tomás y Valiente\, 7C",43.4392804,-3.8409199,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010294.csv
PAST010293,2017-10-31T01:22:06.037Z,,"Avenida Campogiro\, 50-74",43.450486999999995,-3.8494249999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010293.csv
PAST010292,2017-10-31T01:22:06.037Z,,"Avenida Campogiro\, 10-924",43.451702,-3.8485389999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010292.csv
PAST010291,2017-10-31T01:22:06.037Z,,"Avenida Campogiro\, 2",43.452379,-3.847775,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010291.csv
PAST010290,2017-10-31T01:22:06.037Z,,"Avenida Campogiro\, 90",43.4532062,-3.8467275,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010290.csv
PAST010289,2017-10-31T01:22:06.037Z,,"Avenida Campogiro\, 92",43.452612,-3.8475756,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010289.csv
PAST010288,2017-10-31T01:22:06.037Z,,"Calle el Regatón\, 5",43.458196,-3.859038,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010288.csv
PAST010286,2017-10-31T01:22:06.037Z,,"Avenida Vicente Trueba\, 16",43.4591425,-3.856425,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010286.csv
PAST010285,2017-10-31T01:22:06.037Z,,"Av Vicente Trueba\, 15",43.459016999999996,-3.856363,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010285.csv
PAST010336,2017-10-31T01:22:06.036Z,,"Calle Federico Vial\, 1",43.45716298417689,-3.813564106822014,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010336.csv
PAST010335,2017-10-31T01:22:06.036Z,,"Avenida de Castilla\, 27",43.457294999999995,-3.813001,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010335.csv
PAST010334,2017-10-31T01:22:06.036Z,,"Calle Marqués de la Hermida\, 12",43.45563,-3.812964,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010334.csv
PAST010331,2017-10-31T01:22:06.036Z,,"Calle Federico Vial\, 8",43.45648031852476,-3.8133592531085014,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010331.csv
PAST010329,2017-10-31T01:22:06.036Z,90,"Calle Marqués de la Hermida\, 14",43.4554269,-3.8137044,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010329.csv
PAST010328,2017-10-31T01:22:06.036Z,,"Calle Ruiz Zorrilla\, 11-13",43.45537927575803,-3.8140110298991203,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010328.csv
PAST010327,2017-10-31T01:22:06.036Z,,"Calle Ruiz Zorrilla\, 11",43.455966,-3.8142989999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010327.csv
PAST010326,2017-10-31T01:22:06.036Z,,"Calle Ruiz Zorrilla\, 7",43.456134,-3.814381,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010326.csv
PAST010325,2017-10-31T01:22:06.036Z,80,"Calle Ruiz Zorrilla\, 6",43.45643,-3.814673,Deterioro,http://datos.santander.es/api/datos/residuos_papeleras/past010325.csv
PAST010323,2017-10-31T01:22:06.036Z,,"Calle RUIZ ZORRILLA\, 18",43.455698,-3.8143339999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010323.csv
PAST010322,2017-10-31T01:22:06.036Z,,"Calle Marqués de la Hermida\, 16",43.455135999999996,-3.8148389999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010322.csv
PAST010321,2017-10-31T01:22:06.036Z,,"Calle Ruiz de Alda\, 13",43.45555621302763,-3.8152029365301137,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010321.csv
PAST010320,2017-10-31T01:22:06.036Z,,"Calle Ruiz de Alda\, 11",43.455728,-3.8152739999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010320.csv
PAST010319,2017-10-31T01:22:06.036Z,,"Calle RUIZ DE ALDA\, 5",43.456240836127684,-3.8155600056052204,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010319.csv
PAST010317,2017-10-31T01:22:06.036Z,,"Calle Ruiz de Alda\, 10",43.455746999999995,-3.8154239999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010317.csv
PAST010316,2017-10-31T01:22:06.036Z,,"Calle Ruiz de Alda\, 16",43.455045,-3.815149,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010316.csv
PAST010315,2017-10-31T01:22:06.036Z,,"Calle García Morato\, 13",43.454817999999996,-3.8160309999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010315.csv
PAST010312,2017-10-31T01:22:06.036Z,,"Calle García Morato\, 9",43.4555182457892,-3.8164002075791363,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010312.csv
PAST010362,2017-10-31T01:22:06.035Z,,"Avenida Constitución\, 73A",43.4744898,-3.8043353,Deterioro,http://datos.santander.es/api/datos/residuos_papeleras/past010362.csv
PAST010361,2017-10-31T01:22:06.035Z,,"Avenida Constitución\, 25-61",43.4723613,-3.8104713,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010361.csv
PAST010360,2017-10-31T01:22:06.035Z,,"Avenida Constitución\, 25-61",43.4723598,-3.8103019,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010360.csv
PAST010359,2017-10-31T01:22:06.035Z,,"Avenida Constitución\, 25",43.4668508,-3.8330617,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010359.csv
PAST010358,2017-10-31T01:22:06.035Z,,"Avenida Constitución\, 25",43.4668401,-3.8330703,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010358.csv
PAST010357,2017-10-31T01:22:06.035Z,,"Bajada de San Juan\, 11",43.468347,-3.8237829999999997,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010357.csv
PAST010356,2017-10-31T01:22:06.035Z,,"Avenida Constitución\, 26-62",43.472705999999995,-3.810355,Deterioro,http://datos.santander.es/api/datos/residuos_papeleras/past010356.csv
