dc:identifier,dc:modified,ayto:tarjeta,ayto:dia,uri
2016070316EVFA,2017-10-31T01:25:05.101Z,16EVFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316evfa.csv
2016070316103VNA,2017-10-31T01:25:05.101Z,16103VNA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316103vna.csv
2016070316102VNA,2017-10-31T01:25:05.101Z,16102VNA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316102vna.csv
2016070316101VNA,2017-10-31T01:25:05.101Z,16101VNA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316101vna.csv
2016070316072VFA,2017-10-31T01:25:05.101Z,16072VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316072vfa.csv
2016070316071VFA,2017-10-31T01:25:05.101Z,16071VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316071vfa.csv
2016070316062VFA,2017-10-31T01:25:05.101Z,16062VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316062vfa.csv
2016070316061VFA,2017-10-31T01:25:05.101Z,16061VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316061vfa.csv
2016070316052VFA,2017-10-31T01:25:05.101Z,16052VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316052vfa.csv
2016070316051VFA,2017-10-31T01:25:05.101Z,16051VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316051vfa.csv
2016070316031VLA,2017-10-31T01:25:05.101Z,16031VLA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316031vla.csv
2016070316018VFA,2017-10-31T01:25:05.101Z,16018VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316018vfa.csv
2016070316017VFA,2017-10-31T01:25:05.101Z,16017VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316017vfa.csv
2016070316015VFA,2017-10-31T01:25:05.101Z,16015VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316015vfa.csv
2016070316014VFA,2017-10-31T01:25:05.101Z,16014VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316014vfa.csv
2016070316013VFA,2017-10-31T01:25:05.101Z,16013VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316013vfa.csv
2016070316012VFA,2017-10-31T01:25:05.101Z,16012VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316012vfa.csv
2016070316011VFA,2017-10-31T01:25:05.101Z,16011VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316011vfa.csv
2016070316004VFA,2017-10-31T01:25:05.101Z,16004VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316004vfa.csv
2016070316003VFA,2017-10-31T01:25:05.101Z,16003VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316003vfa.csv
2016070316002VFA,2017-10-31T01:25:05.101Z,16002VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316002vfa.csv
2016070316001VFA,2017-10-31T01:25:05.101Z,16001VFA,2016-07-02T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070316001vfa.csv
2016070216EVSA,2017-10-31T01:25:05.101Z,16EVSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216evsa.csv
2016070216103VSA,2017-10-31T01:25:05.101Z,16103VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216103vsa.csv
2016070216102VSA,2017-10-31T01:25:05.101Z,16102VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216102vsa.csv
2016070216101VSA,2017-10-31T01:25:05.101Z,16101VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216101vsa.csv
2016070216072VSA,2017-10-31T01:25:05.101Z,16072VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216072vsa.csv
2016070216071VSA,2017-10-31T01:25:05.101Z,16071VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216071vsa.csv
2016070216062VSA,2017-10-31T01:25:05.101Z,16062VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216062vsa.csv
2016070216061VSA,2017-10-31T01:25:05.101Z,16061VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216061vsa.csv
2016070216052VSA,2017-10-31T01:25:05.101Z,16052VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216052vsa.csv
2016070216051VSA,2017-10-31T01:25:05.101Z,16051VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216051vsa.csv
2016070216031VLA,2017-10-31T01:25:05.101Z,16031VLA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216031vla.csv
2016070216019VSA,2017-10-31T01:25:05.101Z,16019VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216019vsa.csv
2016070216018VSA,2017-10-31T01:25:05.101Z,16018VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216018vsa.csv
2016070216017VSA,2017-10-31T01:25:05.101Z,16017VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216017vsa.csv
2016070216016VSA,2017-10-31T01:25:05.101Z,16016VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216016vsa.csv
2016070216015VSA,2017-10-31T01:25:05.101Z,16015VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216015vsa.csv
2016070216014VSA,2017-10-31T01:25:05.101Z,16014VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216014vsa.csv
2016070216013VSA,2017-10-31T01:25:05.101Z,16013VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216013vsa.csv
2016070216012VSA,2017-10-31T01:25:05.101Z,16012VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216012vsa.csv
2016070216011VSA,2017-10-31T01:25:05.101Z,16011VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216011vsa.csv
2016070216004VSA,2017-10-31T01:25:05.101Z,16004VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216004vsa.csv
2016070216003VSA,2017-10-31T01:25:05.101Z,16003VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216003vsa.csv
2016070216002VSA,2017-10-31T01:25:05.101Z,16002VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216002vsa.csv
2016070216001VSA,2017-10-31T01:25:05.101Z,16001VSA,2016-07-01T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070216001vsa.csv
2016070416EVLA,2017-10-31T01:25:05.1Z,16EVLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416evla.csv
2016070416103VNA,2017-10-31T01:25:05.1Z,16103VNA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416103vna.csv
2016070416102VNA,2017-10-31T01:25:05.1Z,16102VNA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416102vna.csv
2016070416101VNA,2017-10-31T01:25:05.1Z,16101VNA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416101vna.csv
2016070416072VLA,2017-10-31T01:25:05.1Z,16072VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416072vla.csv
2016070416071VLA,2017-10-31T01:25:05.1Z,16071VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416071vla.csv
2016070416062VLA,2017-10-31T01:25:05.1Z,16062VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416062vla.csv
2016070416061VLA,2017-10-31T01:25:05.1Z,16061VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416061vla.csv
2016070416052VLA,2017-10-31T01:25:05.1Z,16052VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416052vla.csv
2016070516020VLA,2017-10-31T01:25:05.099Z,16020VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516020vla.csv
2016070516019VLA,2017-10-31T01:25:05.099Z,16019VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516019vla.csv
2016070516018VLA,2017-10-31T01:25:05.099Z,16018VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516018vla.csv
2016070516017VLA,2017-10-31T01:25:05.099Z,16017VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516017vla.csv
2016070516016VLA,2017-10-31T01:25:05.099Z,16016VLA,2016-07-04T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070516016vla.csv
