dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:NO2,ayto:ozone,ayto:odometer,ayto:altitude,ayto:temperature,ayto:CO,ayto:particles,ayto:course,ayto:speed,uri
3062,2017-10-31T17:51:55Z,mobile,43.4634,-3.82294,115.0,120.0,,60.0,13.9,0.1,0.14,,15,http://datos.santander.es/api/datos/sensores_smart_mobile/3062.csv
3035,2017-10-31T17:51:50Z,mobile,43.4551,-3.83394,115.0,119.0,,16.0,21.9,0.1,0.07,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3035.csv
3155,2017-10-31T16:40:01Z,mobile,43.4123,-3.84276,999.0,999.0,,-8.0,200.0,99.9,0.99,,5,http://datos.santander.es/api/datos/sensores_smart_mobile/3155.csv
3172,2017-10-31T15:43:51Z,mobile,43.4238,-3.85673,999.0,999.0,,32.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3172.csv
3120,2017-10-31T14:36:19Z,mobile,43.4646,-3.83525,116.0,9.0,,47.0,16.6,8.9,0.11,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3120.csv
3108,2017-10-31T14:14:39Z,mobile,43.4644,-3.83423,74.0,3.0,,23.0,16.1,0.2,0.22,,31,http://datos.santander.es/api/datos/sensores_smart_mobile/3108.csv
3008,2017-10-31T12:58:56Z,mobile,43.4551,-3.83396,115.0,53.0,,15.0,20.8,0.1,0.08,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3008.csv
3013,2017-10-31T09:12:55Z,mobile,0.0,0.0,999.0,999.0,,24.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3013.csv
3069,2017-10-31T05:40:49Z,mobile,43.4556,-3.83372,999.0,999.0,,18.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3069.csv
3177,2017-10-30T18:04:28Z,mobile,43.4568,-3.84375,92.0,37.0,,69.0,32.9,0.1,0.38,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3177.csv
3170,2017-10-30T08:30:07Z,mobile,43.4619,-3.83923,115.0,42.0,,15.0,30.2,0.1,0.01,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3170.csv
3173,2017-10-29T15:25:51Z,mobile,43.3461,-4.04444,115.0,65.0,,34.0,24.1,0.2,0.94,,39,http://datos.santander.es/api/datos/sensores_smart_mobile/3173.csv
3081,2017-10-27T20:53:58Z,mobile,43.4555,-3.83419,110.0,635.0,,18.0,21.1,10.0,0.33,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3081.csv
3045,2017-10-26T09:07:11Z,mobile,43.4554,-3.83426,115.0,121.0,,26.0,12.3,0.2,0.1,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3045.csv
3198,2017-10-17T11:01:29Z,mobile,0.0,0.0,115.0,8.0,,0.0,23.1,0.1,0.07,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3198.csv
3117,2017-10-16T03:46:10Z,mobile,43.4677,-3.83619,999.0,999.0,,128.0,200.0,99.9,0.99,,13,http://datos.santander.es/api/datos/sensores_smart_mobile/3117.csv
3028,2017-10-09T10:44:32Z,mobile,43.4554,-3.83431,95.0,78.0,,18.0,21.6,0.1,0.1,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3028.csv
3033,2017-09-09T06:15:18Z,mobile,43.4554,-3.83428,115.0,120.0,,20.0,16.1,0.1,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3033.csv
3000,2017-08-09T11:01:37Z,mobile,43.4556,-3.83372,115.0,103.0,,16.0,17.9,0.2,0.01,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3000.csv
3034,2017-08-09T11:00:39Z,mobile,43.4556,-3.83374,999.0,999.0,,24.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3034.csv
3037,2017-07-04T15:38:56Z,mobile,43.4554,-3.83417,114.0,3.0,,26.0,38.1,0.1,0.13,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3037.csv
