dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
221,2017-10-31T17:53:27Z,environment,43.46229,-3.81277,14.51,68.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/221.csv
583,2017-10-31T17:53:24Z,environment,43.45566,-3.81157,14.51,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/583.csv
691,2017-10-31T17:53:21Z,environment,43.46068,-3.81887,14.0,70.0,0.26,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/691.csv
612,2017-10-31T17:53:16Z,environment,43.4584,-3.80866,14.32,72.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/612.csv
586,2017-10-31T17:53:10Z,environment,43.45517,-3.81203,15.87,75.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/586.csv
93,2017-10-31T17:53:05Z,environment,43.46074,-3.80812,-42.83,80.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/93.csv
354,2017-10-31T17:53:04Z,environment,43.46249,-3.80917,-44.38,73.0,26.25,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/354.csv
203,2017-10-31T17:52:59Z,environment,43.46218,-3.80864,14.83,68.0,16.71,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/203.csv
516,2017-10-31T17:52:59Z,environment,43.4639,-3.8088,14.06,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/516.csv
517,2017-10-31T17:52:58Z,environment,43.46415,-3.80881,-43.35,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/517.csv
56,2017-10-31T17:52:52Z,environment,43.46102,-3.80743,14.06,85.0,1.03,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/56.csv
225,2017-10-31T17:52:51Z,environment,43.46217,-3.81312,14.25,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/225.csv
512,2017-10-31T17:52:50Z,environment,43.46417,-3.80979,-43.8,68.0,122.39,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/512.csv
656,2017-10-31T17:52:46Z,environment,43.45993,-3.82042,13.29,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/656.csv
513,2017-10-31T17:52:40Z,environment,43.464,-3.80987,15.35,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/513.csv
229,2017-10-31T17:52:33Z,environment,43.46216,-3.81199,14.9,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/229.csv
208,2017-10-31T17:52:29Z,environment,43.46338,-3.8131,15.09,69.0,61.65,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/208.csv
668,2017-10-31T17:52:28Z,environment,43.46029,-3.81907,13.93,68.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/668.csv
412,2017-10-31T17:52:27Z,environment,43.46152,-3.80949,-20.25,85.0,5.61,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/412.csv
226,2017-10-31T17:52:27Z,environment,43.46244,-3.8116,,63.0,,61.9,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/226.csv
599,2017-10-31T17:52:21Z,environment,43.45571,-3.81211,15.09,77.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/599.csv
502,2017-10-31T17:52:18Z,environment,43.46385,-3.80613,14.0,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/502.csv
593,2017-10-31T17:52:18Z,environment,43.45686,-3.81044,14.9,70.0,81.04,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/593.csv
