"NUMERO,C,20","DIRECCION,C,99","NOTA,C,250"
121,"JUDIMENDI, AVENIDA DE, 3","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
122,"ARANTZABELA, PLAZA DE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
255,"JUDIMENDI, PARQUE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
256,"JUDIMENDI, PARQUE    (EN ZONA DE JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
87,"ERREKATXIKI, 39","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
84,VICENTE ALEIXANDRE,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
85,VICENTE ALEIXANDRE,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
86,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
35,FEDERICO BARAIBAR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
90,"LA FLORIDA, 80","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
91,FUENTE DE LA SALUD,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
92,FEDERICO GARCIA LORCA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
149,"LA ZUMAQUERA, PASEO DE, 53","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
257,"OLARIZU, AVENIDA DE, 10","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
