"NUMERO,C,20","DIRECCION,C,99","NOTA,C,250"
233,"JUAN CRISOSTOMO DE ARRIAGA, 2","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
238,LAKUABURUA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
235,ARAMANGELU,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
234,"ARAMANGELU, 3","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
197,MALTZAGA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
198,ARAMANGELU,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
236,LARRABAZTERRA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
237,"ARAMANGELU, 21","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
286,LUIS OLARIAGA CON PORTAL DE FORONDA (PARKING AUTOCARABANAS),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
213,"GERNIKAKO ARBOLA, 17","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
105,ALFONSO XI,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
107,ALFONSO XI,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
48,"AGIRRELANDA, 25","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
80,GERNIKAKO ARBOLA CON FRANCISCO JAVIER LANDABURU,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
140,"SAN JUAN DE ARRIAGA, PARQUE (JUNTO A PORTAL DE ARRIAGA)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
139,"SAN JUAN DE ARRIAGA, PARQUE (ZONA ERMITA)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
138,"SAN JUAN DE ARRIAGA, PARQUE (ZONA ESCALEXTRIC)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
137,"SAN JUAN DE ARRIAGA, PARQUE (ZONA DE JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
136,"SAN JUAN DE ARRIAGA, PARQUE (BAR)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
135,"SAN JUAN DE ARRIAGA, PARQUE (ZOOLOGICO)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
265,AVENIDA DEL ZADORRA CON DUQUE DE WELLINGTON (ACCESO AL ANILLO VERDE),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
227,"RIO UREDERRA, 5","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
157,LANDABERDE CON ZORROSTEA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
229,"RIO ZAIA, 46","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
230,"RIO ZUBIALDE, 2","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
199,"RIO BAYAS, 2 (EN ZONA DE JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
231,"RIO ZUBIALDE, 44","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
232,"RIO URAGANA, 2","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
242,"RIO BERRON, 2","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
365,"RIO BAYAS , 22","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
200,"LANDABERDE, 49 (EN ZONA INTERIOR-ZONA JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
274,"LANDABERDE, 55 (EN ZONA INTERIOR-ZONA JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
241,"CATALUÑA, PLAZA DE, 10  (EN ZONA DE ESTANCIA)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
240,"CATALUÑA, PLAZA DE, 15  (EN ZONA DE JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
21,LLEIDA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
287,"PARQUE JOSE MIGUEL FERNANDEZ DE PINEDO CON ORI, 32","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
273,"JOSE MIGUEL FERNANDEZ DE PINEDO, PARQUE (JUNTO A ZONA DE JUEGOS ""EL GALEON"")","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
271,"JOSE MIGUEL FERNANDEZ DE PINEDO, PARQUE (JUNTO A ZONA DE JUEGOS ""EL GALEON"")","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
272,"JOSE MIGUEL FERNANDEZ DE PINEDO, PARQUE (JUNTO A ZONA DE JUEGOS ""EL GALEON"")","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
293,"JOSE MIGUEL FERNANDEZ DE PINEDO, PARQUE (JUNTO A ZONA DE JUEGOS ""EL GALEON"")","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
218,RONCESVALLES,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
158,"ANTONIO MACHADO, PARQUE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
159,"PAULA MONTAL, 7 (CANCHAS DEPORTIVAS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
160,"PAULA MONTAL, 7  (ZONA DE JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
100,"PABLO MORILLO  (EN PARQUE ,ZONA NORTE)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
101,"PABLO MORILLO (EN PARQUE, ZONA DE JUEGOS)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
102,LORETO DE ARRIOLA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
104,"CORONELA IBAIBARRIAGA, 14","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
103,FAUSTO IÑIGUEZ DE BETOLAZA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
113,"IGNACIO ALDECOA, PLAZA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
110,"GABRIEL CELAYA, 15","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
111,"GABRIEL CELAYA, 25","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
112,"GABRIEL CELAYA, 26","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
51,"PARQUE JOSE MIGUEL FERNANDEZ DE PINEDO CON ORI, 16","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
155,LERMANDABIDEA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
244,PARQUE DE ZABALGANA (ACCESO POR LAS ARENAS),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
246,PARQUE DE ZABALGANA (JUNTO A LAS LAGUNAS),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
245,PARQUE DE ZABALGANA (JUNTO A LAS LAGUNAS),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
68,PARQUE DE ZABALGANA (ACCESO POR BULEVAR DE MARITURRI),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
203,"LAS ROTURAS, 2","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
156,PLAZA DEL PUEBLO,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
170,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
173,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
180,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
184,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
181,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
176,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
177,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
174,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
185,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
182,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
171,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
172,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
169,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
175,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
270,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
178,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
179,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
183,CEMENTERIO EL SALVADOR,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
