4220,BIZKAIA,BIZKAI KALEA,CALLE
4908,BLANCA DE SILOS,BLANCA DE SILOS KALEA,CALLE
4547,BLAS DE OTERO,BLAS DE OTERO KALEA,CALLE
6220,BOLIVAR,BOLIBAR,ENTIDAD
630,BOLIVIA,BOLIVIA KALEA,CALLE
4671,BORINBIZKARRA,BORINBIZKARRA KALEA,CALLE
2110,BRASIL,BRASIL KALEA,CALLE
4736,"BRATISLAVA , AVENIDA DE",BRATISLAVA HIRIBIDEA,AVENIDA
4650,BREMEN,BREMEN KALEA,CALLE
640,BRUNO VILLARREAL,BRUNO VILLARREAL KALEA,CALLE
4681,"BRUSELAS , AVENIDA DE",BRUSELA HIRIBIDEA,AVENIDA
4741,BUCAREST,BUKAREST KALEA,CALLE
4734,"BUDAPEST , AVENIDA DE",BUDAPEST HIRIBIDEA,AVENIDA
650,BUENO MONREAL,BUENO MONREAL KALEA,CALLE
4764,BULEVAR DE MARITURRI,MARITURRI BULEBARRA,CALLE
4680,BULEVAR DE SALBURUA,SALBURUA BULEBARRA,CALLE
660,BURGOS,BURGOS KALEA,CALLE
670,BURUBIZKARRA,BURUBIZKARRA KALEA,CALLE
680,BUSTALDEA,BUSTALDEA KALEA,CALLE
4921,BUSTURBI,BUSTURBI KALEA,CALLE
685,BUZTINZURI,BUZTINZURI KALEA,CALLE
4565,CABALLO DE PICA,CABALLO DE PICA KALEA,CALLE
4849,CAMINO DE PAUSETA,PAUSETAKO BIDEA,CALLE
740,CAMPO DE LOS PALACIOS,JAUREGILANDA KALEA,CALLE
750,CANAL DE SANTO TOMAS,SANTO TOMASEN UBIDEKO KALEA,CALLE
760,CANCILLER AYALA,AIALA KANTZILERRAREN KALEA,CALLE
3960,"CANTABRICO, AVENIDA DEL",KANTABRIKOAREN HIRIBIDEA,AVENIDA
4763,"CAPITAL DE EUSKADI, AVENIDA",EUSKADIKO HIRIBURUAREN ETORBIDEA,AVENIDA
780,CARACAS,CARACAS KALEA,CALLE
4968,"CARLOS ABAITUA LAZPITA, PASAJE",CARLOS ABAITUA LAZPITA PASABIDEA,PASAJE
4721,"CARMELO BERNAOLA, PASEO",CARMELO BERNAOLA IBILBIDEA,PASEO
4708,CARTA DE AALBORG,AALBORGEKO KARTAREN KALEA,CALLE
4728,CARTA DE ATENAS,ATENASKO KARTAREN KALEA,CALLE
4940,"CASERIO, SENDA DEL",ETXALDEBIDEA,SENDA
854,CASTILLO DE ARETXAGA,ARETXAGAKO GAZTELUAREN KALEA,CALLE
851,CASTILLO DE ARLUZEA,ARLUZEKO GAZTELUAREN KALEA,CALLE
852,CASTILLO DE ASSA,ASSAKO GAZTELUAREN KALEA,CALLE
853,CASTILLO DE ASTULEZ,ASTULEZKO GAZTELUAREN KALEA,CALLE
856,CASTILLO DE BERNEDO,BERNEDOKO GAZTELUAREN KALEA,CALLE
857,CASTILLO DE BURADON,BURADONGO GAZTELUAREN KALEA,CALLE
859,CASTILLO DE EL TORO,TOROKO GAZTELUAREN KALEA,CALLE
860,CASTILLO DE ESKIBEL,ESKIBELGO GAZTELUAREN KALEA,CALLE
870,CASTILLO DE FONTECHA,FONTETXAKO GAZTELUAREN KALEA,CALLE
880,CASTILLO DE GEBARA,GEBARAKO GAZTELUAREN KALEA,CALLE
885,CASTILLO DE LANTARON,LANTARONGO GAZTELUAREN KALEA,CALLE
887,CASTILLO DE MENDILUCIA,MENDILUZEKO GAZTELUAREN KALEA,CALLE
890,CASTILLO DE OCIO,OZIOKO GAZTELUAREN KALEA,CALLE
895,CASTILLO DE PORTILLA,ZABALATEKO GAZTELUAREN KALEA,CALLE
900,CASTILLO DE QUEJANA,KEXAAKO GAZTELUAREN KALEA,CALLE
901,CASTILLO DE SAN ADRIAN,SAN ADRIANGO GAZTELUAREN KALEA,CALLE
902,CASTILLO DE VILLAMONTE,VILLAMONTEKO GAZTELUAREN KALEA,CALLE
905,CASTILLO DE ZAITEGI,ZAITEGIKO GAZTELUAREN KALEA,CALLE
6230,CASTILLO/GAZTELU,GAZTELU,ENTIDAD
910,CASTRO URDIALES,CASTRO URDIALES KALEA,CALLE
4597,"CATALUÑA, PLAZA DE",KATALUNIA PLAZA,PLAZA
920,CEFERINO DE URIEN,CEFERINO URIEN KALEA,CALLE
4969,"CELEDONES DE ORO, PLAZA",URREZKO ZELEDONEN PLAZA,PLAZA
