EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONSOC0010;SUMINISTRO E INSTALACION PARA MODIFICACION DE LAS CONEXIONES INFORMATICAS Y DE TELEFONIA DEL CENTRO CIVICO EL CAMPILLO;1;1;20/02/2015;8.344,67;MONTELVI, S.L.
2015/CONSOC0008;ADQUISICIÓN DE ORDENADORES PERSONALES PARA ACTUALIZAR Y DOTAR NUEVOS PUESTOS DE TRABAJO MUNICIPALES;3;3;23/02/2015;21.562,20;DERTEN SISTEMAS, S.A.
2015/CONSOC0005;SUMINISTRO DE BUZOS DE UNIFORME PARA EL SERVICIO DE POLICÍA LOCAL;4;1;24/02/2015;5.774,42;SAGRES, S.L.-PARTENON
2015/CONASO0057;"CONTRATO MENOR PARA LA EJECUCIÓN DEL PROGRAMA DE EDUCACIÓN DE CALLE ""HURBIL""";1;1;24/02/2015;10.131,50;COMISIÓN CIUDADANA ANTI-SIDA DE ALAVA
2015/CONASO0059;SUMINISTRO Y COLOCACIÓN DE DIEZ JARDINERAS MODELO AYUNTAMIENTO DE VITORIA EN LA CALLE SAN PRUDENCIO;3;3;24/02/2015;13.406,80;URBABIL 2000 SL
2015/CONASP0045;SERVICIOS DE PUBLICIDAD TELEFÓNICA EN PÁGINAS BLANCAS Y AMARILLAS;1;1;25/02/2015;4.959,79;HIBU CONNECT
2015/CONASP0061;LIMPIEZA DE MANTENIMIENTO DE ZONAS COMUNES EN LOS CEMENTERIOS SANTA ISABEL Y EL SALVADOR;4;2;26/02/2015;8.022,53;GUREAK ARABA S.L.
2015/CONOOR0009;OBRAS DE CONSTRUCCIÓN DE PASO PEATONAL Y VADO JUNTO AL CENTRO CÍVICO SALBURUA, EN LA CIUDAD DE VITORIA-GASTEIZ;4;4;27/02/2015;12.356,58;OBRERA HEMARVA DE LA CONSTRUCCION S.COOP LTDA.
2015/CONASO0021;ELABORACIÓN DE SOPORTES DIDÁCTICOS DE APRENDIZAJE VIRTUAL (NO PRESENCIAL);3;2;02/03/2015;9.593,65;SERIKAT CONSULTORIA E INFORMATICA S.A.
2015/CONSOC0015;INSTALACIÓN Y EXPLOTACIÓN DE MÁQUINAS EXPENDEDORAS DE BEBIDAS Y OTROS PRODUCTOS EN LA NUEVA ESTACIÓN DE AUTOBUSES DE LA PLAZA DE EUSKALTZAINDIA;1;1;04/03/2015;2.000,00;PELICAN ROUGE COFFEE SOLUTIONS, SAU
2015/CONASO0047;FORMACIÓN EN ATENCIÓN CIUDADANA;4;2;06/03/2015;4.500,00;OLARTE DESARROLLO DE PERSONAS S.L.
