EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONASP0289;CONTRATO MENOR PROGRAMA DE INTERVENCION EN PISOS DE ACOGIDA Y ALOJAMIENTO.;1;1;29/07/2015;8.686,66;IPACE, PSICOLOGIA APLICADA, S.L.
2015/CONASO0290;COMUNICACION Y PUBLICIDAD (DISEÑO E IMP RESIÓN EN FORMATO GRANDE Y PEQUEÑO) PARA LA DIFUSIÓN Y PUBLICIDAD DE LAS ACTIVIDA DES QUE SE REALIZARÁN EN OIHANEDER;4;4;29/07/2015;3.395,48;SAN MARTIN IMPRESION DIGITAL
2015/CONASO0290;COMUNICACION Y PUBLICIDAD (DISEÑO E IMP RESIÓN EN FORMATO GRANDE Y PEQUEÑO) PARA LA DIFUSIÓN Y PUBLICIDAD DE LAS ACTIVIDA DES QUE SE REALIZARÁN EN OIHANEDER;0;0;29/07/2015;909,54;SAN MARTIN IMPRESION DIGITAL
2015/CONASO0290;COMUNICACION Y PUBLICIDAD (DISEÑO E IMP RESIÓN EN FORMATO GRANDE Y PEQUEÑO) PARA LA DIFUSIÓN Y PUBLICIDAD DE LAS ACTIVIDA DES QUE SE REALIZARÁN EN OIHANEDER;0;0;29/07/2015;4.305,02;SAN MARTIN IMPRESION DIGITAL
2015/CONASO0290;COMUNICACION Y PUBLICIDAD (DISEÑO E IMP RESIÓN EN FORMATO GRANDE Y PEQUEÑO) PARA LA DIFUSIÓN Y PUBLICIDAD DE LAS ACTIVIDA DES QUE SE REALIZARÁN EN OIHANEDER;0;0;29/07/2015;3.665,00;TTEK KULTUR ELKARTEA
2015/CONSOC0075;CONTRATO MENOR SUMINISTRO DE SILLAS PARA LOS CSCM DE TXAGORRITXU, SANSOMENDI Y SAN PRUDENCIO;3;3;04/08/2015;18.379,80;MECANOGRAFICA GASTEIZ, S.L.
2015/CONSOC0074;IMPRESIÓN Y SUMINISTRO DE LOS FOLLETOS DEL FESTIVAL INTERNACIONAL DE TEATRO DE VITORIA-GASTEIZ, 2015;3;3;06/08/2015;3.393,38;GRAFICAS IRUDI, S.L.
2015/CONOOR0067;RENOVACIÓN DE CUBIERTAS INCLINADAS, CANALONES Y BAJANTES EN EL CEPA PAULO FREIRE DE ABETXUKO;3;3;07/08/2015;48.729,36;KAMY VERTICAL
2015/CONSOC0076;SUMINISTRO DE REJILLAS EN PLAYAS DE PISCINAS DEL POLIDEPORTIVO ABETXUKO;3;1;10/08/2015;8.458,48;PLASTIKALIA 2000 SL
2015/CONASO0278;EJECUCIÓN DEL TRASLADO DE ENLACES DE MICROONDAS DE LA TORRE DE COMUNICACIONES DE OLARIZU A LA TORRE DE COMUNICACIONES DE CASTILLO;3;3;12/08/2015;5.321,58;NEXMACHINA SOLUTIONS S.L.
2015/CONASP0258;TRABAJOS DE CONTROL DE LOS DORMIDEROS URBANOS DE ESTORNINO EN LA CIUDAD DE VITORIA-GASTEIZ, CAMPAÑA 2015-2016;3;2;14/08/2015;7.344,70;LOCUS AVIS, SLU
2015/CONSPE0077;CAMPAÑA DE ANILLAMIENTO DE AVES EN EL PARQUE DE SALBURUA DURANTE EL AÑO 2015;3;1;14/08/2015;16.000,00;GRUPO DE ANILLAMIENTO CIENTÍFICO TXEPETXA
2015/CONASO0274;EJECUCIÓN DE UNA ZANJA E INSTALACIÓN DE TUBO PARA EL TENDIDO DE FIBRA ÓPTICA EN LA CALLE PINTOR DÍAZ DE OLANO;5;2;19/08/2015;7.882,68;HERMOSA S.A.
2015/CONOOR0069;OBRAS DE CONSTRUCCIÓN DE UNA CHARCA FORESTAL EN EL MONTE COMUNAL DE ARANDUYA;5;3;21/08/2015;8.613,65;VIVEROS ESKALMENDI, S.L.
2015/CONASO0237;ASISTENCIA TÉCNICA PARA LA ORGANIZACIÓN DE LA JORNADA URBAN COMMERCE 2015. COFINANCIADO AL 50% POR EL FONDO SOCIAL EUROPEO, P.O. 2007 2013. EMPRESA LOCAL10;5;2;24/08/2015;10.990,00;KASTA SERVICIOS INTEGRALES, S.L. KMEETINGS - EVENTOS PROFESIONALES
2015/CONASP0296;ESTUDIO CARACTERIZACIÓN DE LOS GALAPAGOS AUTÓCTONOS Y CONTROL DE LOS GALÁPAGOS EXÓTICOS EN LA RED NATURA 200 DE SALBURUA Y RÍO ZADORRA EN VITORIA;3;1;25/08/2015;6.999,85;BOLUE INGURUMEN IKERKETAK XABIER BUENETXEA ARAGÜÉS
2015/CONAPR0306;REDACCION DE PROYECTO Y DIRECCION DE OBRA PARA EL TRATAMIENTO REFUERZO Y PROTECCION DE LA MADERA EN EL PALACIO VILLASUSO;1;1;02/09/2015;5.445,00;HERGUETA ZABALA LUIS Mª
2015/CONAPR0307;DIRECCION DE EJECUCION MATERIAL PARA LA OBRA DE TRATAMIENTO DE LA MADERA EN EL PALACIO VILLASUSO;1;1;02/09/2015;1.815,00;ERNESTO MARQUINEZ VILLAVA
2015/CONASO0281;ELABORACIÓN DE CONSERVAS VEGETALES EN ECOLÓGICO;3;1;07/09/2015;9.922,00;HAZI
2015/CONSOC0073;ADQUISICIÓN DE ESCÁNERES PARA LA DIGITALIZACIÓN DE LA ENTRADA DE DOCUMENTOS EN LA RED DE PUESTOS DE TRAMITACIÓN MUNICIPAL;3;2;07/09/2015;14.316,72;SIMA S.L.
2015/CONASP0265;SERVICIO PARA LA ELABORACIÓN DEL SEGUNDO VIDEO DE DIFUSIÓN DEL PROYECTO IRRIGESTLIFE.;4;2;11/09/2015;5.800,00;SONORA ESTUDIOS, S.L.
2015/CONASO0309;DESARROLLO DEL TALLER DE INICIACIÓN A LA HOSTELERÍA, PERIODO 21/09/15-18/12/15;1;1;11/09/2015;16.401,74;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2015/CONASO0313;APROBACION Y ADJUDICACION CONTRATO MENOR PARA LA FORMACIÓN EN RESILIENCIA;1;1;14/09/2015;4.000,00;ADDIMA, ASOCIACIÓN POR EL DESARROLLO Y LA PROMOCIÓN DE LA RESILIENCIA
2015/CONOOR0073;DOTACION DE SISTEMA DE DETECCION DE INCENDIOS EN EL LABORATORIO DEL DEMSAC;3;3;16/09/2015;6.556,99;LEHENGOAK BABES INGENIARITZA S.L.
2015/CONASO0317;REPARACIÓN DEL SISTEMA DE RECOGIDA DE PRUEBAS PARA EL CONTROL DEL RESPETO DEL ROJO SEMAFÓRICO;1;1;16/09/2015;4.736,22;TELVENT ARCE SISTEMAS, SA
2015/CONOOR0057;OBRAS DE ADECUACIÓN DE CAMINO EN LA E.L.M. DE ASCARZA DEL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;5;1;17/09/2015;26.167,42;BALGORZA  S.A
2015/CONOOR0058;OBRAS DE ADECUACIÓN DE UN TRAMO DE CALLE EN LA E.L.M. DE GAMARRA MAYOR DEL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;3;3;17/09/2015;9.447,42;FIRMES ALAVESES, S.A.
2015/CONASP0318;PRESTACION DEL SERVICIO DE VIGILANCIA EN EL SERVICIO SOCIAL DE BASE DEL CENTRO CIVICO SALBURUA;1;1;17/09/2015;8.485,62;DELTA SEGURIDAD, S.A.
2015/CONASP0244;SERVICIO PARA LAS LABORES DE ORGANIZA- CIÓN Y DESARROLLO DE LAS ACTIVIDADES PROGRAMADAS DIA MUNDIAL DE LAS AVES;4;2;18/09/2015;2.722,50;EKOGRAMA
2015/CONOOR0075;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE OBRAS DE MEJORA DE SEGURIDAD HORIZONTAL EN EL ENTORNO DEL NUEVO AYUNTAMIENTO;3;3;21/09/2015;9.607,40;SISCA SEÑALIZACIONES, S.L.
2015/CONSPE0080;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE SUMINISTRO MEDIANTE RENTING DE UN VEHÍCULO TODO TERRENO;1;1;21/09/2015;4.081,92;E. RENTING S.L.
2015/CONSPE0071;SUMINISTRO DE PRODUCTOS DE FARMACIA VETERINARIA UTILIZABLES EN EL CENTRO DE PROTECCIÓN ANIMAL;4;2;22/09/2015;5.000,00;FARMACIA IÑIGO PUENTE MENDIZÁBAL
2015/CONASP0301;SERVICIO PARA DESARROLLO DE ACTIVIDADES TEÓRICAS DESTINADAS A PROMOVER HÁBITOS DE ALIMENTACIÓN SALUDABLE, CUARTO TRIMESTRE DE 2015;3;1;22/09/2015;6.000,00;NUTRIPLAN SC
2015/CONASP0302;ACTIVIDADES DE MANIPULACIÓN Y PREPARACIÓ N DE ALIMENTOS EN PROGRAMAS DESTINADOS A PROMOVER HÁBITOS DE ALIMENTACIÓN SALUDABLE, CUARTO TRIMESTRE 2015;4;1;22/09/2015;20.000,00;SU ALAI, S.C.
2015/CONOOR0076;REPARACION DE CUBIERTAS TEXTILES DE ZONA DE FORMACION VIAL EN POLICIA LOCAL;3;3;22/09/2015;6.897,00;ESPACIOS CUBIERTOS MI TOLDO S.L.
2015/CONSOC0081;SUMINISTRO MATERIAL ELECTRICO PARA SALON DE ACTOS CENTRO CÍVICO DE SALBURUA;4;4;22/09/2015;2.624,02;ALMACENES ELECTRICOS RAMIREZ, S.L.
2015/CONASO0324;REPARACIÓN DE FIGURAS Y ESTRUCTURAS DEL NACIMIENTO MONUMENTAL DE LA FLORIDA;1;1;24/09/2015;7.139,00;PLATEA SERVICIOS E INFRAESTRUCTURAS CULTURALES
2015/CONOOR0074;TRATAMIENTO, REFUERZO Y PROTECCIÓN DE LA ESTRUCTURA DE MADERA DE LOS FORJADOS DEL PALACIO VILLASUSO;1;1;25/09/2015;59.966,77;ERAIKUNTZA BIRGAIKUNTZA ARTAPENA S.L. EBA
2015/CONASO0325;ALQUILER Y ASISTENCIA DE CARROZAS PARA EL DESFILE DE OLENTZERO 2015;3;1;28/09/2015;11.990,00;JONAN BASTERRETXEA IRURZUN
2015/CONOOR0083;EJECUCION DE RAMPA EN CSCM ARANBIZKARRA;4;4;29/09/2015;24.170,97;GILTEC ARQUITECTOS TÉCNICOS S.L.
2015/CONSOC0082;INSTALACION DE NUEVO SISTEMA DE ALIMENTACION ININTERRUMPIDA (SAI) EN EL PALACIO MONTEHERMOSO;1;1;29/09/2015;21.706,93;MONTELVI, S.L.
2015/CONOOR0084;PINTURA DE AULAS DE PLANTA PRIMERA EN CEPA ABETXUKO;4;4;29/09/2015;3.600,60;PINTURAS ATENA, S.A.
2015/CONOOR0086;PINTURA DE AULAS DE PRIMER CICLO EN EL CEP PADRE ORBISO;3;3;30/09/2015;4.639,21;PINTURAS HELDER ROMERO
2015/CONASP0333;CONTRATO MENOR:CONTRATACION MONITOR/A  APOYO NECESIDADES EDUCATIVAS ESPECIALES PARA TALLER CASTELLANO EN NORABIDE MES OCTUBRE 2015;1;1;01/10/2015;2.134,44;QUIBU S.C.
2015/CONASP0339;SERVICIO DE ESPACIO DE OCIO Y TIEMPO LIBRE DESTINADO A HIJOS/AS DE PARTICIPANTES EN EL TALLER DE CASTELLANO EN NORABIDE OCTUBRE 2015;1;1;01/10/2015;2.975,28;QUIBU S.C.
2015/CONASP0340;DESARROLLO DEL TALLER DE CASTELLANO DURANTE EL MES DE OCTUBRE 2015;1;1;01/10/2015;13.642,20;QUIBU S.C.
2015/CONASO0329;PERSONAL DE APOYO PARA AZOKA TXIKIA 2015 EN EL MARCO DE LUDOTECAS Y LUDOCLUBS MU NICIPALES;1;1;02/10/2015;7.150,00;LUDOLAND S.L.-ORTZADAR S.L.UTE
2015/CONOOR0089;SUSTITUCION DE JUEGO INFANTIL EN CP SANTA LUCIA;3;3;06/10/2015;4.408,94;MONTAJES Y MANTENIMIENTOS DEL NORTE S.L.
2015/CONOOR0090;TRABAJOS DE SUSTITUCION DE ASCENSOR EN RESIDENCIA LOS MOLINOS;4;3;06/10/2015;27.104,00;ELECTRA VITORIA S.COOP. LTDA.
2015/CONASO0320;"PROGRAMA""VITORIA-GASTEIZ ESPACIO EDUCATIVO SIN DROGA:PREVENCIÓN UNIVERSAL Y SELECTIVA DE LAS ADICCIONES Y REDUCCIÓ N DE RIESGOS ASOCIADOS AL CONSUMO";4;1;09/10/2015;21.700,00;UTE EDIREN - ORTZADAR S.L
2015/CONOOR0095;PINTURA DE DISTINTOS ESPACIOS EN CEP ANGEL GANIVET Y CP SANTA LUCIA;3;3;09/10/2015;10.031,25;COPINTRE GASTEIZ S.C.
2015/CONOOR0096;TRABAJOS DE SUSTITUCION DE PUERTAS DE ENTRADA EN EL POLIDEPORTIVO ARIZNAVARRA;4;4;09/10/2015;21.232,89;ESPARZA OBRAS Y PROYECTOS, S.L.
2015/CONOOR0097;ACONDICIONAMIENTO DE LOCAL PARA PROGRAMA DE POLITICAS SOCIALES EN PLAZA ESPAÑA;4;2;09/10/2015;13.355,02;ESPARZA OBRAS Y PROYECTOS, S.L.
2015/CONOOR0098;ALICATADO DE MUROS EXTERIORES DEL CENTRO CIVICO IPARRALDE EN LA PLAZA ZUBEROA;3;3;09/10/2015;11.486,90;AJAX S.C. ALBAÑILERIA Y REFORMAS
2015/CONASO0344;FORMACION EN PARENTALIDAD POSITIVA PARA PROFESIONALES DE ATENCION DIRECTA A LA INFANCIA, ADOLESCENCIA Y FAMILIA;1;1;14/10/2015;3.025,00;CENTRO UNIVERSITARIO DE PSICOLOGÍA DE LA FAMILIA - ETXADI
2015/CONOOR0099;REPARACION EN FACHADA ESTE DEL PALACIO VILLASUSO;3;3;14/10/2015;11.214,16;SUCESORES DE PAVON S.L.
2015/CONASO0297;CONTRATO MENOR DE COLOCACIÓN DE CARPA, ACONDICIONAMIENTO, SONIDO E ILUMINACION DE ESCENARIO-FIESTA CONVENCIÓN DERECHOS DEL NIÑO;3;3;16/10/2015;12.705,00;EVENTOKIT
2015/CONSPE0079;ADQUISICIÓN DE PAPELERAS MODELO VITORIA- GASTEIZ PARA SU COLOCACIÓN EN LOS PARQUES DE LA CIUDAD;5;4;16/10/2015;16.000,00;CONSTRUCCIONES METALICAS OSINAGUEA
2015/CONASO0349;DESARROLLO DE ACTIVIDAD DE INCORPORACION SOCIAL: FORMACION Y ACOMPAÑAMIENTO DURANTE LA REALIZACION DE ACTIVIDAD LABORAL 2015;1;1;16/10/2015;17.999,98;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2015/CONASO0352;ARRENDAMIENTO DE PABELLÓN EN LA CALLE BARRACHI 10 PARA ELABORAR CARROZAS DE LAS COMPARSAS DE CARNAVAL;1;1;16/10/2015;16.500,00;DAOL S.L.
2015/CONASO0295;TALLERES Y CHARLAS FORMATIVAS DIRIGIDAS A CENTROS EDUCATIVOS Y ASOCIACIONES DE PADRES Y MADRES;5;2;19/10/2015;4.800,00;EBETE HIZKUNTZA-ZERBITZUAK S.COOP.TXIKIA
2015/CONASO0315;CHARLAS PARA INFORMAR LA OFERTA DE OCIO EN EUSKERA;5;2;19/10/2015;2.500,00;MADEGIN SERVICIOS Y PROYECTOS, S.L.
2015/CONASO0321;CAMPAÑA DE SENSIBILIZACIÓN SOBRE LA IMP ORTANCIA DE LA FORMACIÓN Y EL APRENDIZAJ E;3;3;20/10/2015;8.520,82;MITÜMI
2015/CONASP0330;ACTIVIDAD DE HOCHEY SUBACUATICO CAMPAÑA RUMBO AL DEPORTE 15-16;3;1;20/10/2015;1.210,00;CLUB NEREIDA SUB
2015/CONASP0331;ACTIVIDADES DE MONTAÑA CAMPAÑA RUMBO AL DEPORTE 2015-2016;3;1;20/10/2015;19.642,00;INGURU ABENTURA KOOP ELKARTE TXIKIA
2015/CONASP0332;ACTIVIDADES URBANAS RUMBO AL DEPORTE 15-16;3;1;20/10/2015;2.376,00;INGURU ABENTURA KOOP ELKARTE TXIKIA
2015/CONOOR0101;SUSTITUCION DE MECANISMOS DE MANIOBRA DE PERSIANAS ELECTRICAS EN CEP LAKUABIZKARRA;3;3;20/10/2015;6.160,85;MONTAJES ALECTRIAL, S.A.
2015/CONSOC0088;SUMINISTRO DE SECADORES DE REPUESTO PARA ALMACEN DE OREITIASOLO;4;1;20/10/2015;3.812,47;JUPER BI S.L.
2015/CONOOR0102;REPARACION DE PAVIMENTO Y PINTURA EN EL FRONTON ADURZA;3;2;20/10/2015;30.863,76;APLICACIONES DE RESINA G&J S.C.
2015/CONOOR0105;PINTURA DE TECHOS DE LA COCINA Y LOCALES ANEXOS EN RESIDENCIA SAN PRUDENCIO;3;3;21/10/2015;3.268,19;PRISMA GASTEIZ, S.L.
2015/CONSOC0090;SUMINISTRO DE REJILLA PARA CANALETAS DE SUMIDEROS DE PLAYA EN LA PISCINA DEL CENTRO CIVICO LAKUA;3;2;21/10/2015;6.200,04;SALTOKI ARABA, S.A.
2015/CONOOR0082;OBRAS DE CONSTRUCCIÓN DE UN CARRIL BICI Y CALMADO DE TRÁFICO EN LA CALLE ARGENTINA, EN VITORIA-GASTEIZ;4;2;22/10/2015;26.147,26;SISCA SEÑALIZACIONES, S.L.(ANTIGUA PINTURAS DÍAZ E HIJOS, S.L.)
2015/CONOOR0087;OBRAS DE MEJORA DE ALUMBRADO PÚBLICO EN EL BARRIO DE SANTA LUCÍA;4;4;22/10/2015;35.202,31;DEL VALLE AGUAYO S.A.
2015/CONOOR0092;TRABAJOS DE ADECUACIÓN DE CAMINO EN EL PARQUE PRÓXIMO A LA CALLE DE INGENIERO ALEJANDRO MENDIZABAL, EN VITORIA-GASTEIZ;9;8;22/10/2015;28.137,53;CAMPEZO OBRAS Y SERVICIOS SA
2015/CONOOR0106;OBRAS DE REFORMA DEL VESTÍBULO DEL PALA CIO MONTEHERMOSO;4;4;22/10/2015;31.893,63;GILTEC ARQUITECTOS TÉCNICOS S.L.
2015/CONAEI0355;ASISTENCIA TECNICA DE LAS INSTALACIONES SOLARES FOTOVOLTAICAS EN SEIS EDIFICIOS MUNICIPALES;1;1;22/10/2015;3.509,00;NORSOL RENOVABLES S.L.
2015/CONOOR0091;TRABAJOS DE ADECUACIÓN DE CAMINO EN EL PARQUE DE ETXEZARRA DE LA CIUDAD DE VITORIA-GASTEIZ;9;7;23/10/2015;21.504,69;BALGORZA  S.A
2015/CONOOR0107;REPARACION ACCESO EXTERIOR A SALA DE CALDERAS Y FORMACION DE ARMARIO PARA CONTADORES DE AGUA EN POLIDEPORTIVO ARANALDE;4;2;23/10/2015;47.231,75;CONSTRUCCIONES AGUILLO S.A.
2015/CONSOC0093;ADQUISICIÓN DE CARAMELOS PARA LA CABALGATA DE REYES Y OLENTZERO;3;2;26/10/2015;7.199,50;INTERVAN, S.A.
2015/CONOOR0109;TRABAJOS DE DESINSECTACION PARA CONSERVACION DE LA MADERA EN EL EDIFICIO VILLASUSO Nº 3;4;4;27/10/2015;8.342,95;DESINFECCIONES DARABA S.L.
2015/CONASO0360;APROBACION Y ADJUDICACION DEL CONTRATO MENOR DEL DESARROLLO DEL PROGRAMA DE APOYO HACIA LA AUTONOMIA PARA PERSONAS EN SITUACION DE EXCLUSION SOCIAL;1;1;27/10/2015;10.618,74;BABESTEN GIPUZKOA SL
2015/CONOOR0111;TRASLADO DEL CUADRO DE MANIOBRA DE BOMBA DE ACHIQUE INSTALADO EN POZO EN EL FRONTON ADURTZA;4;2;28/10/2015;4.475,06;ZAINDU & KONPONDU S.L.
2015/CONOOR0088;OBRAS DE REFORMA DEL CRUCE ENTRE AVDA. DEL MEDITERRÁNEO Y CALLE CASTILLO DE LANTARÓN;10;7;29/10/2015;30.645,26;ARGA OBRAS Y PROYECTOS, SL
2015/CONSOC0095;APROBACIÓN DEL GASTO Y ADJUDICCIÓN DE COMPRA DE UNA FURGONETA DE SEGUNDA MANO PARA EL DEPARTAMENTO DE ADMINISTRACIÓN MUNICIPAL - SERVICIO DE OBRAS;1;1;29/10/2015;4.961,00;EDUARDO G. RUIZ SANTOS
2015/CONSOC0096;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE ADQUISICIÓN DE EQUIPO PARA MEDIDA DE RUIDO CON DESTINO A LA UNIDAD DE ACTIVIDADES DE CONTROL-ZONA RESIDENCI;1;1;30/10/2015;4.470,83;BRÜEL & KJAER IBERICA, S.A.
2015/CONOOR0112;ADECUACION A NORMATIVA DE LA ACOMETIDA ELECTRICA EN EL PALACIO VILLASUSO;4;4;30/10/2015;9.835,50;EKOARGI INSTALACIONES ELECTRICAS
2015/CONASP0367;DESARROLLO DEL TALLER DE CASTELLANO DURANTE EL MES DE NOVIEMBRE;1;1;30/10/2015;13.728,00;QUIBU S.C.
2015/CONASP0368;MONITOR/A DE APOYO A NECESIDADES EDUCATI VAS ESPECIALES PARA TALLER DE CASTELLANO EN NORABIDE DURANTE EL MES DE NOVIEMBRE DE 2015;1;1;30/10/2015;2.134,44;QUIBU S.C.
2015/CONASP0369;SERVICIO DE ESPACIO DE OCIO Y TIEMPO LIBRE DESTINADO A LOS/AS HIJOS/AS DE LAS PERSONAS PARTICIPANTES EN EL TALLER DE CASTELLANO EN NORABIDE;1;1;30/10/2015;2.975,28;QUIBU S.C.
2015/CONASP0370;CONTRATO MENOR SERVICIO VIGILANCIA NOCTURNA EN EL CIAM SAN PRUDENCIO;1;1;02/11/2015;11.145,00;COMPAÑIA INTEGRAL DE SEGURIDAD, S.A
2015/CONOOR0113;REPARACION DE SUELOS DE PLANTA SEGUNDA DE MUSIKETXEA;4;4;02/11/2015;14.658,97;DEKOLUIS, S.L.
2015/CONOOR0078;TRABAJOS EN VESTÍBULO DE ZONA DE ATENCIÓ N AL PÚBLICO EN CENTRO CÍVICO CAMPILLO;3;3;04/11/2015;9.321,71;CONSTRUCCIONES AZAROA, S.L.
2015/CONOOR0100;OBRAS DE DESMONTAJE DE LÍNEAS AÉREAS EN LA AVENIDA DEL ZADORRA;3;3;04/11/2015;38.137,52;EKOARGI INSTALACIONES ELECTRICAS
2015/CONASP0362;GESTIÓN Y EJECUCIÓN DE UN PROYECTO DE INTEGRACIÓN JUVENIL(ESTOY DE MODA);1;1;04/11/2015;3.452,00;EMAIZE CENTRO SEXOLOGICO S.L.
2015/CONOOR0116;BARNIZADO DE VENTANAS EN LA ESCUELA DE MUSICA LUIS ARANBURU;4;3;04/11/2015;5.014,95;PINTURAS GAVI R/ AITOR GARCIA VILAR
2015/CONOOR0117;OBRAS DE MEJORA DE LA ACCESIBILIDAD EN LAS PROXIMIDADES DEL ACCESO ESTE DE LA PLAZA NUEVA EN VITORIA-GASTEIZ;3;2;05/11/2015;4.339,68;CONSTRUCCIONES AGUILLO S.A.
2015/CONASO0372;APROBACIÓN DEL GASTO Y ABONO DE FACTURA Nº 1150816 DE ARRIZABAL ELKARTEA S.L. CORRESPONDIENTE A REPARACIÓN DE UNA BARREDORA DEL CEMENTERIO EL SALVADOR;0;1;06/11/2015;6.526,68;ARRIZABAL ELKARTEA S.L.
2015/CONOOR0118;SUSTITUCION DE LA ACOMETIDA DE AGUA EN EI GURUTZMENDI;3;2;09/11/2015;21.534,67;OBRAS HIDRAULICAS HIDROARABA S.L.
2015/CONOOR0119;PINTURA DE DISTINTOS ESPACIOS EN EL CEP ANTONIO LOPEZ DE GUEREÑU;3;3;09/11/2015;13.388,15;PINTURAS GAVI R/ AITOR GARCIA VILAR
2015/CONSPE0084;SUMINISTRO E INSTALACIÓN DE APARCABICICLETAS EN LA CIUDAD DE VITORIA-GASTEIZ, CAMPAÑA 2015;5;5;10/11/2015;20.000,00;URBABIL 2000 SL
2015/CONASO0348;PRESTACIÓN DE SERVICIOS EN MATERIA DE VIGILANCIA HIGIÉNICO-SANITARIA EN ESTABLECIMIENTOS DE HOSTELERÍA;3;3;10/11/2015;5.000,00;ADESA-ASESORIA DE EMPRESAS DEL SECTOR AGROALIMENTARIO, S.L.
2015/CONOOR0110;TRABAJOS DE ADECUACIÓN DEL CAMINO QUE CONECTA LA CALLE ASTRÓNOMOS CON LA CALLE RIGA, EN VITORIA-GASTEIZ;9;8;10/11/2015;23.909,67;CAMPEZO OBRAS Y SERVICIOS SA
2015/CONSOC0103;APROBACION DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR DE ADQUISICIÓN DE UN VEHICULO MONOVOLUMEN MATRICULA 9774-GJX PARA EL SERVICIO DE MEDIO AMBIENTE;1;1;10/11/2015;5.682,25;BANCO SANTANDER S.A. UNIDAD DE LEASING Y RENTING
2015/CONASP0338;SERVICIO PARA IMPARTICIÓN CURSOS CIRCU- LACIÓN PEATONAL SEGURA ESCOLARES DE 3º Y 4º DE PRIMARIA CENTROS PARTICIPANTES EN LA AGENDA 21 ESCOLAR DE VITORIA-GASTEIZ;3;1;11/11/2015;6.000,00;ASOCIACION ORIXOL, N.I.B.E.
2015/CONASO0376;SERVICIO DE SEGURIDAD DE LA GRUTA DEL BELÉN MONUMENTAL DE LA FLORIDA DESDE EL 4 DE DICIEMBRE DE 2015 HASTA EL 6 DE ENERO DE 2016;3;3;11/11/2015;5.635,31;DELTA SEGURIDAD, S.A.
2015/CONASO0377;18 CABALLOS Y SUS CORRESPONDIENTES CABALLISTAS PARA LA CABALGATA DE REYES DEL DÍA 5 DE ENERO DE 2016;1;1;12/11/2015;7.900,00;HERNANDEZ PEDRERO, MARIA ELENA
2015/CONASP0379;MANTENIMIENTO DE EQUIPOS DE SEGURIDAD SITUADOS EN LAS DEPENDENCIAS MUNICIPALES DE PLAZA DE ESPAÑA 1;1;1;12/11/2015;4.181,76;TECOSA, TELECOMUNICACIÓN, ELECTRÓNICA Y CONMUTACIÓN, S.A.
2015/CONASP0314;SERVICIO PARA LA IMPARTICIÓN CURSOS DE CIRCULACIÓN SEGURA EN BICICLETA PARA ESCOLARES DE TERCER CICLO EDUC PRIMARIA Y PRIMER CICLO EDUCACIÓN SECUNDARIA.;2;2;17/11/2015;20.000,00;BIZIESKOLA S.C
2015/CONSOC0105;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR PARA ADQUISICIÓN DEL VEHICULO 4878 GKK PARA EL SERVICIO DE SALUD AMBIENTAL;0;1;17/11/2015;4.282,38;BANCO SANTANDER S.A. UNIDAD DE LEASING Y RENTING
2015/CONSOC0106;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR PARA ADQUISICIÓN DEL VEHÍCULO 4851 GKK PARA EL SERVICIO DE ESPACIO NATURAL;0;1;17/11/2015;4.282,38;BANCO SANTANDER S.A. UNIDAD DE LEASING Y RENTING
2015/CONOOR0123;REPARACION DE ESCALERAS AFECTADAS POR HUMEDADES EN PARKING ARTIUM;4;3;17/11/2015;23.890,24;SUCESORES DE PAVON S.L.
2015/CONSOC0091;INSTALACIÓN E INTERCONEXIÓN DE PANELES DE CABLEADO UTP ENTRE LOS RACKS DEL CUBO DEL CPD DE SAN MARTIN;3;3;18/11/2015;9.037,09;TELBASK, S.L.
2015/CONSPE0102;RENOVACIÓN DEL CONTRATO DE MANTENIMIENTO DE 25 LICENCIAS DE GEST QUE TIENE EL AYUNTAMIENTO DE VITORIA;1;1;18/11/2015;4.876,30;ARKTEC, S.A.
2015/CONASP0380;RENOVACIÓN PARA APLICAR LA FUNCIÓN DE VOZ READSPEAKER A LA PÁGINA WEB MUNICIPAL DEL AYUNTAMIENTO DE VITORIA-GASTEIZ;1;1;18/11/2015;5.898,75;READSPEAKER WEBSERVICES S.L.
2015/CONSOC0107;SUMINISTRO DE UNA CAFETERA ELECTRONICA PARA EL CENTRO SOCIOCULTURAL DE MAYORES SAN PRUDENCIO;3;3;18/11/2015;3.236,75;INSTALACIONES DE HOSTELERÍA GASTEIZ SLU
