N Ref;Carrer;Nº;Data inspecció;Nº Elements;Senyal vertical;Equipament;Observacions;Compartit amb moto;Protegit amb pilona
150;Centre;28;26/09/2014;1;SI;;;SI;SI
151;Palauet;30;07/04/2014;1;SI;;;SI;SI
152;Palauet;25;07/04/2014;1;SI;;;SI;SI
153;Palauet;40;07/04/2014;1;SI;;;SI;SI
154;Palauet;35;07/04/2014;1;SI;;;SI;SI
155;Francesc Boldalba i Montardit;;07/04/2014;2;NO;Cementiri Municipal;;NO;NO
156;Escoles;2;05/05/2014;3;SI;Escola La Ginesta;;SI;NO
157;Joan XXIII;;25/02/2015;3;NO;Local Social de Magraners;;NO;NO
158;Vila Rodona;8;25/02/2015;2;NO;Piscines municipals de Magraners;;NO;NO
159;Vila Rodona;6;25/02/2015;3;NO;Pavelló municipal de Magraners;;NO;NO
161;Aragó;15;19/02/2015;2;NO;Col·legi Santa Anna;;SI;NO
162;Josep Boneu;;25/02/2015;6;NO;Institut Català de la Salut                                                                                                                                     CAP Eixample de Lleida;;NO;NO
163;Canyeret;24;25/02/2015;4;NO;Edifici del departament de justícia;;NO;NO
164;Blondel;40;25/02/2015;2;NO;;;NO;NO
165;Alcalde Costa;20;25/02/2015;3;NO;General d'Estudis;;NO;NO
166;La Parra;54;25/02/2015;3;NO;Auditori;;NO;NO
167;Maria Sauret;26;26/09/2014;3;NO;;;NO;SI
168;València;2;06/03/2015;2;NO;;;NO;NO
169;Corregidor Escofet;47;26/03/2015;1;SI;;;SI;NO
170;Corregidor Escofet;35;26/03/2015;1;SI;;;SI;SI
171;Tortosa;88;15/01/2015;1;SI;Centre BTT;;SI;SI
172;Sant Pere Claver;24;26/09/2014;1;SI;Escola Pardinyes;;SI;SI
173;Sant Pere Claver;21;26/09/2014;1;SI;Escola Pardinyes;;SI;SI
174;Enginyer Cellers;5;26/09/2014;1;SI;Escola Pardinyes;;SI;SI
175;Sant Pere Claver;4;26/09/2014;1;SI;Local Social Pardinyes;;SI;SI
176;Girona;37;26/09/2014;1;SI;;;SI;SI
177;Prat de la Riba;126;26/09/2014;1;SI;;;SI;SI
178;Alfred Perenya;78;19/05/2015;4;SI;Escola del Treball;;SI;NO
179;Balàfia;;15/01/2015;1;SI;;A l'alçada de l'Av, Balàfia, 5;SI;SI
180;Joc de la Bola;21;15/01/2015;1;SI;;;SI;SI
181;Costa Magraners;;29/12/2014;1;SI;;A l'alçada del C, Transformador;SI;SI
182;Costa Magraners;;29/12/2014;1;SI;;A l'alçada del c, Benvinguda;SI;SI
183;Aragó;17;19/02/2015;2;NO;Col·legi Santa Anna;;NO;NO
184;Acadèmia;43;15/01/2015;1;SI;;;SI;SI
185;Acadèmia;17;15/01/2015;1;SI;;;SI;SI
186;Torre Vicenç;;25/02/2015;3;NO;Institut Torre Vicenç;;NO;NO
187;Alfred Perenya;70;15/01/2015;1;SI;;;SI;SI
188;Alfred Perenya;53;15/01/2015;1;SI;;;SI;SI
189;Alfred Perenya;24;15/01/2015;1;SI;;;SI;SI
190;Alfred Perenya;31;25/02/2015;1;SI;;;SI;NO
191;Alfred Perenya;16;15/01/2015;1;SI;;;SI;SI
192;Alfred Perenya;21;15/01/2015;1;SI;;;SI;SI
193;Alfred Perenya;48;15/01/2015;1;SI;;;SI;SI
194;Bonaire;26;15/01/2015;1;SI;;;SI;SI
195;Bruc;4;12/01/2015;1;SI;;;SI;SI
196;Cristòfol de Boleda;4;15/01/2015;1;SI;;;SI;SI
197;Dra. Castells;19;15/01/2015;1;SI;;;SI;SI
198;Dra. Castells;16;15/01/2015;1;SI;;;SI;SI
199;Dra. Castells;13;06/03/2015;1;SI;;;SI;NO
200;Riu Ebre;31;15/01/2015;1;SI;;;SI;SI
201;Ter;10;15/01/2015;1;SI;;;SI;SI
202;Sant Martí;68;15/01/2015;1;SI;;;SI;SI
203;Sant Martí;66;15/01/2015;1;SI;;;SI;SI
204;Sant Martí;51;15/01/2015;1;SI;;;SI;SI
205;Sant Martí;39;15/01/2015;1;SI;;;SI;SI
206;Riquer;3;15/01/2015;1;SI;;;SI;SI
207;Segre;;15/01/2015;1;SI;;A l'alçada del C, Lluís Roca;SI;SI
208;Mariola;10;15/01/2015;1;SI;;;SI;SI
209;Pius XII;40;15/01/2015;1;SI;;;SI;SI
210;Font i Quer;2;15/01/2015;1;SI;;;SI;SI
211;Jeroni Pujades;15;26/01/2015;1;SI;;;SI;SI
212;Ramon Argilès;1;15/01/2015;1;SI;;;SI;SI
213;Onze de Setembre;;15/01/2015;1;SI;;Amb el C, Sant Hilari;SI;SI
214;Llibertat;;19/03/2015;1;SI;;A l'alçada del nº88;SI;SI
215;Llibertat;88;15/01/2015;1;SI;;;SI;SI
216;Llibertat;;15/01/2015;1;SI;;A l'alçada del C, Pobla de Segur;SI;SI
217;Doctor Combelles;36;15/01/2015;1;SI;;;SI;SI
218;Magí Morera;31;20/11/2015;1;SI;;;SI;SI
219;Magí Morera;17;24/02/2016;1;SI;;;SI;SI
220;Maragall;38;15/01/2015;1;SI;;;SI;SI
221;Segrià;22;24/02/2016;1;SI;;;SI;SI
222;Vallcalent;59;15/01/2015;1;SI;;;SI;SI
223;Vallcalent;67;15/01/2015;1;SI;;;SI;SI
224;Vallcalent;40;15/01/2015;1;SI;;;SI;SI
225;Lluís Companys;27;15/01/2015;4;SI;Escorxador;;SI;SI
226;Isaac Albéniz;10;21/08/2012;7;SI;;;SI;SI
227;Riu Llobregat;4;19/02/2015;1;SI;;;SI;SI
228;Campament;17;25/02/2015;2;NO;;;NO;NO
229;Sant Joan;5;18/05/2015;2;NO;;;NO;NO
230;Girona;46;26/03/2015;1;SI;;;SI;SI
231;Barbastro;1;07/05/2015;2;SI;CEIP Enric Farreny;;SI;SI
232;Cal Bernet;14;25/02/2015;26;NO;;;NO;NO
233;Cal Bernet;10;25/02/2015;12;NO;;;NO;NO
234;Acadèmia;1;25/02/2015;2;NO;;;NO;NO
235;Doctor Combelles;47;04/03/2015;3;NO;Col·legi Episcopal;;NO;NO
236;Doctor Combelles;47;04/03/2015;3;NO;Col·legi Episcopal;;NO;NO
237;Alcalde Porqueras;47;19/05/2015;2;NO;;;NO;NO
238;Parc Científic;;13/04/2015;4;NO;Parc Científic;;NO;NO
239;Garrigues;38;18/05/2015;1;SI;;;SI;NO
240;Agustí Duran i Sanpere;4;18/05/2015;1;SI;;;SI;SI
241;Aragó;33;18/05/2015;2;NO;;;NO;NO
242;Torre Vicenç;;18/05/2015;3;NO;Institut Torre Vicenç;;SI;NO
243;Gran Passeig de Ronda;58;18/05/2015;1;SI;;;SI;SI
244;Alfred Perenya;89;19/05/2015;1;SI;Escola del Treball;;SI;SI
245;Alcarràs;16;19/05/2015;1;SI;Pàdel Indoor Lleida;;SI;SI
246;Gran Passeig de Ronda;139;22/06/2015;2;NO;;;NO;NO
247;Pau Casals;1;24/07/2015;2;SI;;;SI;NO
248;Baró de Maials;119;21/01/2015;3;NO;Gimnàs Royal;;NO;NO
249;Quatre Pilans;1;19/10/2015;2;NO;;;NO;NO
250;Estudi General;4;28/10/2015;13;NO;Universitat de Lleida - Campus;;NO;NO
251;Blondel;16;04/11/2015;3;NO;Ajuntament de Lleida-Area Economia i Tributs;;NO;NO
252;Bisbe Messeguer;24;20/11/2015;1;SI;;;SI;SI
253;Onze de Setembre;52;11/12/2015;1;SI;;;SI;SI
254;Onze de Setembre;65;11/12/2015;1;SI;;;SI;SI
255;Onze de Setembre;63;11/12/2015;1;SI;Pavelló Onze de Setembre;;SI;SI
256;José Olondriz Ortiz;;30/12/2016;3;NO;Piscines municipals Balàfia;;NO;NO
257;Garrigues;52;30/12/2016;2;NO;;;NO;NO
258;Alcalde Areny;10;30/12/2016;2;NO;;;NO;NO
259;Ensenyança;;30/12/2016;4;NO;Col·legi Lestonnac;;NO;NO
260;Miquel Batllori amb Sant Pauli de Nola;;30/12/2016;2;NO;;;NO;NO
261;Missions;;30/12/2016;3;NO;;;NO;NO
262;Audiència;;30/12/2016;2;NO;;;NO;NO
263;Pere Cabrera;16;30/12/2016;5;NO;;;NO;NO
264;Pere Cabrera;20;30/12/2016;5;NO;;;NO;NO
265;Camí de Picos amb Trueta;;07/12/2015;1;SI;;;SI;SI
266;Camí de Picos amb Pont de Suert;;07/12/2015;1;SI;;;SI;SI
267;Alfons II;14;08/10/2015;1;SI;;;SI;SI
268;Riu Ebre;8;08/10/2015;1;SI;;;SI;SI
269;Riu Ebre;10;08/10/2015;1;SI;;;SI;SI
270;Ton Sirera amb Camí de Rufea;;08/10/2015;1;SI;;;SI;SI
271;Ton Sirera;8;08/10/2015;1;SI;;;SI;SI
272;Onze de Setebre amb C. Roda d'Isabena;;30/12/2016;1;NO;;;NO;NO
273;Riu Essera;24;07/11/2016;1;SI;;;SI;NO
274;Dra. Castells;43;18/05/2015;1;SI;;;SI;SI
275;Pla d'Urgell;66;10/11/2016;1;SI;;;SI;NO
276;Alcalde Rovira Roure;15;14/07/2016;5;SI;;;NO;SI
277;Madrid;1;07/09/2016;1;SI;;;SI;SI
278;València;13;18/03/2016;1;SI;;;SI;SI
279;València, davant C. Riu Francolí;;17/03/2016;1;SI;;;SI;SI
280;València;41;18/03/2016;1;SI;;;SI;SI
281;Cappont;14;05/09/2016;2;SI;;;SI;NO
282;Josep Baró i Travé;;23/05/2016;7;SI;Cantonada amb Josep Agustí i Clavera;;NO;NO
283;Ensenyança amb Av. Prat de la Riba;;30/12/2016;4;NO;Col·legi Lestonnac;;NO;NO
284;Llibertat;21;23/06/2016;1;SI;;;SI;SI
285;República del Paraguay;25;27/09/2016;1;SI;;;SI;SI
286;Magí Morera;35;17/03/2016;1;SI;;;SI;SI
287;Onze de Setembre;10;05/10/2016;2;SI;CAP Onze de Setembre;;SI;SI
288;Gran Passeig de Ronda;33;13/06/2016;1;SI;;;SI;NO
