Id;CARRER;Nº;Places;Cantonada;Barri;Equipament;SenyVert;SenyHor;Rampa;Bat/Fil
78;CARDENAL CISNEROS;18;1;;MARIOLA;;SI;SI;NO;FILERA
79;CARDENAL CISNEROS;48;1;;MARIOLA;;SI;SI;SI;FILERA
80;CARME LAFORET;10;1;;CAPPONT;;NO;SI;SI;FILERA
81;Carmel Fenech;16;1;C. de l'Enric Farreny;CIUTAT JARDÍ;Escola Ciutat Jardí;SI;SI;SI;Filera
82;CASAGUALDA;40;1;;SECÀ DE SANT PERE;;SI;SI;SI;FILERA
83;CASTELLA;3;1;;UNIVERSITAT;ESCOLA SANT JAUME;SI;SI;NO;BATERIA
84;CASTELLDANS;23;1;;BORDETA;;SI;SI;SI;FILERA
85;CENTRE;2;1;;BORDETA;;SI;SI;SI;FILERA
86;CENTRE;9;1;;BORDETA;;SI;SI;SI;FILERA
87;CENTRE;41;1;;BORDETA;;SI;SI;SI;FILERA
88;CERDANYA;19;1;;BALÀFIA;;SI;SI;SI;FILERA
89;CERVERA;18;1;;BORDETA;;SI;SI;SI;FILERA
90;CIUTADELA;23;1;;BALÀFIA;;SI;SI;NO;FILERA
91;COMTE DE RUEDA;2;1;;MAGRANERS;CENTRE CIVIC MAGRANERS;SI;SI;NO;FILERA
92;COMTES D'URGELL;2;2;;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
93;COMTES D'URGELL;51;1;BLOCS CATALUNYA;PARDINYES;;SI;SI;SI;FILERA
94;COMTES D'URGELL;59;4;ENTRADA MERCAT;PARDINYES;BARRIS NORD;NO;SI;SI;BATERIA
95;CORREGIDOR ESCOFET;36;2;;PARDINYES;;SI;SI;SI;FILERA
96;CORREGIDOR ESCOFET;70;1;;BALÀFIA;;SI;SI;SI;FILERA
97;CORREGIDOR ESCOFET;78;1;;BALÀFIA;CAMP FUTBOL BALÀFIA;SI;SI;SI;FILERA
98;CORREGIDOR ESCOFET;92;1;;BALÀFIA;ESCOLA PAISSOS CATALANS;SI;SI;SI;FILERA
99;CORREGIDOR ESCOFET;89;1;;BALÀFIA;;SI;SI;SI;FILERA
100;CORREGIDOR ESCOFET;55;2;;BALÀFIA;CAP BALÀFIA-PARDINYES I EOI;SI;SI;SI;FILERA
101;CORREGIDOR ESCOFET;3;1;;PARDINYES;;SI;SI;SI;FILERA
102;CORREGIDOR ESCOFET;47;1;;PARDINYES;;SI;SI;SI;FILERA
103;CORTS CATALANES;7;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
104;CORTS CATALANES;76;1;;BALÀFIA;MERCAT BALÀFIA;SI;SI;SI;FILERA
105;CORTS CATALANES;30;1;;BALÀFIA;;SI;SI;NO;FILERA
107;CRISTOFOL DE BOLEDA;17;1;;JOC DE LA BOLA;;SI;SI;SI;FILERA
108;CRISTOFOL DE BOLEDA;7;1;;JOC DE LA BOLA;;SI;SI;SI;FILERA
109;CRONISTA MUNTANER;12;1;;CAPPONT;;SI;SI;SI;FILERA
110;CRONISTA MUNTANER;24;1;;CAPPONT;;SI;SI;SI;FILERA
111;DOCTOR COMBELLES;55;1;;UNIVERSITAT;;SI;SI;SI;FILERA
112;DOCTOR COMBELLES;51;1;;UNIVERSITAT;;SI;SI;SI;FILERA
113;DOCTOR COMBELLES;57;1;;UNIVERSITAT;;SI;SI;SI;FILERA
114;DOCTOR COMBELLES;29;1;;UNIVERSITAT;;SI;SI;NO;FILERA
115;DOCTOR COMBELLES;8;1;;UNIVERSITAT;;SI;SI;NO;FILERA
116;DOCTOR FLEMING;23;1;;UNIVERSITAT;;SI;SI;SI;FILERA
117;DOCTOR FLEMING;13;1;;UNIVERSITAT;;SI;SI;SI;FILERA
118;DOCTOR FLEMING;51;1;;CAMP D'ESPORTS;;SI;SI;SI;FILERA
119;DOCTOR TRUETA;;1;PLAÇA PABLO IGLESIAS;CAPPONT;;NO;SI;SI;FILERA
120;DOCTOR TRUETA;;1;PLAÇA PABLO IGLESIAS;CAPPONT;;NO;SI;SI;FILERA
121;DOCTOR TRUETA;;1;PLAÇA PABLO IGLESIAS;CAPPONT;;NO;SI;SI;FILERA
122;DOCTOR TRUETA;;1;PLAÇA PABLO IGLESIAS;CAPPONT;;NO;SI;SI;FILERA
123;DOCTOR ZAMENHOF;6;1;;CAPPONT;;SI;SI;SI;BATERIA
124;DOCTORA CASTELLS;12;1;;CAPPONT;;SI;SI;SI;FILERA
125;DOCTORA CASTELLS;36;1;;CAPPONT;;SI;SI;SI;FILERA
126;DOCTORA CASTELLS;25;1;;CAPPONT;;SI;SI;SI;FILERA
127;EDUARD VELASCO;5;1;;CAPPONT;;SI;SI;SI;BATERIA
128;EL VALLÈS;13;1;;BALÀFIA;;SI;SI;SI;FILERA
129;ENGINYER CELLERS;4;1;;PARDINYES;;SI;SI;NO;FILERA
130;ENGINYER SANTI COMPANYS;14;2;;CAPPONT;;NO;SI;SI;FILERA
131;ENGINYER SANTI COMPANYS;58;1;;BORDETA;;NO;SI;SI;FILERA
132;ENGINYER SANTI COMPANYS;44;1;;CAPPONT;;NO;SI;SI;FILERA
133;ENGINYER SANTI COMPANYS;28;1;;CAPPONT;;NO;SI;SI;FILERA
134;ENGINYER SANTI COMPANYS;4;1;;CAPPONT;;NO;SI;SI;FILERA
135;Enric Farreny;92;1;C. de Vall d'Aneu;CIUTAT JARDÍ;;SI;SI;SI;Filera
136;"ENRIC PUBILL ""LO PARRANO""";11;1;;BALÀFIA;;SI;SI;SI;FILERA
137;"ENRIC PUBILL ""LO PARRANO""";1;1;;BALÀFIA;ESCOLA BRESSOL BALÀFIA;SI;SI;SI;FILERA
138;"ENRIC PUBILL ""LO PARRANO""";2;1;;BALÀFIA;;SI;SI;SI;FILERA
139;ESPERANZA GONZALEZ;1;1;;CAPPONT;CAP CAPPONT;SI;SI;SI;FILERA
140;EUGENI D'ORS;12;1;;VILA MONTCADA;IES GUINDAVOLS;SI;SI;SI;FILERA
141;FERRAN EL CATOLIC;38;1;PAS ELEVAT;JOC DE LA BOLA;;SI;SI;SI;BATERIA
142;GARRAF;14;1;;BALÀFIA;;SI;SI;SI;FILERA
143;GARROTXA;9;1;;BALÀFIA;;SI;SI;SI;FILERA
144;GENERAL BRITO;30;1;;RAMBLA FERRAN - ESTACIÓ;;SI;SI;SI;BATERIA
145;GIRONA;9;1;;PARDINYES;;SI;SI;SI;FILERA
146;GIRONA;1;1;;PARDINYES;;SI;SI;SI;FILERA
147;GIRONA;39;1;;PARDINYES;;SI;SI;SI;FILERA
148;GLORIETA FONT I QUER;;4;PARC DE LA MITJANA;PARDINYES;;SI;SI;SI;FILERA
149;GOVERNADOR MONTCADA;6;2;PARQUING MATERNITAT;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
150;GRAN PASSEIG DE RONDA;173;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
151;GRAN PASSEIG DE RONDA;93;1;;CAMP D'ESPORTS;;SI;SI;SI;FILERA
152;GRAN PASSEIG DE RONDA;32;1;;UNIVERSITAT;;SI;SI;SI;FILERA
153;GRAN PASSEIG DE RONDA;40;1;;UNIVERSITAT;;SI;SI;SI;FILERA
154;GRAN PASSEIG DE RONDA;60;1;;UNIVERSITAT;;SI;SI;NO;BATERIA
155;GRAN PASSEIG DE RONDA;68;1;;UNIVERSITAT;;SI;SI;SI;BATERIA
156;GRAN PASSEIG DE RONDA;138;1;;XALETS - HUMBERT TORRES;;SI;SI;NO;FILERA
157;GRAN PASSEIG DE RONDA;80;1;;UNIVERSITAT;;SI;SI;SI;FILERA
158;GUILLEM BOTET;10;1;;PARDINYES;;SI;SI;SI;FILERA
159;HENRY DUNANT;4;3;;JOC DE LA BOLA;;SI;SI;SI;BATERIA
160;HISTORIADOR JOSEP LLADONOSA;1;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
161;HOSTAL DE LA BORDETA;38;1;;BORDETA;;SI;SI;SI;FILERA
162;HUMBERT TORRES;12;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;BATERIA
163;HUMBERT TORRES;23;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
164;INDIVIL I MANDONI;49;1;;MARIOLA;;SI;SI;SI;FILERA
165;ISAAC ALBENIZ;11;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
166;ISERN;38;1;;BORDETA;;SI;SI;SI;FILERA
167;ISONA;1;1;;BORDETA;;SI;SI;SI;FILERA
168;JARDINS DE LES MAGNOLIES;;1;PENEDÈS;BALÀFIA;;SI;SI;SI;FILERA
169;JAUME II;69;2;;CAPPONT;CAMPUS UDL CAPPONT;SI;SI;SI;BATERIA
170;JAUME II;71;2;;CAPPONT;CAMPUS UDL CAPPONT;SI;SI;SI;BATERIA
171;JAUME II;75;2;;CAPPONT;CAMPUS UDL CAPPONT;SI;SI;SI;BATERIA
172;JAUME II;53;1;;CAPPONT;;SI;SI;SI;BATERIA
173;JAUME II;37;1;;CAPPONT;;SI;SI;SI;BATERIA
174;JERONI PUJADES;16;1;INSTITUT;CAPPONT;IES JOSEP LLADONOSA;SI;SI;SI;FILERA
175;JOAN FUSTER;9;1;;CAPPONT;;SI;SI;SI;FILERA
176;JULI CESAR;1;1;;UNIVERSITAT;;SI;SI;SI;BATERIA
177;JULI CESAR;9;1;;UNIVERSITAT;;SI;SI;SI;BATERIA
178;JUNEDA;25;1;;BORDETA;;SI;SI;SI;FILERA
179;JUNEDA;30;1;;BORDETA;;SI;SI;SI;FILERA
180;JUNEDA;48;1;;BORDETA;;SI;SI;SI;FILERA
181;JUPITER;;2;DAVANT Nº11;MARIOLA;;SI;SI;SI;FILERA
182;LANDELINO LAVILLA;26;1;;PARDINYES;;SI;SI;NO;FILERA
183;LANDELINO LAVILLA;9;1;;PARDINYES;;SI;SI;SI;FILERA
184;LAUREA FIGUEROLA;14;1;;BALÀFIA;;SI;SI;SI;FILERA
185;LLIBERTAT;65;1;;SECÀ DE SANT PERE;;SI;SI;SI;FILERA
186;LLUIS COMPANYS;20;1;;UNIVERSITAT;;SI;SI;SI;FILERA
187;LLUIS MILLET;2;1;;MARIOLA;;SI;SI;SI;FILERA
188;MAIALS;17;1;;BORDETA;;SI;SI;NO;FILERA
189;MARAGALL;4;1;;UNIVERSITAT;;SI;SI;SI;FILERA
190;MARAGALL;18;1;PARQUING UNIVERSITAT;UNIVERSITAT;;SI;SI;SI;BATERIA
191;MARIA SAURET;8;2;;RAMBLA FERRAN - ESTACIÓ;;SI;SI;SI;FILERA
192;MARIA SAURET;7;1;DIARI SEGRE;RAMBLA FERRAN - ESTACIÓ;;SI;SI;SI;FILERA
193;MARIE CURIE;2;3;MEDIA MARKT;CAPPONT;;NO;SI;SI;BATERIA
194;MARIE CURIE;2;3;ROTONDA;CAPPONT;;NO;SI;SI;BATERIA
195;MARIOLA;6;1;;MARIOLA;;SI;SI;NO;FILERA
196;MARQUES DE LEGANÉS;1;1;;CAPPONT;;SI;SI;SI;FILERA
197;MART;4;2;;MARIOLA;;SI;SI;SI;FILERA
198;MART;7;1;;MARIOLA;;SI;SI;SI;FILERA
199;MESTRE TONET;9;5;;JOC DE LA BOLA;;SI;SI;SI;BATERIA
200;MIQUEL BATLLORI;22;2;;CAPPONT;;NO;SI;SI;FILERA
201;MIQUEL BATLLORI;34;2;;CAPPONT;;NO;SI;SI;FILERA
202;MONTERREY;59;1;;CENTRE HISTÒRIC;;SI;SI;NO;FILERA
203;MONTSERRAT ROIG;35;3;;CAMP D'ESPORTS;;SI;SI;SI;BATERIA
204;MOSSEN REIG;26;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
205;MOSSEN SALVADOR;1;1;;MAGRANERS;;SI;SI;SI;FILERA
206;MURCIA;41;1;;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
207;MUSIC VIVALDI;18;1;;MARIOLA;;SI;SI;SI;FILERA
208;MUSIC VIVALDI;59;1;;MARIOLA;;SI;SI;SI;FILERA
209;NEPTU;8;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
210;ODON FONOLL;10;1;;MAGRANERS;;SI;SI;NO;FILERA
211;OLIVER;1;1;;SECÀ DE SANT PERE;;SI;SI;NO;FILERA
212;ONOFRE CERVERO;2;1;;CENTRE HISTÒRIC;;NO;SI;SI;FILERA
213;PAER CASANOVES;14;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
214;PAER CASANOVES;46;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
215;PAER CASANOVES;48;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
216;PALAUET;79;1;;BORDETA;;SI;SI;SI;FILERA
217;PARE PALAU;2;2;;PARDINYES;;SI;SI;NO;FILERA
218;PARRA;21;2;;CENTRE HISTÒRIC;;SI;SI;NO;FILERA
219;PARRA;19;1;;CENTRE HISTÒRIC;;SI;SI;NO;FILERA
220;PRESIDENT JOSEP TERRADELLES;43;2;;CAPPONT;;SI;SI;SI;BATERIA
221;PASCUAL MADOZ;5;1;;LLÍVIA;;SI;SI;SI;FILERA
222;MIQUEL FARGAS;2;1;;RAMBLA FERRAN - ESTACIÓ;;SI;SI;NO;FILERA
223;SANT JERONI;31;1;;PARDINYES;;SI;SI;SI;FILERA
224;SANT JERONI;10;1;;PARDINYES;;SI;SI;SI;FILERA
225;PAU CLARIS;2;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
226;PENEDÈS;18;1;CENTRE CIVIC;BALÀFIA;CENTRE CIVIC BALÀFIA;SI;SI;SI;BATERIA
227;PERE CAVASEQUIA;1;2;;PARDINYES;ASPID;SI;SI;SI;FILERA
228;PERE CAVASEQUIA;23;1;;PARDINYES;;SI;SI;SI;FILERA
229;PERE CAVASEQUIA;2;1;;PARDINYES;ASPID;SI;SI;SI;FILERA
230;PERE DE CABRERA;34;1;;CAPPONT;;SI;SI;SI;FILERA
231;PERPINYÀ;30;1;;BALÀFIA;;SI;SI;SI;FILERA
232;PI I MARGALL;37;1;;PRÍNCEP DE VIANA - CLOT;CLINICA DE PONENT;SI;SI;SI;FILERA
233;PI I MARGALL;51;2;;PRÍNCEP DE VIANA - CLOT;ESCOLA DEL TREBALL;SI;SI;SI;FILERA
234;PICA D'ESTATS;4;1;;UNIVERSITAT;DEPARTAMENT D'ENSENYAMENT;SI;SI;NO;FILERA
235;PICA D'ESTATS;17;1;;UNIVERSITAT;;SI;SI;SI;FILERA
236;PINTOR ALBERT VIVES;2;1;;BALÀFIA;;SI;SI;NO;FILERA
237;PINTOR MORERA I GALICIA;1;1;;CAMP D'ESPORTS;;SI;SI;SI;FILERA
238;PINTOR MORERA I GALICIA;8;1;;CAMP D'ESPORTS;;SI;SI;NO;FILERA
239;PINTOR XAVIER GOSSÉ;25;1;;PARDINYES;;NO;SI;SI;FILERA
240;PIUS XII;7;1;;UNIVERSITAT;;SI;SI;NO;FILERA
241;PIUS XII;4;1;;UNIVERSITAT;;SI;SI;SI;FILERA
242;PIUS XII;18;1;;MARIOLA;;SI;SI;SI;FILERA
243;PLA D'URGELL;30;2;;BORDETA;;SI;SI;SI;FILERA
244;JOSEP PRENAFETA;;1;PARQUING AUDITORI;CENTRE HISTÒRIC;AUDITORI;SI;SI;SI;BATERIA
245;EXERCIT;1;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;BATERIA
246;MOSSEN CINTO VERDAGUER;6;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
247;RIU FLAMISELL;;1;CARRER MART;MARIOLA;;SI;SI;NO;BATERIA
248;SEMINARI;8;2;;CENTRE HISTÒRIC;;NO;SI;SI;BATERIA
249;PAGESOS;1;1;;MARIOLA;;SI;SI;SI;FILERA
250;HISPANO-AMÈRICA;1;2;;CENTRE HISTÒRIC;SEU VELLA;SI;NO;SI;BATERIA
251;PLEYAN DE PORTA;1;2;;CENTRE HISTÒRIC;CAP EIXAMPLE;SI;SI;SI;FILERA
252;PRAT DE LA RIBA;37;1;;XALETS - HUMBERT TORRES;;SI;SI;NO;FILERA
253;PRAT DE LA RIBA;21;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
254;PRAT DE LA RIBA;7;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
255;PRAT DE LA RIBA;57;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
256;PRAT DE LA RIBA;94;4;CALÇADA;PARDINYES;BARRIS NORD;SI;SI;SI;FILERA
257;PRAT DE LA RIBA;94;4;DINS MERCAT;PARDINYES;BARRIS NORD;SI;SI;SI;BATERIA
258;PRESIDENT JOSEP IRLA;21;2;;CAPPONT;;NO;SI;SI;FILERA
259;PRESIDENT JOSEP IRLA;15;1;;CAPPONT;;NO;SI;SI;FILERA
260;PRESIDENT JOSEP IRLA;2;3;MEDIAMARKT;CAPPONT;FIRETES;NO;SI;NO;BATERIA
261;PRESIDENT JOSEP IRLA;2;3;VIENA;CAPPONT;FIRETES;NO;SI;SI;BATERIA
262;PRINCEP DE VIANA;31;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
263;PRIORAT;29;1;;BALÀFIA;;SI;SI;SI;FILERA
264;FERRAN;2;1;;RAMBLA FERRAN - ESTACIÓ;;SI;SI;SI;FILERA
265;FERRAN;38;1;;RAMBLA FERRAN - ESTACIÓ;;SI;SI;SI;FILERA
266;MERCÈ;5;2;;MARIOLA;CAP MARIOLA;SI;SI;SI;FILERA
267;MERCÈ;12;3;;MARIOLA;CAP MARIOLA;SI;SI;SI;FILERA
268;RAMON ARGILÉS;35;1;;PARDINYES;;SI;SI;NO;FILERA
269;RAMON ARGILÉS;13;1;PL. FERROVIARIS;PARDINYES;CENTRE CÍVIC;SI;SI;SI;FILERA
270;RAMON LLULL;2;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;BATERIA
271;RAMON SOLDEVILA;;1;AV. MADRID 46;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
272;RIU BESOS;4;1;;CAPPONT;;SI;SI;SI;BATERIA
273;RIU BESOS;1;1;;CAPPONT;;SI;SI;SI;FILERA
274;RIU EBRE;18;3;;CAPPONT;ATLÈTIC SEGRE;SI;SI;SI;FILERA
275;RIU LLOBREGAT;2;1;;CAPPONT;;SI;SI;SI;FILERA
276;RIU TER;2;1;;CAPPONT;;SI;SI;SI;FILERA
277;RIU TER;10;1;;CAPPONT;;SI;SI;NO;FILERA
278;ROCA LABRADOR;29;1;;UNIVERSITAT;;SI;SI;SI;FILERA
279;ROCA LABRADOR;15;1;;UNIVERSITAT;;SI;SI;SI;FILERA
280;RODA D'ISABENA;18;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
281;RONDA DE SANT MARTÍ;3;2;;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
282;SABADELL;20;1;;BALÀFIA;;SI;SI;SI;FILERA
283;SALMERON;28;2;;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
284;SANT AGUSTI;8;1;;BORDETA;;SI;SI;NO;FILERA
285;SANT FRANCESC DE SALES;6;1;;BORDETA;;SI;SI;SI;FILERA
286;SANT FRANCESC XAVIER;2;1;;BORDETA;;SI;SI;NO;FILERA
287;SANT HILARI;8;1;;CAMP D'ESPORTS;;SI;SI;SI;BATERIA
288;SANT HILARI;34;1;;CAMP D'ESPORTS;;SI;SI;SI;FILERA
289;SANT JAUME;1;1;;BORDETA;CENTRE CÍVIC BORDETA;SI;SI;NO;FILERA
290;SANT JOAN BAPTISTA;1;1;;BORDETA;;SI;SI;SI;FILERA
291;SANT JOAN DE MATA;1;1;;CAPPONT;;SI;SI;SI;FILERA
292;SANT JOAN DE MATA;3;1;;CAPPONT;;SI;SI;NO;FILERA
293;SANT JOAN DE MATA;9;1;;CAPPONT;;SI;SI;SI;FILERA
294;SANT MARTÍ;24;1;;CENTRE HISTÒRIC;;SI;SI;NO;FILERA
295;SANT PAULI DE NOLA;30;2;(ESCOLA PARC DEL AIGUA);BORDETA;ESCOLA PARC DE L'AIGUA;SI;SI;SI;BATERIA
296;SANT PAULI DE NOLA;30;2;MIQUEL BATLLORI;BORDETA;;NO;SI;SI;BATERIA
297;SANT PERE CLAVER;1;1;;PARDINYES;CENTRE CÍVIC PARDINYES;SI;SI;SI;FILERA
