hojaPgou;numAntenaPlano;numAntenaPi;id;numero;calle;observaciones;idOperadora;lastUpdated;pubDate;codEmplazamiento;coordenadaSin;relimplantacion;description;geometry;icon
"L-15";"18";"93";"https://www.zaragoza.es/sede/servicio/antena-telefonia/18";"4";"Batalla de Pavía";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2012-05-20T22:00:00Z;2013-01-17T23:00:00Z;"ARAR0368";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Batalla de Pavía 4</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"I-14";"19";"52";"https://www.zaragoza.es/sede/servicio/antena-telefonia/19";"13";"Biarritz";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-04-05T22:00:00Z;2013-01-17T23:00:00Z;"ARAR0050";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Biarritz 13</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"L-16";"23";"28";"https://www.zaragoza.es/sede/servicio/antena-telefonia/23";"68-70";"Camino Cabaldos";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-04-05T22:00:00Z;2013-01-17T23:00:00Z;"ARAR0022";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Camino Cabaldos 68-70</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"H-14";"26";"50";"https://www.zaragoza.es/sede/servicio/antena-telefonia/26";"47";"Camino del Pilón";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-01-12T23:00:00Z;2013-01-17T23:00:00Z;"ARAR0047";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Camino del Pilón 47</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-12";"37";"84";"https://www.zaragoza.es/sede/servicio/antena-telefonia/37";"19-23";"Cineasta Adolfo Aznar";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";"";"";"ARAR0351";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Cineasta Adolfo Aznar 19-23</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"J-15";"39";"19";"https://www.zaragoza.es/sede/servicio/antena-telefonia/39";"40";"Corona de Aragón";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2013-01-21T23:00:00Z;2013-01-17T23:00:00Z;"ARAR0013";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Corona de Aragón 40</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-15";"42";"17";"https://www.zaragoza.es/sede/servicio/antena-telefonia/42";"87";"Coso";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";"";"";"ARAR0007O";"00W5234.94 41N3908.05";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Coso 87</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-14";"53";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/166";"14-16";"Coso ";"Ej. Subs. 748967/10";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";2015-02-25T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/15";"<ul><li>Operadora: Telefonica</li><li>Dirección: Coso  14-16</li><li>Fecha de Aprobación: 21-12-2012</li></ul>";"676328.65 4613702.43";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"K-15";"55";"60";"https://www.zaragoza.es/sede/servicio/antena-telefonia/168";"56";"Coso ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Coso  56</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"676633.74 4613474.01";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"K-15";"56";"59";"https://www.zaragoza.es/sede/servicio/antena-telefonia/169";"98";"Coso";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Coso 98</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"676866.03 4613381.2";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"K-14";"57";"25";"https://www.zaragoza.es/sede/servicio/antena-telefonia/170";"42";"Don Jaime I ";"Se requiere adecuación de la altura de la antena al proyecto de la licencia concedida";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Don Jaime I  42</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"676865.98 4613788.92";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"J-15";"58";"16";"https://www.zaragoza.es/sede/servicio/antena-telefonia/171";"4";"Duquesa Villahermosa ";"Parar 3/08/04";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Duquesa Villahermosa  4</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"675002.13 4613247.26";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"I-17";"62";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/175";"151";"Gómez Laguna AUTOTAXI";"AUTOTAXI";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";2015-08-27T22:00:00Z;"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/17";"<ul><li>Operadora: Telefonica</li><li>Dirección: Gómez Laguna AUTOTAXI 151</li><li>Fecha de Aprobación: 28-03-2008</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"I-16";"63";"64";"https://www.zaragoza.es/sede/servicio/antena-telefonia/176";"25";"Gómez Laguna ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Gómez Laguna  25</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"L-13";"65";"13";"https://www.zaragoza.es/sede/servicio/antena-telefonia/178";"10";"Jaime Ferran ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Jaime Ferran  10</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"678104.23 4615103.3";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"J-15";"66";"12";"https://www.zaragoza.es/sede/servicio/antena-telefonia/179";"27";"José Anselmo Clave ";"Rec Rep Desestimado (1338485/2008)";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: José Anselmo Clave  27</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"675528.55 4613378.17";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"J-14";"67";"68";"https://www.zaragoza.es/sede/servicio/antena-telefonia/180";"1";"Juan XXIII ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Juan XXIII  1</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"674953.38 4613808.73";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"K-15";"69";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/182";"21";"Leon XIII ";"Ej. Subs. 266048/2009";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";2012-06-05T22:00:00Z;2013-01-17T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/18";"<ul><li>Operadora: Telefonica</li><li>Dirección: Leon XIII  21</li><li>Fecha de Aprobación: 25-10-2011</li></ul>";"676424.1 4612789.56";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"K-14";"71";"78";"https://www.zaragoza.es/sede/servicio/antena-telefonia/184";" 2 (edif,AIDA)";"Madre Rafols";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Madre Rafols  2 (edif,AIDA)</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"676057.97 4613567.49";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"H-12";"74";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/187";"- Pg 194 129";"Marconchel ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Marconchel  - Pg 194 129</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"672614.71 4615697.62";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"J-12";"75";"23";"https://www.zaragoza.es/sede/servicio/antena-telefonia/188";"s/n";"Maria Zambrano (Hipercor)";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Maria Zambrano (Hipercor) s/n</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"675743.06 4615739.98";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"L-16";"77";"10";"https://www.zaragoza.es/sede/servicio/antena-telefonia/190";"204";"Miguel Servet ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Miguel Servet  204</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"677958.59 4611942.11";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"L-15";"78";"48";"https://www.zaragoza.es/sede/servicio/antena-telefonia/191";"27";"Miguel Servet ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Miguel Servet  27</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"677264.4 4612953.51";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"L-15";"79";"31";"https://www.zaragoza.es/sede/servicio/antena-telefonia/192";"92";"Miguel Servet ";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/5";"<ul><li>Operadora: Telefonica</li><li>Dirección: Miguel Servet  92</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"677492.06 4612633.2";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
"L-12";"80";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/193";"41";"Camino de los Molinos";"En la pagina del ministerio aparece con el numero 42 (no el 41)";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/2";2010-08-11T22:00:00Z;2013-01-17T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/19";"<ul><li>Operadora: Telefonica</li><li>Dirección: Camino de los Molinos 41</li><li>Fecha de Aprobación: 26-03-2010</li></ul>";"677428.89 4616097.64";"https://www.zaragoza.es/cont/paginas/img/antenas/Telefonica.gif"
