link;about;title;description;pubDate;icon;category;author;duration;geometry;lugar;priority;propiedades
"";"";"";"";"";"";"";"";"";"[-0.8846103992191137,41.662492672578736],[-0.8848907708283842,41.6616332190541],[-0.8847576427573404,41.66129752802132],[-0.8836686127049291,41.661178388997385],[-0.8828529994536675,41.661145339621]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8839979488830468,41.65515914360365],[-0.8840357237628729,41.655105801020724],[-0.8841238441494681,41.65494530873618],[-0.884177453673362,41.65477517398436],[-0.8842289990174784,41.65466804635312],[-0.8842120716453135,41.654451579501234],[-0.8841708460889623,41.654243671347366],[-0.8839273615799327,41.65397799709056],[-0.8825839579984245,41.65319668874407],[-0.8811791041950929,41.652459263081134],[-0.8812722657879155,41.65218178202962],[-0.8812457091939724,41.6518930853719],[-0.8815461370689966,41.6515203574588],[-0.8816573945830828,41.651423339071535]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8821634306497407,41.657268856265596],[-0.8823877347784921,41.65702081273317],[-0.8836978120180938,41.6555228766254],[-0.8838975104520065,41.65529238940184],[-0.8839979488830468,41.65515914360365]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8852886567658753,41.64797775447471],[-0.8856733406482548,41.647597560587336],[-0.886077088525659,41.64700156113335],[-0.8871853132337952,41.64652660269317]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8816573945830828,41.651423339071535],[-0.8829471094753689,41.65017721501807],[-0.8843983841024712,41.6487629300332],[-0.88464458723397,41.6485783303148],[-0.8848419023554341,41.648419848889475],[-0.8852886567658753,41.64797775447471]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8923030086271402,41.64387368241932],[-0.8946416863070403,41.64137675970874],[-0.8950780844216265,41.64088039736665]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8871853132337952,41.64652660269317],[-0.8879645139756664,41.64619869192211],[-0.8912849461796879,41.64489974162449],[-0.8913824151830759,41.644856499203215],[-0.8923030086271402,41.64387368241932]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8977165218269009,41.638019638380236],[-0.8979532819713049,41.63775377814491],[-0.8980530777154004,41.637638520624584],[-0.9006857173896687,41.63568724036279]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.905628290780274,41.63135530369929],[-0.9070815352469539,41.62948052623293],[-0.9096542624031585,41.626393117301944]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9188636057811461,41.622588494098096],[-0.9213789657666845,41.620139238726416],[-0.9218199133653726,41.62023728373592],[-0.9235746150487207,41.621286759232355],[-0.923633438518655,41.621323848840596]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9301734835353276,41.623621481697676],[-0.9363339792610946,41.6250382904836]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.923633438518655,41.621323848840596],[-0.9239518377635205,41.621500728833745],[-0.925528819778742,41.62210564201651],[-0.926692314407888,41.62250492621052],[-0.9294825929791279,41.62345591713601],[-0.9301734835353276,41.623621481697676]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9096542624031585,41.626393117301944],[-0.9115776459945157,41.62407740889948],[-0.9124876685645396,41.62303118436678],[-0.9130733608109388,41.62273560696429],[-0.9143240562851858,41.62228998774028],[-0.9148878695005065,41.622300225364924],[-0.9155058600222217,41.622491573983766],[-0.9162582357317163,41.6229825727935],[-0.9170828904408411,41.623465871074934],[-0.9176118855914478,41.62343943781048],[-0.9179875374510474,41.62332916363054],[-0.9183804000984198,41.62305708275073],[-0.9188636057811461,41.622588494098096]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9006857173896687,41.63568724036279],[-0.9024324313968939,41.63439520598577],[-0.9038955339417247,41.63333213669828],[-0.9046203388013101,41.63282298804946],[-0.905105176109848,41.632309457160446],[-0.9054024170932751,41.631657404880656],[-0.905628290780274,41.63135530369929]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8950780844216265,41.64088039736665],[-0.8954143779912545,41.640508289338804],[-0.8977165218269009,41.638019638380236]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8828529994536675,41.661145339621],[-0.882217136677462,41.661124606516104],[-0.881883415292087,41.6610463990163],[-0.8816144337648125,41.660825281905566],[-0.8814534799252892,41.66060615749055],[-0.8814116695981603,41.66041625066531],[-0.8814967824222371,41.659652273201374],[-0.8815862188467168,41.65912254298517],[-0.8816358079739681,41.6587091613086],[-0.881757217429963,41.65793684663739],[-0.8817019291414542,41.657791723441164],[-0.8821634306497407,41.657268856265596]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8872898727261357,41.66649583723789],[-0.8868932259855437,41.66613728660893],[-0.885481725417534,41.66485940457323],[-0.8845608594473071,41.66400484241135],[-0.8843220569165963,41.66359515236793],[-0.8843839314904992,41.663172989650086],[-0.8846103992191137,41.662492672578736]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8907636849610907,41.67487264876125],[-0.8907684459474244,41.67435936957312],[-0.8907457750653152,41.67321513600313],[-0.890768585146472,41.671414267920795],[-0.8907560995671124,41.670693523554775],[-0.890764922825535,41.67042349250611],[-0.890615386003091,41.66985333962468]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8897619823777394,41.683464384610176],[-0.8897761125158121,41.683032336168445],[-0.889897128163772,41.682638277934316],[-0.8898968952389557,41.68227801680391],[-0.8899071974077588,41.681962981392594],[-0.8899771874164608,41.680190002379575],[-0.8899825454219902,41.679658721791945],[-0.8900039697324454,41.67937090992769],[-0.8900994920589073,41.67902141482483],[-0.8906211180059808,41.67849962064503],[-0.8907111015730887,41.67795188179008],[-0.8907111572261776,41.677582619256974]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8787065991891603,41.686818177932366],[-0.8803756740979711,41.68684900583577],[-0.8846399068260498,41.68688262417973]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.870775714693974,41.68721174657669],[-0.870775714693974,41.68721174657669]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8787203826455005,41.686764394165614],[-0.8783121204509629,41.68675684989737],[-0.8760906965353223,41.68671577480786],[-0.87122700144385,41.68664370568641],[-0.8710213865647763,41.686684924906864],[-0.8708623167657231,41.686772038989695],[-0.8707846266610985,41.68694171979594],[-0.870775714693974,41.68721174657669]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8897259608211259,41.68346372250083],[-0.8896941663395513,41.684435831338384],[-0.8896334530844027,41.686659300285676],[-0.8893970602670832,41.686907134263706],[-0.8890341749617193,41.68698152007002],[-0.8874851654419059,41.686953027433965],[-0.8862741460202691,41.68687669878618],[-0.8855542686585538,41.68684542975913],[-0.8847734679951291,41.68684005299196],[-0.8846293747044885,41.68683739805964]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8893467312532791,41.67485561498888],[-0.8893387208351781,41.67546790502349],[-0.889321983196379,41.67744901171035]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8867219969485407,41.66733199169211],[-0.8874558745731147,41.66802998659507],[-0.8885369473813384,41.66913064569386],[-0.8888937808020447,41.66960554225354]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8828506386571734,41.66121734765352],[-0.8837736899637677,41.661270390220615],[-0.8840678667291917,41.66145594083843],[-0.8840862691415046,41.661627402442875],[-0.8840569541118085,41.661788978224195],[-0.8836678594789139,41.66303370274619],[-0.8836537910871667,41.66309648853567]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8839382343615878,41.65514903665854],[-0.8838509773269692,41.65524649952388],[-0.8836509839497497,41.655485987685395],[-0.8832515826608278,41.655946960802254],[-0.8827277285379482,41.656540734391946],[-0.8823043095432692,41.6570012611811],[-0.882092597755898,41.65723152392434]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8851355959535515,41.6478848707755],[-0.8843553922537937,41.64860902802009],[-0.8842467966853237,41.648625039986165],[-0.8814923300844232,41.65133022909035]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8921493595706799,41.643798810167695],[-0.891862791339362,41.64411778236319],[-0.8914281085721436,41.644560124660075],[-0.8911930586873947,41.64477196347141],[-0.8906577122517054,41.64498729215558],[-0.8871051377273254,41.64640804330233]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.894948144369784,41.64081496994436],[-0.8943756463356254,41.64143492686994],[-0.8922617622640796,41.64366577636041],[-0.8921493595706799,41.643798810167695]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9005920691469395,41.63561347629461],[-0.897971428556398,41.63756497408592],[-0.8976726257654379,41.63789274389076],[-0.897598290598936,41.637963434798834]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9095474557922025,41.626355147187454],[-0.9080858822854992,41.628120829391136],[-0.9079738310840889,41.62824487942684],[-0.9067871591778953,41.629674204909946],[-0.9055571798790477,41.63132698719743]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9241534479061817,41.62082888330558],[-0.9223999052811097,41.61974341144576],[-0.9220086777703168,41.61959222909186],[-0.9217084990066862,41.619595804054256],[-0.918676013782274,41.62244999677653]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9364657928461845,41.62429311661498],[-0.9355603770258282,41.62407870115683],[-0.9321392597472067,41.6233326575949],[-0.9305309884930689,41.622952434352534]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9305309884930689,41.622952434352534],[-0.9296019085897088,41.62272853911649],[-0.9262422006258304,41.6215691270169],[-0.924885924693709,41.62119337484937],[-0.9242596768010358,41.62088484247772],[-0.9241534479061817,41.62082888330558]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.918676013782274,41.62244999677653],[-0.9178093329010522,41.623271893785876],[-0.9174702496360378,41.623364817443296],[-0.91714606110252,41.62336794500704],[-0.9168387985219721,41.62321826780387],[-0.915450232180121,41.62235546650158],[-0.9147239888297535,41.62217115863546],[-0.9142669794671294,41.62219888598588],[-0.9130402775695089,41.62264494060318],[-0.9123802844543139,41.623011219429664],[-0.9122059447542351,41.62320619367671],[-0.9102097580910977,41.62554760798399],[-0.9100851370306139,41.625689444474304],[-0.9095474557922025,41.626355147187454]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.9055571798790477,41.63132698719743],[-0.9053438869841894,41.631611304726086],[-0.9049980710166886,41.63228048365114],[-0.9046364215658688,41.632697190528845],[-0.9010477015989121,41.63526154595689],[-0.9005920691469395,41.63561347629461]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.897598290598936,41.637963434798834],[-0.8950977065573597,41.64064658853644],[-0.894948144369784,41.64081496994436]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8871051377273254,41.64640804330233],[-0.8858640269618776,41.64690757375554],[-0.8856335866743034,41.64734464750711],[-0.8851850713041854,41.64784074969933],[-0.8851355959535515,41.6478848707755]";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=101&direccion=AVENIDA DE LA ACADEMIA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-101";"Parada AVENIDA DE LA ACADEMIA";"Poste 101";"";"";"";"";"";"-0.8708237456356855,41.68721263737027";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=201&direccion=PARQUE GOYA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-201";"Parada PARQUE GOYA";"Poste 201";"";"";"";"";"";"-0.8787065991891603,41.686818177932366";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=301&direccion=JUSLIBOL";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-301";"Parada JUSLIBOL";"Poste 301";"";"";"";"";"";"-0.8846399068260498,41.68688262417973";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=401&direccion=CAMPUS RÍO EBRO";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-401";"Parada CAMPUS RÍO EBRO";"Poste 401";"";"";"";"";"";"-0.8897619823777394,41.683464384610176";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=501&direccion=MARGARITA XIRGU";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-501";"Parada MARGARITA XIRGU";"Poste 501";"";"";"";"";"";"-0.8907111572261776,41.677582619256974";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=601&direccion=LEGAZ LACAMBRA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-601";"Parada LEGAZ LACAMBRA";"Poste 601";"";"";"";"";"";"-0.8907636849610907,41.67487264876125";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=701&direccion=CLARA CAMPOAMOR";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-701";"Parada CLARA CAMPOAMOR";"Poste 701";"";"";"";"";"";"-0.890615386003091,41.66985333962468";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=801&direccion=ROSALÍA DE CASTRO";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-801";"Parada ROSALÍA DE CASTRO";"Poste 801";"";"";"";"";"";"-0.8872898727261357,41.66649583723789";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=901&direccion=MARTÍNEZ SORIA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-901";"Parada MARTÍNEZ SORIA";"Poste 901";"";"";"";"";"";"-0.8846103992191137,41.662492672578736";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1001&direccion=LA CHIMENEA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1001";"Parada LA CHIMENEA";"Poste 1001";"";"";"";"";"";"-0.8828529994536675,41.661145339621";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1101&direccion=PLAZA DEL PILAR - MURALLAS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1101";"Parada PLAZA DEL PILAR - MURALLAS";"Poste 1101";"";"";"";"";"";"-0.8821634306497407,41.657268856265596";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1201&direccion=CÉSAR AUGUSTO";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1201";"Parada CÉSAR AUGUSTO";"Poste 1201";"";"";"";"";"";"-0.8839979488830468,41.65515914360365";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1301&direccion=PLAZA ESPAÑA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1301";"Parada PLAZA ESPAÑA";"Poste 1301";"";"";"";"";"";"-0.8816573945830828,41.651423339071535";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1311&direccion=PLAZA ARAGÓN";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1311";"Parada PLAZA ARAGÓN";"Poste 1311";"";"";"";"";"";"-0.8852886567658753,41.64797775447471";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1401&direccion=GRAN VÍA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1401";"Parada GRAN VÍA";"Poste 1401";"";"";"";"";"";"-0.8871853132337952,41.64652660269317";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1501&direccion=FERNANDO EL CATÓLICO - GOYA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1501";"Parada FERNANDO EL CATÓLICO - GOYA";"Poste 1501";"";"";"";"";"";"-0.8923030086271402,41.64387368241932";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1601&direccion=PLAZA SAN FRANCISCO";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1601";"Parada PLAZA SAN FRANCISCO";"Poste 1601";"";"";"";"";"";"-0.8950780844216265,41.64088039736665";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1701&direccion=EMPERADOR CARLOS V";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1701";"Parada EMPERADOR CARLOS V";"Poste 1701";"";"";"";"";"";"-0.8977165218269009,41.638019638380236";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1801&direccion=ROMAREDA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1801";"Parada ROMAREDA";"Poste 1801";"";"";"";"";"";"-0.9006857173896687,41.63568724036279";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1901&direccion=CASABLANCA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1901";"Parada CASABLANCA";"Poste 1901";"";"";"";"";"";"-0.905628290780274,41.63135530369929";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2001&direccion=ARGUALAS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2001";"Parada ARGUALAS";"Poste 2001";"";"";"";"";"";"-0.9096542624031585,41.626393117301944";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2101&direccion=PASEO DE LOS OLVIDADOS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2101";"Parada PASEO DE LOS OLVIDADOS";"Poste 2101";"";"";"";"";"";"-0.9188636057811461,41.622588494098096";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2301&direccion=LOS PÁJAROS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2301";"Parada LOS PÁJAROS";"Poste 2301";"";"";"";"";"";"-0.923633438518655,41.621323848840596";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2401&direccion=CANTANDO BAJO LA LLUVIA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2401";"Parada CANTANDO BAJO LA LLUVIA";"Poste 2401";"";"";"";"";"";"-0.9301734835353276,41.623621481697676";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2502&direccion=MAGO DE OZ";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2502";"Parada MAGO DE OZ";"Poste 2502";"";"";"";"";"";"-0.9363339792610946,41.6250382904836";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2502&direccion=MAGO DE OZ";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2502";"Parada MAGO DE OZ";"Poste 2502";"";"";"";"";"";"-0.9364657928461845,41.62429311661498";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2422&direccion=UN AMERICANO EN PARÍS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2422";"Parada UN AMERICANO EN PARÍS";"Poste 2422";"";"";"";"";"";"-0.9305309884930689,41.622952434352534";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2322&direccion=LA VENTANA INDISCRETA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2322";"Parada LA VENTANA INDISCRETA";"Poste 2322";"";"";"";"";"";"-0.9241534479061817,41.62082888330558";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2102&direccion=PASEO DE LOS OLVIDADOS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2102";"Parada PASEO DE LOS OLVIDADOS";"Poste 2102";"";"";"";"";"";"-0.918676013782274,41.62244999677653";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=2002&direccion=ARGUALAS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-2002";"Parada ARGUALAS";"Poste 2002";"";"";"";"";"";"-0.9095474557922025,41.626355147187454";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1902&direccion=CASABLANCA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1902";"Parada CASABLANCA";"Poste 1902";"";"";"";"";"";"-0.9055571798790477,41.63132698719743";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1802&direccion=ROMAREDA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1802";"Parada ROMAREDA";"Poste 1802";"";"";"";"";"";"-0.9005920691469395,41.63561347629461";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1702&direccion=EMPERADOR CARLOS V";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1702";"Parada EMPERADOR CARLOS V";"Poste 1702";"";"";"";"";"";"-0.897598290598936,41.637963434798834";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1602&direccion=PLAZA SAN FRANCISCO";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1602";"Parada PLAZA SAN FRANCISCO";"Poste 1602";"";"";"";"";"";"-0.894948144369784,41.64081496994436";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1502&direccion=FERNANDO EL CATÓLICO - GOYA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1502";"Parada FERNANDO EL CATÓLICO - GOYA";"Poste 1502";"";"";"";"";"";"-0.8921493595706799,41.643798810167695";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1402&direccion=GRAN VÍA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1402";"Parada GRAN VÍA";"Poste 1402";"";"";"";"";"";"-0.8871051377273254,41.64640804330233";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1312&direccion=PLAZA ARAGÓN";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1312";"Parada PLAZA ARAGÓN";"Poste 1312";"";"";"";"";"";"-0.8851355959535515,41.6478848707755";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1302&direccion=PLAZA ESPAÑA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1302";"Parada PLAZA ESPAÑA";"Poste 1302";"";"";"";"";"";"-0.8814923300844232,41.65133022909035";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1202&direccion=CÉSAR AUGUSTO";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1202";"Parada CÉSAR AUGUSTO";"Poste 1202";"";"";"";"";"";"-0.8839382343615878,41.65514903665854";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1102&direccion=PLAZA DEL PILAR - MURALLAS";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1102";"Parada PLAZA DEL PILAR - MURALLAS";"Poste 1102";"";"";"";"";"";"-0.882092597755898,41.65723152392434";"";"";""
"http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=1002&direccion=LA CHIMENEA";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-1002";"Parada LA CHIMENEA";"Poste 1002";"";"";"";"";"";"-0.8828506386571734,41.66121734765352";"";"";""
