id;title;description;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1539";"Aparcamiento para personas con discapacidad";"CALLE GONZALO CALAMITA, S/N";2017-05-15T22:00:00Z;"-0.9007868051923289,41.63430839293375";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1540";"Aparcamiento para personas con discapacidad";"CALLE GONZALO CALAMITA, 6";2017-05-15T22:00:00Z;"-0.9001796290400901,41.6338338172466";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1541";"Aparcamiento para personas con discapacidad";"CALLE GONZALO CALAMITA, F-8";2017-05-15T22:00:00Z;"-0.8998653527937968,41.63380366223687";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1543";"Aparcamiento para personas con discapacidad";"AVENIDA AMERICA, 24-26";2017-05-15T22:00:00Z;"-0.8855431985662601,41.63118662369034";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1575";"Aparcamiento para personas con discapacidad";"CALLE JOSE LUIS LACRUZ BERDEJO, F-8";2017-05-15T22:00:00Z;"-0.8737270942426284,41.67261679355994";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1578";"Aparcamiento para personas con discapacidad";"CALLE SAN JUAN DE LA CRUZ, 4";2017-05-15T22:00:00Z;"-0.8934486654388032,41.6415586958807";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1579";"Aparcamiento para personas con discapacidad";"CALLE MEQUINENZA SAN JUAN DE MOZARRIFAR, 2";2017-05-15T22:00:00Z;"-0.8399470815179148,41.718573202671784";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1580";"Aparcamiento para personas con discapacidad";"CALLE EMILIO LAGUNA AZORIN, 41";2017-05-15T22:00:00Z;"-0.9233178366033996,41.649387380196785";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1581";"Aparcamiento para personas con discapacidad";"CALLE RIGEL, F-3";2017-05-15T22:00:00Z;"-0.9304186004983214,41.63981250659657";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1582";"Aparcamiento para personas con discapacidad";"CALLE EUGENIO LUCAS, 33";2017-05-15T22:00:00Z;"-0.8758899456766948,41.68884630842886";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1584";"Aparcamiento para personas con discapacidad";"CALLE JUAN SANZ TUDELILLA, 7";2017-05-15T22:00:00Z;"-0.8770007522821704,41.63577524241633";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1586";"Aparcamiento para personas con discapacidad";"CALLE VAZQUEZ DE MELLA, F-8";2017-05-15T22:00:00Z;"-0.9027626045570274,41.632718192621";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1587";"Aparcamiento para personas con discapacidad";"PLAZA ORTILLA, 12";2017-05-15T22:00:00Z;"-0.8860702230663444,41.664097488436255";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1591";"Aparcamiento para personas con discapacidad";"CALLE TEODORA LAMADRID, F-40";2017-05-15T22:00:00Z;"-0.9235192364060476,41.65147125093769";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1593";"Aparcamiento para personas con discapacidad";"CALLE DOMINGO MIRAL, S/N";2017-05-15T22:00:00Z;"-0.9049752816540988,41.64323178300923";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1594";"Aparcamiento para personas con discapacidad";"CALLE DOCTOR HORNO ALCORTA, 24";2017-05-15T22:00:00Z;"-0.8909892685595827,41.64912447027858";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1595";"Aparcamiento para personas con discapacidad";"CALLE VALLE DE ARAN, 3";2017-05-15T22:00:00Z;"-0.8718964574589686,41.671897577392784";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1598";"Aparcamiento para personas con discapacidad";"CALLE MONASTERIO DE SIRESA, 8";2017-05-15T22:00:00Z;"-0.8622371127871199,41.647370587223826";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1599";"Aparcamiento para personas con discapacidad";"CALLE ALAMEDA SANTA ISABEL, 1";2017-05-15T22:00:00Z;"-0.8367452236400779,41.6667835407431";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1601";"Aparcamiento para personas con discapacidad";"CALLE HERRERIN (JAIME BALLESTEROS), 4";2017-05-15T22:00:00Z;"-0.8680619239631832,41.64521952596842";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
