"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"ESCOLA PLA DE GIRONA";"educacio";"2.777";"";"63.174";"31.521";"24.636";"15.201";"16.567";"14.265";"9.337";"9.135";"15.010";"17.694";"17.618";"16.469";"6.567";"3.639";"3.007";"2.073";"2.276";"1.957";"1.247";"1.224";"2.064";"2.397";"2.335";"2.170"
"Total";"ESCOLA STA. EUGÈNIA";"educacio";"1.299";"";"16.960";"13.914";"6.792";"5.746";"5.907";"5.436";"5.583";"5.273";"5.056";"6.543";"6.374";"6.883";"1.331";"1.121";"740";"430";"434";"511";"538";"512";"493";"705";"689";"757"
"Total";"ESCOLA TAIALÀ";"educacio";"5.217";"";"23.958";"33.637";"43.854";"24.327";"25.633";"22.520";"18.518";"17.011";"22.743";"31.448";"37.098";"37.412";"3.021";"3.565";"4.357";"2.662";"2.805";"2.448";"1.922";"1.758";"2.476";"3.178";"3.566";"3.628"
"Total";"ESCOLA VERD";"educacio";"2.309";"";"10.888";"16.313";"25.178";"11.706";"11.359";"9.033";"9.589";"10.697";"11.176";"12.130";"12.133";"12.840";"1.505";"1.827";"2.470";"1.420";"1.349";"976";"1.078";"1.298";"1.366";"1.491";"1.487";"1.563"
"Total";"ESCOLA VILA-ROJA";"educacio";"1.369";"";"9.990";"26.358";"14.645";"3.788";"4.041";"3.780";"3.699";"3.501";"3.479";"3.920";"4.219";"12.750";"967";"1.335";"1.094";"782";"815";"788";"804";"776";"759";"825";"820";"1.085"
"Total";"ESCOLA BRESSOL LA BALDUFA";"educacio";"744";"";"11.763";"22.083";"13.886";"2.754";"3.002";"2.641";"1.738";"1.173";"2.164";"2.978";"3.105";"3.177";"1.173";"1.783";"1.267";"523";"565";"522";"422";"347";"462";"563";"571";"587"
"Total";"ESCOLA BRESSOL LA DEVESA";"educacio";"730";"";"5.740";"5.129";"4.721";"2.552";"2.630";"2.534";"2.152";"849";"2.290";"2.663";"3.594";"6.266";"1.057";"957";"949";"697";"720";"703";"675";"515";"687";"728";"819";"1.149"
"Total";"ESCOLA BRESSOL GARBÍ";"educacio";"630";"";"13.882";"11.208";"8.877";"3.748";"2.822";"2.005";"2.127";"1.599";"1.850";"2.322";"6.831";"12.459";"1.212";"1.032";"901";"505";"469";"426";"390";"344";"386";"448";"766";"1.120"
"Total";"ESCOLA BRESSOL L'OLIVERA";"educacio";"907";"18.000";"7.741";"7.324";"6.811";"4.255";"3.315";"3.620";"4.370";"1.139";"4.969";"6.385";"10.968";"11.832";"1.338";"1.261";"1.304";"934";"762";"806";"911";"517";"978";"1.126";"1.590";"1.673"
"Total";"ESCOLA BRESSOL EL TREN";"educacio";"710";"";"13.290";"12.284";"11.744";"5.475";"5.476";"4.944";"4.630";"3.946";"4.880";"5.462";"6.287";"13.081";"1.165";"1.088";"1.073";"607";"610";"600";"529";"415";"588";"670";"680";"1.176"
"Total";"CAMP DE FUTBOL DE CAN GIBERT";"esportiu";"";"";"7.928";"8.110";"8.516";"5.953";"6.138";"1.865";"1.051";"4.435";"4.994";"7.631";"8.014";"3.509";"1.403";"1.332";"1.396";"1.073";"1.109";"781";"685";"1.026";"1.031";"1.125";"1.264";"841"
"Total";"CAMP DE FUTBOL DE FONTAJAU";"esportiu";"";"";"6.131";"5.943";"5.283";"3.775";"3.708";"2.840";"2.844";"3.004";"4.027";"5.069";"5.979";"7.010";"1.420";"1.108";"1.540";"1.059";"840";"685";"669";"637";"844";"1.084";"1.423";"1.602"
"Total";"CAMP DE FUTBOL GERMANS SÀBAT";"esportiu";"";"";"11.722";"10.499";"9.790";"7.695";"6.652";"5.592";"6.155";"7.037";"8.212";"9.155";"9.554";"10.222";"1.678";"1.525";"1.448";"1.176";"1.090";"1.010";"1.083";"1.217";"1.328";"1.468";"1.580";"1.669"
"Total";"CAMP DE FUTBOL DE MONTILIVI";"esportiu";"";"";"27.669";"24.935";"23.656";"17.999";"20.301";"12.851";"13.653";"18.616";"17.053";"18.357";"19.890";"22.744";"5.500";"5.002";"5.091";"4.158";"4.524";"3.586";"3.721";"4.360";"4.075";"4.520";"4.472";"4.753"
"Total";"CAMP DE FUTBOL DE PONT MAJOR";"esportiu";"";"";"1.887";"14.633";"6.201";"6.001";"6.189";"3.648";"3.147";"3.544";"6.676";"6.923";"5.072";"169";"1.034";"2.851";"1.262";"1.221";"1.265";"938";"828";"944";"1.399";"1.471";"1.150";"38"
"Total";"CAMP DE FUTBOL TORRES DE PALAU";"esportiu";"";"";"12.964";"14.183";"16.529";"11.225";"7.394";"4.372";"4.285";"4.725";"7.270";"8.751";"11.476";"10.349";"1.909";"1.903";"2.040";"1.416";"1.168";"920";"938";"1.037";"1.287";"1.496";"1.822";"1.708"
"Total";"CAMP DE FUTBOL DE VILAROJA";"esportiu";"";"";"3.429";"3.375";"3.458";"2.389";"1.744";"1.255";"789";"841";"1.325";"2.620";"3.098";"2.859";"812";"777";"815";"643";"552";"408";"272";"335";"463";"660";"773";"779"
"Total";"PAVELLÓ  DE FONTAJAU";"esportiu";"17.439";"";"181.352";"152.109";"156.043";"109.695";"46.972";"25.474";"26.526";"26.789";"28.160";"53.360";"100.595";"185.031";"15.924";"13.704";"13.997";"10.472";"6.755";"5.220";"5.530";"5.567";"5.515";"7.407";"10.563";"18.561"
"Total";"PAVELLÓ MONTFALGARS";"esportiu";"";"";"10.442";"11.228";"12.953";"4.738";"4.632";"4.296";"4.041";"4.534";"5.726";"6.278";"6.204";"6.640";"1.082";"1.090";"1.223";"701";"695";"652";"628";"678";"764";"842";"841";"904"
"Total";"PAVELLÓ DE PALAU";"esportiu";"180";"";"15.246";"18.234";"21.909";"10.747";"8.779";"7.301";"6.781";"6.124";"8.126";"11.343";"12.256";"24.126";"1.789";"2.057";"2.397";"1.485";"1.330";"1.200";"1.054";"1.048";"1.299";"1.666";"1.790";"2.497"
"Total";"PAVELLÓ DE PONT MAJOR";"esportiu";"";"";"8.164";"11.211";"12.539";"7.451";"6.883";"2.381";"1.419";"5.726";"7.210";"7.114";"7.146";"17.901";"908";"1.131";"1.319";"929";"885";"529";"420";"714";"869";"903";"913";"1.570"
"Total";"PAVELLÓ DE SANTA EUGÈNIA";"esportiu";"2.472";"40.064";"31.865";"28.749";"32.038";"15.565";"14.097";"10.050";"3.212";"13.277";"14.734";"15.378";"22.634";"31.431";"2.747";"2.525";"2.805";"1.613";"1.547";"1.209";"814";"1.458";"1.621";"1.711";"2.252";"2.731"
"Total";"PAVELLÓ DE VILA-ROJA";"esportiu";"2.424";"";"22.490";"22.709";"17.006";"9.769";"7.968";"5.536";"5.187";"4.327";"3.965";"6.271";"13.839";"19.541";"2.273";"2.236";"1.829";"1.327";"1.236";"908";"843";"810";"752";"956";"1.477";"1.854"
"Total";"PISTES ESPORTIVES";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"PISTA DE BOTXES";"esportiu";"";"";"1.019";"802";"802";"668";"582";"87";"65";"132";"1.183";"1.663";"1.621";"1.099";"267";"228";"246";"158";"111";"59";"56";"59";"190";"267";"260";"189"
"Total";"PISTA ESPORTIVA FONTAJAU";"esportiu";"";"";"952";"766";"725";"457";"378";"724";"832";"1.054";"998";"477";"-1.025";"407";"195";"156";"149";"115";"3";"118";"132";"159";"167";"152";"35";"109"
"Total";"PISTA ESPORTIVA FONT DE LA PÓLVORA";"esportiu";"";"";"2.699";"5.480";"616";"590";"616";"590";"616";"610";"596";"610";"1.379";"2.631";"494";"962";"123";"84";"106";"133";"141";"142";"140";"145";"267";"467"
"Total";"PISTA ESPORTIVA TORRE GIRONELLA";"esportiu";"";"";"7";"12";"38";"96";"119";"38";"10";"76";"46";"385";"303";"240";"50";"14";"20";"24";"24";"23";"13";"28";"21";"55";"52";"45"
"Total";"PISCINA CAN GIBERT DEL PLA";"piscina";"1.372";"";"230.451";"212.629";"236.673";"150.313";"137.442";"128.855";"102.136";"104.617";"101.098";"153.346";"156.303";"214.487";"16.883";"15.618";"17.294";"11.693";"10.998";"10.829";"9.585";"9.631";"8.563";"12.374";"12.256";"15.658"
"Total";"PISCINA DE PALAU";"piscina";"3.935";"";"215.132";"183.818";"174.812";"87.318";"77.106";"56.440";"44.684";"39.121";"63.090";"89.130";"105.722";"184.917";"15.710";"13.643";"13.206";"7.633";"7.109";"5.181";"4.488";"3.716";"5.738";"7.451";"8.571";"13.964"
"Total";"ZONA ESPORTIVA DEVESA";"esportiu";"284";"";"21.337";"15.213";"16.626";"12.560";"18.479";"21.671";"28.152";"27.324";"22.522";"17.961";"17.088";"15.140";"3.024";"2.228";"2.410";"1.845";"2.481";"2.838";"3.649";"3.483";"2.889";"2.403";"2.321";"2.089"
"Total";"PARQUING PLAÇA PALLOL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"CONSULTORI PONT MAJOR";"sanitari";"159";"";"237";"107";"28";"26";"61";"1.681";"0";"0";"2.399";"746";"996";"1.648";"109";"87";"86";"75";"81";"356";"68";"68";"487";"194";"237";"355"
"Total";"ASSOCIACIÓ VEÏNS DE LA DEVESA";"cultural";"274";"";"2.762";"1.743";"449";"403";"447";"424";"465";"392";"214";"474";"1.594";"2.489";"459";"336";"210";"200";"210";"203";"213";"204";"176";"214";"336";"440"
"Total";"ASSOCIACIO DE VEÏNS DE L'EIXAMPLE";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124"
"Total";"ASSOCIACIÓ DE VEÏNS DE FONTAJAU";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"ASSOCIACIÓ DE VEÏNS DE PALAU";"cultural";"";"";"103";"94";"73";"62";"48";"41";"38";"37";"51";"54";"103";"119";"66";"61";"63";"60";"59";"57";"58";"57";"59";"60";"68";"72"
"Total";"ANTIGA BIBLIOTECA SALVADOR ALLENDE";"cultural";"290";"";"194";"457";"679";"566";"547";"546";"567";"1.658";"2.102";"979";"533";"973";"136";"183";"239";"213";"212";"193";"191";"401";"484";"288";"204";"287"
"Total";"BANC D'ALIMENTS";"oficina";"";"";"2.096";"2.040";"1.897";"1.805";"1.925";"1.869";"2.260";"2.280";"2.042";"2.095";"2.006";"2.064";"372";"353";"360";"346";"387";"380";"453";"457";"413";"424";"408";"419"
"Total";"CENTRE CÍVIC PLA DE PALAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"CENTRE CÍVIC PONT MAJOR / BIBLIOTECA JUST M. CASERO";"cultural";"1.362";"";"17.752";"15.990";"15.281";"12.432";"9.285";"8.642";"11.103";"9.445";"10.186";"9.386";"11.866";"15.280";"2.808";"2.546";"2.527";"2.044";"1.667";"1.559";"1.829";"1.662";"1.737";"1.670";"1.942";"2.447"
"Total";"CENTRE CÍVIC PLA DE PALAU / BIBLIOTECA ERNEST LLUCH";"cultural";"1.231";"";"8.274";"7.815";"7.518";"6.384";"7.467";"9.551";"9.454";"7.720";"8.658";"8.282";"7.537";"8.410";"1.458";"1.376";"1.383";"1.246";"1.399";"1.709";"1.710";"1.480";"1.593";"1.531";"1.402";"1.529"
"Total";"CENTRE CÍVIC DEL TER / BIBLIOTECA ANTÒNIA ADROHER";"cultural";"1.407";"";"23.085";"21.121";"18.804";"13.782";"17.760";"20.654";"17.353";"13.694";"19.070";"18.255";"15.634";"20.275";"3.787";"3.490";"3.366";"2.543";"3.027";"3.441";"2.929";"2.499";"3.182";"3.062";"2.779";"3.351"
"Total";"CENTRE CÍVIC BARRI VELL – MERCADAL";"cultural";"";"";"7.211";"6.396";"6.449";"3.938";"3.865";"3.609";"4.201";"2.255";"3.497";"3.685";"4.805";"6.147";"1.315";"1.180";"1.220";"907";"908";"879";"970";"730";"868";"900";"1.019";"1.191"
"Total";"CENTRE CÍVIC ONYAR";"cultural";"1.568";"";"16.163";"13.710";"12.309";"7.070";"5.135";"6.261";"7.486";"5.057";"5.996";"6.030";"9.520";"17.149";"3.359";"2.997";"2.908";"2.252";"1.437";"1.370";"1.529";"1.233";"1.365";"1.403";"1.790";"2.743"
"Total";"CENTRE CÍVIC PEDRET";"cultural";"250";"";"15.226";"11.274";"10.726";"4.365";"3.737";"1.326";"1.525";"2.027";"2.417";"2.642";"4.791";"9.828";"1.286";"992";"989";"510";"482";"311";"306";"270";"339";"365";"528";"876"
"Total";"CENTRE CÍVIC SANTA EUGÈNIA";"cultural";"720";"";"17.311";"12.025";"12.051";"6.907";"5.706";"2.170";"1.761";"2.092";"2.965";"3.347";"6.070";"13.672";"1.823";"1.447";"1.513";"1.119";"1.066";"537";"514";"565";"696";"774";"897";"1.383"
"Total";"CENTRE CÍVIC SANT NARCÍS";"cultural";"1.459";"";"19.135";"18.177";"16.314";"9.601";"10.088";"11.572";"11.635";"6.826";"10.717";"11.016";"13.195";"18.750";"3.220";"3.030";"2.876";"2.080";"2.164";"2.336";"2.371";"1.793";"2.234";"2.289";"2.548";"3.278"
"Total";"CENTRE DE DISTRIBUCIÓ D'ALIMENTS SANTA EUGÈNIA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"230";"210";"234";"226";"235";"227";"233";"234";"226";"233";"226";"234"
"Total";"CENTRE DE DIA FONT PÓLVORA";"oficina";"140";"";"1.428";"1.293";"838";"747";"324";"248";"156";"153";"147";"152";"889";"973";"270";"245";"173";"157";"24";"4";"61";"63";"63";"65";"176";"191"
"Total";"CENTRE DE DIA DE SANTA EUGÈNIA";"oficina";"";"";"4.750";"4.193";"3.637";"2.546";"2.218";"2.095";"1.940";"1.653";"2.368";"2.369";"3.270";"3.909";"859";"772";"745";"623";"591";"570";"555";"521";"606";"613";"698";"792"
"Total";"CENTRE JOVE SALUT INTEGRAL";"oficina";"200";"";"428";"389";"431";"417";"658";"482";"212";"198";"332";"347";"311";"318";"339";"309";"262";"244";"345";"35";"72";"88";"120";"126";"268";"294"
"Total";"CENT LLARS";"oficina";"";"";"1.303";"1.200";"1.127";"522";"266";"430";"305";"291";"361";"322";"856";"1.093";"308";"290";"273";"146";"103";"131";"110";"108";"119";"113";"217";"263"
"Total";"CENTRE OBERT SANTA EUGÈNIA";"cultural";"";"";"339";"403";"423";"158";"195";"152";"81";"73";"236";"178";"367";"213";"106";"121";"126";"68";"77";"68";"56";"55";"82";"74";"107";"82"
"Total";"CENTRE OBERT TAIALÀ";"cultural";"360";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"ANTIGUES ESCOLES CAMPDORÀ";"cultural";"";"";"170";"60";"66";"64";"113";"149";"156";"155";"152";"154";"151";"154";"51";"32";"35";"34";"21";"47";"49";"50";"48";"50";"50";"50"
"Total";"CENTRE FÒRUM";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"LLAR D'AVIS SANT JOAN";"cultural";"381";"";"1.285";"1.202";"1.012";"844";"979";"974";"1.014";"1.011";"807";"795";"939";"1.012";"230";"214";"184";"156";"118";"102";"161";"177";"155";"156";"171";"181"
"Total";"LLAR D'AVIS TAIALÀ";"cultural";"419";"";"17.611";"14.027";"14.151";"5.221";"2.474";"2.488";"2.241";"1.857";"2.334";"2.258";"6.533";"15.872";"1.485";"1.231";"1.275";"668";"503";"534";"498";"460";"507";"506";"767";"1.375"
"Total";"LOCAL SOCIAL GRUP GIRONA";"cultural";"";"";"3";"5";"4";"1";"0";"2";"1";"0";"2";"5";"3";"2";"18";"18";"20";"20";"19";"19";"19";"19";"19";"21";"20";"20"
"Total";"LOCAL SOCIAL C/HORTÈNSIA";"cultural";"";"";"0";"0";"0";"0";"78";"212";"169";"105";"180";"324";"426";"607";"22";"21";"23";"23";"36";"54";"50";"42";"54";"78";"93";"122"
"Total";"LOCAL SOCIAL PLAÇA LLIMONER";"cultural";"295";"";"294";"265";"293";"283";"293";"283";"170";"165";"520";"537";"571";"594";"92";"83";"110";"109";"39";"26";"64";"65";"125";"129";"127";"132"
"Total";"LOCAL SOCIAL NOGUER";"oficina";"100";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"39";"45";"45";"46";"50";"47";"46";"45";"46";"44";"46"
"Total";"LOCAL SOCIAL DE VISTA ALEGRE";"cultural";"179";"";"494";"400";"320";"276";"192";"179";"166";"169";"161";"226";"304";"424";"117";"99";"91";"75";"43";"50";"65";"66";"65";"77";"87";"108"
"Total";"MAGATZEM JOSEP MA PRAT";"altres";"15";"";"0";"0";"0";"0";"0";"95";"105";"313";"325";"336";"325";"22";"20";"21";"24";"23";"24";"38";"40";"75";"76";"79";"76";"5"
"Total";"SERVEI D'ATENCIÓ GENT GRAN";"oficina";"";"";"792";"1.001";"867";"574";"596";"588";"529";"444";"479";"682";"841";"926";"288";"299";"301";"257";"265";"258";"257";"247";"245";"277";"292";"310"
"Total";"EDIFICI HABITATGES TORIN";"residencial";"";"";"14.437";"12.079";"12.543";"6.413";"5.992";"4.652";"455";"7.837";"4.883";"6.555";"8.335";"1.155";"990";"834";"869";"477";"451";"364";"100";"584";"389";"502";"617";"85"
"Total";"TANC PLUJA COSTABONA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"31";"88";"255";"337";"0";"0";"0";"0";"0";"0";"0";"0";"687";"151";"171";"187"
"Total";"TANC PLUJA TAIALÀ 1";"bombeig";"";"";"0";"0";"11";"26";"225";"269";"277";"-148";"-372";"-91";"30";"42";"20";"18";"24";"26";"54";"62";"65";"1";"-32";"10";"27";"30"
"Total";"TANC PLUJA TAIALÀ 2";"bombeig";"";"";"20";"-7";"-25";"63";"23";"5";"5";"7";"7";"42";"61";"36";"8";"3";"1";"14";"7";"5";"6";"6";"6";"12";"14";"10"
"Total";"TANC PLUJA TAIALÀ 3";"bombeig";"";"";"20";"30";"38";"9";"5";"17";"20";"20";"20";"21";"20";"20";"9";"11";"12";"7";"7";"7";"8";"10";"9";"10";"9";"9"
"Total";"TANC PLUJA TAIALÀ 4";"bombeig";"";"";"20";"42";"54";"19";"16";"15";"16";"12";"11";"20";"21";"6";"8";"11";"13";"8";"7";"6";"7";"7";"7";"8";"8";"6"
"Total";"TANC PLUJA TAIALÀ 5";"bombeig";"";"";"27";"23";"25";"22";"23";"24";"20";"38";"38";"31";"29";"29";"26";"25";"29";"28";"29";"26";"25";"31";"31";"30";"28";"29"
"Electricitat";"AJUNTAMENT";"oficina";"4.096";"";"43.802";"40.014";"40.314";"34.722";"35.026";"42.721";"47.497";"44.457";"44.674";"37.705";"36.798";"42.975";"7.116";"6.132";"6.368";"5.565";"5.946";"7.001";"7.684";"7.273";"7.248";"6.371";"6.089";"6.834"
"Electricitat";"ASSOCIACIÓ DE NATURALISTES GI";"oficina";"";"";"638";"584";"159";"82";"123";"126";"215";"235";"65";"49";"296";"346";"185";"165";"99";"83";"93";"91";"109";"113";"80";"80";"121";"133"
"Electricitat";"BEATES";"oficina";"";"";"3.371";"3.174";"2.930";"2.464";"2.449";"3.026";"3.349";"3.552";"3.866";"3.592";"2.698";"2.740";"1.068";"988";"998";"943";"966";"1.075";"1.180";"1.225";"1.253";"1.211";"963";"971"
"Electricitat";"ESTACIÓ AUTOBUSOS";"oficina";"";"";"9.940";"9.164";"8.853";"6.881";"6.645";"7.465";"8.210";"8.529";"8.058";"6.839";"6.454";"9.591";"1.547";"1.425";"1.425";"1.190";"1.181";"1.294";"1.402";"1.441";"1.366";"1.240";"1.180";"1.559"
"Electricitat";"CASETA DE LA DEVESA";"cultural";"68";"";"0";"214";"373";"114";"16";"53";"46";"46";"40";"35";"35";"52";"65";"93";"125";"78";"63";"68";"67";"68";"65";"66";"64";"70"
"Electricitat";"CENTRAL DE L'AURORA";"oficina";"207";"";"0";"0";"0";"0";"0";"0";"0";"53";"63";"0";"0";"0";"43";"43";"46";"50";"46";"49";"64";"203";"140";"137";"133";"4"
"Electricitat";"COOPERACIÓ";"oficina";"";"";"1.396";"1.463";"1.536";"916";"956";"869";"916";"931";"925";"1.005";"1.023";"1.285";"274";"275";"291";"190";"189";"87";"104";"194";"193";"209";"210";"252"
"Electricitat";"ANTIGA CASA PASTORA";"oficina";"";"";"1.486";"1.370";"1.006";"938";"104";"72";"42";"42";"40";"41";"54";"56";"280";"258";"200";"187";"-22";"-28";"46";"46";"46";"47";"47";"49"
"Electricitat";"PISTA CREC SANT DANIEL";"cultural";"";"";"537";"491";"537";"527";"536";"463";"144";"166";"239";"585";"1.242";"1.207";"125";"110";"92";"93";"118";"107";"61";"66";"78";"134";"234";"230"
"Electricitat";"CENTRE DE SALUT MENTAL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"FUNDACIO ESCOLA ART FLORAL";"oficina";"";"";"269";"242";"269";"260";"269";"260";"269";"269";"260";"269";"35";"0";"62";"57";"47";"44";"57";"58";"61";"61";"62";"64";"24";"19"
"Electricitat";"ESPAI JOVE ELS QUÍMICS";"cultural";"401";"";"2.381";"2.707";"2.549";"1.509";"1.131";"1.458";"1.804";"971";"826";"1.307";"1.820";"2.667";"571";"614";"622";"454";"391";"426";"473";"360";"339";"433";"516";"653"
"Electricitat";"GESTORIA GOMEZ";"oficina";"";"";"136";"204";"950";"890";"511";"477";"362";"396";"496";"512";"538";"588";"84";"91";"228";"216";"151";"144";"126";"133";"152";"157";"148";"156"
"Electricitat";"HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"residencial";"";"";"142";"153";"176";"123";"122";"126";"114";"132";"131";"193";"202";"218";"41";"42";"48";"39";"39";"32";"24";"39";"40";"51";"51";"55"
"Electricitat";"HABITATGE MUNICIPAL ST GREGORI 89- 6E 1A";"residencial";"";"";"207";"151";"156";"110";"109";"104";"80";"82";"79";"99";"113";"133";"52";"42";"45";"37";"38";"28";"19";"31";"32";"37";"37";"42"
"Electricitat";"HABITATGE MUNICIPAL FONTAJAU 5- 8E 4A";"residencial";"";"";"154";"128";"140";"118";"121";"123";"127";"128";"124";"138";"134";"192";"43";"39";"42";"38";"39";"30";"30";"39";"39";"43";"41";"51"
"Electricitat";"HABITATGE MUNICIPAL CAN COLOMER";"residencial";"";"";"402";"363";"402";"389";"402";"396";"402";"409";"390";"403";"389";"402";"94";"85";"68";"65";"90";"88";"91";"92";"94";"97";"89";"92"
"Electricitat";"HOTEL INFORM";"oficina";"";"";"51";"116";"136";"167";"211";"439";"455";"408";"378";"60";"62";"87";"47";"59";"65";"61";"70";"107";"112";"110";"105";"55";"55";"59"
"Electricitat";"L'ESTACIÓ ESPAI JOVE";"oficina";"587";"";"2.960";"3.337";"4.200";"2.608";"2.748";"2.835";"2.753";"2.683";"2.714";"2.779";"2.512";"2.689";"713";"727";"829";"472";"516";"516";"505";"490";"485";"499";"462";"494"
"Electricitat";"LOCAL PONT MAJOR 65";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"LOCAL SOCIAL GRUP SANT DANIEL";"oficina";"";"";"145";"152";"162";"142";"177";"145";"167";"258";"166";"19";"58";"121";"78";"78";"86";"81";"89";"67";"76";"100";"85";"64";"69";"79"
"Electricitat";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"10";"12";"6";"3";"1";"17";"17";"20";"19";"19";"18";"19";"22";"22";"22";"20";"21"
"Electricitat";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"5";"5";"5";"3";"4";"25";"43";"25";"19";"6";"7";"7";"19";"19";"21";"20";"21";"22";"26";"24";"22";"21";"21";"22"
"Electricitat";"LOCAL SOCIAL DE MONTJUÏC";"cultural";"";"";"1.018";"938";"773";"558";"610";"371";"322";"447";"439";"396";"600";"697";"371";"344";"338";"294";"259";"200";"192";"226";"214";"208";"248";"349"
"Electricitat";"LOCAL SOCIAL MONTILIVI";"oficina";"";"";"1.556";"1.384";"1.495";"1.214";"1.174";"1.161";"1.355";"1.389";"1.351";"1.401";"1.469";"1.547";"360";"323";"307";"207";"232";"257";"296";"303";"300";"315";"324";"338"
"Electricitat";"LOCAL SOCIAL SANT DANIEL";"oficina";"95";"";"1.719";"1.696";"1.202";"1.063";"638";"529";"389";"350";"404";"425";"1.057";"1.194";"351";"340";"266";"240";"95";"62";"117";"129";"139";"144";"237";"262"
"Electricitat";"LOCAL SOCIAL DE LA TORRASSA";"cultural";"";"";"671";"606";"482";"186";"77";"99";"163";"97";"85";"96";"114";"207";"193";"175";"148";"87";"70";"73";"85";"74";"70";"74";"74";"93"
"Electricitat";"OFICINA MUNICIPAL HABITATGE";"oficina";"185";"";"859";"750";"787";"740";"667";"603";"661";"668";"617";"628";"625";"649";"168";"147";"155";"146";"136";"42";"101";"133";"130";"134";"128";"132"
"Electricitat";"PUNT DE LECTURA TORRE GIRONELLA";"cultural";"56";"";"1.163";"1.055";"708";"652";"505";"483";"115";"115";"239";"247";"445";"475";"194";"177";"117";"108";"23";"19";"22";"22";"44";"46";"74";"79"
"Electricitat";"POLICIA MUNICIPAL";"oficina";"1.032";"";"18.062";"15.790";"15.675";"13.581";"13.869";"14.366";"15.532";"14.995";"14.331";"14.453";"14.386";"14.800";"2.304";"2.013";"2.032";"1.773";"1.837";"2.095";"2.274";"2.155";"2.013";"1.928";"1.887";"1.967"
"Electricitat";"SERVEI MUNICIPAL D'OCUPACIÓ";"oficina";"1.545";"";"9.753";"7.344";"9.425";"7.896";"7.745";"7.805";"7.225";"7.043";"7.638";"7.599";"8.168";"9.681";"1.492";"1.229";"1.472";"1.290";"1.292";"1.383";"1.334";"1.296";"1.362";"1.355";"1.384";"1.560"
"Electricitat";"PROMOCIÓ DE LA SALUT";"oficina";"225";"";"2.837";"2.374";"1.760";"696";"511";"1.109";"1.058";"784";"598";"723";"1.538";"2.304";"580";"447";"364";"229";"216";"299";"298";"257";"225";"241";"336";"448"
"Electricitat";"OFICINA MERCAT AMBULANT";"oficina";"";"";"1.762";"1.393";"1.625";"1.946";"1.676";"-779";"-739";"0";"76";"1.176";"1.202";"1.542";"330";"258";"299";"347";"296";"-169";"-156";"40";"52";"231";"234";"288"
"Electricitat";"MERCAGIRONA";"oficina";"";"";"9.379";"8.635";"8.607";"6.769";"6.115";"5.433";"5.403";"5.375";"5.371";"6.245";"6.974";"7.474";"1.508";"1.391";"1.402";"1.037";"965";"897";"844";"925";"897";"1.033";"1.177";"1.239"
