"Nom_Sector";"Codi_Carrer";"Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert";"Num_Inf";"Lletra_Inf";"Accessori_inf";"Num_Sup";"Lletra_sup";"Accessori_sup"
"Sant Narcís";"0346";"CARRER";"de la";"Mare de Déu del Remei";"Carrer de la Mare de Déu del Remei";"1";"";"N";"9";"";"N"
"Sant Narcís";"0346";"CARRER";"de la";"Mare de Déu del Remei";"Carrer de la Mare de Déu del Remei";"23";"";"N";"27";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"15";"";"N";"15";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"13";"";"N";"13";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"12";"";"N";"16";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"5";"";"N";"7";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"10";"";"N";"10";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"4";"";"S";"8";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"2";"";"S";"2";"";"S"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"1";"";"N";"3";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"17";"";"N";"19";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"18";"";"N";"24";"";"N"
"Sant Narcís";"0347";"CARRER";"de la";"Mare de Déu dels Àngels";"Carrer de la Mare de Déu dels Àngels";"9";"";"N";"11";"";"N"
"Sant Narcís";"0348";"PLAÇA";"de";"Madrid";"Plaça de Madrid";"1";"";"N";"8";"";"S"
