"Entitat";"Programa";"Economica";"Descripcio";"Credits inicials";"Modificacions de credit";"Credits totals consignats"
"Fundació Auditori Palau de Congressos";"3342";"22707";"NITS DE CLÀSSICA - SERVEIS TÈCNICS I ESPECÍFICS";"0,00";"8.869,77";"8.869,77"
"Fundació Auditori Palau de Congressos";"3342";"13001";"HORES EXTRAORDINÀRIES - NITS DE CLASSICA";"0,00";"3.750,00";"3.750,00"
"Fundació Auditori Palau de Congressos";"3342";"224";"NITS DE CLÀSSICA - ASSEGURANCES";"0,00";"95,98";"95,98"
"Fundació Auditori Palau de Congressos";"3342";"22700";"NITS DE CLÀSSICA - DIRECCIÓ ARTÍSTICA";"0,00";"5.333,33";"5.333,33"
"Fundació Auditori Palau de Congressos";"3342";"22705";"DIFUSIÓ NITS DE CLASSICA - INTERCANVI PUBLICITARI";"0,00";"8.025,00";"8.025,00"
"Fundació Auditori Palau de Congressos";"3343";"22700";"JOVE ORQUESTRA AUDITORI DE GIRONA";"0,00";"29.219,01";"29.219,01"
"Fundació Auditori Palau de Congressos";"3344";"22700";"CONCERTS ESCOLARS - AUDITORI OBERT";"0,00";"12.873,34";"12.873,34"
"Fundació Auditori Palau de Congressos";"3344";"22602";"DIFUSIÓ CONCERTS ESCOLARS - AUDITORI OBERT";"0,00";"112,05";"112,05"
"Fundació Auditori Palau de Congressos";"3344";"22791";"SERVEIS ARTÍSTICS - CONCERTS ESCOLARS - AUDITORI OBERT";"0,00";"2.900,00";"2.900,00"
"Fundació Auditori Palau de Congressos";"3344";"22794";"SERVEIS PERSONAL DE SALA - CONCERTS ESCOLARS - AUDITORI OBER";"0,00";"600,20";"600,20"
"Fundació Auditori Palau de Congressos";"3344";"22795";"SERVEIS PERSONAL TÈCNIC - CONCERTS ESCOLARS - AUDITORI OBERT";"0,00";"787,95";"787,95"
"Fundació Auditori Palau de Congressos";"3344";"22797";"DRETS D'AUTOR - CONCERTS ESCOLARS - AUDITORI OBERT";"0,00";"400,00";"400,00"
"Fundació Auditori Palau de Congressos";"3345";"22700";"DESPESES COR GERIONA - COR DE L'AUDITORI DE GIRONA";"0,00";"5.151,61";"5.151,61"
"Fundació Auditori Palau de Congressos";"3346";"20300";"LLOGUERS - PROG.TARDOR";"0,00";"9.498,87";"9.498,87"
"Fundació Auditori Palau de Congressos";"3346";"22602";"DIFUSIÓ I COMUNICACIÓ - PROG.TARDOR";"0,00";"12.025,29";"12.025,29"
"Fundació Auditori Palau de Congressos";"3346";"22699";"ALTRES DESPESES DIVERSES - PROG.TARDOR";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"3346";"22701";"SERVEIS VIGILÀNCIA I SEGURETAT - PROG.TARDOR";"0,00";"5.722,76";"5.722,76"
"Fundació Auditori Palau de Congressos";"3346";"22791";"HONORARIS SERVEIS ARTÍSTICS - PROG.TARDOR";"0,00";"97.400,00";"97.400,00"
"Fundació Auditori Palau de Congressos";"3346";"22792";"HONORARIS SERVEIS ARTISTICS A TAQUILLATGE";"0,00";"78.670,78";"78.670,78"
"Fundació Auditori Palau de Congressos";"3346";"22793";"DESPESES ARTISTES";"0,00";"2.190,97";"2.190,97"
"Fundació Auditori Palau de Congressos";"3346";"22794";"SERVEIS PERSONAL DE SALA - PROG.TARDOR";"0,00";"10.087,60";"10.087,60"
"Fundació Auditori Palau de Congressos";"3346";"22795";"SERVEIS PERSONAL TÈCNIC - PROG.TARDOR";"0,00";"18.561,12";"18.561,12"
"Fundació Auditori Palau de Congressos";"3346";"22796";"ALTRES SERVEIS - PROG.TARDOR";"0,00";"644,75";"644,75"
"Fundació Auditori Palau de Congressos";"3349";"22709";"ALTRES DESPESES";"0,00";"6.776,22";"6.776,22"
"Fundació Auditori Palau de Congressos";"3349";"22707";"ALTRES DESPESES - FESTIVAL STRENES";"0,00";"12.897,55";"12.897,55"
"Fundació Auditori Palau de Congressos";"3349";"22708";"ALTRES DESPESES - TEMPORADA ALTA";"0,00";"14.914,63";"14.914,63"
"Fundació Auditori Palau de Congressos";"4390";"22701";"ACCIONS COMERCIALS PALAU DE CONGRESSOS";"0,00";"38.052,52";"38.052,52"
"Fundació Auditori Palau de Congressos";"4390";"22709";"ALTRES DESPESES - PALAU CONGRESSOS";"0,00";"895,62";"895,62"
"Fundació Auditori Palau de Congressos";"4390";"22703";"PROMOCIÓ, DIFUSIÓ I COMUNICACIÓ PALAU CONGRESSOS";"0,00";"10.908,57";"10.908,57"
"Fundació Auditori Palau de Congressos";"4390";"22704";"QUOTES I SUBSCRIPCIONS PALAU DE CONGRESSOS";"0,00";"11.326,26";"11.326,26"
"Fundació Auditori Palau de Congressos";"4390";"13000";"RETRIBUCIONS PERSONAL CONGRESSOS";"0,00";"34.220,12";"34.220,12"
"Fundació Auditori Palau de Congressos";"4390";"16000";"SEGURETAT SOCIAL - PERSONAL CONGRESSOS";"0,00";"10.646,17";"10.646,17"
"Fundació Auditori Palau de Congressos";"4390";"22700";"ACTIVITAT COMERCIAL I CONGRESSUAL";"74.500,00";"-74.500,00";"0,00"
"Fundació Auditori Palau de Congressos";"4390";"35900";"COMISSIONS BANCÀRIES ACTIVITAT COMERCIAL";"0,00";"20,13";"20,13"
"Fundació Auditori Palau de Congressos";"4391";"22709";"ALTRES LLOGUERS I SERVEIS - ACTES DE TERCERS";"0,00";"3.286,45";"3.286,45"
"Fundació Auditori Palau de Congressos";"4391";"22704";"LLOGUERS TÈCNICS - SERVEIS ACTES DE TERCERS";"0,00";"52.719,09";"52.719,09"
"Fundació Auditori Palau de Congressos";"4391";"22706";"SERVEIS PERSONAL SALA - SERVEIS ACTES DE TERCERS";"0,00";"52.183,53";"52.183,53"
