"X";"Y";"Nom";"Tipus";"lon";"lat"
"487727,0";"4650509,4";"Torrent de can Vilar";"Hidrologia";"2,85179182";"42,00650418"
"487128,5";"4652125,1";"Torrent de Jonquers";"Hidrologia";"2,84452291";"42,02104930"
"489263,4";"4647569,1";"Torrent de la casa de les Figues";"Hidrologia";"2,87039417";"41,98004707"
"488681,2";"4649541,7";"Torrent de la Ferriola";"Hidrologia";"2,86333091";"41,99780005"
"486770,4";"4646741,6";"Torrent de la Font de la Pólvora";"Hidrologia";"2,84032002";"41,97255163"
"489927,9";"4647407,3";"Torrent de la Llosa";"Hidrologia";"2,87841204";"41,97859675"
"488523,1";"4649316,2";"Torrent de les Bordes";"Hidrologia";"2,86142757";"41,99577127"
"488866,8";"4647169,8";"Torrent de les Ramades";"Hidrologia";"2,86560959";"41,97643889"
"486907,4";"4651967,0";"Torrent de Negueda";"Hidrologia";"2,84185705";"42,01962261"
"487333,4";"4646809,9";"Torrent de Vila-roja";"Hidrologia";"2,84711368";"41,97317333"
"491215,9";"4647579,4";"Torrent del Camí del Vent";"Hidrologia";"2,89395648";"41,98016132"
"489961,4";"4648462,7";"Torrent dels Juliana";"Hidrologia";"2,87880443";"41,98809923"
"487770,6";"4648854,8";"Torrent Estela";"Hidrologia";"2,85234555";"41,99159887"
"484409,9";"4647606,3";"Séquia Monar";"Hidrologia";"2,81180104";"41,98029921"
"486462,2";"4652910,5";"Séquia d'en Vinyals";"Hidrologia";"2,83646041";"42,02810830"
"484428,0";"4646736,6";"Carrer de l'Illa de Mallorca";"Eixos viaris";"2,81205343";"41,97246380"
"485191,8";"4647211,2";"Carrer de Josep Maluquer i Salvador";"Eixos viaris";"2,82125046";"41,97675667"
"485543,2";"4648397,9";"Carrer dels Manaies";"Eixos viaris";"2,82547003";"41,98744510"
"484692,2";"4646963,9";"Carrer de Manel Bonmatí i Romaguera";"Eixos viaris";"2,81523385";"41,97451348"
"484711,0";"4646961,6";"Passatge de Manel Bonmatí i Romaguera";"Eixos viaris";"2,81546323";"41,97449584"
"484897,8";"4647119,4";"Carrer de Manel Quer";"Eixos viaris";"2,81770417";"41,97592248"
"483508,4";"4647247,1";"Carrer de Manel Viñas i Grauges";"Eixos viaris";"2,80093520";"41,97704748"
"483932,2";"4647441,1";"Carrer de la Marfà";"Eixos viaris";"2,80604771";"41,97880353"
"485329,1";"4650326,3";"Plaça de Maria Auxiliadora";"Eixos viaris";"2,82283838";"42,00481493"
"484996,6";"4646341,7";"Carrer del Marquès de Caldes de Montbui";"Eixos viaris";"2,81891896";"41,96891718"
"485026,1";"4647812,9";"Plaça del Marquès de Camps";"Eixos viaris";"2,81924356";"41,98216655"
"485400,7";"4650211,2";"Carrer d'Àngel Marsà i Beca";"Eixos viaris";"2,82369861";"42,00378049"
"485311,4";"4645804,4";"Carrer del Mas Abella";"Eixos viaris";"2,82273403";"41,96408653"
"484938,1";"4644110,4";"Carrer del Mas Amat";"Eixos viaris";"2,81827606";"41,94882216"
"485640,1";"4647344,4";"Passatge dels Picapedrers";"Eixos viaris";"2,82666677";"41,97796287"
"485469,7";"4648005,1";"Plaça dels Mercaders";"Eixos viaris";"2,82458637";"41,98391313"
"485558,7";"4647865,8";"Plaça del Pallol";"Eixos viaris";"2,82566419";"41,98265384"
"485022,0";"4648945,8";"Carrer de Joan Josep Tharrats i Vidal";"Eixos viaris";"2,81916640";"41,99237100"
"483562,9";"4649032,1";"Rambla de Tete Montoliu";"Eixos viaris";"2,80153707";"41,99312546"
"483700,1";"4649002,1";"Carrer de Maria Àngels Anglada i d'Abadal";"Eixos viaris";"2,80320403";"41,99285813"
"485423,4";"4650842,6";"Carrer de Ramon Llull";"Eixos viaris";"2,82396068";"42,00946409"
"485631,3";"4646418,9";"Carrer d'Àngel Serradell i Pérez";"Eixos viaris";"2,82658076";"41,96962253"
"485708,6";"4646379,5";"Carrer de Palau-sacosta";"Eixos viaris";"2,82751102";"41,96927267"
"485654,1";"4646370,4";"Carrer de Josep Bosch i Puy, ""Piculives""";"Eixos viaris";"2,82685952";"41,96919063"
"485584,9";"4647797,4";"Placeta de Pere Sacoma";"Eixos viaris";"2,82597971";"41,98204186"
"484868,7";"4648138,7";"Rotonda de la Devesa";"Eixos viaris";"2,81732790";"41,98509970"
"484895,0";"4646726,4";"Carrer de Pau Vila i Dinarès";"Eixos viaris";"2,81769012";"41,97238282"
"484533,1";"4646721,6";"Carrer d'Antoni Gaudí i Cornet";"Eixos viaris";"2,81332111";"41,97233077"
"486115,6";"4645443,0";"Carrer de Joan Viñas i Bona";"Eixos viaris";"2,83244514";"41,96084969"
"485956,2";"4645373,9";"Carrer de Santiago Coquard i Sala";"Eixos viaris";"2,83052811";"41,96021640"
"485896,7";"4645314,0";"Carrer de Josep Maria Pons i Guri";"Eixos viaris";"2,82980549";"41,95968394"
"485037,5";"4646199,5";"Carrer de Josepa Arnall i Juan";"Eixos viaris";"2,81941739";"41,96763902"
"484956,9";"4646184,0";"Carrer de Josep Canal i Roquet";"Eixos viaris";"2,81844022";"41,96750237"
"484799,2";"4646031,9";"Carrer d'Emília Xargay i Pagès";"Eixos viaris";"2,81654941";"41,96612134"
"484628,4";"4645902,2";"Carrer d'Avel·lí Artís i Gener, ""Tísner""";"Eixos viaris";"2,81448911";"41,96495616"
"485820,3";"4646745,3";"Plaça de George Orwell";"Eixos viaris";"2,82885391";"41,97257113"
"485499,8";"4646949,6";"Jardins de la Font del Bou";"Eixos viaris";"2,82497457";"41,97440265"
"483111,6";"4648472,9";"Carrer de Can Benet del Riu";"Eixos viaris";"2,79610809";"41,98807221"
"485743,1";"4648232,0";"Jardins de Joan Fuster i Ortells";"Eixos viaris";"2,82788850";"41,98596265"
"485502,3";"4650559,9";"Passeig de Sant Joan Bosco";"Eixos viaris";"2,82492171";"42,00691668"
"485558,6";"4648319,3";"Pujada de la Catedral";"Eixos viaris";"2,82565303";"41,98674286"
"485504,2";"4647002,4";"Pont de la Font del Rei";"Eixos viaris";"2,82503361";"41,97488010"
"485461,6";"4647009,5";"Passera de la Font del Rei";"Eixos viaris";"2,82451443";"41,97494235"
"484743,2";"4647669,2";"Carrer de Rafael Masó i Valentí";"Eixos viaris";"2,81583110";"41,98087317"
"486604,4";"4646070,7";"Grup la Creueta";"Eixos viaris";"2,83833176";"41,96650534"
"485795,4";"4646600,1";"Carrer de Josep Clarà i Ayats";"Eixos viaris";"2,82855567";"41,97126472"
"485085,7";"4646371,9";"Plaça de Josep Irla i Bosch";"Eixos viaris";"2,81999232";"41,96918907"
