"Codi";"Nom";"Tipus";"Adreça";"Web";"utm_x_etrs89";"utm_y_etrs89";"lon";"lat";""
"PE19";"Pista esportiva Font de la Pólvora";"PISTA ESPORTIVA";"C. Mimosa, 14";"http://www.girona.cat/visorgis/esports/index.html";"487.090,35";"4.646.965,10";"2,84417734";"41,97457443"
"PE2";"Pista esportiva Pont Major";"PISTA ESPORTIVA";"C. Sicília, 20";"http://www.girona.cat/visorgis/esports/index.html";"485.270,66";"4.650.442,07";"2,82212301";"42,00585860"
"PE20";"Pista esportiva Vila-roja";"PISTA ESPORTIVA";"Pl. Pablo Picasso, 1";"http://www.girona.cat/visorgis/esports/index.html";"487.099,50";"4.646.446,24";"2,84429735";"41,96990011"
"PE21";"Pista esportiva Ciutat de Figueres";"PISTA ESPORTIVA";"Pl. Ciutat de Figueres, 22";"http://www.girona.cat/visorgis/esports/index.html";"485.652,04";"4.646.469,57";"2,82683296";"41,97008225"
"PE22";"Pista Parc de Domeny";"PISTA ESPORTIVA";"C. Roberto Bolaño, 7";"http://www.girona.cat/visorgis/esports/index.html";"483.963,54";"4.648.625,63";"2,80638960";"41,98946803"
"PE23";"Pista esportiva Paratge Rissec";"PISTA ESPORTIVA";"C. l'Esport, 1";"http://www.girona.cat/visorgis/esports/index.html";"485.147,27";"4.648.999,89";"2,82067419";"41,99285973"
"PE24";"Pista esportiva Jardins d'Ignasi Bosch";"PISTA ESPORTIVA";"Jardins d'Ignasi Bosch, 1";"http://www.girona.cat/visorgis/esports/index.html";"484.238,88";"4.646.954,99";"2,80975439";"41,97442347"
"PE25";"Pista poliesportiva de Santa Eugènia";"PISTA ESPORTIVA";"C. de Santa Eugènia, 199";"http://www.girona.cat/visorgis/esports/index.html";"483.544,41";"4.647.155,26";"2,80137231";"41,97621963"
"PE26";"Pista esportiva Pedret";"PISTA ESPORTIVA";"Rda. Pedret, 5";"http://www.girona.cat/visorgis/esports/index.html";"485.432,63";"4.648.781,58";"2,82412049";"41,99090161"
"PE27";"Pista esportiva Germans Sàbat";"PISTA ESPORTIVA";"Ctra. Taialà, 93";"http://www.girona.cat/visorgis/esports/index.html";"483.582,05";"4.649.200,65";"2,80177385";"41,99463899"
"PE3";"Pista esportiva Montjuïc";"PISTA ESPORTIVA";"Pl. Domènec Fita, 2";"http://www.girona.cat/visorgis/esports/index.html";"486.118,00";"4.649.236,00";"2,83239178";"41,99501202"
"PE4";"Pista esportiva Sant Salvador";"PISTA ESPORTIVA";"C. Joan Pons, 14";"http://www.girona.cat/visorgis/esports/index.html";"484.511,45";"4.647.944,41";"2,81302337";"41,98334547"
"PE5";"Pista esportiva Fontajau";"PISTA ESPORTIVA";"C. L'Amical Mauthausen, 28";"http://www.girona.cat/visorgis/esports/index.html";"484.701,95";"4.649.156,32";"2,81528540";"41,99426523"
"PE6";"Pista esportiva Torre de Taialà";"PISTA ESPORTIVA";"C. Torre de Taialà, 43";"http://www.girona.cat/visorgis/esports/index.html";"484.179,31";"4.649.220,63";"2,80898127";"41,99483134"
"PE7";"Pista esportiva Sant Pau";"PISTA ESPORTIVA";"C. Narcís Blanch, 26A";"http://www.girona.cat/visorgis/esports/index.html";"484.843,23";"4.646.451,66";"2,81706960";"41,96990499"
"PE8";"Pista esportiva La Torrassa";"PISTA ESPORTIVA";"Pj. La Torrassa, 49";"http://www.girona.cat/visorgis/esports/index.html";"485.967,05";"4.648.607,05";"2,83058367";"41,98934416"
"PE9";"Pista esportiva Vista Alegre";"PISTA ESPORTIVA";"C. Vista Alegre, 16";"http://www.girona.cat/visorgis/esports/index.html";"485.625,48";"4.647.180,16";"2,82648972";"41,97648550"
"PI1";"Pavelló Municipal Palau";"PISCINA";"C. Josep Aguilera, 2";"http://www.girona.cat/visorgis/esports/index.html";"484.993,68";"4.645.831,46";"2,81889576";"41,96432372"
"PI2";"Piscina Santa Eugènia - Can Gibert";"PISCINA";"C. Taga, 9";"http://www.girona.cat/visorgis/esports/index.html";"483.792,53";"4.646.697,15";"2,80437833";"41,97209972"
"PI3";"Zona Esportiva Devesa. Piscines d'estiu";"PISCINA";"Pg. Devesa, 38";"http://www.girona.cat/visorgis/esports/index.html";"484.591,58";"4.648.306,26";"2,81397960";"41,98660745"
"PP1";"Ping pong al carrer Torre de Taialà";"PING PONG AL CARRER";"Pl. Torre de Taialà";"http://www.girona.cat/visorgis/esports/index.html";"484.190,79";"4.649.255,45";"2,80911314";"41,99514680"
"PP10";"Ping pong al carrer Pl. Empúries";"PING PONG AL CARRER";"Pl. Empúries";"http://www.girona.cat/visorgis/esports/index.html";"484.331,25";"4.646.416,75";"2,81089121";"41,96957974"
"PP11";"Ping pong al carrer Carme";"PING PONG AL CARRER";"C. Carme";"http://www.girona.cat/visorgis/esports/index.html";"485.424,12";"4.647.143,84";"2,82406452";"41,97614856"
"PP12";"Ping pong al carrer Girona 2";"PING PONG AL CARRER";"C. Freser";"http://www.girona.cat/visorgis/esports/index.html";"484.565,64";"4.646.056,88";"2,81372479";"41,96634196"
"PP13";"Ping pong al carrer Vista Alegre";"PING PONG AL CARRER";"Parc Vista Alegre";"http://www.girona.cat/visorgis/esports/index.html";"485.596,16";"4.647.211,54";"2,82613893";"41,97676418"
