"Id_obra";"Numero_expedient";"Descripcio";"Tipus_obra";"Tipus_llicencia";"Tipus_local";"Nom_interessat";"Nom_carrer";"Numero";"Lletra";" Accessori";"Codi_edifici";"Data_resolucio";"Data_inici_obra";"Data_final_obra";"Data_caducitat";"Data_renuncia";"utm_x_etrs89";"umt_y_etrs89";"lon";"lat"
"20160024";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BASSEGODA, C.";"6";"";"N";"5218";"12/01/2016";"";"";"";"";"483818";"4647192";"2,80467851";"41,97655855"
"20160026";"2016000007";"REPARACIÓ PARCIAL DE COBERTES: Pavimentació i/o impermeabilització de terrats.";"Comunicat";"";"Habitatge";"CONSTRUCCIONS PASQUAL I PRATS, S.L.";"SANT JOAN BAPTISTA DE LA SALLE, C.";"37";"";"N";"1393";"11/01/2016";"";"";"";"";"484979";"4647305";"2,81868916";"41,97759928"
"20160029";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"TORRE DE SANT DANIEL, C.";"23";"";"N";"6525";"12/01/2016";"";"";"";"";"486443";"4649175";"2,83631715";"41,99446827"
"20160031";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"JOSEP AMETLLER I VIÑAS, C.";"10";"";"N";"1794";"12/01/2016";"";"";"";"";"485168";"4646794";"2,82098337";"41,97300046"
"20160032";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"SALSAFINS TURISTICS S.C.";"CORT REIAL, C.";"9";"";"N";"5788";"19/01/2016";"";"";"";"";"485491";"4648057";"2,82485067";"41,98438188"
"20160033";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació de façanes PB i P1.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CAMI VELL DE FORNELLS, C.";"11";"";"N";"3067";"12/01/2016";"";"";"";"";"484984";"4644670";"2,81881677";"41,95386679"
"20160034";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CERVINO, C.";"9";"";"N";"7549";"12/01/2016";"";"";"";"";"483813";"4649228";"2,80456208";"41,99489596"
"20160035";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"HOMS LLOGUERS S.L.";"BERNAT BOADES, C.";"92";"";"N";"4211";"12/01/2016";"";"";"";"";"484388";"4647568";"2,81154856";"41,97995655"
"20160036";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"TECNICAMER SL";"ANTONI BARNES I GULTRESA, C.";"8";"";"N";"12195";"12/01/2016";"";"";"";"";"483405";"4645482";"2,79974175";"41,96114856"
"20160037";"2016000007";"OBRES INTERIOR HABITATGES: Repicar, enguixar i pintar parets i sostres.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"NOU DEL TEATRE, C.";"4";"";"N";"71";"15/01/2016";"";"";"";"";"485490";"4647853";"2,82484363";"41,98254451"
