nom_cientific;nom;mida_tronc;mida_escocell;x;y
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484458,7;4644459,7
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484457,3;4644450
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484455,6;4644442,2
Quercus ilex;Alzina;20-50;Sense escocell;484454,8;4644596,9
Quercus ilex;Alzina;20-50;Sense escocell;484454;4644602,8
Quercus ilex;Alzina;20-50;Sense escocell;484452,7;4644608,6
Quercus ilex;Alzina;20-50;Sense escocell;484451,5;4644614,4
Quercus ilex;Alzina;20-50;Sense escocell;484451,2;4644618,8
Quercus ilex;Alzina;20-50;Sense escocell;484450,6;4644622,9
Quercus ilex;Alzina;20-50;Sense escocell;484450,1;4644626,6
Quercus ilex;Alzina;20-50;Sense escocell;484448,3;4644637,8
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484441,9;4644663,1
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484443,2;4644658,8
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484440,6;4644658,6
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484440,2;4644670,3
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484439,6;4644667,6
Celtis australis;Lledoner;20-50;Sense escocell;484425,5;4644655,5
Celtis australis;Lledoner;20-50;Sense escocell;484420,8;4644655,2
Celtis australis;Lledoner;20-50;Sense escocell;484416;4644655
Celtis australis;Lledoner;20-50;Sense escocell;484410,3;4644654,8
Celtis australis;Lledoner;20-50;Sense escocell;484405,3;4644653,8
Celtis australis;Lledoner;20-50;Sense escocell;484401,3;4644654,1
Quercus ilex;Alzina;20-50;Sense escocell;484423,3;4644675,6
Quercus ilex;Alzina;20-50;Sense escocell;484411,5;4644676,7
Quercus ilex;Alzina;20-50;Sense escocell;484399,7;4644676,6
Quercus ilex;Alzina;20-50;Sense escocell;484388,6;4644677,2
Quercus ilex;Alzina;20-50;Sense escocell;484378,6;4644676,1
Quercus ilex;Alzina;20-50;Sense escocell;484369,3;4644675,9
Quercus ilex;Alzina;20-50;Sense escocell;484356,9;4644675
Quercus ilex;Alzina;20-50;Sense escocell;484347,4;4644667,8
Celtis australis;Lledoner;20-50;Sense escocell;484377,4;4644657
Celtis australis;Lledoner;20-50;Sense escocell;484360,4;4644654,3
Celtis australis;Lledoner;20-50;Sense escocell;484354,2;4644650,8
Celtis australis;Lledoner;20-50;Sense escocell;484368,5;4644656
Quercus ilex;Alzina;20-50;Sense escocell;484356;4644645,3
Quercus ilex;Alzina;20-50;Sense escocell;484379,2;4644648,1
Celtis australis;Lledoner;20-50;Sense escocell;484387,4;4644648,6
Populus alba;Alber;20-50;Sense escocell;484387,1;4644652,9
Celtis australis;Lledoner;20-50;Sense escocell;484386,7;4644657,8
Celtis australis;Lledoner;20-50;90;484450,3;4644655,3
Celtis australis;Lledoner;20-50;90;484445;4644653,9
Celtis australis;Lledoner;20-50;90;484439,3;4644652,8
Celtis australis;Lledoner;20-50;90;484433,6;4644651,7
Celtis australis;Lledoner;20-50;90;484426,8;4644651,3
Celtis australis;Lledoner;20-50;90;484420,4;4644650,2
Celtis australis;Lledoner;20-50;90;484411,9;4644649,3
Celtis australis;Lledoner;20-50;90;484403,4;4644648,8
Celtis australis;Lledoner;20-50;90;484396,7;4644647,9
Celtis australis;Lledoner;20-50;90;484390;4644646,5
Celtis australis;Lledoner;20-50;90;484382,4;4644645,7
Celtis australis;Lledoner;20-50;90;484375;4644645,5
Celtis australis;Lledoner;20-50;90;484366;4644643,9
Celtis australis;Lledoner;20-50;90;484358,8;4644642,6
Celtis australis;Lledoner;20-50;90;484350,9;4644642
Celtis australis;Lledoner;20-50;90;484342,2;4644641,9
Celtis australis;Lledoner;20-50;90;484333,3;4644641,2
Celtis australis;Lledoner;20-50;90;484324,4;4644641,6
Celtis australis;Lledoner;20-50;90;484315,5;4644642,3
Celtis australis;Lledoner;20-50;90;484306,7;4644644
Celtis australis;Lledoner;20-50;90;484299,5;4644645,5
Celtis australis;Lledoner;20-50;90;484292;4644648,7
Celtis australis;Lledoner;20-50;90;484284,8;4644650,3
Celtis australis;Lledoner;20-50;90;484162,3;4644381,2
Celtis australis;Lledoner;20-50;90;484159,7;4644374,1
Celtis australis;Lledoner;20-50;90;484157,7;4644368,6
Fraxinus ornus;Freixa de flor;20-50;90;485419,7;4645229
Fraxinus ornus;Freixa de flor;20-50;90;485415,9;4645232,3
Fraxinus ornus;Freixa de flor;20-50;90;485411,2;4645234,4
Fraxinus ornus;Freixa de flor;20-50;90;485408,7;4645239,5
Fraxinus ornus;Freixa de flor;20-50;90;485410,7;4645246,8
Fraxinus ornus;Freixa de flor;20-50;90;485412,1;4645253,4
Fraxinus ornus;Freixa de flor;20-50;90;485413,1;4645260,5
Fraxinus ornus;Freixa de flor;50-80;90;485413,5;4645268,2
Fraxinus ornus;Freixa de flor;20-50;90;485413,6;4645278,1
Fraxinus ornus;Freixa de flor;20-50;90;485413,5;4645285,1
Fraxinus ornus;Freixa de flor;20-50;40-90;485413,2;4645297
Fraxinus ornus;Freixa de flor;20-50;40-90;485413;4645304,3
Fraxinus ornus;Freixa de flor;50-80;40-90;485412,8;4645312,1
Fraxinus ornus;Freixa de flor;20-50;40-90;485409,3;4645326,7
Fraxinus ornus;Freixa de flor;20-50;40-90;485406,4;4645333,6
Fraxinus ornus;Freixa de flor;50-80;40-90;485403,3;4645339,1
Fraxinus ornus;Freixa de flor;80-120;40-90;485398,3;4645347
Fraxinus ornus;Freixa de flor;20-50;90;485310,1;4645311,8
Fraxinus ornus;Freixa de flor;20-50;90;485303,9;4645312,1
Fraxinus ornus;Freixa de flor;20-50;90;485291,9;4645312,2
Fraxinus ornus;Freixa de flor;20-50;90;485285,1;4645312,5
Fraxinus ornus;Freixa de flor;20-50;90;485279;4645312,3
Fraxinus ornus;Freixa de flor;20-50;90;485272,7;4645312,4
Fraxinus ornus;Freixa de flor;20-50;90;485261,9;4645312,3
Fraxinus ornus;Freixa de flor;20-50;90;485257,2;4645312,8
Fraxinus ornus;Freixa de flor;50-80;90;485322,7;4645311,2
Fraxinus ornus;Freixa de flor;50-80;90;485330;4645315,2
Fraxinus ornus;Freixa de flor;50-80;90;485336,4;4645318,9
Fraxinus ornus;Freixa de flor;50-80;90;485347,8;4645324,9
Fraxinus ornus;Freixa de flor;20-50;90;485354;4645328,6
Fraxinus ornus;Freixa de flor;20-50;90;485360,2;4645331,6
Fraxinus ornus;Freixa de flor;50-80;90;485370,2;4645337
Fraxinus ornus;Freixa de flor;20-50;90;485376,6;4645340,5
Fraxinus ornus;Freixa de flor;20-50;90;485382,4;4645344
Fraxinus ornus;Freixa de flor;50-80;40-90;485395;4645351,7
Fraxinus ornus;Freixa de flor;20-50;40-90;485389,9;4645355,8
Fraxinus ornus;Freixa de flor;20-50;40-90;485384,1;4645360,6
Fraxinus ornus;Freixa de flor;50-80;40-90;485378,4;4645364,7
Fraxinus ornus;Freixa de flor;50-80;40-90;485372,1;4645368,2
Fraxinus ornus;Freixa de flor;50-80;40-90;485366,3;4645371,4
Fraxinus ornus;Freixa de flor;50-80;40-90;485357,7;4645374,5
Fraxinus ornus;Freixa de flor;20-50;40-90;485352;4645376,7
Fraxinus ornus;Freixa de flor;20-50;40-90;485345,8;4645377,7
Fraxinus ornus;Freixa de flor;50-80;40-90;485338,9;4645379,3
Fraxinus ornus;Freixa de flor;50-80;40-90;485331,3;4645379,9
Platanus x hispanica;Plàtan;20-50;Sense escocell;485159;4648660,2
Platanus x hispanica;Plàtan;20-50;Sense escocell;485168,1;4648673,9
Platanus x hispanica;Plàtan;120;Sense escocell;485280,8;4648737,4
Robinia pseudoacacia;Falsa acàcia;50-80;Sense escocell;485337;4648749,6
Robinia pseudoacacia;Falsa acàcia;50-80;Sense escocell;485336,2;4648747,2
Robinia pseudoacacia;Falsa acàcia;50-80;Sense escocell;485335,6;4648745,3
Robinia pseudoacacia;Falsa acàcia;50-80;Sense escocell;485335,5;4648743,5
Robinia pseudoacacia;Falsa acàcia;80-120;Sense escocell;485335,1;4648741,7
Albitzia julibrissim;Acacia de constantinoble;20-50;Sense escocell;484637,3;4646096,8
Tilia platyphyllos;Tell de fulla gran;20-50;90;484671,3;4646071,3
Liquidambar styraciflua;Liqidambar;50-80;Sense escocell;484706;4646062
Tilia platyphyllos;Tell de fulla gran;80-120;90;485304,9;4647429,5
Tilia platyphyllos;Tell de fulla gran;80-120;90;485300,6;4647429
Tilia platyphyllos;Tell de fulla gran;80-120;90;485296,8;4647428,3
Lagerstroemia indica;Arbre de jupiter;20-50;Sense escocell;484261,9;4646993,6
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484922;4649763,1
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484922,5;4649779,8
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484897,7;4649806,9
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484889,2;4649807,6
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484879,7;4649808,1
Quercus ilex;Alzina;20-50;Sense escocell;484467,7;4649034,6
Fraxinus ornus;Freixa de flor; ; ;485379,4;4650347,9
Erytea armata;Eritea; ; ;485338,6;4650337,9
Erytea armata;Eritea; ; ;485338,2;4650328,8
Erytea armata;Eritea;50-80;Sense escocell;485337,4;4650315,8
Magnolia stelata;Magnolia;20-50;Sense escocell;485312,6;4650320,9
Magnolia stelata;Magnolia;20-50;Sense escocell;485345,8;4650327,7
Magnolia stelata;Magnolia;20-50;Sense escocell;485346;4650320
Quercus ilex;Alzina;20-50;Sense escocell;484339,7;4649120
Quercus ilex;Alzina;20-50;Sense escocell;484363,2;4649130,2
Quercus ilex;Alzina;20-50;Sense escocell;484369,3;4649121,5
Cercis siliquastrum;Arbre de l'amor;20-50;90;484693,4;4645091,1
Quercus ilex;Alzina;50-80;Sense escocell;484368,7;4645450,6
Cupressus sempervirens;Xiprer;50-80;Sense escocell;484378,8;4645448,8
Quercus ilex;Alzina;50-80;Sense escocell;484371,5;4645453,3
Quercus ilex;Alzina;50-80;Sense escocell;484365,9;4645453,9
Celtis sinensis;Lledoner xinés;80-120;90;484551,4;4645572,6
Celtis sinensis;Lledoner xinés;80-120;90;484549;4645570,3
Celtis sinensis;Lledoner xinés;80-120;90;484546,3;4645567,9
Celtis sinensis;Lledoner xinés;80-120;90;484543;4645564,9
Celtis sinensis;Lledoner xinés;80-120;90;484539,5;4645562
Celtis sinensis;Lledoner xinés;80-120;90;484535,1;4645558,2
Celtis sinensis;Lledoner xinés;80-120;90;484531,2;4645554,5
Celtis sinensis;Lledoner xinés;80-120;90;484527,7;4645551,5
Citrus sinensis;Taronger dolç;80-120;90;484523,2;4645547,6
Celtis sinensis;Lledoner xinés;80-120;90;484519,2;4645543,4
Celtis sinensis;Lledoner xinés;80-120;90;484514,4;4645539,7
Celtis sinensis;Lledoner xinés;80-120;90;484509,1;4645535,6
Celtis sinensis;Lledoner xinés;80-120;90;484504,3;4645530,8
Celtis sinensis;Lledoner xinés;80-120;90;484499,1;4645526,4
Celtis sinensis;Lledoner xinés;80-120;90;484493,8;4645522,6
Celtis sinensis;Lledoner xinés;80-120;90;484488,8;4645518
Celtis sinensis;Lledoner xinés;50-80;90;484484,8;4645514,1
Celtis sinensis;Lledoner xinés;50-80;90;484480,8;4645510,8
Celtis sinensis;Lledoner xinés;50-80;90;484476,9;4645507,6
Quercus ilex;Alzina;80-120;90;484473,5;4645504,1
Quercus ilex;Alzina;80-120;90;484469,7;4645500,8
Celtis sinensis;Lledoner xinés;50-80;90;484466,2;4645497,9
Celtis sinensis;Lledoner xinés;120;90;484462,2;4645494,2
Celtis sinensis;Lledoner xinés;120;90;484457,9;4645490,2
Celtis sinensis;Lledoner xinés;50-80;90;484453,5;4645486,6
Celtis sinensis;Lledoner xinés;120;90;484449,3;4645482,5
Celtis sinensis;Lledoner xinés;80-120;Sense escocell;484477,5;4645492,8
Quercus ilex;Alzina;80-120;Sense escocell;484481,6;4645498,3
Quercus ilex;Alzina;80-120;Sense escocell;484485,1;4645504,7
Quercus ilex;Alzina;80-120;Sense escocell;484490,6;4645501,4
Quercus rubra;Roure americà;50-80;Sense escocell;484554,2;4645503,3
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484373;4645431,1
Liriodendron tulipifera;Tuliper de Virginia;20-50;Sense escocell;484352,8;4645440,3
Celtis australis;Lledoner;80-120;90;484354,3;4645568,2
Celtis australis;Lledoner;80-120;90;484356,2;4645573,5
Celtis australis;Lledoner;80-120;90;484358,8;4645580,6
Celtis australis;Lledoner;80-120;90;484360,8;4645586,7
Celtis australis;Lledoner;80-120;90;484362,8;4645592,7
Celtis australis;Lledoner;80-120;90;484365;4645599,7
Celtis australis;Lledoner;80-120;90;484366,8;4645606,4
Celtis australis;Lledoner;80-120;90;484369,4;4645614,2
Celtis australis;Lledoner;80-120;90;484372,2;4645622,8
Celtis australis;Lledoner;80-120;90;484374,4;4645630,7
Celtis australis;Lledoner;80-120;90;484376,6;4645637,6
Celtis australis;Lledoner;80-120;90;484353;4645563,4
Celtis australis;Lledoner;80-120;90;484378,7;4645645
Celtis australis;Lledoner;80-120;90;484380,9;4645653,2
Celtis australis;Lledoner;80-120;90;484382,1;4645658,4
Celtis australis;Lledoner;80-120;90;484383,8;4645663,6
Celtis australis;Lledoner;80-120;90;484385,3;4645667,7
Celtis australis;Lledoner;80-120;90;484386,5;4645671,7
Celtis australis;Lledoner;80-120;90;484387,5;4645675,6
Celtis australis;Lledoner;80-120;90;484388,4;4645678,7
Celtis australis;Lledoner;80-120;90;484389,2;4645682
Celtis australis;Lledoner;80-120;90;484390,2;4645686,2
Celtis australis;Lledoner;80-120;90;484391,6;4645690,2
Celtis australis;Lledoner;80-120;90;484392,4;4645693,9
Celtis australis;Lledoner;80-120;90;484393,8;4645698,2
Celtis australis;Lledoner;80-120;90;484395,3;4645702,5
Celtis australis;Lledoner;80-120;90;484396,2;4645706,8
Celtis australis;Lledoner;80-120;90;484397,8;4645710,4
Celtis australis;Lledoner;80-120;90;484399,1;4645715,3
Celtis australis;Lledoner;80-120;90;484400,6;4645720,3
Celtis australis;Lledoner;80-120;90;484401,5;4645724,9
Celtis australis;Lledoner;80-120;90;484403,3;4645730,1
Celtis australis;Lledoner;80-120;90;484404,2;4645733,4
Celtis australis;Lledoner;80-120;90;484405,5;4645738
Celtis australis;Lledoner;80-120;90;484406,6;4645741,9
Celtis australis;Lledoner;80-120;90;484408,2;4645746,1
Celtis australis;Lledoner;80-120;90;484409,2;4645750,2
Celtis australis;Lledoner;80-120;90;484410,3;4645753,7
Celtis australis;Lledoner;120;90;484411,5;4645757,3
Celtis australis;Lledoner;120;90;484412,6;4645761,1
Celtis australis;Lledoner;120;90;484414,2;4645765,9
Celtis australis;Lledoner;120;90;484415,3;4645770
Celtis australis;Lledoner;50-80;90;484416,5;4645773,7
Celtis australis;Lledoner;50-80;90;484418,3;4645778,3
Celtis australis;Lledoner;80-120;90;484419,8;4645784,7
