"Identificador";"Codiedif";"Id_façana";"Ldia";"Lnit";"Ltarda";"Lden";"Coord_X";"Coord_Y";" lon";"lat	"
"117";"437";"0448437";"65,9";"51,8";"60,6";"64,9";"485547,02389999997";"4647226,36660000030";"2,82554711";"41,97689838"
"118";"7412";"00177412";"58,4";"45,6";"53,7";"57,7";"484670,95630000002";"4648989,12060000002";"2,81491548";"41,99276052"
"119";"7411";"00177411";"58,2";"45,3";"53,5";"57,5";"484676,51390000002";"4648990,84240000043";"2,81498789";"41,99276965"
"120";"7410";"00177410";"57,9";"44,8";"53,1";"57,1";"484682,00990000000";"4648992,37170000002";"2,81506028";"41,99278778"
"121";"8446";"00178446";"57,8";"44,8";"53,0";"57,0";"484687,42479999998";"4648993,60989999957";"2,81512062";"41,99279688"
"122";"8445";"00178445";"58,0";"46,0";"53,3";"57,5";"484692,64510000002";"4648994,63040000014";"2,81518096";"41,99280598"
"123";"8444";"00178444";"58,1";"46,1";"53,5";"57,6";"484697,87910000002";"4648995,58179999981";"2,81524130";"41,99281509"
"124";"4486";"02704486";"66,5";"53,3";"61,3";"65,6";"484280,35619999998";"4646970,42609999981";"2,81026089";"41,97456842"
"125";"4487";"02704487";"67,4";"54,4";"62,2";"66,6";"484262,21440000000";"4646981,93159999978";"2,81004334";"41,97466713"
"126";"4487";"05454487";"64,9";"52,5";"59,9";"64,2";"484266,04780000000";"4646992,93429999985";"2,81009132";"41,97476629"
"127";"4470";"05454470";"61,0";"48,5";"56,1";"60,3";"484296,01069999998";"4647009,48249999993";"2,81045297";"41,97492000"
"128";"4491";"05454491";"60,9";"48,3";"56,0";"60,2";"484300,35790000000";"4647023,15249999985";"2,81050087";"41,97504617"
"129";"4494";"05454494";"60,5";"48,3";"55,6";"59,9";"484277,98310000001";"4647010,70370000042";"2,81022361";"41,97492863"
"130";"4492";"05454492";"64,8";"52,4";"59,8";"64,1";"484262,69240000000";"4647002,38399999961";"2,81004278";"41,97485627"
"131";"4492";"02704492";"66,3";"54,0";"61,3";"65,7";"484250,91180000000";"4647004,62650000025";"2,80989789";"41,97487405"
"132";"4493";"02704493";"62,2";"50,4";"57,2";"61,7";"484254,92389999999";"4647026,04330000002";"2,80994558";"41,97507227"
"133";"4495";"02704495";"58,5";"46,8";"53,5";"58,0";"484265,10379999998";"4647029,71329999994";"2,81007826";"41,97509951"
"134";"4496";"02704496";"62,1";"50,4";"57,1";"61,6";"484256,01049999997";"4647029,54019999970";"2,80996964";"41,97509933"
"135";"4497";"02704497";"60,0";"48,0";"54,9";"59,4";"484257,06689999998";"4647052,05449999962";"2,80998109";"41,97530651"
"136";"4498";"02704498";"53,9";"42,3";"48,9";"53,4";"484266,37540000002";"4647050,46229999978";"2,81008977";"41,97528867"
"137";"4499";"02704499";"54,0";"42,3";"49,0";"53,5";"484266,67839999998";"4647052,22379999980";"2,81008972";"41,97530669"
"138";"4500";"02704500";"60,6";"48,5";"55,5";"60,0";"484256,22710000002";"4647056,08160000015";"2,80996891";"41,97534251"
"139";"4501";"02704501";"60,7";"48,5";"55,6";"60,1";"484266,64830000000";"4647077,73809999973";"2,81008905";"41,97553185"
"140";"4502";"02704502";"53,5";"42,2";"48,5";"53,1";"484276,83860000002";"4647070,47030000016";"2,81020994";"41,97546901"
"141";"4503";"02704503";"54,4";"43,3";"49,5";"54,1";"484277,91460000002";"4647071,61029999983";"2,81022198";"41,97547803"
"142";"4504";"02704504";"60,8";"48,6";"55,7";"60,2";"484268,42479999998";"4647080,11029999983";"2,81011311";"41,97555891"
"143";"4377";"02624377";"72,5";"61,0";"67,5";"72,1";"484228,53830000001";"4647061,09360000025";"2,80963082";"41,97538699"
"144";"4376";"02624376";"71,2";"59,8";"66,2";"70,8";"484232,25819999998";"4647084,58820000011";"2,80967848";"41,97559422"
"145";"4375";"02624375";"71,2";"59,7";"66,2";"70,8";"484236,62300000002";"4647107,32670000009";"2,80972615";"41,97580145"
"146";"4374";"02624374";"71,1";"59,5";"66,0";"70,6";"484239,64740000002";"4647118,09210000001";"2,80976206";"41,97590059"
"147";"4373";"02624373";"72,7";"61,2";"67,7";"72,3";"484242,10859999998";"4647125,87939999998";"2,80979808";"41,97596369"
"148";"4372";"02624372";"70,1";"58,6";"65,1";"69,6";"484245,16170000000";"4647131,45600000024";"2,80983413";"41,97601779"
"149";"4371";"02624371";"70,7";"59,3";"65,8";"70,3";"484251,28149999998";"4647144,29789999966";"2,80990621";"41,97613500"
"150";"4371";"03384371";"68,6";"57,2";"63,8";"68,2";"484262,62079999998";"4647143,76250000019";"2,81003900";"41,97612621"
"151";"4369";"01164369";"65,8";"53,5";"60,8";"65,2";"484282,96820000000";"4647144,20739999972";"2,81028038";"41,97613562"
"152";"4370";"01164370";"65,8";"52,9";"60,8";"65,0";"484292,36920000002";"4647149,51150000002";"2,81040095";"41,97618085"
"153";"4368";"00374368";"68,3";"56,3";"63,4";"67,8";"484292,57339999999";"4647166,94529999979";"2,81040049";"41,97633396"
"154";"4368";"01164368";"65,4";"52,1";"60,2";"64,5";"484302,27289999998";"4647157,17370000016";"2,81052144";"41,97625310"
"155";"4367";"01164367";"64,8";"51,5";"59,6";"63,9";"484308,27940000000";"4647160,43470000010";"2,81059378";"41,97628024"
"156";"4366";"01164366";"64,7";"51,5";"59,6";"63,9";"484313,11400000000";"4647163,05970000010";"2,81065405";"41,97630736"
"157";"4362";"01164362";"66,7";"53,9";"61,7";"65,9";"484296,86729999998";"4647148,10670000035";"2,81044926";"41,97617192"
"158";"4361";"01164361";"65,7";"52,5";"60,6";"64,9";"484319,53490000003";"4647160,69859999977";"2,81072655";"41,97628046"
"159";"4363";"01164363";"68,2";"55,9";"63,3";"67,6";"484324,53749999998";"4647171,31149999984";"2,81078661";"41,97637963"
"160";"4512";"06294512";"63,6";"50,2";"58,4";"62,7";"484287,60420000000";"4646833,16210000031";"2,81034904";"41,97333465"
"161";"4511";"06294511";"67,5";"53,5";"62,2";"66,5";"484309,82590000000";"4646845,08430000022";"2,81061425";"41,97344317"
"162";"4516";"03444516";"72,3";"58,1";"66,9";"71,3";"484314,27940000000";"4646858,86990000028";"2,81067425";"41,97356035"
"163";"4515";"03444515";"72,5";"58,4";"67,1";"71,5";"484303,17170000001";"4646880,49660000019";"2,81054090";"41,97375828"
"164";"4515";"01924515";"71,3";"57,2";"65,9";"70,3";"484294,38370000001";"4646889,30379999988";"2,81043203";"41,97383916"
"165";"4514";"01924514";"66,1";"52,4";"60,8";"65,1";"484289,34759999998";"4646873,40579999983";"2,81037211";"41,97369495"
"166";"4513";"01924513";"64,8";"51,4";"59,6";"63,9";"484281,06469999999";"4646847,25930000003";"2,81027625";"41,97346062"
"167";"4512";"01924512";"66,0";"52,5";"60,8";"65,1";"484275,56760000001";"4646829,90629999992";"2,81020431";"41,97329838"
"168";"4589";"06294589";"66,4";"52,7";"61,1";"65,4";"484289,43969999999";"4646820,43840000033";"2,81037353";"41,97321760"
"169";"4590";"06294590";"66,6";"52,7";"61,3";"65,6";"484301,88829999999";"4646827,00090000033";"2,81051818";"41,97328089"
"170";"4591";"06294591";"67,8";"53,9";"62,5";"66,8";"484311,19559999998";"4646831,90780000016";"2,81063877";"41,97331711"
"171";"4592";"06294592";"69,9";"55,8";"64,5";"68,9";"484319,93819999998";"4646836,55750000011";"2,81073519";"41,97336230"
"172";"4597";"06064597";"69,5";"55,4";"64,1";"68,5";"484347,76140000002";"4646785,85869999975";"2,81107450";"41,97290352"
"173";"4592";"03444592";"74,0";"59,8";"68,6";"73,0";"484327,77759999997";"4646832,69209999964";"2,81083185";"41,97332644"
"174";"4593";"03444593";"74,0";"59,8";"68,6";"73,0";"484334,42440000002";"4646819,70129999984";"2,81091669";"41,97320949"
"175";"7351";"00087351";"59,9";"47,1";"55,1";"59,2";"484804,36729999998";"4648996,30869999994";"2,81653312";"41,99282617"
"176";"7351";"00177351";"60,3";"47,7";"55,6";"59,6";"484807,23220000003";"4648984,09310000017";"2,81656965";"41,99271814"
"177";"7348";"00177348";"57,3";"44,4";"52,4";"56,5";"484828,03120000003";"4648983,55649999995";"2,81682321";"41,99270954"
"178";"7347";"00177347";"57,2";"44,3";"52,4";"56,5";"484834,71529999998";"4648983,38659999985";"2,81689565";"41,99270966"
"179";"7346";"00177346";"57,2";"44,3";"52,3";"56,4";"484844,68109999999";"4648983,12579999957";"2,81701639";"41,99270985"
"180";"7345";"00177345";"58,2";"45,5";"53,5";"57,5";"484863,88449999999";"4648982,61890000012";"2,81724580";"41,99270121"
