"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits extraordinaris";"Suplements de crèdit";"Ampliacions de crèdit";"Transferències positives";"Trasferències negatives";"Romanents incorporats";"Baixes per anul·lació";"Crèdits totals consignats";"Despeses autoritzades";"Saldo de crèdits disponibles";"% de realització del pressupost"
"100";"92031";"22612";"OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"63.154,40";"3.909,04";"0,00";"0,00";"0,00";"0,00";"28.800,51";"32.709,55";"0,00";"67.063,44";"58.333,69";"8.729,75";"86,98"
"100";"92041";"22712";"OFICINA DE L'OBSERVATORI";"13.386,90";"24.656,74";"0,00";"0,00";"0,00";"0,00";"22.858,13";"47.514,87";"0,00";"38.043,64";"2.610,51";"35.433,13";"6,86"
"100";"92051";"22601";"DESENVOLUPAMENT INTEL·LIGENT";"144.000,00";"10.794,42";"0,00";"0,00";"0,00";"103,44";"0,00";"10.690,98";"0,00";"154.794,42";"131.589,47";"23.204,95";"85,01"
"100";"92051";"22615";"GIRONA CIUTAT DIGITAL";"60.000,00";"-23.326,78";"0,00";"0,00";"0,00";"0,00";"26.257,08";"2.930,30";"0,00";"36.673,22";"29.669,62";"7.003,60";"80,90"
"100";"92051";"48000";"SUBVENCIONS GIRONA CIUTAT DIGITAL";"0,00";"35.800,00";"0,00";"0,00";"0,00";"24.300,00";"0,00";"11.500,00";"0,00";"35.800,00";"26.300,00";"9.500,00";"73,46"
"100";"92221";"22619";"DESPESES RELACIONS INSTITUCIONALS";"75.000,00";"-47.071,14";"0,00";"0,00";"0,00";"0,00";"58.863,64";"7.084,58";"0,00";"27.928,86";"24.759,96";"3.168,90";"88,65"
"100";"92222";"46600";"ASSOCIACIÓ DE MUNICIPIS DE CATALUNYA";"13.615,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"13.615,00";"13.615,00";"0,00";"100,00"
"100";"92223";"46600";"FEDERACIÓ DE MUNICIPIS";"13.615,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"13.615,00";"13.615,00";"0,00";"100,00"
"100";"92224";"46600";"ASSOCIACIÓ DE MUNICIPIS PER A LA INDEPENDÈNCIA";"0,00";"8.169,00";"0,00";"0,00";"0,00";"8.169,00";"0,00";"0,00";"0,00";"8.169,00";"8.169,00";"0,00";"100,00"
"100";"92224";"48000";"TRANSFERÈNCIES UNIVERSITAT DE GIRONA";"24.040,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"24.040,00";"24.040,00";"0,00";"100,00"
