FID,GEOCODIGO,CAPACIDAD,UNI_CAPACI,UTM_X,UTM_Y,GRAD_X,GRAD_Y
21.0,SC034,3.0,3 Metros cúbicos,374046.503363,3148190.15022,-16.2863986461,28.4541845988
22.0,SC030,3.0,3 Metros cúbicos,374282.577107,3148641.45363,-16.2840372737,28.4582801224
23.0,SC029,3.0,3 Metros cúbicos,375087.793804,3148892.72712,-16.2758419608,28.4606250917
24.0,SC004,3.0,3 Metros cúbicos,375560.147788,3148575.37467,-16.2709840928,28.4578063139
25.0,SC026,3.0,3 Metros cúbicos,375342.166692,3148228.95947,-16.2731725621,28.4546592893
26.0,SC115,3.0,3 Metros cúbicos,375272.75462,3148292.40986,-16.273888212,28.4552252596
27.0,SC007,3.0,3 Metros cúbicos,375947.095093,3149944.59795,-16.2671801521,28.4701996869
28.0,SC114,3.0,3 Metros cúbicos,375189.115788,3148220.85419,-16.2747345278,28.4545715088
29.0,SC041,3.0,3 Metros cúbicos,375339.017324,3149003.6425,-16.2732885046,28.4616500804
30.0,SC045,3.0,3 Metros cúbicos,375447.014996,3149652.77951,-16.2722558063,28.4675185041
31.0,SC044,3.0,3 Metros cúbicos,375776.372469,3149436.30553,-16.2688688978,28.4655963666
32.0,SC113,3.0,3 Metros cúbicos,375891.069293,3149142.46451,-16.2676659262,28.4629555306
33.0,SC005,3.0,3 Metros cúbicos,376447.407725,3149974.77334,-16.2620737966,28.4705195179
34.0,SC053,3.0,3 Metros cúbicos,376893.489918,3148686.26008,-16.2573803628,28.4589335308
35.0,SC051,3.0,3 Metros cúbicos,376407.619301,3148923.49059,-16.2623673815,28.4610284633
36.0,SC052,3.0,3 Metros cúbicos,376826.38883,3148819.33794,-16.2580798036,28.4601281573
37.0,SC050,3.0,3 Metros cúbicos,376108.821045,3148842.81621,-16.2654100119,28.4602720675
38.0,SC058,3.0,3 Metros cúbicos,377116.135918,3148969.08163,-16.2551369131,28.4615068548
39.0,SC102,3.0,3 Metros cúbicos,377116.190342,3148969.00681,-16.2551363494,28.4615061847
40.0,SC010,3.0,3 Metros cúbicos,376736.12911,3149799.25521,-16.2591063491,28.468962889
41.0,SC016,3.0,3 Metros cúbicos,376969.575102,3149470.12619,-16.2566870869,28.4660147155
42.0,SC110,3.0,3 Metros cúbicos,376733.26579,3148991.30961,-16.2590491559,28.4616713173
43.0,SC107,3.0,3 Metros cúbicos,376534.448517,3149617.06178,-16.2611465257,28.4672996027
44.0,SC009,3.0,3 Metros cúbicos,376663.135821,3149602.59975,-16.259830754,28.4671812704
45.0,SC008,3.0,3 Metros cúbicos,376133.182021,3149727.50547,-16.2652563426,28.4682582375
46.0,SC011,3.0,3 Metros cúbicos,376962.817262,3149949.47615,-16.2568072946,28.4703399711
47.0,SC043,3.0,3 Metros cúbicos,376229.209437,3149331.49869,-16.2642331109,28.4646936042
48.0,SC017,3.0,3 Metros cúbicos,377297.977134,3149398.55248,-16.253325681,28.4653997441
49.0,SC055,3.0,3 Metros cúbicos,377368.53191,3149142.07749,-16.2525778535,28.4630918185
50.0,SC020,3.0,3 Metros cúbicos,377839.743063,3149722.21746,-16.2478272732,28.4683715397
51.0,SC036,3.0,3 Metros cúbicos,374257.611595,3148097.22035,-16.2842328475,28.4533663266
52.0,SC117,3.0,3 Metros cúbicos,377537.397054,3149810.63952,-16.2509244353,28.4691411408
53.0,SC018,3.0,3 Metros cúbicos,377410.190166,3149842.14804,-16.2522269198,28.4694135344
54.0,SC101,3.0,3 Metros cúbicos,377237.302662,3149734.74006,-16.2539811335,28.4684279613
55.0,SC106,3.0,3 Metros cúbicos,377178.916326,3149681.88992,-16.2545717792,28.4679455157
56.0,SC057,3.0,3 Metros cúbicos,377225.237366,3149347.83085,-16.2540631224,28.4649351589
57.0,SC118,3.0,3 Metros cúbicos,377812.123463,3149431.80717,-16.248078544,28.4657481348
58.0,SC056,3.0,3 Metros cúbicos,377640.982342,3149052.69168,-16.2497860533,28.4623107469
59.0,SC019,3.0,3 Metros cúbicos,377175.178278,3149593.40684,-16.2546005213,28.4671466473
60.0,SC039,3.0,3 Metros cúbicos,373934.463675,3147553.99067,-16.2874731495,28.4484328094
61.0,SC201,3.0,3 Metros cúbicos,375233.131812,3150268.55436,-16.2745067839,28.4730550734
62.0,SC048,3.0,3 Metros cúbicos,374982.257724,3150117.24054,-16.2770525437,28.471665516
63.0,SC047,3.0,3 Metros cúbicos,375241.794508,3150343.43108,-16.2744264222,28.4737316224
64.0,SC046,3.0,3 Metros cúbicos,375411.54302,3150091.46113,-16.2726655082,28.4714739717
65.0,SC006,3.0,3 Metros cúbicos,376084.663509,3150217.499,-16.265804553,28.4726755562
66.0,SC012,3.0,3 Metros cúbicos,377049.993382,3149786.35153,-16.2558995682,28.4688760779
67.0,SC116,3.0,3 Metros cúbicos,377047.29367,3148993.89028,-16.2558425767,28.461724252
68.0,SC200,3.0,3 Metros cúbicos,375579.514172,3149695.61184,-16.2709072827,28.4679176937
69.0,SC109,3.0,3 Metros cúbicos,375579.56322,3149695.61035,-16.2709067816,28.4679176849
70.0,SC049,3.0,3 Metros cúbicos,374923.023196,3149966.59774,-16.2776411418,28.4703003695
71.0,SC075,3.0,3 Metros cúbicos,371661.456785,3147100.99944,-16.3106314065,28.4441232756
72.0,SC103,3.0,3 Metros cúbicos,376976.362414,3150653.70124,-16.2567441823,28.4766965233
73.0,SC078,3.0,3 Metros cúbicos,369963.825839,3147614.77679,-16.328022249,28.4485916942
74.0,SC122,3.0,3 Metros cúbicos,371541.815337,3144983.29407,-16.3116172333,28.4250005926
75.0,SC054,3.0,3 Metros cúbicos,377152.636542,3148759.61204,-16.254741841,28.459619932
76.0,SC060,3.0,3 Metros cúbicos,378009.759999,3150693.706,-16.2461938375,28.4771546866
77.0,SC120,3.0,3 Metros cúbicos,369294.121751,3144710.65216,-16.3345312948,28.4223171934
78.0,SC040,3.0,3 Metros cúbicos,375797.004229,3148607.53218,-16.2685688781,28.4581190949
79.0,SC097,3.0,3 Metros cúbicos,371414.703601,3146514.3531,-16.3130853929,28.4388048935
80.0,SC077,3.0,3 Metros cúbicos,370929.19268,3146870.39151,-16.3180820834,28.4419699807
81.0,SC085,3.0,3 Metros cúbicos,370630.973792,3145967.52485,-16.3210256278,28.4337927059
82.0,SC087,3.0,3 Metros cúbicos,370831.056112,3146062.67332,-16.3189936217,28.4346711668
83.0,SC024,3.0,3 Metros cúbicos,376866.514798,3148458.66115,-16.2576315123,28.4568770156
84.0,SC091,3.0,3 Metros cúbicos,371612.365345,3145718.74541,-16.310978833,28.4316445071
85.0,SC095,3.0,3 Metros cúbicos,373149.241786,3144969.47567,-16.2952066129,28.425032998
86.0,SC092,3.0,3 Metros cúbicos,372020.931945,3144176.80054,-16.3066369007,28.4177695201
87.0,SC086,3.0,3 Metros cúbicos,370490.05608,3146355.52088,-16.3225078102,28.437280131
88.0,SC023,3.0,3 Metros cúbicos,376949.359294,3148373.66089,-16.2567764686,28.4561177476
89.0,SC076,3.0,3 Metros cúbicos,371311.069377,3146832.97504,-16.3141789952,28.441670031
90.0,SC042,3.0,3 Metros cúbicos,376198.733877,3149063.57762,-16.2645155513,28.4622728631
91.0,SC202,3.0,3 Metros cúbicos,369720.096407,3147557.2456,-16.3305043385,28.448048205
92.0,SC072,3.0,3 Metros cúbicos,373689.101643,3147298.23024,-16.2899504333,28.4461009933
93.0,SC080,3.0,3 Metros cúbicos,371664.287849,3146819.10105,-16.3105711392,28.4415796065
94.0,SC084,3.0,3 Metros cúbicos,370653.552584,3145689.4819,-16.3207639592,28.4312857948
95.0,SC082,3.0,3 Metros cúbicos,372262.198089,3146508.11942,-16.3044321178,28.4388318483
96.0,SC025,3.0,3 Metros cúbicos,375095.066708,3147854.76086,-16.2756552261,28.4512587146
97.0,SC021,3.0,3 Metros cúbicos,377872.064879,3150263.80362,-16.2475546014,28.4732621271
98.0,SC035,3.0,3 Metros cúbicos,373824.305163,3147888.64928,-16.2886345534,28.4514422585
99.0,SC098,3.0,3 Metros cúbicos,374392.063179,3147275.71208,-16.2827704648,28.4459656335
100.0,SC112,3.0,3 Metros cúbicos,376286.419645,3149450.76636,-16.2636616705,28.4657753619
101.0,SC093,3.0,3 Metros cúbicos,372296.370297,3144127.26925,-16.30381986,28.4173494823
102.0,SC038,3.0,3 Metros cúbicos,374395.140043,3147840.50784,-16.2828005646,28.4510628918
103.0,SC111,3.0,3 Metros cúbicos,374395.148459,3147840.62748,-16.2828004917,28.4510639723
104.0,SC032,3.0,3 Metros cúbicos,374436.710787,3149382.16249,-16.2825440289,28.4649794362
105.0,SC027,3.0,3 Metros cúbicos,375058.056108,3148163.08031,-16.2760665498,28.4540375849
106.0,SC013,3.0,3 Metros cúbicos,377463.042726,3150200.28891,-16.2517252477,28.4726505501
107.0,SC062,3.0,3 Metros cúbicos,377987.364039,3150834.89876,-16.2464375404,28.4784267872
108.0,SC119,3.0,3 Metros cúbicos,376599.717677,3151457.55345,-16.2606771781,28.4839152548
109.0,SC063,3.0,3 Metros cúbicos,378318.502663,3151059.4644,-16.2430791335,28.4804843485
110.0,SC068,3.0,3 Metros cúbicos,383264.7539,3153547.31355,-16.1928105815,28.5033889069
111.0,SC064,3.0,3 Metros cúbicos,378922.800864,3151811.19985,-16.2369859705,28.4873247101
112.0,SC066,3.0,3 Metros cúbicos,380003.511657,3152381.65511,-16.2260064507,28.4925728244
113.0,SC067,3.0,3 Metros cúbicos,379994.226561,3152956.42979,-16.2261612542,28.4977590622
114.0,SC125,3.0,3 Metros cúbicos,381056.250122,3152700.95851,-16.215285607,28.4955509804
115.0,SC069,3.0,3 Metros cúbicos,383457.652188,3153736.19518,-16.1908590232,28.5051107853
116.0,SC100,3.0,3 Metros cúbicos,377930.914607,3157787.78874,-16.2477523759,28.5411676913
117.0,SC001,3.0,3 Metros cúbicos,383609.102132,3154402.91362,-16.1893792398,28.511141252
118.0,SC070,3.0,3 Metros cúbicos,386925.504671,3155852.10628,-16.1556378196,28.5245122639
119.0,SC061,3.0,3 Metros cúbicos,378218.362479,3150876.66336,-16.2440826171,28.4788253004
120.0,SC065,3.0,3 Metros cúbicos,378745.776351,3152097.08653,-16.2388243169,28.4898882387
121.0,SC108,3.0,3 Metros cúbicos,383044.417075,3154131.75266,-16.1951210471,28.5086434933
122.0,SC124,3.0,3 Metros cúbicos,378004.716247,3151470.22,-16.2463276326,28.4841618796
123.0,SC071,3.0,3 Metros cúbicos,381011.145786,3159746.86169,-16.2164763023,28.5591330307
124.0,SC073,3.0,3 Metros cúbicos,372654.037978,3147144.98069,-16.3005018786,28.4446174126
125.0,SC074,3.0,3 Metros cúbicos,372269.940937,3147102.91591,-16.304418922,28.4442002674
126.0,SC089,3.0,3 Metros cúbicos,372119.398177,3145008.17404,-16.3057238613,28.4252817989
127.0,SC079,3.0,3 Metros cúbicos,371047.929664,3147140.35538,-16.316899973,28.4444179574
