FID,TIPO,CVIA,DIRECCION,CVIA_1,TEXTO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
45.0,PLÁSTICA,10448,CTRA ROQUE NEGRO 30,10448,CARRETERA ROQUE NEGRO,377912.86127,3157529.59747,-16.2479094137,28.5388359656
46.0,PLÁSTICA,10448,CTRA ROQUE NEGRO 49,10448,CARRETERA ROQUE NEGRO,378006.151439,3157893.40763,-16.2469947043,28.5421279058
47.0,PLÁSTICA,10448,CTRA ROQUE NEGRO 68,10448,CARRETERA ROQUE NEGRO,378048.475434,3157988.60728,-16.2465722775,28.5429910008
48.0,PLÁSTICA,10448,CTRA ROQUE NEGRO 55,10448,CARRETERA ROQUE NEGRO,378018.706252,3157998.51488,-16.2468775679,28.5430776177
49.0,PLÁSTICA,42286,CMNO DE TABORNO 43,10480,CAMINO EL MONTECILLO,376247.988986,3159484.5943,-16.2651343175,28.5563211416
50.0,PLÁSTICA,10512,CMNO LA PANADERITA 19,10512,CAMINO LA PANADERITA,378935.13564,3157137.12494,-16.2374208936,28.535389717
51.0,PLÁSTICA,10512,CMNO LA PANADERITA 7,10512,CAMINO LA PANADERITA,379042.205907,3157178.11741,-16.2363310416,28.5357696186
52.0,PLÁSTICA,10522,CTRA EL BAILADERO 22,10522,CARRETERA EL BAILADERO,378994.617495,3157186.97935,-16.2368182922,28.5358451646
53.0,PLÁSTICA,10522,CTRA EL BAILADERO 1,10522,CARRETERA EL BAILADERO,379310.764857,3157311.37505,-16.233600585,28.5369971594
54.0,PLÁSTICA,10522,CTRA EL BAILADERO 1,10522,CARRETERA EL BAILADERO,379301.104727,3157319.20921,-16.233700129,28.5370669618
55.0,PLÁSTICA,10534,CTRA CHAMORGA 2,10556,CAMINO LA PLAZA DE CHAMORGA,386626.394534,3160760.51069,-16.1591792378,28.5687832067
56.0,PLÁSTICA,52787,CALLE VALERIANA 22,10205,CALLE LOS BREZOS,369685.391311,3144214.80335,-16.3304812951,28.4178815984
57.0,PLÁSTICA,10182,CALLE PALO BLANCO 26,10205,CALLE LOS BREZOS,369813.972797,3144098.40803,-16.3291556797,28.4168440303
58.0,PLÁSTICA,10205,CALLE LOS BREZOS 4,10205,CALLE LOS BREZOS,369756.594553,3144148.13846,-16.3297469704,28.4172870944
59.0,PLÁSTICA,44753,CALLE JOSE DE ZARATE Y PENICHET 11,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,378090.333359,3151152.07194,-16.2454194299,28.4812987605
60.0,PLÁSTICA,57622,CALLE GALDAR 19,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,378106.329098,3151148.47971,-16.24525567,28.4812678388
61.0,PLÁSTICA,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO 2,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,378024.449567,3151263.40692,-16.2461041588,28.4822973393
62.0,PLÁSTICA,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO 2,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,378027.117024,3151245.19229,-16.2460749834,28.4821332108
63.0,PLÁSTICA,10400,CALLE FERNANDO H. GUZMAN 27,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,378074.333785,3151195.25675,-16.245587422,28.4816869857
64.0,PLÁSTICA,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO 7,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,377969.824433,3151344.90498,-16.2466707406,28.4830277049
65.0,PLÁSTICA,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO 11,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,377928.239606,3151407.11545,-16.2471020891,28.4835852287
66.0,PLÁSTICA,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO 11,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,377940.095322,3151373.95681,-16.2469774771,28.4832870988
67.0,PLÁSTICA,10381,CALLE DOCTOR JAIME CHAVEZ 4,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,377985.525504,3151302.72359,-16.2465058975,28.4826485088
68.0,PLÁSTICA,10497,CALLE PINTOR JOSE AGUIAR 2,10497,CALLE PINTOR JOSE AGUIAR,377389.590627,3150449.39411,-16.2525019391,28.4748916945
69.0,PLÁSTICA,10273,RBLA DE SANTA CRUZ 107,10497,CALLE PINTOR JOSE AGUIAR,377390.692437,3150425.43694,-16.2524881355,28.4746755966
70.0,PLÁSTICA,10499,CALLE MAYANTIGO 3,10499,CALLE MAYANTIGO,372334.252914,3144143.66874,-16.3034349834,28.4175011802
71.0,PLÁSTICA,10499,CALLE MAYANTIGO 14,10499,CALLE MAYANTIGO,372436.697136,3144093.47586,-16.3023837323,28.4170582258
72.0,PLÁSTICA,10669,CALLE PELINOR 9,10499,CALLE MAYANTIGO,372528.889669,3143974.33806,-16.3014295256,28.4159920755
73.0,PLÁSTICA,10669,CALLE PELINOR 13,10499,CALLE MAYANTIGO,372578.905658,3144006.61082,-16.3009225501,28.4162881969
74.0,PLÁSTICA,10669,CALLE PELINOR 18,10499,CALLE MAYANTIGO,372631.446606,3144045.51315,-16.3003905293,28.4166443907
75.0,PLÁSTICA,10669,CALLE PELINOR 49,10499,CALLE MAYANTIGO,372383.887669,3144014.79316,-16.3029140941,28.4163430041
76.0,PLÁSTICA,10499,CALLE MAYANTIGO 23,10499,CALLE MAYANTIGO,372370.158196,3143929.70661,-16.3030448362,28.4155738075
77.0,PLÁSTICA,10499,CALLE MAYANTIGO 31,10499,CALLE MAYANTIGO,372438.310633,3143894.45774,-16.3023452847,28.4152623628
78.0,PLÁSTICA,10499,CALLE MAYANTIGO 39,10499,CALLE MAYANTIGO,372464.410608,3143956.76361,-16.3020857515,28.4158271842
79.0,PLÁSTICA,10499,CALLE MAYANTIGO 10,10499,CALLE MAYANTIGO,372412.642966,3144138.37307,-16.3026342256,28.4174610475
80.0,PLÁSTICA,21166,CALLE ANDAMIO 3,10174,CARRETERA CUEVA ROJA,376035.50687,3150442.6186,-16.2663308215,28.4747024647
81.0,PLÁSTICA,10174,CARRETERA CUEVA ROJA 69,10174,CARRETERA CUEVA ROJA,375796.722893,3150466.95197,-16.2687721982,28.4748993273
82.0,PLÁSTICA,21247,CALLE CERRADURA 2,10174,CARRETERA CUEVA ROJA,375842.693444,3150477.27599,-16.2683038033,28.4749968758
83.0,PLÁSTICA,10194,CALLE EL TIL 10,10194,CALLE EL TIL,369919.995781,3144145.08815,-16.3280787162,28.4172758464
84.0,PLÁSTICA,10194,CALLE EL TIL 20,10194,CALLE EL TIL,369879.044983,3144108.46922,-16.3284925945,28.416941308
85.0,PLÁSTICA,10184,CALLE SANTA ROSA DE LIMA 12,10184,CALLE SANTA ROSA DE LIMA,377650.581941,3149867.20312,-16.2497745138,28.4696622275
86.0,PLÁSTICA,10184,CALLE SANTA ROSA DE LIMA 19,10184,CALLE SANTA ROSA DE LIMA,377695.701617,3149959.79581,-16.2493235462,28.4705020661
87.0,PLÁSTICA,21294,CALLE DOMINGO J MANRIQUE 25,21294,CALLE DOMINGO J MANRIQUE,375895.794428,3149854.74819,-16.267694395,28.4693839586
88.0,PLÁSTICA,30343,CALLE PROSPERIDAD 102,21294,CALLE DOMINGO J MANRIQUE,375982.178927,3149978.28838,-16.2668254755,28.470507063
89.0,PLÁSTICA,21294,CALLE DOMINGO J MANRIQUE 5,21294,CALLE DOMINGO J MANRIQUE,375941.570645,3149915.60306,-16.2672334495,28.4699374979
90.0,PLÁSTICA,21425,CALLE RAMON GIL ROLDAN 24,21367,PUENTE JAVIER DE LOÑO PEREZ,375896.063037,3149829.3152,-16.2676889118,28.4691544652
91.0,PLÁSTICA,21367,PUENTE JAVIER DE LOÑO PEREZ 3,21367,PUENTE JAVIER DE LOÑO PEREZ,375847.458818,3149830.53178,-16.2681854224,28.4691608164
92.0,PLÁSTICA,21367,PUENTE JAVIER DE LOÑO PEREZ 3,21367,PUENTE JAVIER DE LOÑO PEREZ,375801.396709,3149862.50394,-16.268659287,28.4694449603
93.0,PLÁSTICA,21367,PUENTE JAVIER DE LOÑO PEREZ 3,21367,PUENTE JAVIER DE LOÑO PEREZ,375842.184996,3149848.23209,-16.2682411899,28.4693200498
94.0,PLÁSTICA,54902,CMNO LA ERMITA 2C,21367,PUENTE JAVIER DE LOÑO PEREZ,375734.635053,3149886.32861,-16.2693436742,28.4696536029
95.0,PLÁSTICA,21603,CALLE GUANICHEMAR 34,21367,PUENTE JAVIER DE LOÑO PEREZ,375750.116325,3149865.28997,-16.269183299,28.4694652163
96.0,PLÁSTICA,21375,CALLE LAS LECHERAS 22,21375,CALLE LAS LECHERAS,375792.319055,3150307.27066,-16.2687999545,28.4734578718
97.0,PLÁSTICA,21402,CALLE MONTURRIO 10,21402,CALLE MONTURRIO,375796.13068,3150358.60728,-16.2687665622,28.4739215197
98.0,PLÁSTICA,20445,CALLE CALDERON DE LA BARCA 7,20476,PARQUE DON QUIJOTE,376751.979135,3148822.32717,-16.258839984,28.4601481038
99.0,PLÁSTICA,20503,CALLE PEPITA SERRADOR 10,20476,PARQUE DON QUIJOTE,376695.791562,3148885.08501,-16.2594204775,28.4607091508
100.0,PLÁSTICA,20236,AVENIDA BENITO PEREZ ARMAS 25,31095,PARQUE LA GRANJA,375930.908556,3149097.57023,-16.2672542506,28.4625541747
101.0,PLÁSTICA,32574,PLAZA VEINTINUEVE DE MAYO 5,32574,PLAZA VEINTINUEVE DE MAYO,375794.894011,3149439.26041,-16.2686800681,28.4656247972
102.0,PLÁSTICA,40121,CALLE DENIZ 8,40121,CALLE DENIZ,380010.253973,3152797.42914,-16.2259809397,28.4963256273
103.0,PLÁSTICA,40121,CALLE DENIZ 2,40121,CALLE DENIZ,379977.225735,3152794.00561,-16.2263179812,28.4962916877
104.0,PLÁSTICA,40202,CALLE SAN JUAN EVANGELISTA 38,40202,CALLE SAN JUAN EVANGELISTA,379967.555201,3152448.76522,-16.2263807505,28.493175151
105.0,PLÁSTICA,40202,CALLE SAN JUAN EVANGELISTA 1,40202,CALLE SAN JUAN EVANGELISTA,379938.704097,3152307.98444,-16.2266607792,28.4919020056
106.0,PLÁSTICA,40202,CALLE SAN JUAN EVANGELISTA 4,40202,CALLE SAN JUAN EVANGELISTA,379944.062847,3152277.28311,-16.2266028361,28.4916254332
107.0,PLÁSTICA,40202,CALLE SAN JUAN EVANGELISTA 21,40202,CALLE SAN JUAN EVANGELISTA,379956.229866,3152436.74593,-16.2264951865,28.4930656382
108.0,PLÁSTICA,40202,CALLE SAN JUAN EVANGELISTA 37,40202,CALLE SAN JUAN EVANGELISTA,379971.330724,3152512.30936,-16.226348812,28.4937489574
109.0,PLÁSTICA,40202,CALLE SAN JUAN EVANGELISTA 31,40202,CALLE SAN JUAN EVANGELISTA,379961.400289,3152476.26705,-16.2264464931,28.4934227759
110.0,PLÁSTICA,40217,CALLE SANTIAGO RAYCO 4,40217,CALLE SANTIAGO RAYCO,379981.030255,3152765.7099,-16.2262761642,28.4960366818
111.0,PLÁSTICA,40554,CALLE LAS GEMELAS 7,40554,CALLE LAS GEMELAS,383674.771425,3154586.33217,-16.1887268567,28.5128024155
112.0,PLÁSTICA,40627,CALLE NILA 1A,40627,CALLE NILA,383645.42684,3154543.58454,-16.1890223486,28.5124140089
113.0,PLÁSTICA,40627,CALLE NILA 4,40627,CALLE NILA,383671.54555,3154447.98962,-16.1887458154,28.5115536313
114.0,PLÁSTICA,40627,CALLE NILA 18,40627,CALLE NILA,383708.297955,3154579.38174,-16.1883836066,28.5127426867
115.0,PLÁSTICA,40627,CALLE NILA 6A,40627,CALLE NILA,383656.841301,3154482.12974,-16.1888995051,28.5118604201
116.0,PLÁSTICA,40643,CALLE PIMENTEL 2,40643,CALLE PIMENTEL,383609.364647,3154447.12348,-16.1893810341,28.5115402549
117.0,PLÁSTICA,40643,CALLE PIMENTEL 8,40643,CALLE PIMENTEL,383597.557059,3154483.40933,-16.1895053474,28.5118666665
118.0,PLÁSTICA,40701,CALLE SAN MANUEL 10,40701,CALLE SAN MANUEL,383711.942309,3154551.76874,-16.1883435779,28.5124938142
