FID,IDPUNTODEL,Calle,TipoSoport,AlturaSop,DIRECCION,Distance,UTM_X,UTM_Y,GRAD_X,GRAD_Y
46.0,10120308,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 57,5.71333795,377599.723229,3150378.83684,-16.250348293,28.4742747011
47.0,10120310,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 65,5.772081,377641.645866,3150428.48086,-16.2499254012,28.4747266505
48.0,10120311,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 71,8.2760959,377662.394076,3150453.49239,-16.2497161506,28.4749543151
49.0,10100213,Rambla de SANTA CRUZ,COLUMNA,8.0,CALLE MENDEZ NUÑEZ 114,25.66507592,377693.1548,3150505.06897,-16.2494074593,28.4754226556
50.0,10120313,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 114,15.66997928,377701.853506,3150500.10483,-16.2493180891,28.475378673
51.0,10100210,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 142,4.45628774,377628.079013,3150478.25257,-16.250069252,28.4751745423
52.0,10100211,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 144,3.11063959,377649.897801,3150487.12088,-16.2498473516,28.4752566228
53.0,10100409,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 119,4.12565157,377509.321783,3150460.7731,-16.2512802995,28.475005643
54.0,10100206,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 136,5.76467958,377519.731811,3150434.15792,-16.2511711481,28.4747664324
55.0,10100205,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 132,4.76389445,377498.090033,3150425.27618,-16.251391237,28.4746842451
56.0,10100204,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 126,3.15524123,377476.40543,3150416.47191,-16.2516117713,28.4746027526
57.0,10100203,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 122,4.58202172,377454.64498,3150407.72806,-16.2518330862,28.474521798
58.0,10100406,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 109,7.71846197,377444.237229,3150434.09864,-16.2519421895,28.4747588009
59.0,10100407,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 111,4.53556909,377465.744828,3150443.06007,-16.2517234798,28.4748416956
60.0,10020409,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 104,5.64036237,377021.713385,3150149.60882,-16.2562271647,28.472151626
61.0,10020410,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 106,7.24718419,377038.380648,3150162.2077,-16.2560582867,28.4722668968
62.0,10140214,MARINA (LA),COLUMNA,8.0,CALLE LA MARINA 69,11.48364019,377880.520041,3150190.46108,-16.2474604712,28.4726010385
63.0,10140213,MARINA (LA),COLUMNA,8.0,CALLE LA MARINA 77,11.6157084,377877.653038,3150210.39226,-16.2474918654,28.4727806393
64.0,10140212,MARINA (LA),COLUMNA,8.0,CALLE LA MARINA 81,11.28769777,377871.756869,3150229.75376,-16.2475541366,28.4729548153
65.0,10130101,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 147,7.35560122,377740.726441,3150554.95028,-16.2489268886,28.4758772736
66.0,20020307,TOME CANO,BACULO,10.0,CALLE TOME CANO 7,20.71483131,376441.469016,3148708.76738,-16.2619986912,28.4590939039
67.0,20020306,TOME CANO,BACULO,10.0,CALLE TOME CANO 7,17.2600236,376446.610759,3148689.10336,-16.2619440771,28.4589169332
68.0,20020317,TOME CANO,BACULO,10.0,CALLE TOME CANO 9,25.39981856,376456.199391,3148649.53331,-16.2618419193,28.4585607419
69.0,20020318,TOME CANO,BACULO,10.0,CALLE TOME CANO 9,18.67741664,376466.33821,3148610.08282,-16.2617341567,28.4582056815
70.0,10010602,Rambla de SANTA CRUZ,FACHADA,0.0,CALLE DEL PERDON 2,10.41059861,376630.812524,3149836.02134,-16.2601858528,28.4692847233
71.0,10010601,Rambla de SANTA CRUZ,FACHADA,0.0,RBLA DE SANTA CRUZ 31,7.16280732,376644.62316,3149851.30127,-16.2600464447,28.4694239236
72.0,10020206,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 33,11.17693384,376695.110982,3149908.15004,-16.2595369107,28.4699417309
73.0,1004AT254,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 2,5.54727225,377052.632996,3149708.07668,-16.255864257,28.4681699361
74.0,1004AT206,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 10,6.20405006,377079.412402,3149739.99076,-16.2555941738,28.46846047
75.0,1004AT216,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 10,14.50148428,377076.00913,3149752.40876,-16.2556302553,28.4685722153
76.0,1004AT208,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 12,12.55771297,377111.538178,3149779.45528,-16.2552702938,28.4688196462
77.0,10050305,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 18,15.47510532,377164.007365,3149859.19141,-16.2547429438,28.4695441701
78.0,20050101,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 60,6.42738076,377409.226,3149220.08129,-16.2521705774,28.4637995925
79.0,20050109,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 88,3.94187295,377143.242455,3149209.47283,-16.2548857296,28.4636788231
80.0,20050113,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 108,8.14765951,377002.991761,3149204.73694,-16.2563174928,28.4636228624
81.0,20050402,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 55,3.51698223,377321.216936,3149205.64647,-16.2530678092,28.4636610482
82.0,20050403,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 61,5.52308989,377285.975272,3149204.259,-16.2534275568,28.4636452109
83.0,20050405,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 71,3.94255828,377197.566297,3149201.0956,-16.2543300704,28.4636083398
84.0,20050602,JOSE HERNANDEZ ALFONSO - PLAZA,COLUMNA,12.0,AVENIDA SAN SEBASTIAN 53,36.11055291,377379.8888,3149163.554,-16.2524641604,28.4632867025
85.0,20050406,SAN SEBASTIAN,BACULO,9.0,AVENIDA SAN SEBASTIAN 73,4.31735193,377161.991005,3149200.44246,-16.2546933029,28.4635990948
86.0,20240401,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 8,33.39017229,376288.628079,3149023.53983,-16.2635932503,28.4619200746
87.0,20240402,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 8,14.32011261,376283.474039,3149003.08992,-16.2636436881,28.4617350359
88.0,20240403,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 8,11.37880814,376278.491623,3148982.89822,-16.2636924007,28.4615523435
89.0,20240404,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 8,30.4489576,376273.452558,3148961.32855,-16.2637415438,28.4613572103
90.0,20240408,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 12,33.157896,376248.395607,3148859.34834,-16.2639864736,28.460434514
91.0,20240409,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 12,13.8100986,376243.640578,3148839.13128,-16.2640328604,28.4602516143
92.0,20240410,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 12,9.94576812,376238.794894,3148819.74821,-16.2640802624,28.4600762322
93.0,20240411,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 12,28.40794129,376233.317058,3148799.52253,-16.2641340291,28.459893186
94.0,20240336,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 33,16.41211041,376280.197923,3148874.76774,-16.2636633681,28.4605766835
95.0,20240335,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 33,6.8271957,376275.364528,3148854.41706,-16.2637105414,28.4603925706
96.0,20240407,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 33,35.558773,376253.520669,3148879.8486,-16.2639363384,28.4606200046
97.0,20240334,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 35,17.44171302,376270.217458,3148834.20747,-16.2637609329,28.4602097011
98.0,20240333,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 35,9.3528039,376265.191716,3148813.802,-16.2638100643,28.4600250754
99.0,20020314,TOME CANO,BACULO,10.0,CALLE TOME CANO 10,8.75456254,376445.42758,3148625.66142,-16.2619493588,28.4583442897
100.0,20020313,TOME CANO,BACULO,10.0,CALLE TOME CANO 10,8.65819079,376442.923188,3148635.75043,-16.2619760143,28.4584351007
101.0,20210510,TOME CANO,COLUMNA,10.0,CALLE TOME CANO 5,15.09158548,376431.806774,3148747.52137,-16.2621015143,28.4594427236
102.0,20210509,TOME CANO,COLUMNA,10.0,CALLE TOME CANO 5,15.5846341,376424.677723,3148774.58304,-16.262177216,28.4596862659
103.0,20060108,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 5,18.76636736,376949.00019,3148987.42086,-16.2568456603,28.4616565983
104.0,20240415,REYES CATOLICOS - AVENIDA,BACULO,7.0,CALLE RAMIRO DE MAEZTU 2,11.87224276,376201.306323,3148667.53289,-16.2644467395,28.4586990094
105.0,20240416,REYES CATOLICOS - AVENIDA,COLUMNA,10.0,CALLE RAMIRO DE MAEZTU 4,28.06480811,376192.287755,3148630.15466,-16.2645348194,28.458360834
106.0,20240417,REYES CATOLICOS - AVENIDA,COLUMNA,10.0,CALLE RAMIRO DE MAEZTU 4,36.50295796,376187.41514,3148610.79728,-16.2645824976,28.4581856811
107.0,20240418,REYES CATOLICOS - AVENIDA,COLUMNA,10.0,CALLE RAMIRO DE MAEZTU 4,51.0045731,376182.766896,3148591.34508,-16.2646278742,28.4580096938
108.0,20210508,TOME CANO,COLUMNA,10.0,CALLE ALMIRANTE DIAZ PIMIENTA 9,24.35723378,376417.69408,3148801.64462,-16.2622514332,28.4599298212
109.0,20240419,REYES CATOLICOS - AVENIDA,COLUMNA,10.0,CALLE ORTEGA Y GASSET 1,59.60506453,376177.758598,3148571.98179,-16.264676937,28.4578344746
110.0,20240420,REYES CATOLICOS - AVENIDA,COLUMNA,10.0,CALLE ORTEGA Y GASSET 1,44.64738895,376172.529722,3148553.04465,-16.2647282979,28.4576630803
111.0,20060111,"SALLE, AVENIDA DE LA",BACULO,9.0,GTA PEDRO DE MENDOZA 4,11.1082964,376938.664942,3148894.63349,-16.2569412959,28.4608182628
112.0,20060112,PEDRO DE MENDOZA - GLORIETA,COLUMNA,8.0,GTA PEDRO DE MENDOZA 5,9.42724865,376922.294762,3148878.77367,-16.2571067732,28.4606735908
113.0,20060801,PEDRO DE MENDOZA - GLORIETA,COLUMNA,8.0,GTA PEDRO DE MENDOZA 3,6.82283087,376959.223285,3148878.15482,-16.2567295964,28.4606714906
114.0,20020312,TOME CANO,BACULO,10.0,CALLE EL CAMELLO 1,18.58075529,376437.699777,3148655.28454,-16.2620314481,28.4586108913
115.0,20020311,TOME CANO,BACULO,10.0,CALLE EL CAMELLO 1,13.42371011,376432.97734,3148675.03325,-16.2620817894,28.458788666
116.0,20020202,TOME CANO,BACULO,10.0,CALLE EL CAMELLO 1,29.17612729,376451.742433,3148669.39883,-16.2618895618,28.4587395959
117.0,20020310,TOME CANO,BACULO,10.0,CALLE EL CAMELLO 2,15.87640661,376427.968593,3148694.78178,-16.2621350545,28.4589664119
118.0,20020309,TOME CANO,BACULO,10.0,CALLE EL CAMELLO 2,24.41558139,376418.911096,3148709.5303,-16.2622291285,28.4590986516
119.0,20020308,TOME CANO,BACULO,10.0,CALLE JUAN SEBASTIAN ELCANO 15,17.09799597,376436.719713,3148728.12267,-16.2620492648,28.4592681256
120.0,20020319,ELCANO,COLUMNA,8.0,CALLE JUAN SEBASTIAN ELCANO 15,10.6696357,376459.046042,3148738.29276,-16.2618223639,28.4593620206
121.0,20210408,TOME CANO,COLUMNA,10.0,CALLE TOME CANO 2,13.14387423,376405.830861,3148783.96261,-16.2623706821,28.4597691259
122.0,20210409,TOME CANO,COLUMNA,10.0,CALLE TOME CANO 2,19.81414585,376412.638207,3148756.94208,-16.2622982695,28.4595259244
123.0,20240337,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 31,18.84669496,376290.258064,3148915.56743,-16.2635650147,28.460945834
124.0,20240406,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 31,37.92111091,376263.44501,3148920.45574,-16.263839352,28.4609874047
125.0,20240339,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 29,12.89436705,376300.573737,3148955.987,-16.2634640103,28.4613115784
126.0,20240338,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 29,11.13468343,376295.454013,3148935.50811,-16.2635140945,28.4611262813
127.0,20240405,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 29,35.82316324,376268.501514,3148940.89214,-16.2637899095,28.4611723125
128.0,20240519,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 27,11.61217328,376310.417887,3148996.3869,-16.2633678184,28.4616771004
129.0,20240340,REYES CATOLICOS - AVENIDA,BACULO,7.0,AVENIDA REYES CATOLICOS 27,12.01779374,376305.462542,3148976.36354,-16.2634162732,28.4614959299
130.0,20060810,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 17,5.82424897,376951.575611,3148909.34369,-16.2568110237,28.4609522333
131.0,20060110,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 24,5.92273747,376942.157073,3148926.90582,-16.2569090805,28.4611098342
132.0,20060109,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 22,16.61556228,376945.649194,3148957.13088,-16.2568766464,28.46138293
133.0,20060809,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 11,6.29045346,376954.850165,3148940.55298,-16.2567809163,28.4612341908
134.0,20060808,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 7,7.53111895,376958.592667,3148971.76234,-16.25674603,28.4615161929
135.0,20050207,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 26A,5.24446546,377285.950279,3148936.75391,-16.2533993263,28.461231104
136.0,20050208,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 32,6.36221563,377276.396374,3148908.86754,-16.253493921,28.4609785438
137.0,20050223,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 43,7.21343016,377294.849966,3148920.21508,-16.253306682,28.4610826864
138.0,20050224,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 45,5.36387796,377285.590926,3148890.07353,-16.2533980255,28.4608098021
139.0,20050225,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 49,8.05349187,377272.522905,3148856.97687,-16.2535279509,28.4605098909
140.0,20050221,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE LEONCIO RODRIGUEZ 37,8.23516604,377314.179783,3148972.2653,-16.2531148276,28.4615542333
141.0,2010A401,REPUBLICA DOMINICANA - PLAZA,BACULO,12.0,AVENIDA DE BELGICA 2,8.99230425,376367.90202,3149307.9226,-16.262814215,28.4644940005
142.0,20110434,RAMON Y CAJAL,BACULO,10.0,CALLE ALVAREZ DE LUGO 50,6.21655599,376809.371008,3149487.05337,-16.2583249684,28.466152349
143.0,20110202,RAMON Y CAJAL,BACULO,10.0,CALLE RAMON Y CAJAL 13,18.36383436,376885.549791,3149492.89818,-16.2575476222,28.4662122909
144.0,20110435,RAMON Y CAJAL,BACULO,10.0,CALLE RAMON Y CAJAL 15,4.24863272,376870.308331,3149480.50456,-16.2577019502,28.4660990053
145.0,20110109,RAMON Y CAJAL,BACULO,10.0,CALLE RAMON Y CAJAL 21,5.90626514,376841.682117,3149484.17934,-16.2579946862,28.4661294648
146.0,20060101,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 2,5.22050811,376968.562301,3149189.68207,-16.2566674858,28.4634837517
147.0,20060102,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 4,6.43698177,376970.605585,3149175.6191,-16.256645118,28.4633570332
148.0,20060811,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 1,14.73911027,376979.817125,3149159.19304,-16.2565492946,28.4632096651
149.0,20060803,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 3,5.39277927,376976.302396,3149127.87554,-16.2565818441,28.4629267085
150.0,20060103,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 6,5.7595633,376967.119873,3149144.36787,-16.2566773781,28.4630746773
151.0,20060104,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 10,12.85601203,376963.513982,3149113.23694,-16.2567108781,28.4627933959
152.0,20060804,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 10,15.29254007,376973.027811,3149096.66617,-16.2566119527,28.4626447504
153.0,20060106,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 12,5.95624742,376956.719587,3149050.96354,-16.2567736142,28.462230768
154.0,20060805,"SALLE, AVENIDA DE LA",BACULO,9.0,AVENIDA LA SALLE 12,21.07945448,376969.552723,3149065.39014,-16.2566441016,28.4623621718
155.0,20050220,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 31,6.16955977,377325.453802,3149003.30191,-16.253003001,28.4618353844
156.0,20050210,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE EMILIO LOPEZ 44,15.4426847,377256.831887,3148853.07124,-16.2536877702,28.4604731678
157.0,20050222,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 39,5.11869725,377304.437517,3148946.02264,-16.2532115218,28.4613164893
158.0,20050211,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 53,25.90783976,377246.426168,3148825.43925,-16.2537910893,28.460222823
159.0,20050212,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 53,38.36668812,377240.73151,3148810.58494,-16.2538476603,28.4600882339
160.0,20050226,JOSE HERNANDEZ ALFONSO,COLUMNA,12.0,CALLE JOSE HERNANDEZ ALFONSO 53,5.49946704,377265.168125,3148834.64984,-16.2536006796,28.460307708
161.0,2010A302,"ASUNCION, DE LA - AVENIDA",BACULO,7.0,AVENIDA DE LA ASUNCION 15,29.39293392,376427.70106,3149360.77214,-16.2622091997,28.4649766089
162.0,2010A405,"ASUNCION, DE LA - AVENIDA",BACULO,7.0,AVENIDA DE LA ASUNCION 15,10.51661443,376434.224238,3149380.41464,-16.2621446895,28.4651544905
