FID,Id,PARTIDOPOL,SIGLAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
129.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377466.063485,3149222.69063,-16.2515904173,28.463828482
130.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376964.368417,3148703.8512,-16.2566584476,28.4590989704
131.0,2.0,PARTIDO POPULAR,PP,377014.775916,3148709.65943,-16.256144318,28.4591561411
132.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,376996.434092,3148704.62888,-16.2563310835,28.4591090131
133.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377022.411903,3148718.52182,-16.2560672866,28.4592368399
134.0,2.0,PARTIDO POPULAR,PP,376974.236003,3148553.10747,-16.2565415925,28.4577395125
135.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376990.6875,3148546.01285,-16.2563728388,28.4576770386
136.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,377008.064509,3148537.76266,-16.2561945109,28.4576042234
137.0,8.0,JUNTOS POR CANARIAS,JXC,377041.467221,3148523.31232,-16.2558518737,28.4574769654
138.0,2.0,PARTIDO POPULAR,PP,376976.569327,3148574.02633,-16.2565199981,28.4579285151
139.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377003.515501,3148561.67362,-16.2562435151,28.4578195792
140.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377031.334364,3148550.06302,-16.2559582003,28.4577174223
141.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,377055.19848,3148518.76618,-16.2557111706,28.4574372331
142.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,383493.606965,3153675.05886,-16.1904854991,28.5045622684
143.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,383456.257958,3153650.21535,-16.1908645531,28.5043347206
144.0,2.0,PARTIDO POPULAR,PP,383320.106346,3153558.36558,-16.1922462075,28.5034936102
145.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,383418.565326,3153624.74802,-16.1912470528,28.5041015112
146.0,2.0,PARTIDO POPULAR,PP,383287.41364,3153536.6201,-16.1925779983,28.5032944338
147.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,383432.806665,3153750.40814,-16.1911142968,28.5052368278
148.0,6.0,ESCAÑOS EN BLANCO,EB,383349.720068,3153820.78653,-16.1919702866,28.5058645265
149.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,383414.598278,3153772.52613,-16.1913025645,28.5054348048
