FID,GEOCODIGO,CVIA,TVIA,TEXTO,HISTORICO,TIPO,UTM_X,UTM_Y,GRAD_X,GRAD_Y,LONGITUD
41.0,383801053,01053,VIA,VIA DARSENA PESQUERA CUATRO, ,Asfalto,382128.105003,3153023.66501,-16.2043691919,28.4985607499,55.7280702079
42.0,383801054,01054,VIA,VIA DARSENA PESQUERA CINCO, ,Asfalto,382224.270011,3153078.9,-16.203392449,28.4990679277,56.2955060898
43.0,383801068,01068,VIA,VIA DARSENA PESQUERA UNO, ,Asfalto,381748.205002,3152808.03001,-16.2082279878,28.4965802786,57.462566299
44.0,383801076,01076,VIA,MUELLE DARSENA PESQUERA, ,Asfalto,382068.405003,3152749.92,-16.2049509559,28.4960848569,738.599085085
45.0,383801078,01078,CALLE,CALLE ACCESO AUTOVIA SAN ANDRES, ,Asfalto,382793.703585,3153291.01823,-16.1976254374,28.5010441404,780.1868965
46.0,383813130,13133,CMNO,CAMINO PRINCIPAL JAGUA, ,Asfalto,381947.498149,3153114.25634,-16.2062815051,28.4992722104,885.377389115
47.0,383813131,13134,CMNO,CAMINO SUBIDA JAGUA, ,Asfalto,381945.364092,3153339.54592,-16.2062604238,28.5013827479,309.742536576
48.0,383801115,95783,CALLE,CALLE EL INCIENSAL, ,Peatonal,387173.539041,3155798.38898,-16.1530936923,28.5240452023,138.695468898
49.0,383801118,01118,CALLE,CALLE ENLACE COLEGIO VALLESECO, ,Peatonal,378883.337504,3151873.35926,-16.2373956123,28.4878820016,30.6374269736
50.0,383810707,10707,CTRA,CARRETERA ENLACE BAILADERO TAGANANA, ,Asfalto,382095.713625,3158343.33711,-16.20524222,28.5466105218,1902.34725559
51.0,383810793,10793,PQUE,PARQUE TIO PINO, ,Peatonal,375197.877073,3149010.28983,-16.2747451677,28.461685541,425.749057887
52.0,383801127,01127,PLAZA,PLAZA DUGGI, ,Peatonal,376665.171348,3149500.35881,-16.2597985559,28.4662587533,205.708806831
53.0,383810714,10714,PLAZA,PLAZA CONCEJAL ANTONIO COVA DOMINGUEZ,PLAZA OFICINA DESCEN SAN ANDRES,Peatonal,383108.099421,3153949.37809,-16.1944536672,28.507001249,210.127899746
54.0,383801129,01129,PLAZA,PLAZA DIVINA PASTORA, ,Peatonal,375388.922048,3149341.78348,-16.272800815,28.4646937661,195.545008699
55.0,383810748,10748,PLAZA,PLAZA EL CHAPATAL,PQUE JUNTO AL CHAPATAL,Peatonal,376324.091479,3149268.3843,-16.2632569595,28.4641329666,176.292806683
56.0,383811186,11186,PLAZA,PLAZA DE ANAGA, ,Peatonal,378180.224913,3151049.45372,-16.2444903029,28.480381586,254.020906214
57.0,383801133,01133,PQUE,PARQUE JUNTO A  PLAZA MANUEL CASTAÑEDA, ,Peatonal,376179.165746,3148626.03714,-16.2646855149,28.4583094735,245.301190821
58.0,383801501,01501,BRANC,BARRANCO CHORRILLO O LAS GOTERAS, ,Lugar,369394.041264,3144321.49811,-16.3333047716,28.4187520709,2480.18258655
59.0,383801502,01502,BRANC,BARRANCO EL HUMILLADERO, ,Lugar,370712.712537,3144513.59937,-16.319963841,28.4206584576,1486.38065168
60.0,383810001,10001,CALLE,CALLE LA BARCA,TRASERA MERINO,Peatonal,383565.367742,3154435.9164,-16.189815516,28.5114272481,124.508939853
61.0,383810008,10008,CMNO,CAMINO LOS LAURELES, ,Hormigón,387047.363908,3160390.83059,-16.1548425255,28.565485924,42.4534061836
62.0,383810009,10009,PLAZA,PLAZA INGENIERO INDUSTRIAL ARRATE, ,Peatonal,378261.553501,3150895.98625,-16.2436438328,28.4790037144,127.837593056
63.0,383810011,10011,CALLE,CALLE EUDELIA,"CEDRES, TRASERA",Peatonal,383498.325004,3154445.68499,-16.1905153872,28.5115173372,31.2611673167
64.0,383810019,10297,CMNO,CAMINO LA LOMA, ,Tierra,387060.815539,3160159.33213,-16.1546813178,28.5633985545,117.240213628
65.0,383810030,10030,CMNO,CAMINO DE LA PLAZA, ,Tierra,387051.560588,3160194.45061,-16.1547845638,28.5637114005,54.1487531151
66.0,383810033,10033,PLAZA,PLAZA ISABEL II, ,Peatonal,377783.520222,3149884.5289,-16.2484188491,28.469831073,126.519368397
67.0,383810034,10034,CALLE,CALLE ISAAC,TRASERA CEDRES,Peatonal,383531.774288,3154465.05545,-16.1901753954,28.5116946213,48.5489017121
68.0,383810045,10045,CALLE,CALLE ESCALERA EL SUCULUM, ,Peatonal,383544.603421,3154471.61477,-16.1900452012,28.5117554878,101.328687472
69.0,383810052,10052,CMNO,CAMINO ABAJO, ,Tierra,386848.454956,3159995.8884,-16.1568317329,28.5619060899,536.83909513
70.0,383810104,10104,PLAZA,PLAZA 7 ISLAS, ,Asfalto,371072.129984,3146835.64001,-16.3166188279,28.4416704995,40.9242129193
71.0,383810105,10105,PLAZA,PLAZA LAS NIEVES, ,Asfalto,371826.317141,3147320.89062,-16.3089726038,28.4461238599,295.123225011
72.0,383810157,10157,CALLE,CALLE MILAN,"LACIO, TRANSVERSAL 2ª IZQUIERDA",Asfalto,379926.791386,3152475.06004,-16.2267981607,28.4934267059,243.382848244
73.0,383810116,10116,PLAZA,PLAZA LA CRUZ DEL SOBRADILLO, ,Peatonal,371167.867245,3147198.45878,-16.3156794521,28.444952945,324.936927087
74.0,383810119,10119,CMNO,CAMINO PLAYA EL CARDONAL, ,Tierra,381207.914701,3160579.08538,-16.2145295692,28.566703836,382.721125343
75.0,383810123,10123,PSAJE,PASAJE VENTURA, ,Peatonal,386955.647478,3155904.86532,-16.1553329718,28.5249883681,53.5788785291
76.0,383810125,10125,PASEO,PASEO TOMAS DENIZ, ,Asfalto,380012.569514,3152584.69848,-16.2259309821,28.4944060022,94.8799215707
77.0,383810130,10130,CTRA,CARRETERA PICO DEL INGLES, ,Asfalto,376080.605207,3156972.95758,-16.2665543655,28.5336382273,756.694782683
78.0,383810141,10141,CTRA,CARRETERA PICO DEL INGLES- BAILADERO, ,Asfalto,376608.144314,3156906.15993,-16.2611790322,28.5330879896,1879.49537362
79.0,383810147,10147,PASEO,PASEO FINCA LOS PEREZ, ,Peatonal,380019.006113,3152453.9369,-16.2258563857,28.493231567,273.272398418
80.0,383810152,10152,CALLE,CALLE IZQUIERDA CUEVA BERMEJA, ,Asfalto,380929.305933,3152726.78371,-16.2165634053,28.4957882743,234.904917687
81.0,383810155,10155,PLAZA,PLAZA ARQUITECTO ALBERTO SARTORIS, ,Peatonal,377553.901011,3150503.39076,-16.2508290895,28.4753934846,67.154855057
82.0,383810164,10164,CALLE,CALLE DERECHA CUEVA BERMEJA, ,Asfalto,381021.540382,3152759.66472,-16.2156527777,28.496061952,172.431787356
83.0,383810165,10165,CALLE,CALLE EL PASITO,CALLE EL PASITO (ALMACIGA) (83171),Peatonal,382928.906351,3161158.15399,-16.1970188954,28.5720549893,107.126397394
84.0,383810169,10169,CALLE,CALLE GABRIELA RAMOS VALLADARES, ,Peatonal,378706.823326,3152108.58313,-16.239235347,28.490001783,227.608680342
85.0,383810173,10173,PLAZA,PLAZA GENERAL GUTIERREZ MELLADO, ,Peatonal,377679.906235,3148918.68983,-16.249372134,28.4611028506,209.181189325
86.0,383810177,10177,PLAZA,PLAZA NUESTRA SEÑORA DE LA MERCED, ,Peatonal,372194.926523,3146207.06093,-16.3050865678,28.4361075416,204.678145407
87.0,383810180,10180,CALLE,CALLE JOSE GARCIA GARCIA, ,Asfalto,378665.090373,3152071.33312,-16.2396468514,28.4896500066,507.856864453
88.0,383810196,10196,PLAZA,PLAZA MANUEL CASTAÑEDA, ,Peatonal,376115.751856,3148561.32389,-16.265309621,28.4577330053,313.91318984
89.0,383810971,10971,CSRIO,CASERIO CASA AMARILLA (VALLESECO), ,Lugar,378798.332883,3152884.37917,-16.2383703971,28.4969980755,19.999994889
90.0,383810202,10202,CALLE,CALLE TIO GIL, ,Asfalto,380010.25946,3152705.99223,-16.2259713247,28.4955004493,100.696146131
91.0,383810207,10207,PQUE,PARQUE LAS INDIAS, ,Peatonal,375443.850489,3149752.93845,-16.2722345605,28.4683911196,556.212064068
92.0,383810230,10230,CMNO,CAMINO FAJANETAS-PORTUGAL, ,Tierra,380788.168991,3159575.8352,-16.2186853491,28.5576028512,901.943721081
93.0,383810252,10252,CMNO,CAMINO LOS NARANJOS AGRIOS, ,Asfalto,378730.82013,3153050.26487,-16.2391095171,28.498531556,769.614240084
94.0,383810259,10259,CALLE,CALLE CIBELES, ,Asfalto,378202.987425,3151365.99484,-16.2442913264,28.4832393671,48.1975096959
95.0,383810265,10265,PQUE,PARQUE GARCIA SANABRIA, ,Peatonal,377257.754242,3150304.35805,-16.2538790244,28.4735441415,954.024589156
96.0,383810271,10271,PLAZA,PLAZA LOS SABANDEÑOS, ,Peatonal,376362.087855,3148867.66132,-16.262828036,28.4605137975,487.989785107
97.0,383810288,10288,CMNO,CAMINO CRUZ DE LIMERA, ,Tierra,380882.253302,3159865.951,-16.2177949247,28.5601980992,119.658012274
98.0,383810290,10290,CALLE,CALLE EL POZO,CUARTA DEL REBOLADO,Asfalto,378617.278803,3152098.02611,-16.2401372784,28.4898852191,101.941086378
99.0,383810317,10317,CALLE,CALLE ATENEA, ,Asfalto,378222.246713,3151417.75951,-16.2441034657,28.4837115032,91.7081503526
100.0,383810319,10319,SENDA,SENDA PALOROSA,SENDA TRANSVERSAL 2 ANTONIO ALVAREZ,Asfalto,378521.586456,3152625.37222,-16.2411734757,28.494635192,113.142837967
101.0,383810327,10327,PLAZA,PLAZA LAS ADELFAS, ,Asfalto,383249.261799,3153785.94011,-16.1929876234,28.5055378777,83.1716154033
102.0,383810328,10328,PSAJE,PASAJE LOMO LA CHANCA, ,Peatonal,380820.260995,3159959.08304,-16.2184457204,28.5610313291,109.02063299
103.0,383810343,10343,CALLE,CALLE VENECIA, ,Asfalto,379882.223912,3152487.05121,-16.2272537994,28.4935238404,215.830811924
104.0,383810350,10350,PLAZA,PLAZA HERMOGENES AFONSO DE LA CRUZ, ,Peatonal,372963.661871,3145025.45904,-16.2971253555,28.4254773234,440.120064971
105.0,383810360,10360,PLAZA,PLAZA JOSE AROZENA PAREDES, ,Peatonal,377513.400848,3149920.65605,-16.2511811775,28.4701316996,127.384406531
106.0,383810363,10363,PLAZA,PLAZA TENOYA, ,Peatonal,371659.000114,3147386.15999,-16.3106870676,28.4466964304,361.169358412
107.0,383810366,10366,CALLE,CALLE CUPIDO,PROLONGACION ANDROMEDA (CV.10201),Peatonal,377996.402282,3151543.28024,-16.2464254227,28.4848261351,149.562423025
108.0,383810371,10371,CALLE,CALLE EL REBOLADO 6, ,Peatonal,378587.33186,3152092.22124,-16.240440545,28.4898254419,119.152298773
109.0,383810374,10374,PLAZA,PLAZA DE LA LIBERTAD, ,Peatonal,372845.477504,3145079.72904,-16.2983200044,28.4259985375,383.391225124
110.0,383810382,10382,CALLE,CALLE EL REBOLADO 7, ,Peatonal,378587.854803,3152062.20165,-16.2404330129,28.4895577132,56.097206269
111.0,383810394,10394,CALLE,CALLE EL REBOLADO 8, ,Peatonal,378556.218702,3152100.31287,-16.2407612033,28.4899016052,88.5980362545
112.0,383810395,10395,CMNO,CAMINO LAS TROVISCAS, ,Tierra,386773.007699,3160774.62596,-16.1576735483,28.5689285411,141.470068901
113.0,383810399,10399,CALLE,CALLE LA DIANA, ,Peatonal,378693.673188,3152073.67901,-16.2393540302,28.4896720276,195.305991715
114.0,383810405,10405,CMNO,CAMINO LOS GOROS, ,Tierra,377996.578795,3159367.14447,-16.2472513072,28.5554196363,157.285929398
115.0,383810410,10410,CALLE,CALLE REBOLADO, ,Asfalto,378647.186895,3152071.40777,-16.2398303387,28.4896499537,145.260371453
116.0,383810421,10421,CALLE,CALLE EL ROQUE, ,Asfalto,378617.327156,3152061.29833,-16.2401439675,28.489567382,271.039843912
117.0,383810422,10422,PLAZA,PLAZA JOSE DOMINGO ALBERTO GONZALEZ (CHEO), ,Asfalto,374672.628261,3148020.73683,-16.279980886,28.4527229796,135.283420909
118.0,383810426,10426,CMNO,CAMINO LA MESETA, ,Tierra,378975.442169,3159050.52623,-16.2371613986,28.5526861434,860.55395307
119.0,383810432,10432,CALLE,CALLE JOSE NEGRIN VIÑAS, ,Peatonal,380571.814227,3159888.93785,-16.2209847409,28.5603796087,106.502119039
120.0,383810448,10448,CTRA,CARRETERA ROQUE NEGRO, ,Asfalto,377599.619363,3157400.26501,-16.2512059647,28.5375214177,3243.26111274
121.0,383811003,11003,CALLE,CALLE TRES DE ROQUE NEGRO,CAMINO CASAS CUEVAS,Tierra,377917.155722,3158039.29616,-16.2479048034,28.5434327772,185.107125825
122.0,383810469,10469,CMNO,CAMINO LA CHASNOYA, ,Tierra,376276.989389,3159644.71935,-16.2648739095,28.5577802268,195.619972265
123.0,383810472,10472,PASEO,PASEO CEFERINA, ,Peatonal,386951.077286,3155868.2159,-16.1553734822,28.5246574767,54.9292079464
124.0,383810480,10480,CMNO,CAMINO EL MONTECILLO, ,Tierra,376203.037419,3159485.37059,-16.2655893086,28.5563210939,227.348069087
125.0,383810484,10484,PLAYA,PLAYA CHICA, ,Lugar,385205.081597,3154857.57884,-16.1731184273,28.5153862376,30.0000034199
126.0,383810947,10947,CALLE,CALLE TRASERA 3 CONTINENTE, ,Asfalto,372732.629469,3145282.20439,-16.2994967658,28.427819917,96.3018897256
127.0,383810491,10491,CMNO,CAMINO LA LOMITA, ,Tierra,376209.352693,3159455.29845,-16.2655371114,28.5560570695,152.078563922
128.0,383810493,10493,CALLE,CALLE PARALELA GEMELAS, ,Peatonal,383634.176564,3154571.29365,-16.1891320524,28.5126663479,147.803043427
129.0,383810502,10502,CMNO,CAMINO LA HOYITA, ,Tierra,376315.772384,3159292.58761,-16.2644212629,28.5545952684,184.552458356
130.0,383810504,10504,PLAZA,PLAZA EL ROSARITO, ,Peatonal,372559.165483,3146709.69586,-16.301423224,28.4406789331,115.833992503
131.0,383810512,10512,CMNO,CAMINO LA PANADERITA, ,Tierra,378932.692381,3157135.82953,-16.2374188568,28.5353767065,372.732049834
132.0,383810522,10522,CTRA,CARRETERA EL BAILADERO, ,Asfalto,382189.307374,3158735.16619,-16.2047393601,28.550141017,19819.6407969
133.0,383810534,10534,CTRA,CARRETERA CHAMORGA, ,Asfalto,386871.567804,3160721.3368,-16.15666183,28.5684430497,2070.60398037
134.0,383810548,10548,CMNO,CAMINO PISTA EL DRAGUILLO, ,Tierra,384568.759372,3161485.88253,-16.1804226456,28.5751323789,1804.89659615
135.0,383810556,10556,CMNO,CAMINO LA PLAZA DE CHAMORGA, ,Tierra,386634.858391,3160741.30727,-16.1590896912,28.568610611,73.0694178327
136.0,383810577,10577,CMNO,CAMINO LOS DRAGOS DE CHAMORGA, ,Tierra,386628.242275,3160829.34356,-16.1591672941,28.569404731,166.108151205
137.0,383810584,10584,PQUE,PARQUE LEONCIO ORAMAS, ,Peatonal,375672.271821,3148738.49753,-16.2698744053,28.4592748849,483.412551929
138.0,383810588,10588,CMNO,CAMINO LA ROSALTA, ,Tierra,386350.802779,3160844.21264,-16.1619673998,28.5695168725,455.818029234
139.0,383810596,10596,PQUE,PARQUE SECUNDINO DELGADO, ,Peatonal,376302.373455,3150098.45363,-16.2635768566,28.4716093297,199.000590356
140.0,383810610,10610,CMNO,CAMINO LA CUMBRILLA, ,Hormigón,387087.278576,3160436.52053,-16.1544200662,28.5658944774,474.724265936
141.0,383810644,10644,PLAZA,PLAZA LA CANDELARIA, ,Peatonal,377728.359606,3149550.27473,-16.248949766,28.4668097867,289.092244965
142.0,383810795,10795,PLAZA,PLAZA ISLA DE LA MADERA, ,Peatonal,377576.361818,3149422.43432,-16.2504850982,28.4656883314,308.867219974
143.0,383810926,10926,PLAZA,PLAZA SANTO DOMINGO, ,Asfalto,377505.825778,3149494.46705,-16.251212978,28.4662824392,76.297461469
144.0,383810934,10934,BRANC,BARRANCO DE SANTOS, ,Lugar,375947.643984,3149641.70647,-16.2667679155,28.4674859793,4080.19656344
145.0,383811052,11052,PLAZA,PLAZA WEYLER, ,Asfalto,377029.873938,3149657.12816,-16.2560912305,28.4677081671,287.184784078
146.0,383811091,11091,PLAZA,PLAZA IRENEO GONZALEZ, ,Peatonal,377312.605734,3149856.46085,-16.2532242621,28.4695342748,109.69218316
147.0,383811214,11214,PLAZA,PLAZA DEL PATRIOTISMO, ,Peatonal,377568.83219,3149804.79876,-16.250602965,28.4690890585,155.157560306
148.0,383810204,10204,CALLE,CALLE LAS SALTONAS, ,Asfalto,371381.516277,3147133.13276,-16.3134932081,28.4443856973,114.64863716
149.0,383810205,10205,CALLE,CALLE LOS BREZOS,UNO EL FRAILE,Asfalto-Tierra,369643.303054,3144266.06965,-16.3309238862,28.4183477446,597.666702273
150.0,383810206,10206,CALLE,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO, ,Asfalto,378002.959568,3151285.81531,-16.2463282095,28.4825003409,422.588734046
151.0,383810208,10208,CALLE,CALLE SANTA BARBARA,CALLE IGLESIA SANTA BARBARA,Asfalto,375338.119917,3148662.13741,-16.2732611274,28.4585682454,95.191998402
152.0,383810492,10492,CALLE,CALLE TRANSVERSAL UNO MARTAGON, ,Tierra,370169.215246,3144830.54406,-16.3256168982,28.4234762738,164.683659972
153.0,383810495,10495,CALLE,CALLE 122, ,Tierra,369924.930383,3147544.59197,-16.3284114713,28.4479544503,167.021791997
154.0,383810496,10245,CALLE,CALLE MERCEDES MACHADO,"CALLE 100; RUBEN MARICHAL, TRASERA",Asfalto,376880.248955,3150829.10198,-16.2577459178,28.478267096,143.022323194
155.0,383810497,10497,CALLE,CALLE PINTOR JOSE AGUIAR, ,Asfalto,377383.39389,3150457.11085,-16.2525660481,28.4749607224,100.807865588
156.0,383810498,10498,CALLE,CALLE ONAGRA LORENZO DIAZ, ,Asfalto,375001.150362,3148000.20481,-16.2766299696,28.4525622725,95.5124765469
157.0,383810499,10499,CALLE,CALLE MAYANTIGO, ,Asfalto,372436.281086,3143905.03201,-16.3023946192,28.4153086337,1070.02719465
158.0,383810006,10006,CALLE,CALLE PUNTA LAS SALINAS,CUEVAS BLANCAS 2,Asfalto,371874.920145,3145800.83238,-16.3083075468,28.4324110797,124.947108723
159.0,383810007,10007,CALLE,CALLE EL DURAZNO, ,Tierra,371314.358169,3144443.07736,-16.3139574411,28.4201302072,878.381024958
160.0,383810010,10010,CALLE,"CALLE FLORIDA, PRIMERA", ,Peatonal,382998.121754,3153904.02725,-16.1955495528,28.5065670574,296.247002203
161.0,383810012,10012,CALLE,CALLE 302, ,Asfalto,375204.714996,3147250.625,-16.2744702405,28.4458172046,158.36426027
162.0,383810014,10014,CALLE,CALLE VOLCAN MARTIN, ,Asfalto,371726.388253,3147398.79647,-16.3100015674,28.4468170809,92.4682579728
163.0,383810016,10016,CALLE,CALLE PUNTA DE SAN BORONDON,CUEVAS BLANCAS 3,Asfalto,371908.564673,3145804.95146,-16.3079645273,28.4324515529,123.764642289
164.0,383810017,10017,CALLE,CALLE LAS BODEGAS, ,Asfalto,377823.917388,3149992.65389,-16.2480179495,28.4708108228,59.9779944237
165.0,383810018,10018,CALLE,CALLE SANDIA, ,Tierra,371160.50985,3144370.60538,-16.3154414321,28.419433823,269.653335084
166.0,383810020,10020,CALLE,CALLE PUNTA DE LA VISTA,TRANSVERSAL 1 A CALLE PUNTA DE ANAGA,Asfalto,372172.015311,3145489.77584,-16.3053256685,28.4297099863,659.798132061
167.0,383810023,10023,CALLE,CALLE 303,TRANSV. TERCERA ANATOLIO FUENTES GARCIA,Asfalto,375249.642438,3147301.70304,-16.2740226383,28.4462880788,163.565405412
168.0,383810024,10024,CALLE,CALLE EL ACEBO, ,Asfalto,371857.361364,3146637.21334,-16.3085792005,28.439958272,166.572550754
169.0,383810167,10167,CALLE,CALLE TRANSVERSAL DECANO CONSULAR, ,Peatonal,372894.380605,3144677.84345,-16.2977763126,28.4223764421,137.761471532
170.0,383810170,10170,CALLE,CALLE LA BERLINA, ,Asfalto,371319.959926,3147214.1268,-16.3141325493,28.4451070152,497.623524563
171.0,383810182,10182,CALLE,CALLE PALO BLANCO,CALLE EL FRAILE (CV.10038),Asfalto,369897.867679,3144177.68191,-16.3283082535,28.4175677774,228.58073278
172.0,383810174,10174,CTRA,CARRETERA CUEVA ROJA, ,Asfalto,375941.019217,3150451.31951,-16.2672660724,28.4747601341,460.327682891
173.0,383810175,10175,CALLE,CALLE EL CHARRAN, ,Asfalto,370463.005008,3146665.165,-16.322818749,28.4400717694,33.1549419506
174.0,383810176,10176,CALLE,CALLE SANTA MARTA, ,Asfalto,377613.901634,3150014.12009,-16.2501647318,28.4709846394,43.1046333472
175.0,383810178,10178,RBLA,RAMBLA BENTACAYSE,"CALLE ""C"" AÑAZA",Asfalto,372442.739502,3145099.00237,-16.3024186489,28.4261495374,845.434809785
176.0,383810181,10181,CALLE,CALLE EL TANGANILLO, ,Asfalto,371397.029438,3147209.74214,-16.3133265873,28.4450566887,507.525947458
177.0,383810194,10194,CALLE,CALLE EL TIL, ,Asfalto,369905.746452,3144135.12713,-16.3282240025,28.4171835179,116.422312974
