FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
2119.0,56785,CALLE EL MOLINO,6.0,800.0,R2256,371646.619866,3144252.02527,-16.3104660818,28.4184116558
2120.0,56785,CALLE EL MOLINO,2.0,800.0,R2257,371413.527935,3144377.35843,-16.3128593523,28.4195197867
2121.0,56472,CALLE SUBIDA AL MAYORAZGO,1.0,240.0,R2258,374498.994191,3146938.54154,-16.2816419709,28.4429331455
2122.0,43807,CALLE LOS ARCANGELES,1.0,240.0,R2259,373917.520056,3147679.76546,-16.2876599057,28.4495662162
2123.0,43227,AVDA PRINCIPES DE ESPAÑA,2.0,240.0,R2260,374264.202474,3148268.26572,-16.2841842019,28.4549105474
2124.0,20124,CALLE ANATOLIO DE FUENTES GARCIA,2.0,240.0,R2261,375341.33275,3147285.9407,-16.2730791305,28.4461489692
2125.0,10321,CALLE JESUS HERNANDEZ GUZMAN,1.0,240.0,R2262,374626.09221,3146935.98767,-16.2803440084,28.442922314
2126.0,52273,CALLE AGUILEÑA,1.0,240.0,R2263,370920.885788,3145371.85011,-16.3179992795,28.4284458347
2127.0,52226,CALLE PARTE CAMINOS,2.0,800.0,R2264,370937.045406,3145002.43912,-16.3177930161,28.4251137425
2128.0,10570,AVDA PRINCIPAL AÑAZA,1.0,800.0,R2265,373024.566265,3145019.5612,-16.2964848502,28.4254728757
2129.0,52412,CALLE CAPITANA,1.0,800.0,R2266,371284.911386,3145286.71109,-16.3142736025,28.4277134414
2130.0,20712,AVDA SAN SEBASTIAN,3.0,240.0,R2267,377242.810439,3149216.29077,-16.2538696468,28.4637497281
2131.0,54747,PASEO DE LAS ESCUELAS PIAS,4.0,800.0,R2268,376726.863445,3150223.98271,-16.2592464299,28.4727949606
2132.0,54747,PASEO DE LAS ESCUELAS PIAS,4.0,240.0,R2269,376723.688439,3150229.93584,-16.2592794936,28.4728483843
2133.0,54933,CALLE LUIS DIEGO CUSCOY,2.0,240.0,R2270,376396.328859,3150334.18918,-16.2626340261,28.4737582145
2134.0,31323,AVDA ANGEL ROMERO,1.0,240.0,R2271,374977.08889,3149180.74625,-16.2770037066,28.463213694
2135.0,40821,CTRA LOS CAMPITOS,2.0,240.0,R2272,376518.427337,3151526.43306,-16.2615148769,28.4845291544
2136.0,40821,CTRA LOS CAMPITOS,1.0,240.0,R2273,376360.485483,3151703.56983,-16.263147151,28.4861127381
2137.0,10121,AVDA LA CONSTITUCION,3.0,240.0,R2274,377294.613116,3148338.60198,-16.2532471836,28.4558338819
2138.0,30134,CALLE CASTRO,5.0,240.0,R2275,376593.339566,3149461.05003,-16.2605283885,28.4658972521
2139.0,82531,CTRA AUTOVIA SAN ANDRES,1.0,800.0,R2276,379976.867383,3152271.01233,-16.2262670835,28.4915718655
2140.0,82531,CTRA AUTOVIA SAN ANDRES,1.0,800.0,R2277,379908.280435,3152246.92429,-16.2269651852,28.4913481591
2141.0,01101,CALLE URBANIZACION ALDEAS INFANTILES,1.0,800.0,R2278,368646.533684,3145395.85787,-16.3412197599,28.428435703
2142.0,10652,CALLE CASTILLO,4.0,240.0,R2279,377650.704259,3149559.95289,-16.2497406341,28.4668894522
2143.0,10652,CALLE CASTILLO,2.0,240.0,R2280,377665.247467,3149565.06267,-16.2495926536,28.4669369302
2144.0,10652,CALLE CASTILLO,2.0,240.0,R2281,377645.201423,3149568.60021,-16.2497977503,28.4669669737
2145.0,51544,CALLE NARDO,1.0,240.0,R2282,371387.740001,3146065.03433,-16.3133106001,28.4347474318
2146.0,42007,CSRIO LOMO BICHO (LA CUMBRE),2.0,240.0,R2283,377200.505448,3157996.07717,-16.2552392102,28.5429785697
2147.0,31087,CALLE DOCTOR JIMENEZ DIAZ,1.0,240.0,R2284,375886.328216,3149345.41657,-16.2677362022,28.4647866135
2148.0,31087,CALLE DOCTOR JIMENEZ DIAZ,1.0,240.0,R2285,375886.716234,3149355.11702,-16.2677332845,28.4648741918
2149.0,10904,"CALLE ANSAR, PARALELA",3.0,800.0,R2286,372409.188717,3147239.85171,-16.30301233,28.4454496476
2150.0,40821,CTRA LOS CAMPITOS,21.0,800.0,R2287,375869.681376,3149984.71407,-16.2679750845,28.4705543441
2151.0,40821,CTRA LOS CAMPITOS,1.0,800.0,R2288,376432.519083,3151755.00011,-16.2624168972,28.4865837027
2152.0,50765,CALLE ALONDRA,1.0,800.0,R2289,370741.471041,3147160.88932,-16.3200312472,28.4445729444
2153.0,50765,CALLE ALONDRA,1.0,800.0,R2290,370785.194314,3147128.99443,-16.3195812548,28.4442894451
2154.0,31002,CALLE JUAN DE MIRANDA,4.0,800.0,R2291,376118.711786,3149493.50357,-16.2653789603,28.4661451194
2155.0,30173,CALLE CAIRASCO,1.0,800.0,R2292,377008.298067,3149552.95813,-16.2563004738,28.4667658859
2156.0,30455,CALLE COMANDANTE SANCHEZ PINTO,3.0,800.0,R2293,376527.338761,3149950.72652,-16.2612548963,28.4703100811
2157.0,30455,CALLE COMANDANTE SANCHEZ PINTO,4.0,800.0,R2294,376593.465323,3149908.11163,-16.2605749922,28.4699317652
2158.0,40403,CTRA TAGANANA,2.0,240.0,R2295,380995.974723,3159858.6155,-16.2166429721,28.5601401647
2159.0,44803,CALLE DOCTOR PEREZ CAMACHO,2.0,240.0,R2296,376527.356172,3150297.5616,-16.2612918979,28.4734400885
2160.0,32527,CALLE JOSE PLACIDO SANSON,2.0,800.0,R2297,375970.827043,3149503.54621,-16.2668902995,28.4662216896
2161.0,30552,CALLE EMILIO SERRA FERNANDEZ DE MORATIN,2.0,800.0,R2298,376588.969751,3150069.88161,-16.260638236,28.47139123
2162.0,22003,CALLE TANAUSU,1.0,240.0,R2299,375373.497842,3150155.83041,-16.2730610238,28.4720512315
2163.0,21425,CALLE RAMON GIL ROLDAN,1.0,800.0,R2300,375901.577846,3149837.521,-16.2676334748,28.4692290431
2164.0,32713,CTRA DEL ROSARIO,6.0,800.0,R2301,374250.333605,3147746.98795,-16.2842689672,28.4502049793
2165.0,42947,CALLE JOSE MIGUEL GALVAN BELLO,3.0,800.0,R2302,374939.428601,3147296.71853,-16.2771839179,28.4462077778
2166.0,47353,CTRA LAS GAVIOTAS,3.0,240.0,R2303,385057.482284,3154698.27823,-16.1746105904,28.513935565
2167.0,11187,CALLE VIERA Y CLAVIJO,2.0,800.0,R2304,377126.2838,3149905.13593,-16.2551331066,28.4699552407
2168.0,11187,CALLE VIERA Y CLAVIJO,6.0,240.0,R2305,377125.169248,3149904.30002,-16.2551444002,28.4699475919
2169.0,41511,CSRIO SAN ANTONIO,2.0,800.0,R2306,380841.947815,3159954.21711,-16.2182273157,28.5609887998
2170.0,51834,CALLE RUISEÑOR,2.0,800.0,R2307,371829.332842,3146070.84366,-16.3088029333,28.4348432848
2171.0,51834,CALLE RUISEÑOR,2.0,240.0,R2308,371830.126594,3146059.73114,-16.3087935955,28.4347430793
2172.0,52547,CALLE GIRASOL,1.0,800.0,R2309,370968.712955,3145314.53842,-16.3175046266,28.4279333612
2173.0,52795,CALLE ZARZAMORA,1.0,800.0,R2310,369375.436144,3144592.02882,-16.3336878263,28.4212548366
2174.0,57274,CTRA GENERAL DEL SUR,1.0,800.0,R2311,371117.92837,3145083.67303,-16.3159555844,28.4258646873
2175.0,10121,AVDA LA CONSTITUCION,2.0,800.0,R2312,377550.404005,3148617.2987,-16.2506647891,28.4583730275
2176.0,10121,AVDA LA CONSTITUCION,2.0,240.0,R2313,377517.066438,3148567.29234,-16.250999909,28.4579186132
2177.0,56472,CALLE SUBIDA AL MAYORAZGO,1.0,800.0,R2314,374108.696168,3147313.49558,-16.285667876,28.4462793015
2178.0,20596,AVDA BUENOS AIRES,5.0,800.0,R2315,377499.18627,3148908.8915,-16.2512188023,28.4609997058
2179.0,30092,AVDA VEINTICINCO DE JULIO,3.0,800.0,R2316,377118.319133,3150388.63965,-16.2552660307,28.4743178689
2180.0,30293,CALLE FERNANDO PRIMO DE RIVERA,1.0,800.0,R2317,376172.812786,3149913.20053,-16.2648715693,28.4699378016
2181.0,30753,"CALLE JUAN PEREZ DELGADO ""NIJOTA""",1.0,800.0,R2318,375995.961847,3150279.55742,-16.2667171469,28.4732271644
