"Defuncions per lloc de naixement",,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,
,"Dte.","Barris","TOTAL ","Andalusia","Aragó","Principat 
d'Astúries","Illes Balears","Canàries","Cantàbria","Castella 
i Lleó","Castella -
la Manxa","Catalunya","Comunitat
Valenciana","Extremadura","Galícia","Comunitat 
de Madrid","Regió 
de Múrcia","Comunitat Foral 
de Navarra","País Basc","Rioja, La","Ceuta","Melilla","Estranger"
,8,"52. la Prosperitat",262,78,16,0,0,1,2,33,14,57,4,12,16,2,6,2,1,3,0,2,13
,8,"53. la Trinitat Nova",104,41,3,1,0,0,0,7,5,26,3,3,4,0,5,1,0,0,1,0,4
,8,"54. Torre Baró",13,5,0,0,0,0,0,1,1,2,0,3,1,0,0,0,0,0,0,0,0
,8,"55. Ciutat Meridiana",64,18,2,0,0,0,0,6,3,15,0,7,2,0,0,0,0,1,0,1,9
,8,"56. Vallbona",25,10,1,0,0,0,0,3,3,4,1,2,0,0,1,0,0,0,0,0,0
,9,"57. la Trinitat Vella",62,21,2,0,0,1,0,3,2,15,1,4,5,0,2,0,0,1,0,0,5
,9,"58. Baró de Viver",25,8,0,0,0,0,0,0,2,10,1,0,1,0,0,0,0,0,0,1,2
,9,"59. el Bon Pastor",102,20,10,0,0,0,1,5,6,47,1,2,1,0,6,1,1,0,0,0,1
,9,"60. Sant Andreu",474,79,28,2,0,0,2,41,24,225,11,12,18,4,9,2,1,0,0,1,15
,9,"61. la Sagrera",246,39,22,0,1,0,0,19,24,99,4,6,10,4,10,1,0,0,1,0,6
,9,"62. el Congrés i els Indians",179,16,26,2,0,0,1,8,4,85,2,5,12,5,7,1,0,1,0,0,4
,9,"63. Navas",200,28,15,2,0,0,1,17,6,104,3,5,7,2,2,0,1,0,0,0,7
,10,"64. el Camp de l'Arpa del Clot",384,36,25,2,2,2,0,13,8,224,11,11,18,5,3,4,1,2,0,2,15
,10,"65. el Clot",202,22,19,2,0,0,0,7,8,110,6,8,4,2,3,2,1,2,1,0,5
,10,"66. el Parc i la Llacuna del Poblenou",123,7,9,1,1,0,1,10,6,67,2,4,5,2,2,2,2,0,0,0,2
,10,"67. la Vila Olímpica del Poblenou",35,6,1,0,0,0,0,2,2,16,1,3,1,0,0,0,1,0,0,0,2
,10,"68. el Poblenou",273,28,8,0,3,0,0,17,9,168,9,2,4,2,5,0,3,1,0,2,12
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",76,13,3,1,0,0,0,6,3,30,2,4,1,1,3,0,0,0,1,0,8
,10,"70. el Besòs i el Maresme",204,67,14,1,0,0,2,14,13,52,7,4,10,2,6,2,1,0,0,1,8
,10,"71. Provençals del Poblenou",136,17,15,0,1,0,0,11,3,59,6,6,4,2,3,2,0,0,0,0,7
,10,"72. Sant Martí de Provençals",274,61,12,1,0,1,2,20,16,111,8,8,11,3,6,1,1,2,0,1,9
,10,"73. la Verneda i la Pau",310,80,16,1,0,0,0,25,27,87,10,15,19,3,9,0,1,3,1,0,13
