"Canvis de domicili de la població femenina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barri d'alta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"9. la Nova Esquerra de l'Eixample",1514,42,9,8,26,25,44,42,96,417,73,30,0,20,12,30,9,37,57,74,16,14,4,18,8,16,41,25,10,4,5,32,29,14,2,11,3,10,1,3,6,1,0,15,11,7,2,0,1,0,8,8,9,5,1,2,0,3,0,2,14,13,0,11,24,8,8,1,7,5,5,6,8,6,0
,2,"10. Sant Antoni",977,98,15,13,10,12,24,20,40,78,201,96,0,14,21,19,19,10,28,10,10,1,3,2,7,9,12,5,4,4,4,25,10,9,1,10,0,2,9,1,0,0,0,5,5,3,6,0,2,2,0,2,6,0,1,3,0,8,1,0,9,5,1,4,13,10,2,1,16,0,6,4,4,2,0
,3,"11. el Poble Sec - AEI Parc Montjuïc",1333,157,19,17,14,15,20,7,12,42,106,473,0,41,25,16,14,8,35,10,4,0,4,2,1,3,5,8,4,4,2,25,17,12,3,20,1,10,3,3,3,2,0,14,8,10,8,0,6,0,4,2,4,5,1,6,0,2,1,3,7,4,1,4,15,7,9,0,12,0,6,5,6,13,3
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",29,0,0,0,0,0,1,0,0,0,0,1,9,14,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,3,"13. la Marina de Port",631,16,4,3,6,5,5,4,4,6,9,13,19,353,12,6,20,11,13,6,3,0,0,6,1,6,2,0,2,0,1,3,0,2,0,10,0,5,0,0,0,1,0,8,2,3,4,1,1,0,2,6,4,0,0,0,0,3,0,2,5,2,1,2,2,5,4,0,4,3,4,0,2,4,0
,3,"14. la Font de la Guatlla",211,8,0,3,3,1,1,10,3,9,7,6,0,26,41,11,6,4,13,3,2,0,0,1,0,0,4,1,2,0,1,5,4,2,0,5,0,4,1,0,0,0,0,2,0,1,1,0,0,0,2,1,0,2,0,0,0,1,0,0,1,4,0,1,0,0,2,0,0,0,1,2,2,1,0
,3,"15. Hostafrancs",450,14,1,3,3,2,2,6,8,35,12,14,0,23,19,111,18,9,53,21,9,0,0,2,0,1,1,0,1,0,1,8,2,6,2,4,0,0,1,0,0,3,0,0,3,3,5,0,1,0,1,1,3,2,0,4,0,1,0,1,4,3,0,1,4,2,3,0,4,0,1,4,1,3,0
,3,"16. la Bordeta",332,4,0,0,5,3,3,4,7,9,10,6,1,13,8,13,76,19,39,9,9,2,0,0,2,1,4,0,1,1,2,2,2,5,1,7,0,4,0,0,0,0,0,3,5,2,2,0,1,0,0,1,2,1,0,3,0,4,0,0,3,4,3,0,5,2,4,1,8,2,0,2,2,0,0
,3,"17. Sants - Badal",526,9,3,1,4,8,10,4,5,15,7,12,0,24,1,6,15,132,63,40,35,2,0,12,2,6,4,4,2,2,2,14,8,5,0,9,0,5,2,0,0,0,0,4,5,2,1,0,0,0,1,0,3,0,0,1,0,0,0,0,6,4,1,2,8,2,0,0,0,1,1,3,7,1,0
,3,"18. Sants",1009,18,7,3,10,8,12,11,15,41,17,19,0,24,10,47,37,76,283,77,33,3,2,14,4,7,8,6,5,2,2,15,4,4,0,14,4,6,2,8,1,3,0,10,7,6,3,0,2,0,3,4,6,2,0,3,1,2,5,6,14,6,0,1,14,5,5,5,5,4,8,9,11,0,0
