ANY,CONCEPTE,CODI_OPERACIÓ,TIPUS_OPERACIÓ,,"NOM ",AJUNTAMENT_INDIVIDUAL,AGREGAT_NO_CONSOLIDAT,ELIMINACIO_TRANSFERENCIES_INTERNES,TOTAL_CONSOLIDAT,
2010,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",53.087,53.087,0,53.087,
2010,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",288.042,364.308,-1.269,363.039,
2010,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",914.620,1.416.358,-462.407,953.951,
2010,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",43.249,49.720,0,49.720,
2010,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",15.000,17.841,-2.841,15.000,
2010,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",54.536,122.957,-42.443,80.514,
2010,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,3.744,0,3.744,
2010,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",311.220,312.070,0,312.070,
2010,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",350.926,560.669,0,560.669,
2010,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",524.779,760.840,-1.399,759.441,
2010,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",41.197,41.675,0,41.675,
2010,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",837.800,960.720,-462.277,498.443,
2010,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",573.224,641.637,-25.729,615.908,
2010,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",22.624,35.108,-19.555,15.553,
2010,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",8.000,15.584,0,15.584,
2010,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",101.220,103.871,0,103.871,
2011,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",806.836,806.836,0,806.836,
2011,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",54.012,54.012,0,54.012,
2011,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",288.928,356.602,-296,356.306,
2011,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",953.253,1.410.452,-411.074,999.378,
2011,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",69.744,76.374,0,76.374,
2011,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",18.525,21.366,-2.841,18.525,
2011,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",41.040,71.191,-15.538,55.653,
2011,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,55,0,55,
2011,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",1.232,1.232,0,1.232,
2011,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",350.701,572.819,0,572.819,
2011,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",524.299,749.089,-931,748.158,
2011,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",40.823,40.901,0,40.901,
2011,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",838.654,904.388,-410.439,493.949,
2011,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",346.031,373.561,-7.055,366.506,
2011,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",22.831,34.159,-11.324,22.835,
2011,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",9.000,21.540,0,21.540,
2011,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",101.232,101.665,0,101.665,
2012,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",828.920,828.920,0,828.920,
2012,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",51.599,51.599,0,51.599,
2012,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",270.477,398.575,-404,398.172,
2012,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",904.341,1.423.123,-494.070,929.052,
2012,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",38.713,65.278,-2.038,63.240,
2012,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",12.204,60.516,0,60.516,
2012,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",23.395,54.455,-11.135,43.321,
2012,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,11.916,0,11.916,
2012,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",166.232,192.901,0,192.901,
2012,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",350.617,617.018,0,617.018,
2012,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",548.892,844.222,-404,843.818,
2012,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",46.109,58.065,0,58.065,
2012,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",889.178,962.334,-496.108,466.225,
2012,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",333.118,424.855,0,424.855,
2012,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",28.736,39.871,-11.135,28.736,
2012,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",8.000,11.902,0,11.902,
2012,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",91.232,129.018,0,129.018,
2014,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",879.467,879.467,0,879.467,
2014,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",49.163,49.163,0,49.163,
2014,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",269.303,344.593,-557,344.036,
2014,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1.084.174,1.585.334,-476.406,1.108.928,
2014,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",31.113,36.964,0,36.964,
2014,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",7.522,7.522,0,7.522,
2014,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",15.957,28.233,-8.693,19.540,
2014,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",106.500,107.676,0,107.676,
2014,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",130.800,130.800,0,130.800,
2014,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",347.527,568.503,0,568.503,
2014,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",563.672,826.789,-654,826.135,
2014,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",41.584,45.690,0,45.690,
2014,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",922.194,1.010.564,-476.308,534.256,
2014,DESPESES,,"FONS DE CONTINGÈNCIA",5,"FONS DE CONTINGÈNCIA",24.854,24.854,0,24.854,
2014,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",400.992,410.665,0,410.665,
2014,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",25.297,33.991,-8.693,25.297,
2014,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",116.383,117.174,0,117.174,
2014,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",131.496,131.523,0,131.523,
2015,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",943.767,943.767,0,943.767,
2015,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",55.750,55.750,0,55.750,
2015,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",260.080,324.683,-539,324.145,
2015,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1.052.677,1.567.716,-487.829,1.079.887,
2015,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",42.136,47.826,0,47.826,
2015,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",500,500,0,500,
2015,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",29.107,43.476,-9.908,33.569,
2015,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",5.000,9.871,0,9.871,
2015,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",161.550,161.550,0,161.550,
2015,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",355.786,579.501,0,579.501,
2015,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",603.469,862.718,-739,861.979,
2015,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",34.708,35.252,0,35.252,
2015,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",995.670,1.093.139,-487.628,605.511,
2015,DESPESES,,"FONS DE CONTINGÈNCIA",5,"FONS DE CONTINGÈNCIA",6.478,6.643,0,6.643,
2015,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",352.109,363.633,-619,363.013,
2015,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",21.741,30.630,-9.288,21.341,
2015,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",21.422,24.415,0,24.415,
2015,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",159.184,159.211,0,159.211,
