"Dte.","Barris","TOTAL","< 25 anys","25-29 anys","30-34 anys","35-39 anys","40-44 anys","45-49 anys","50-54 anys","55-59 anys","60-64 anys","65-69 anys","70-74 anys","75-79 anys","80-84 anys","85-89 anys","90-94 anys","95-99 anys","100 anys
i més"
8,"52. la Prosperitat",2999,35,88,131,171,193,202,167,180,188,224,310,349,378,257,107,17,2
8,"53. la Trinitat Nova",880,14,34,38,58,59,53,67,59,72,67,66,51,89,108,38,7,0
8,"54. Torre Baró",198,3,12,10,16,14,15,17,19,21,19,13,10,12,8,9,0,0
8,"55. Ciutat Meridiana",833,8,23,25,37,67,67,65,62,54,66,94,92,98,53,17,5,0
8,"56. Vallbona",130,4,2,8,18,19,11,10,12,14,8,6,6,11,1,0,0,0
9,"57. la Trinitat Vella",839,16,41,41,82,78,71,64,60,54,72,57,63,65,49,19,7,0
9,"58. Baró de Viver",279,4,5,17,20,27,29,13,25,21,25,20,22,16,24,11,0,0
9,"59. el Bon Pastor",1064,17,34,68,70,89,77,80,73,73,83,86,86,126,72,22,8,0
9,"60. Sant Andreu",6480,68,231,428,534,527,478,403,438,442,556,566,452,598,459,242,54,4
9,"61. la Sagrera",3218,30,113,193,246,230,198,193,213,281,295,269,255,320,244,116,18,4
9,"62. el Congrés i els Indians",1890,16,58,115,111,122,121,106,119,122,128,147,119,220,250,117,16,3
9,"63. Navas",2559,21,80,151,155,165,137,147,146,188,224,270,205,295,246,106,22,1
10,"64. el Camp de l'Arpa del Clot",5207,60,266,436,394,414,290,306,316,358,465,417,364,414,438,213,53,3
10,"65. el Clot",2919,42,124,204,235,214,195,215,205,211,238,250,185,249,218,115,18,1
10,"66. el Parc i la Llacuna del Poblenou",1899,36,85,149,212,199,138,129,109,137,162,137,95,137,113,51,8,2
10,"67. la Vila Olímpica del Poblenou",840,15,24,61,67,84,82,92,86,79,78,50,44,40,27,9,2,0
10,"68. el Poblenou",4042,50,157,355,428,458,353,313,234,210,223,251,219,320,292,140,37,2
10,"69. Diagonal Mar i el Front Marítim del Poblenou",1564,17,68,155,220,247,155,118,100,90,92,77,79,71,45,21,7,2
10,"70. el Besòs i el Maresme",2274,32,74,107,132,134,143,177,145,188,162,163,191,287,232,91,14,2
10,"71. Provençals del Poblenou",2104,20,83,168,216,182,166,136,157,154,161,126,158,178,122,70,6,1
10,"72. Sant Martí de Provençals",3009,21,81,161,171,208,170,168,185,203,236,292,267,377,321,120,26,2
10,"73. la Verneda i la Pau",2915,31,69,136,132,175,179,162,174,215,230,329,296,367,277,117,23,3
