"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K015","Transports i serveis relacionats","Autobusos nocturns",430749,4583681141,430657066,4583480193,"2.170455","41.399872","NITBUS -N7--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",429468221,4583736719,429376299,4583535771,"2.155129","41.400261","BUS -22-24-87-V17--",6,31,"Gràcia","la Vila de Gràcia",,
"K015","Transports i serveis relacionats","Autobusos nocturns",429317068,"4583913.44",429225147,"4583712.49","2.1533","41.40184","NITBUS -N4--",6,31,"Gràcia","la Vila de Gràcia",,
"K014","Transports i serveis relacionats","Autobusos diürns",430437078,4583845025,430345147,4583644076,"2.166705","41.401321","BUS -55--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431213711,4584133382,431121773,"4583932.43","2.175963","41.403985","NITBUS -N1-N9--",2,6,"Eixample","la Sagrada Família",,
"K014","Transports i serveis relacionats","Autobusos diürns",432173,4582973045,432081053,4582772103,"2.187568","41.393616","BUS -40-42-H14--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns",430770999,4584531088,430679065,4584330132,"2.170621","41.407529","BUS -V21--",2,6,"Eixample","la Sagrada Família",,
"K014","Transports i serveis relacionats","Autobusos diürns",431053006,4583772278,430961069,4583571329,"2.174081","41.400719","BUS -19-33-34-50-51-B24-H10--",2,6,"Eixample","la Sagrada Família",,
"K014","Transports i serveis relacionats","Autobusos diürns",427931992,4584944106,427840084,4584743147,"2.136609","41.410999","BUS -92--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns",428100997,"4585215.56",428009088,4585014599,"2.138599","41.413459","BUS -22-92-123-124-131-V15-H4--",5,27,"Sarrià-Sant Gervasi","el Putxet i el Farró",,
"K014","Transports i serveis relacionats","Autobusos diürns","427799.56",4585969413,427707654,4585768445,"2.134902","41.420222","BUS -124--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns",427808988,4575862486,427717079,4575661612,"2.13622","41.329194","BUS -21-109--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","427887.77",4582695243,427795862,4582494305,"2.136348","41.390741","BUS -7-33-63-67-78--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","427181.6",4580543713,427089698,4580342795,"2.128161","41.371299","BUS -LH2--",3,17,"Sants-Montjuïc","Sants - Badal",,
"K014","Transports i serveis relacionats","Autobusos diürns","427220.1","4581391.15",427128198,4581190224,"2.12852","41.378935","BUS -54-H10--",3,17,"Sants-Montjuïc","Sants - Badal",,
"K014","Transports i serveis relacionats","Autobusos diürns",427429949,4583474957,427338045,4583274012,"2.130779","41.397722","BUS -68--",5,24,"Sarrià-Sant Gervasi","les Tres Torres",,
"K014","Transports i serveis relacionats","Autobusos diürns",428249296,4578532549,428157383,"4578331.65","2.141165","41.353282","BUS -H16--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns",428312652,4581569713,"428220.74",4581368785,"2.141563","41.380642","BUS -H10--",3,18,"Sants-Montjuïc","Sants",,
"K014","Transports i serveis relacionats","Autobusos diürns",428459852,4579761732,428367938,4579560821,"2.143537","41.364371","BUS -13--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns",426998335,4583241172,426906435,4583040229,"2.125645","41.395577","BUS -66-130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K015","Transports i serveis relacionats","Autobusos nocturns",433742524,4585205192,433650563,4585004229,"2.206096","41.413851","NITBUS -N11--",10,71,"Sant Martí","Provençals del Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431800467,4583841972,431708523,4583641022,"2.183015","41.401411","NITBUS -N3-N7--",2,5,"Eixample","el Fort Pienc",,
"K015","Transports i serveis relacionats","Autobusos nocturns",432554245,4586732095,432462295,4586531118,"2.191709","41.427505","NITBUS -N9--",9,61,"Sant Andreu","la Sagrera",,
"K015","Transports i serveis relacionats","Autobusos nocturns",432555914,4581358853,432463962,4581157926,"2.192328","41.37911","NITBUS -N8--",1,3,"Ciutat Vella","la Barceloneta",,
"K015","Transports i serveis relacionats","Autobusos nocturns",433111002,4584446329,433019046,4584245373,"2.198624","41.406964","NITBUS -N11-N8--",10,71,"Sant Martí","Provençals del Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns","433195.16",4584373107,433103204,4584172152,"2.199639","41.406312","NITBUS -N7--",10,68,"Sant Martí","el Poblenou",,
