"Tipus ens","Nom ens","Règim jurídic d'aplicació",Escala,Subescala,Categoria,Grup,Subgrup,Temporalitat,Gènere,Nombre
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Tècnic/a de grau mitjà",A2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Tècnic/a de grau mitjà",A2,"Interí i temporal",D,3
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A2,Fix,D,2
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a",,C1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a",,C1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a",,C1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a",,C1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Titulat/ada superior",A1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Titulat/ada superior",A1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Titulat/ada superior",A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Titulat/ada superior",A1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,Diplomat/ada,A2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,Diplomat/ada,A2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,Diplomat/ada,A2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,Diplomat/ada,A2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Tècnic/a especialista",C1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Tècnic/a especialista",C1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Tècnic/a especialista",C1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Tècnic/a especialista",C1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Auxiliars tècnics",C2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Auxiliars tècnics",C2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Auxiliars tècnics",C2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials",,"Auxiliars tècnics",C2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,C2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,E,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,E,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,E,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis",,,E,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A1,Fix,H,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A1,Fix,D,4
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A2,Fix,H,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A2,Fix,D,3
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C1,Fix,D,4
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C2,Fix,D,3
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",E,Fix,H,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",E,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",A2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL LABORAL ESTRUCTURAL",,,,"Personal de conveni",C2,"Interí i temporal",H,0
