"Immigrants per lloc de procedència",,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,
,"Dte.",,"Barris","TOTAL ","Andalusia","Aragó","Principat 
d'Astúries","Illes Balears","Canàries","Cantàbria","Castella 
i Lleó","Castella -
la Manxa","Catalunya","Comunitat
Valenciana","Extremadura","Galícia","Comunitat 
de Madrid","Regió 
de Múrcia","Comunitat Foral 
de Navarra","País Basc","Rioja, La","Ceuta","Melilla","Estranger"
,8,,"48. la Guineueta",464,12,9,1,4,6,0,8,3,232,11,3,4,16,0,1,1,0,0,0,153
,8,,"49. Canyelles",129,13,1,0,1,3,0,1,0,72,3,0,1,1,2,2,0,0,0,0,29
,8,,"50. les Roquetes",852,17,10,4,5,2,1,3,2,340,21,1,11,13,0,2,5,6,0,5,404
,8,,"51. Verdun",576,13,12,2,2,3,2,8,2,205,11,3,3,9,5,3,3,0,0,0,290
,8,,"52. la Prosperitat",1099,47,9,5,14,9,0,7,5,417,24,1,9,23,4,0,7,2,0,1,515
,8,,"53. la Trinitat Nova",345,17,7,0,5,3,0,1,1,160,9,0,2,10,4,1,2,1,0,0,122
,8,,"54. Torre Baró",125,5,1,0,0,1,0,1,0,61,4,0,1,4,1,0,1,0,0,0,45
,8,,"55. Ciutat Meridiana",626,23,1,5,7,2,0,1,3,261,14,4,8,12,1,0,2,1,0,0,281
,8,,"56. Vallbona",65,0,1,0,0,1,0,3,0,48,0,0,2,0,0,0,0,0,0,0,10
,9,,"57. la Trinitat Vella",545,9,12,1,3,3,1,2,3,242,19,0,4,7,1,2,14,4,2,2,214
,9,,"58. Baró de Viver",84,4,0,0,1,0,1,0,0,53,1,1,1,1,1,0,0,0,0,0,20
,9,,"59. el Bon Pastor",484,18,4,0,5,1,0,3,6,254,17,0,6,9,4,0,1,0,0,1,155
,9,,"60. Sant Andreu",1750,52,22,8,24,18,0,12,15,851,50,11,16,61,4,2,7,1,0,0,596
,9,,"61. la Sagrera",1179,25,17,3,11,12,0,11,8,495,27,10,14,49,1,2,4,0,0,2,488
,9,,"62. el Congrés i els Indians",550,20,3,2,12,1,2,7,3,208,15,8,3,14,2,2,4,0,0,0,244
,9,,"63. Navas",913,28,7,6,12,5,1,13,0,357,29,1,8,28,3,2,4,1,1,0,407
,10,,"64. el Camp de l'Arpa del Clot",1894,63,24,4,31,23,1,22,10,613,68,3,31,65,7,4,26,6,0,0,893
,10,,"65. el Clot",1159,29,13,4,18,12,2,16,4,410,37,2,9,39,4,1,9,3,0,0,547
,10,,"66. el Parc i la Llacuna del Poblenou",856,25,6,1,18,7,3,7,2,200,23,4,13,27,1,2,7,3,0,2,505
,10,,"67. la Vila Olímpica del Poblenou",391,16,8,2,3,4,0,0,0,105,5,0,0,14,5,2,4,0,0,0,223
,10,,"68. el Poblenou",1620,25,12,5,30,13,2,14,10,511,43,7,9,60,5,1,18,5,0,0,850
,10,,"69. Diagonal Mar i el Front Marítim del Poblenou",669,27,11,0,14,4,1,4,2,177,17,1,8,29,1,3,4,1,0,0,365
,10,,"70. el Besòs i el Maresme",1575,44,25,4,12,10,2,11,17,640,33,1,13,36,9,4,18,7,0,2,687
,10,,"71. Provençals del Poblenou",805,22,3,0,9,7,4,4,5,316,29,1,9,24,5,4,4,1,0,1,357
,10,,"72. Sant Martí de Provençals",1037,30,8,4,11,10,1,9,8,420,33,5,8,49,5,1,4,4,0,0,427
,10,,"73. la Verneda i la Pau",1007,34,18,2,11,7,6,10,8,445,28,2,12,28,4,2,7,0,0,0,383
,,,"No consta",9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
