TRIMESTRE,TIPUS ORDENANT,ORDENANT,DEPARTAMENT,DENOMINACIO CAMPANYA,CONCEPTE,MITJÀ,IMPORT
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,"ECONOMIA COOPERATIVA, SOCIAL I SOLIDÀRIA",MITJANS,PREMSA DIÀRIA,"13304,45"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ESQUELES,MITJANS,PREMSA DIÀRIA,"2056,18"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,FESTIVAL GREC,MITJANS,PREMSA DIÀRIA,"7424,56"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ICUB PROGRAMES I ACTIVITATS,MITJANS,PREMSA DIÀRIA,"16104,37"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS,MITJANS,PREMSA DIÀRIA,"8516,2"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE XOC CONTRA L'ATUR DE LLARGA DURADA,MITJANS,PREMSA DIÀRIA,"42968,67"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DEL VERD I LA BIODIVERSITAT,MITJANS,PREMSA DIÀRIA,"3653,02"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PORTES OBERTES SANT JORDI,MITJANS,PREMSA DIÀRIA,"4183,57"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SANT JORDI,MITJANS,PREMSA DIÀRIA,"43246,08"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SEGURETAT VIÀRIA,MITJANS,PREMSA DIÀRIA,"43245,7"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SETMANA INTERNACIONAL DE MERCATS,MITJANS,PREMSA DIÀRIA,1210
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SUBVENCIONS PER A L'IMPULS ECONÒMIC LOCAL,MITJANS,PREMSA DIÀRIA,"49020,55"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,VIATGES PER A LA GENT GRAN,MITJANS,PREMSA DIÀRIA,"16550,05"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ZOO,MITJANS,PREMSA DIÀRIA,"2595,46"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONTINGUTS D'INTERÈS CIUTADÀ-Agendes culturals,MITJANS,PREMSA DIÀRIA,"20637,94"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONTINGUTS D'INTERÈS CIUTADÀ-Informació d'interès social,MITJANS,PREMSA DIÀRIA,"114728,81"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONTINGUTS D'INTERÈS CIUTADÀ-Informació d'interès ciutadà,MITJANS,PREMSA DIÀRIA,"362008,8"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE CIUTAT VELLA,MITJANS,REVISTES,"5297,36"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE EIXAMPLE,MITJANS,REVISTES,"1101,1"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE GRÀCIA,MITJANS,REVISTES,"5255,86"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE LES CORTS,MITJANS,REVISTES,5058
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE NOU BARRIS,MITJANS,REVISTES,"2519,45"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SANT ANDREU,MITJANS,REVISTES,"6445,26"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SANT MARTÍ,MITJANS,REVISTES,"1477,7"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SANTS-MONTJUÏC,MITJANS,REVISTES,"9168,37"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SARRIÀ-SANT GERVASI,MITJANS,REVISTES,"3088,28"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS A LA REHABILITACIÓ D'HABITATGES,MITJANS,REVISTES,"10284,76"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS FISCALS - IBI ,MITJANS,REVISTES,"3716,21"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BARCELONA ACTIVA,MITJANS,REVISTES,"7278,15"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BETEVÉ NOVA IMATGE,MITJANS,REVISTES,"25793,61"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCERT DIA INTERNACIONAL DE LA DONA,MITJANS,REVISTES,"1819,54"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCURS ROSES NOVES,MITJANS,REVISTES,"9708,96"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,DOMINI .BARCELONA,MITJANS,REVISTES,"2185,87"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,DRETS ENERGÈTICS,MITJANS,REVISTES,"15680,34"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,"ECONOMIA COOPERATIVA, SOCIAL I SOLIDÀRIA",MITJANS,REVISTES,"8373,73"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,FESTIVAL GREC,MITJANS,REVISTES,"18759,84"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,GUIA DE SERVEIS I AJUDES A LES PERSONES,MITJANS,REVISTES,"3845,3"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ICUB PROGRAMES I ACTIVITATS,MITJANS,REVISTES,"20883,05"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MERCABARNA,MITJANS,REVISTES,"11856,45"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MERCATS DE BARCELONA,MITJANS,REVISTES,"1966,26"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS,MITJANS,REVISTES,"59318,76"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,NADAL 2016-2017,MITJANS,REVISTES,"8486,12"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PARK GÜELL,MITJANS,REVISTES,550
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE XOC CONTRA L'ATUR DE LLARGA DURADA,MITJANS,REVISTES,"6417,02"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DEL VERD I LA BIODIVERSITAT,MITJANS,REVISTES,"9004,77"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PORTES OBERTES SANT JORDI,MITJANS,REVISTES,"10788,38"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PORTES OBERTES SANTA EULÀLIA,MITJANS,REVISTES,"5710,73"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SANT JORDI,MITJANS,REVISTES,"1819,54"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SUBVENCIONS PER A L'IMPULS ECONÒMIC LOCAL,MITJANS,REVISTES,"3661,4"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,TIBIDABO,MITJANS,REVISTES,"12116,22"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,VIATGES PER A LA GENT GRAN,MITJANS,REVISTES,"4150,54"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ZOO,MITJANS,REVISTES,"37966,17"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONTINGUTS D'INTERÈS CIUTADÀ-Agendes culturals,MITJANS,REVISTES,"261599,86"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SANT ANDREU,MITJANS,INTERNET,"932,27"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SARRIÀ-SANT GERVASI,MITJANS,INTERNET,"242,24"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS A LA REHABILITACIÓ D'HABITATGES,MITJANS,INTERNET,"78958,96"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS FISCALS - IBI ,MITJANS,INTERNET,"27954,58"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ANELLA OLÍMPICA,MITJANS,INTERNET,5017
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,APARCAMENTS BSM,MITJANS,INTERNET,"3441,24"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BARCELONA ACTIVA,MITJANS,INTERNET,"24841,3"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BARCELONA PER NADAL ÉS CULTURA 2016-2017,MITJANS,INTERNET,"23226,9"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BENESTAR ANIMAL,MITJANS,INTERNET,"22135,75"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BETEVÉ NOVA IMATGE,MITJANS,INTERNET,"103005,21"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BICING,MITJANS,INTERNET,8253
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CARNAVAL,MITJANS,INTERNET,"2859,1"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CESSIÓ DE PISOS BUITS,MITJANS,INTERNET,"2867,87"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCERT DIA INTERNACIONAL DE LA DONA,MITJANS,INTERNET,"7634,02"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCURS ROSES NOVES,MITJANS,INTERNET,"10967,73"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,DRETS ENERGÈTICS,MITJANS,INTERNET,"40588,06"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,"ECONOMIA COOPERATIVA, SOCIAL I SOLIDÀRIA",MITJANS,INTERNET,"14544,38"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ESTACIÓ DEL NORD,MITJANS,INTERNET,1000
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,FESTIVAL GREC,MITJANS,INTERNET,"33068,28"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,GUIA DE SERVEIS I AJUDES A LES PERSONES,MITJANS,INTERNET,"3911,7"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ICUB PROGRAMES I ACTIVITATS,MITJANS,INTERNET,"29826,42"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MERCATS DE BARCELONA,MITJANS,INTERNET,"5012,85"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS,MITJANS,INTERNET,"27771,1"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MÚSICA ALS PARCS,MITJANS,INTERNET,"1347,66"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,NADAL 2016-2017,MITJANS,INTERNET,"7583,51"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PARK GÜELL,MITJANS,INTERNET,"11383,58"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE BARRIS,MITJANS,INTERNET,"42,46"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE XOC CONTRA L'ATUR DE LLARGA DURADA,MITJANS,INTERNET,"46550,1"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DEL VERD I LA BIODIVERSITAT,MITJANS,INTERNET,"18542,26"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PORTES OBERTES SANT JORDI,MITJANS,INTERNET,"1441,11"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PRESSUPOSTOS PARTICIPATIUS GRÀCIA,MITJANS,INTERNET,"1403,51"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PRIDE - AFECTACIÓ DEL TRÀNSIT,MITJANS,INTERNET,"3742,34"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SANT JORDI,MITJANS,INTERNET,"25957,3"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SEGURETAT VIÀRIA,MITJANS,INTERNET,"34353,27"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SETMANA DE L'ARQUITECTURA,MITJANS,INTERNET,"27222,65"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SUBVENCIONS PER A L'IMPULS ECONÒMIC LOCAL,MITJANS,INTERNET,"58012,1"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,TARIFACIÓ SOCIAL ESCOLES BRESSOL,MITJANS,INTERNET,"24380,88"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,TIBIDABO,MITJANS,INTERNET,"38950,53"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ZOO,MITJANS,INTERNET,"9845,92"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONTINGUTS D'INTERÈS CIUTADÀ-Informació d'interès social,MITJANS,INTERNET,"225671,65"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONTINGUTS D'INTERÈS CIUTADÀ-Informació d'interès ciutadà,MITJANS,INTERNET,"341890,46"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SANTS-MONTJUÏC,MITJANS,RÀDIO,"1605,54"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS A LA REHABILITACIÓ D'HABITATGES,MITJANS,RÀDIO,"52266,86"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS FISCALS - IBI ,MITJANS,RÀDIO,"68324,71"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BETEVÉ NOVA IMATGE,MITJANS,RÀDIO,"63420,47"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCURS ROSES NOVES,MITJANS,RÀDIO,"8054,99"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,DRETS ENERGÈTICS,MITJANS,RÀDIO,"74130,08"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,"ECONOMIA COOPERATIVA, SOCIAL I SOLIDÀRIA",MITJANS,RÀDIO,"6764,82"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,FESTIVAL GREC,MITJANS,RÀDIO,"17413,11"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ICUB PROGRAMES I ACTIVITATS,MITJANS,RÀDIO,"5896,09"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS,MITJANS,RÀDIO,"6657,93"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,NADAL 2016-2017,MITJANS,RÀDIO,"3678,81"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE BARRIS,MITJANS,RÀDIO,"186,94"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE XOC CONTRA L'ATUR DE LLARGA DURADA,MITJANS,RÀDIO,"42841,13"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DEL VERD I LA BIODIVERSITAT,MITJANS,RÀDIO,"41978,46"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PORTES OBERTES SANT JORDI,MITJANS,RÀDIO,"19497,16"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PORTES OBERTES SANTA EULÀLIA,MITJANS,RÀDIO,"13262,59"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SEGURETAT VIÀRIA,MITJANS,RÀDIO,"50865,13"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,TIBIDABO,MITJANS,RÀDIO,"29500,03"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ZOO,MITJANS,RÀDIO,"25117,58"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BARCELONA PER NADAL ÉS CULTURA 2016-2017,MITJANS,TELEVISIÓ,"10630,03"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SEGURETAT VIÀRIA,MITJANS,TELEVISIÓ,"66762,39"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,TARIFACIÓ SOCIAL ESCOLES BRESSOL,MITJANS,TELEVISIÓ,"3839,48"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,, SEGURETAT VIÀRIA ,MITJANS,CINEMA,"16108,73"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS A LA REHABILITACIÓ D'HABITATGES,MITJANS,EXTERIOR,"56541,3"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS FISCALS - IBI ,MITJANS,EXTERIOR,"56378,74"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BETEVÉ NOVA IMATGE,MITJANS,EXTERIOR,"14217,5"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCURS ROSES NOVES,MITJANS,EXTERIOR,"2385,52"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,DRETS ENERGÈTICS,MITJANS,EXTERIOR,"13608,62"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,FESTIVAL GREC,MITJANS,EXTERIOR,"2352,24"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS,MITJANS,EXTERIOR,"4318,39"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,MÚSICA ALS PARCS,MITJANS,EXTERIOR,3194
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PARK GÜELL,MITJANS,EXTERIOR,"5080,5"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DE XOC CONTRA L'ATUR DE LLARGA DURADA,MITJANS,EXTERIOR,"38215,43"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,PLA DEL VERD I LA BIODIVERSITAT,MITJANS,EXTERIOR,"53978,64"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SEGURETAT VIÀRIA,MITJANS,EXTERIOR,"21574,91"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SETMANA DE L'ARQUITECTURA,MITJANS,EXTERIOR,"19942,13"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,SUBVENCIONS PER A L'IMPULS ECONÒMIC LOCAL,MITJANS,EXTERIOR,"19224,48"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,TIBIDABO,MITJANS,EXTERIOR,"1652,44"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,VACANCES D'ESTIU,MITJANS,EXTERIOR,"3156,42"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ZOO,MITJANS,EXTERIOR,"15303,45"
