Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines;LONGITUD;LATITUD
440585,28;4473312,53;42930;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;2;CargayDescarga;Línea;;;-3.7002369;40.4083094
440649,59;4473299,18;40210;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;8;CargayDescarga;Línea;3;;-3.6994778;40.4081937
440803,01;4473266,53;40210;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;22;CargayDescarga;Línea;3;;-3.6976668;40.4079105
440854,65;4473255,48;40210;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;24;CargayDescarga;Línea;3;;-3.6970572;40.4078147
440347,14;4473942,74;42356;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;20;CargayDescarga;Línea;1;;-3.7031024;40.4139696
440392,84;4473921,66;40360;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;22;CargayDescarga;Línea;3;;-3.7025618;40.413783
440443,38;4473898,01;40360;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;26;CargayDescarga;Línea;3;;-3.701964;40.4135736
440544,21;4473844,77;42437;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;36;CargayDescarga;;;;-3.7007707;40.4131012
441032,54;4473522,52;1;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;106;CargayDescarga;Línea;4;;-3.6949855;40.4102329
440890,47;4473140;39882;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;12;CargayDescarga;Línea;3;;-3.6966243;40.4067769
440749,13;4473090,54;42929;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;24;CargayDescarga;Línea;1;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.6982853;40.4063213
440582,14;4473688,57;38322;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;8;CargayDescarga;Línea;3;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.700309;40.4116967
440567,31;4473611,85;38924;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;17;CargayDescarga;Línea;3;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7004767;40.4110046
440542,04;4473568,16;36911;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;23;CargayDescarga;Línea;2;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7007704;40.4106092
440535,26;4473570,84;38322;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;26;CargayDescarga;Línea;3;LABORABLES DE 8 A 18 H. EXCEPTO CARGA Y DESCARGA;-3.7008505;40.4106328
440525,86;4473463,31;38924;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;39;CargayDescarga;Línea;3;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7009513;40.4096635
440517;4473417,79;38925;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;52;CargayDescarga;Línea;2;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7010514;40.4092528
439917,42;4473137,12;37126;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;2;CargayDescarga;Línea;3;;-3.7080909;40.4066813
440479,41;4473863,47;40360;01  CENTRO;01-02 EMBAJADORES;CAÑIZARES, CALLE, DE LOS;1;CargayDescarga;Línea;3;;-3.7015361;40.413265
439737,34;4473224,77;39406;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;9;CargayDescarga;Línea;3;LAB. DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTOCARGA Y DESCARGA DOMINGOS Y FESTIVOSDE 7 A 16 H.;-3.7102214;40.4074579
439885,95;4473330,28;37081;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;10;CargayDescarga;Línea;2;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.70848;40.4084191
439909,96;4473182,56;37081;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;31;CargayDescarga;Línea;2;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGADOMINGOS Y FESTIVOSDE 7 A 16 H.;-3.7081831;40.4070901
439997,77;4473643,74;40360;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;2;CargayDescarga;Línea;7; LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7071918;40.411251
439977,23;4473510,21;39383;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;13;CargayDescarga;Línea;4; LABORABLES DE 8 A 18 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7074213;40.4100466
439975,84;4473563,76;40360;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;18;CargayDescarga;Línea;7;RESERVA COMPARTIDA ----------------------------------------- LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 30 MINUTOS RESTO DE HORARIO REGULACIÓN SER ---------------------------------------------------------------------- DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7074427;40.4105289
440097,67;4473828,34;39989;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;6;CargayDescarga;Línea;4; LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER;-3.7060318;40.4129211
440098,41;4473816,43;38926;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;11;CargayDescarga;Línea;5;;-3.706022;40.4128139
440216,77;4473912,79;40232;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;3;CargayDescarga;Línea;3; LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7046361;40.4136905
440187,59;4473840.44;40232;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;12;CargayDescarga;Línea;4; LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7049732;40.4130366
440625,79;4473160,73;40210;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;34;CargayDescarga;Línea;3;;-3.6997454;40.4069448
440135,83;4473715,47;38926;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;3;CargayDescarga;Batería;4; LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7055715;40.4119071
440115,03;4473708,32;38926;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;5;CargayDescarga;Batería;10; LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7058159;40.4118412
440736,07;4473670,99;42930;01  CENTRO;01-02 EMBAJADORES;DUQUE DE FERNAN NUÑEZ, CALLE, DEL;4;CargayDescarga;Línea;;;-3.6984933;40.4115493
440060,28;4473913,97;38565;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;2;CargayDescarga;Línea;3; LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACIONSER;-3.7064806;40.4136898
440059,09;4473865,15;1;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;8;CargayDescarga;Línea;5; LABORABLES DE 9 A 14H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER;-3.70649;40.41325
440055,39;4473534,91;38925;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;7;CargayDescarga;Línea;4;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO  REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7065025;40.4102747
440218,25;4473308,42;38322;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;35;CargayDescarga;Línea;3;LABORABLES DE 8 A 15H EXCEPTO CARGA Y DESCARGA;-3.7045619;40.4082461
440256,71;4473251,51;41831;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;58;CargayDescarga;Línea;2;Laborables de 8 a 15h. Excepto Carga y Descarga;-3.7041033;40.4077362
440277,75;4473211,09;41831;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;66;CargayDescarga;Línea;;Laborables de 8 a 15h. Excepto Carga y Descarga;-3.7038516;40.4073736
440085,66;4473635,21;37796;01  CENTRO;01-02 EMBAJADORES;JUANELO, CALLE, DE;18;CargayDescarga;Línea;2;;-3.7061552;40.4111805
440365,43;4473625,06;40638;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;16;CargayDescarga;Línea;1;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7028571;40.4111091
440430,3;4473438,68;36230;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;48;CargayDescarga;Línea;3;LAB. DE 8 A 18 H.EXCEPTO CARGA Y DESCARGA;-3.7020751;40.4094348
440463,56;4473393,88;36230;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;56;CargayDescarga;Línea;2;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.701679;40.4090336
440493,28;4473366,89;40360;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, PLAZA, DEL;9;CargayDescarga;Línea;3;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7013262;40.4087925
440415,54;4473876,85;37602;01  CENTRO;01-02 EMBAJADORES;LUIS VELEZ DE GUEVARA, CALLE, DE;3;CargayDescarga;Línea;3; LABORABLES DE 9 A 14 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER;-3.7022901;40.413381
440373,8;4473768,49;40360;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;6;CargayDescarga;Línea;3; LABORABLES DE 9 A 14 H. EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOS RESTO HORARIO REGULACION SER;-3.7027719;40.4124018
