



 IDEXPEDIENTE;NOMBRE;CONTENT-URL;IDORGANISMO;NOMBRE-ORGANISMO;IDTIPO;DESCRIPCION-TIPO;PRESUPUESTO;CPVs
10463077;"Contrato mixto de servicios y suministro de hardware y mantenimiento y desarrollo de aplicaciones informáticas (MOVIPOL, GESAM 2 y WEBMONITOR 2) para el Ayuntamiento de Madrid, en 2 lotes.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=43c40c49cdcad510VgnVCM2000001f4a900aRCRD";"501025";"Informática del Ayuntamiento de Madrid";"2";"Servicios";"8.794.246,96";"72267100-0,Mantenimiento de software de tecnología de la información;32250000-0,Teléfonos móviles;72265000-0,Servicios de configuración de software;30200000-1,Equipo y material informático;72262000-9,Servicios de desarrollo de software;72266000-7,Servicios de consultoría en software;72610000-9,Servicios de apoyo informático;72263000-6,Servicios de implementación de software;";
10451247;"Suministro de dos camiones especiales (QUEBEC) con destino al servicio de SAMUR-Protección Civil del Ayuntamiento de Madrid";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=dc4581e94de7d510VgnVCM1000001d4a900aRCRD";"001019";"Área de Gobierno de Seguridad y Emergencias";"1";"Suministros";"247.854,46";"34114000-9,Vehículos especiales;";
10451199;"Gestión integral de los servicios complementarios de los Edificios municipales adscritos al Distrito de Fuencarral-El Pardo, en cuatro lotes (Lote 3, reservado a empresas de inserción, D.A. 5ª TRLCSP).";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=02e2e24e8ce7d510VgnVCM2000001f4a900aRCRD";"001208";"Distrito de Fuencarral-El Pardo";"2";"Servicios";"8.827.055,84";"44613800-8,Contenedores para residuos;90911000-6,Servicios de limpieza de viviendas, edificios y ventanas;50750000-7,Servicios de mantenimiento de ascensores;98341130-5,Servicios de conserjería                                                                                 ;50610000-4,Servicios de reparación y mantenimiento de equipos de seguridad;50800000-3,Servicios varios de reparación y mantenimiento;50700000-2,Servicios de reparación y mantenimiento de equipos de edificios;77310000-6,Servicios de plantación y mantenimiento de zonas verdes;";
10450305;"Desarrollo de un sistema de voto electrónico y soporte a la realización de los procesos de votación electrónica.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=088f8df293e7d510VgnVCM2000001f4a900aRCRD";"501025";"Informática del Ayuntamiento de Madrid";"2";"Servicios";"675.699,60";"72262000-9,Servicios de desarrollo de software;72261000-2,Servicios de apoyo al software;";
10441603;"Gestión Integral de los Servicios complementarios de los equipamientos adscritos al distrito de Vicálvaro. 3 Lotes.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=c9e91cf402a5d510VgnVCM2000001f4a900aRCRD";"001219";"Distrito de Vicálvaro";"2";"Servicios";"14.808.122,44";"90911000-6,Servicios de limpieza de viviendas, edificios y ventanas;50750000-7,Servicios de mantenimiento de ascensores;98341130-5,Servicios de conserjería                                                                                 ;98341120-2,Servicios de portería                                                                                    ;50700000-2,Servicios de reparación y mantenimiento de equipos de edificios;";
10440088;"Vigilancia y seguridad de los edificios y otras dependencias del Distrito de Tetuán";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=f3c19d4d6015d510VgnVCM2000001f4a900aRCRD";"001206";"Distrito de Tetuán";"2";"Servicios";"2.159.231,05";"79710000-4,Servicios de seguridad;";
10436548;"Mantenimiento y soporte de las licencias del software de los sistemas de información geográfica (SIG).";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=037563313df3d510VgnVCM2000001f4a900aRCRD";"501025";"Informática del Ayuntamiento de Madrid";"2";"Servicios";"1.561.806,72";"72267000-4,Servicios de mantenimiento y reparación de software;";
10432550;"Intervención social y atención de las necesidades básicas a personas sin hogar en Centro Abierto III, con servicio de desayuno, comida y cena que incorporen productos de comercio justo";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=2926f6c5e203d510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"3.283.737,12";"85311000-2,Servicios de asistencia social con alojamiento;";
10426908;"Contrato de servicios para la gestión de 75 viviendas de uso individual para personas sin hogar en situación de calle:'construyendo hogar. Housing First'";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=c0b6c51d1721d510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"14.091.002,28";"85310000-5,Servicios de asistencia social;";
10410869;"Suministro de un sistema de grabación TETRA para CISEM y CR";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=81ef165c55fcc510VgnVCM2000001f4a900aRCRD";"001019";"Área de Gobierno de Seguridad y Emergencias";"1";"Suministros";"281.000,00";"32344110-0,Sistema de registro vocal;32524000-2,Sistema de telecomunicaciones;";
10410267;"Suministro de monitores desfibriladores para la Subdirección General de SAMUR-Protección Civil  del Ayuntamiento de Madrid";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=5a1642eb96acc510VgnVCM2000001f4a900aRCRD";"001019";"Área de Gobierno de Seguridad y Emergencias";"1";"Suministros";"340.000,00";"33100000-1,Equipamiento médico;";
10406360;"Suministro en régimen de arrendamiento de vehículos para su utilización por la Dirección General de Seguridad y por el Cuerpo de Policía Municipal de Madrid.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=e524220e87fbc510VgnVCM1000001d4a900aRCRD";"001019";"Área de Gobierno de Seguridad y Emergencias";"1";"Suministros";"13.466.280,00";"34114210-4,Vehículos celulares;34113200-4,Vehículos todoterreno;34114200-1,Automóviles de policía;";
10406283;"Servicio de educación social, actividades preventivas socio educativas del distrito de Usera";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=c04f500dc5fbc510VgnVCM2000001f4a900aRCRD";"001212";"Distrito de Usera";"2";"Servicios";"1.473.310,99";"85312000-9,Servicios de asistencia social sin alojamiento;";
10406125;"Plan de promoción del éxito escolar, prevención del absentismo y mejora de la convivencia en los centros educativos sostenidos con fondos públicos del distrito de Usera.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=6dc5bbf7f2fbc510VgnVCM2000001f4a900aRCRD";"001212";"Distrito de Usera";"2";"Servicios";"3.147.845,26";"80410000-1,Servicios escolares diversos;";
10402072;"Equipamientos y servicios municipales de atención a personas mayores que incorporen productos de comercio justo";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=6da43300c17ac510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"231.278.061,48";"85311100-3,Servicios de bienestar social proporcionados a ancianos;85311000-2,Servicios de asistencia social con alojamiento;85312100-0,Servicios de centros de día;";
10399975;"Gestión del Programa Europa Joven Madrid y del Programa Xarxa Formación Profesional";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=c469f196651ac510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"375.840,00";"85312300-2,Servicios de orientación y asesoramiento;85311300-5,Servicios de bienestar social proporcionados a niños y jóvenes;";
